Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
China Steel,CNH,0.09,-2.00,-18.18,,,,,,,,,,,,
Biotron Ltd opt dec11,BITO,0.017,-0.30,-15,,,,,,,,,,,,
Arturus Capital,AKW,0.12,-2.00,-14.29,,,,,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.006,-0.10,-14.29,,,,,,,,,,,,
Beyond Sportswear,BSI,0.014,-0.20,-12.5,,,,,,,,,,,,
Coote Industrial,CXG,0.18,-2.50,-12.2,,,,,,,,,,,,
Eneabba Gas Ltd,ENB,0.11,-1.50,-12,,,,,,,,,,,,
Saunders Intl Ltd,SND,0.335,-4.50,-11.84,,,,,,,,,,,,
Techniche Ltd,TCN,0.031,-0.40,-11.43,,,,,,,,,,,,
Imugene Ltd,IMU,0.04,-0.50,-11.11,,,,,,,,,,,,
Stirling Products,STI,0.008,-0.10,-11.11,,,,,,,,,,,,
Astra Capital Ltd,AKR,0.76,-9.00,-10.59,,,,,,,,,,,,
Island Sky Aust,ISK,0.036,-0.40,-10,,,,,,,,,,,,
Overseas & Gen cdi,OGL,0.18,-2.00,-10,,,,,,,,,,,,
Pharmanet Grp,PNO,0.009,-0.10,-10,,,,,,,,,,,,
PPK Grp Ltd,PPK,0.37,-4.00,-9.76,,,,,,,,,,,,
Sino Strategic Intl,SSI,0.33,-3.50,-9.59,,,,,,,,,,,,
Living & Leisure Grp stp,LLA,0.019,-0.20,-9.52,,,,,,,,,,,,
Zicom Grp Ltd,ZGL,0.145,-1.50,-9.38,,,,,,,,,,,,
Healthlinx Ltd,HTX,0.105,-1.00,-8.7,,,,,,,,,,,,
Benitec Ltd,BLT,0.033,-0.30,-8.33,,,,,,,,,,,,
Novogen Ltd,NRT,0.17,-1.50,-8.11,,,,,,,,,,,,
Neptune Marine opt dec10,NMSO,0.06,-0.50,-7.69,,,,,,,,,,,,
Pelorus Prop,PPI,0.12,-1.00,-7.69,,,,,,,,,,,,
Multiplex Acumen unt,MPF,0.053,-0.40,-7.02,,,,,,,,,,,,
Somnomed Ltd,SOM,0.765,-5.50,-6.71,,,,,,,,,,,,
