Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4685.1 at 16:41 17/9/2010  Report at 19:07 Friday 17/9/2010. Processed 18:10 Sunday 19/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $16.00,,,,,,,,,,,,
Mar,11,6.00,0.07,0.40,-,51,22.20,0.22,2.67,,,
Mar,11,6.25,0.04,0.15,-,51,22.20,0.15,1.52,,,
Mar,11,6.50,0.03,0.07,-,343,22.20,0.10,0.95,,,
Mar,11,7.50,0.00,-,-,100,22.20,0.01,-,,,
Mar,11,9.00,-,-,-,4,22.20,-,-,,,
Jun,11,0.01,5.09,-,-,-,-,-,0.77,,,
Jun,11,4.50,0.81,1.05,-,5,27.40,0.79,6.30,,,
Jun,11,4.75,0.66,0.54,-,10,27.30,0.72,8.74,,,
Jun,11,5.00,0.51,-,-,-,26.40,0.64,11.31,,,
Jun,11,5.25,0.38,-,-,-,25.00,0.56,9.64,,,
Jun,11,5.50,0.27,-,-,6,24.10,0.47,6.94,,,
Jun,11,5.75,0.19,-,-,-,23.40,0.38,4.76,,,
Jun,11,6.00,0.13,0.12,-,23,22.70,0.30,3.21,,,
Sep,11,5.75,0.28,0.39,-,1,25.50,0.48,5.24,,,
Dec,11,5.00,0.69,1.00,-,718,30.70,0.70,9.58,,,
Dec,11,6.00,0.29,0.42,35,111,27.70,0.49,4.52,,,
Dec,11,6.50,0.17,0.25,-,40,26.90,0.38,2.73,,,
Dec,11,7.00,0.11,1.21,35,131,26.10,0.28,1.64,,,
Dec,11,7.50,0.07,0.65,-,109,26.60,0.19,1.09,,,
Dec,11,8.00,0.04,0.61,-,11,26.60,0.12,0.70,,,
Dec,11,8.50,0.03,0.27,-,84,26.60,0.07,0.47,,,
Dec,11,10.00,0.01,0.19,-,46,26.60,0.02,0.11,,,
Dec,11,10.50,0.00,0.14,-,11,26.60,0.02,-,,,
Dec,11,11.00,0.00,0.10,-,1,26.60,0.01,-,,,
Dec,11,11.50,0.00,0.08,-,1,26.60,0.01,-,,,
Dec,11,12.00,0.00,0.07,-,141,26.60,-,-,,,
Dec,11,12.50,0.00,0.06,-,1,26.60,-,-,,,
Dec,12,4.50,1.09,1.91,-,51,31.90,0.74,4.53,,,
Dec,12,5.00,0.81,0.70,-,239,29.90,0.75,6.49,,,
Dec,12,5.50,0.62,1.12,-,134,29.30,0.65,5.40,,,
Dec,12,8.00,0.17,0.82,-,1,29.50,0.32,1.53,,,
Dec,12,8.50,0.14,0.66,-,5,29.50,0.23,1.22,,,
Mar,13,6.25,0.42,0.60,-,10,27.90,0.55,3.27,,,
Dec,13,3.00,2.27,2.00,-,25,42.40,0.91,1.18,,,
Dec,13,4.00,1.52,1.32,-,268,35.10,0.85,2.75,,,
Dec,13,4.50,1.28,-,-,-,35.20,0.78,4.33,,,
Jun,14,5.75,0.70,-,-,10,28.80,0.70,3.65,,,
Jun,14,6.00,0.64,1.37,-,13,28.80,0.60,3.32,,,
Sep,14,7.50,0.36,1.23,-,1,27.90,0.50,1.79,,,
Sep,14,7.75,0.33,1.14,-,1,27.60,0.50,1.62,,,
Dec,14,5.00,1.12,1.25,-,2,33.00,0.80,4.86,,,
Dec,14,5.50,0.96,-,-,50,33.00,0.71,4.45,,,
Dec,14,6.50,0.72,-,-,50,33.00,0.61,3.34,,,
ANZ Banking Grp Last Sale Price $23.83,,,,,,,,,,,,
Sep,10,0.01,23.84,24.03,20,567,-,1.00,4.38,,,
Sep,10,17.00,6.84,6.25,-,5,33.00,1.00,3.28,,,
Sep,10,18.00,5.84,5.07,-,2,33.00,1.00,3.28,,,
Sep,10,19.50,4.34,-,-,9,32.90,1.00,3.28,,,
Sep,10,20.00,3.85,4.10,1,40,32.90,1.00,3.28,,,
Sep,10,20.50,3.35,3.70,21,38,32.90,1.00,3.28,,,
Sep,10,21.00,2.85,2.51,-,139,32.90,1.00,3.28,,,
Sep,10,21.50,2.35,2.26,1,416,32.90,0.99,4.38,,,
Sep,10,22.00,1.86,1.90,79,889,32.90,0.97,5.47,,,
Sep,10,22.50,1.39,1.42,147,1213,32.80,0.92,12.03,,,
Sep,10,23.00,0.90,0.93,148,1367,24.90,0.88,14.22,,,
Sep,10,23.50,0.47,0.38,258,1506,21.70,0.71,31.73,,,
Sep,10,24.00,0.17,0.19,849,1871,19.50,0.41,37.20,,,
Sep,10,24.50,0.04,0.05,484,1628,18.50,0.13,7.66,,,
Sep,10,25.00,0.01,0.01,121,862,18.50,0.02,1.09,,,
Sep,10,25.50,-,0.01,50,362,18.50,-,2.19,,,
Sep,10,26.00,-,0.01,125,644,18.50,-,1.09,,,
Sep,10,26.50,-,0.01,-,143,18.50,-,2.19,,,
Sep,10,27.00,-,0.05,-,129,18.50,-,10.94,,,
Sep,10,27.50,-,0.13,-,100,18.50,-,28.45,,,
Oct,10,0.01,23.95,-,-,1,-,-,4.56,,,
Oct,10,18.00,5.92,-,-,3,27.60,1.00,3.46,,,
Oct,10,18.01,5.92,-,-,10,24.60,1.00,3.46,,,
Oct,10,18.51,5.43,5.27,-,39,35.50,0.99,4.01,,,
Oct,10,19.01,4.96,4.00,-,3,38.00,0.97,4.92,,,
Oct,10,19.50,4.44,-,-,2,27.10,0.99,4.01,,,
Oct,10,20.01,3.92,-,-,3,19.00,1.00,3.83,,,
Oct,10,20.50,3.47,-,-,-,26.80,0.96,5.11,,,
Oct,10,20.51,3.43,-,-,-,17.50,1.00,4.01,,,
Oct,10,21.00,3.00,2.41,-,108,26.60,0.94,6.20,,,
