Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
31/10/2014,LG Display Co Ltd,"31,350",,
31/10/2014,LG Electronics Inc,"65,300",,
31/10/2014,Lg Uplus,"11,000",,
31/10/2014,Lotte Shopping Co Ltd,"296,500",,
31/10/2014,NHN Corp,"754,000",,
31/10/2014,OCI Co Ltd,"92,000",,
31/10/2014,POSCO,"306,000",,
31/10/2014,Samsung C&T Corp,"72,300",,
31/10/2014,Samsung Card Co Ltd,"46,000",,
31/10/2014,Samsung Electro Mechanics Co Ltd,"48,700",,
31/10/2014,Samsung Electronics Co Ltd,"1,244,000",,
31/10/2014,Samsung Engineering Co Ltd,"61,600",,
31/10/2014,Samsung Fire & Marine Insurance Co Ltd,"287,500",,
31/10/2014,Samsung Heavy Industries Co Ltd,"26,050",,
31/10/2014,Samsung SDI Co Ltd,"126,000",,
31/10/2014,Samsung Securities Co Ltd,"47,800",,
31/10/2014,Shinhan Financial Group Co Ltd,"50,300",,
31/10/2014,Shinsegae Co Ltd,"198,500",,
31/10/2014,SK Holdings Co Ltd,"167,000",,
31/10/2014,SK Innovation,"87,500",,
31/10/2014,SK Telecom Co Ltd,"267,000",,
31/10/2014,S-Oil Corp,"40,650",,
29/10/2014,Woori Finance Hldg Co Ltd,"11,900",,
,
