Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,Genting Singapore,1.36,,
17/08/2012,Global Logistic Properties,2.32,,
17/08/2012,Golden Agri-Resources,.71,,
17/08/2012,Jardine Cycle & Carriage,49.23,,
17/08/2012,Keppel Corp,11.58,,
17/08/2012,Neptune Orient Lines,1.185,,
17/08/2012,Noble Group,1.265,,
17/08/2012,Olam International,2.04,,
17/08/2012,Oversea-Chinese Banking Corporation,9.38,,
17/08/2012,SembCorp Industries,5.66,,
17/08/2012,SembCorp Marine,5.11,,
17/08/2012,SIA Engineering,4.19,,
17/08/2012,Singapore Airlines,10.95,,
17/08/2012,Singapore Exchange,6.95,,
17/08/2012,Singapore Press Holdings,4.04,,
17/08/2012,Singapore Technologies Engineering,3.34,,
17/08/2012,SMRT Corporation,1.665,,
17/08/2012,StarHub,3.57,,
17/08/2012,United Overseas Bank,19.98,,
17/08/2012,Wilmar International Limited,3.19,,
,
Johannesburg Stock Exchange,
Quoted in Rand,
,
Trading date,Company name,Last sale,,
17/08/2012,Absa Group Ltd,"14,100",,
17/08/2012,African Bank Investments Ltd,"3,420",,
17/08/2012,African Rainbow Minerals Ltd,"15,916",,
17/08/2012,Anglo American Platinum Ltd,"41,400",,
17/08/2012,Anglo American PLC,"25,135",,
17/08/2012,Anglogold Ashanti Ltd,"28,907",,
17/08/2012,ArcelorMittal South Africa Ltd,"4,600",,
17/08/2012,Aspen Pharmacare Holdings Ltd,"13,796",,
17/08/2012,Assore Ltd,"30,153",,
17/08/2012,BHP Billiton PLC,"25,550",,
17/08/2012,Bidvest Group Ltd,"20,203",,
17/08/2012,Capital Shopping Centres Group PLC,"4,365",,
17/08/2012,Compagne Financiere Richemont SA,"5,183",,
17/08/2012,Exxaro Resources Ltd,"17,900",,
17/08/2012,Firstrand Ltd,"2,736",,
17/08/2012,Gold Fields Ltd,"11,454",,
17/08/2012,Growthpoint Properties Ltd,"2,550",,
17/08/2012,Harmony Gold Mining Co,"8,036",,
17/08/2012,Impala Platinum Holdings Ltd,"13,200",,
17/08/2012,Investec Ltd,"5,207",,
17/08/2012,Investec PLC,"5,216",,
17/08/2012,Kumba Iron Ore Ltd,"54,250",,
17/08/2012,Lonmin PLC,"8,330",,
17/08/2012,Massmart Holdings Ltd,"16,663",,
17/08/2012,Mondi Ltd,"7,450",,
17/08/2012,Mondi PLC,"7,455",,
17/08/2012,Mtn Group Ltd,"15,275",,
17/08/2012,Naspers Ltd,"49,629",,
17/08/2012,Nedbank Group Ltd,"18,162",,
17/08/2012,Old Mutual PLC,"2,221",,
17/08/2012,Reinet Investments SCA,"1,553",,
17/08/2012,Remgro Ltd,"14,510",,
17/08/2012,RMB Holdings,"3,693",,
17/08/2012,SABMiller PLC,"36,520",,
17/08/2012,Sanlam,"3,743",,
17/08/2012,Sasol Ltd,"35,369",,
17/08/2012,Shoprite Holdings Ltd,"15,400",,
17/08/2012,Standard Bank Group Ltd,"11,250",,
17/08/2012,Steinhoff International Holdings Ltd,"2,500",,
17/08/2012,Tiger Brands Ltd,"27,722",,
,
Korea Exchange,
Quoted in Korean Won,
,
Trading date,Company name,Last sale,,
17/08/2012,Daewoo Engineering & Construction Co Ltd,"9,860",,
17/08/2012,DAEWOO SECURITIES CO LTD,"11,850",,
17/08/2012,Daewoo Shipbuilding & Marine Engineering Co Ltd,"27,150",,
17/08/2012,Doosan Heavy Industries & Construction Co Ltd,"64,400",,
17/08/2012,GS Engineering & Construction Corp,"76,500",,
17/08/2012,GS Holdings Corp,"65,900",,
17/08/2012,Hana Financial Group Inc,"36,000",,
17/08/2012,Honam Petrochemical Corp,"262,500",,
17/08/2012,Hynix Semiconductor Inc,"22,500",,
17/08/2012,Hyundai Engineering & Construction Co Ltd,"65,000",,
17/08/2012,Hyundai Heavy Industries Co Ltd,"248,500",,
17/08/2012,Hyundai Merchant Marine Co Ltd,"28,450",,
17/08/2012,Hyundai Mobis Co Ltd,"313,500",,
17/08/2012,Hyundai Motor Co,"245,500",,
17/08/2012,Hyundai Steel Co,"90,700",,
17/08/2012,Industrial Bank Of Korea,"12,550",,
17/08/2012,Kangwon Land Inc,"23,800",,
17/08/2012,KB Financial Group Inc,"37,100",,
17/08/2012,KIA Motors Corp,"77,200",,
17/08/2012,Korea Electric Power Corp,"24,550",,
17/08/2012,Korea Exchange Bank,"8,640",,
17/08/2012,Korea Life Insurance Co Ltd,"7,530",,
17/08/2012,Korean Air Lines Co Ltd,"48,950",,
17/08/2012,KT Corp,"34,150",,
17/08/2012,KT&G Corp,"84,600",,
17/08/2012,LG Chem Ltd,"328,000",,
17/08/2012,LG Corp,"61,300",,
17/08/2012,LG Display Co Ltd,"27,000",,
17/08/2012,LG Electronics Inc,"64,600",,
17/08/2012,Lg Uplus,"7,700",,
17/08/2012,Lotte Shopping Co Ltd,"311,000",,
17/08/2012,NHN Corp,"257,000",,
17/08/2012,OCI Co Ltd,"205,000",,
17/08/2012,POSCO,"387,000",,
17/08/2012,Samsung C&T Corp,"69,000",,
17/08/2012,Samsung Card Co Ltd,"35,600",,
17/08/2012,Samsung Electro Mechanics Co Ltd,"103,500",,
17/08/2012,Samsung Electronics Co Ltd,"1,295,000",,
17/08/2012,Samsung Engineering Co Ltd,"198,000",,
