Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Oji Paper Co Ltd,629,,
30/10/2015,Oki Electric Industry Co Ltd,205,,
30/10/2015,Okuma Corp,977,,
30/10/2015,Olympus Corp,"4,105",,
30/10/2015,Osaka Gas Co Ltd,478.2,,
30/10/2015,Pacific Metals Co Ltd,325,,
30/10/2015,Panasonic Corp,"1,435",,
30/10/2015,Pioneer Corp,327,,
30/10/2015,Resona Holdings Inc,643.6,,
30/10/2015,Ricoh Co Ltd,"1,309",,
30/10/2015,Sapporo Holdings Ltd,500,,
30/10/2015,Secom Co Ltd,"8,117",,
30/10/2015,Sekisui House Ltd,"2,024.5",,
30/10/2015,Seven & I Holdings Co Ltd,"5,511",,
30/10/2015,Sharp Corp,133,,
30/10/2015,Shimizu Corp,"1,063",,
30/10/2015,Shin Etsu Chemical Co Ltd,"7,234",,
30/10/2015,Shinsei Bank Ltd,255,,
30/10/2015,Shionogi & Co Ltd,"4,991",,
30/10/2015,Shiseido Co Ltd,"2,891",,
30/10/2015,Showa Denko KK,153,,
30/10/2015,Showa Shell Sekiyu KK,"1,070",,
30/10/2015,Sky Perfect Jsat Hldg Inc,640,,
30/10/2015,Softbank Corp,"6,797",,
30/10/2015,Sojitz Corp,268,,
30/10/2015,Sony Corp,"3,480",,
30/10/2015,SumCo Corp,"1,228",,
30/10/2015,Sumitomo Chemical Co Ltd,699,,
30/10/2015,Sumitomo Corp,"1,330.5",,
30/10/2015,Sumitomo Electric Industries Ltd,"1,664.5",,
30/10/2015,Sumitomo Heavy Industries Ltd,550,,
25/09/2012,Sumitomo Metal Industries Ltd,117,,
30/10/2015,Sumitomo Metal Mining Co Ltd,"1,510.5",,
30/10/2015,Sumitomo Mitsui Financial Group Inc,"4,860",,
30/10/2015,Sumitomo Mitsui Trust Holdings Inc,467.7,,
30/10/2015,Sumitomo Osaka Cement Co Ltd,468,,
30/10/2015,Sumitomo Realty & Development Co Ltd,"4,004",,
30/10/2015,Suzuki Motor Corp,"3,990",,
30/10/2015,T&D Holdings Inc,"1,602",,
30/10/2015,Taiheiyo Cement Corp,400,,
30/10/2015,Taisei Corp,790,,
30/10/2015,Taiyo Yuden Co Ltd,"1,715",,
30/10/2015,Takara Holdings Inc,873,,
30/10/2015,Takashimaya Co Ltd,"1,087",,
30/10/2015,Takeda Pharmaceutical Co Ltd,"5,930",,
30/10/2015,Tdk Corp,"7,770",,
30/10/2015,Teijin Ltd,430,,
30/10/2015,Terumo Corp,"3,610",,
30/10/2015,The Shizuoka Bank Ltd,"1,222",,
30/10/2015,Tobu Railway Co Ltd,587,,
30/10/2015,Toho Co Ltd,"3,160",,
30/10/2015,Toho Zinc Co Ltd,337,,
30/10/2015,Tokai Carbon Co Ltd,332,,
30/10/2015,Tokio Marine Hldgs Inc,"4,692",,
30/10/2015,Tokyo Dome Corp,564,,
30/10/2015,Tokyo Electric Power Co Incorporated,829,,
30/10/2015,Tokyo Electron Ltd,"7,304",,
30/10/2015,Tokyo Gas Co Ltd,601.6,,
30/10/2015,Tokyo Tatemono Co Ltd,"1,509",,
30/10/2015,Tokyu Corp,985,,
25/09/2013,Tokyu Land Corp,"1,021",,
30/10/2015,Toppan Printing Co Ltd,"1,090",,
30/10/2015,Toray Industries Inc,"1,062.5",,
30/10/2015,Toshiba Corp,343.1,,
30/10/2015,Tosoh Corp,619,,
30/10/2015,Toto Ltd,"4,130",,
30/10/2015,Toyo Seikan Kaisha Ltd,"2,352",,
30/10/2015,Toyobo Co Ltd,178,,
30/10/2015,Toyota Motor Corp,"7,469",,
30/10/2015,Toyota Tsusho Corp,"2,784",,
30/10/2015,Trend Micro Inc,"4,735",,
30/10/2015,Ube Industries Ltd,255,,
30/10/2015,Unitika Ltd,61,,
30/10/2015,Uny Co Ltd,672,,
30/10/2015,West Japan Railway Co,"8,530",,
30/10/2015,Yahoo! Japan Corp,515,,
30/10/2015,Yamaha Corp,"3,025",,
30/10/2015,Yamato Holdings Co Ltd,"2,390.5",,
30/10/2015,Yaskawa Electric Corp,"1,447",,
30/10/2015,Yokogawa Electric Corp,"1,359",,
30/10/2015,Yokohama Rubber Co Ltd,"2,340",,
,
Kuala Lumpur Stock Exchange,
Quoted in Ringgit,
,
Trading date,Company name,Last sale,,
30/10/2015,Ammb Hldg Bhd,4.78,,
30/10/2015,Axiata Group Bhd,6.17,,
30/10/2015,British American Tobacco Bhd,61.82,,
30/10/2015,CIMB Group Holdings Berhad,4.61,,
30/10/2015,Digi.com Bhd,5.26,,
30/10/2015,Gamuda Bhd,4.5,,
30/10/2015,Genting Bhd,7.42,,
30/10/2015,Genting Malaysia Bhd,4.3,,
30/10/2015,Hong Leong Bank Bhd,13.98,,
30/10/2015,Hong Leong Financial Group Bhd,14.16,,
30/10/2015,IOI Corporation Bhd,4.26,,
30/10/2015,Kuala Lumpur Kepong Bhd,22.78,,
30/10/2015,Malayan Banking Bhd,8.26,,
30/10/2015,Malaysia Marine and Heavy Engineering Holdings Bhd,1.1,,
30/10/2015,Maxis Bhd,6.59,,
30/10/2015,MISC Berhad,9.03,,
30/10/2015,MMC Corporation Bhd,2.23,,
30/10/2015,Petronas Chemicals Group Bhd,6.35,,
30/10/2015,Petronas Dagangan Bhd,22.5,,
30/10/2015,Petronas Gas Bhd,22.98,,
07/12/2011,PLUS Expressways Bhd,4.43,,
30/10/2015,PPB Group Bhd,15.46,,
30/10/2015,Public Bank Bhd,18.08,,
30/10/2015,RHB Capital Bhd,6.1,,
30/10/2015,Sime Darby Berhad,8.36,,
30/10/2015,Telekom Malaysia Bhd,6.66,,
30/10/2015,Tenaga Nasional Bhd,12.66,,
30/10/2015,Umw Holdings Bhd,8.22,,
30/10/2015,YTL Corp Bhd,1.51,,
30/10/2015,YTL Power International Bhd,1.51,,
,
New Zealand Exchange,
Quoted in NZ Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Air New Zealand Ltd,2.91,,
30/10/2015,AMP Ltd,6.25,,
30/10/2015,AMP NZ Office Ltd,1.22,,
27/10/2015,Apn News & Media Ltd,.61,,
30/10/2015,Auckland International Airport Ltd,5.26,,
30/10/2015,Australia and New Zealand Banking Group Ltd,28.74,,
