ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5515.5 at 2014-04-24T16:40:36. Report at Thursday, April 24, 2014. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AUT,5517.50,253.855,159.230,1.827,1.42,2.87,29.02,14.0,-,-,-,,Aurora Oil & Gas,,4.07,-2,4.07,4.09,4.09,4.07,-1.79,4.23,2.62,,
ANW,140.000,15.971,11.618,.004,-,-,-.34,-,-,-,-,,Aus Tin Mining,,.006,-,.006,.007,.006,.006,-1.30,.014,.004,,
AUC,53.493,27.616,5.315,.009,-,-,-3.49,-,-,-,-,,Ausgold,,.038,-,.038,.05,.04,.038,-1.30,.081,.01,,
AUCO,-,7.768,-,.002,-,-,-,-,-,-,-,,  opt may15,,.02,-,.018,.025,.02,.02,-1.30,.04,.015,,
AOA,-,13.461,.525,-,-,-,-.83,-,-,-,-,,Ausmon Resources,,.009,-,.007,.01,.009,.009,-1.30,.016,.006,,
AQC,2979.40,116.468,114.605,.004,-,-,-.27,-,-,-,-,,Aust Pacific Coal,,.005,-,.005,.006,.005,.005,-1.30,.018,.005,,
AQD,150.000,38.646,12.197,.003,-,-,-4.95,-,-,-,-,,AusQuest,,.011,-,.011,.012,.011,.011,-1.30,.042,.009,,
AQDO,-,7.384,-,-,-,-,-,-,-,-,-,,  opt nov16,,.004,-,.004,.006,.004,.004,-1.30,.02,.004,,
ABZ,211.248,28.126,4.738,.026,-,-,-1.51,-,-,-,-,,Aust Bauxite,,.205,-,.20,.21,.21,.20,-1.30,.29,.15,,
AKA,112.620,3.706,5.055,.009,-,-,-1.10,-,-,-,-,,Aust Minerals &  Min,,.086,-.2,.086,.09,.088,.085,-3.57,.18,.075,,
AUZ,505.500,32.713,36.666,.004,-,-,-1.25,-,-,-,-,,Aust Mines,,.006,-,.006,.007,.006,.005,-1.30,.013,.003,,
AOC,-,6.706,9.674,.011,-,-,-.03,-,-,-,-,,Aust Oil Co,,.125,-,.125,.13,.125,.125,-1.30,.165,.023,,
ARW,2.895,1.516,132.889,.022,.54,.96,-6.06,-,-,-,-,,Aust Renewable,†,.52,+2,.52,.535,.52,.50,+2.70,1.50,.35,,
AOK,632.658,91.011,119.624,.075,-,-,-.26,-,-,-,-,,AusTex Oil,,.17,+.5,.165,.17,.17,.162,+1.73,.195,.11,,
AKK,99568.3,664.529,901.099,.022,-,-,-.08,-,-,-,-,,Austin Explore,,.011,-,.011,.012,.012,.01,-1.30,.02,.009,,
APG,2623.00,41.313,48.624,.023,-,-,-.33,-,-,-,-,,Austpac Res,,.02,-.1,.02,.021,.02,.02,-6.06,.04,.013,,
AGD,-,.852,.217,.015,-,-,-.83,-,-,-,-,,Austral Gold,,.09,-,.072,.09,.09,.09,-1.30,.19,.085,,
AVI,4324.96,89.266,12.686,.012,-,-,-.52,-,-,-,-,,Avalon Minerals,,.01,-.5,.01,.011,.015,.01,-34.63,.039,.006,,
AVB,2399.08,155.709,168.966,.092,-,-,-.16,-,-,-,-,,Avanco Res,,.068,-.1,.068,.069,.069,.067,-2.75,.10,.05,,
AVY,175.000,1.910,1.196,.001,-,-,-14.87,-,-,-,-,,Avenue Res,,.018,-,.018,.02,.018,.018,-1.30,.07,.018,,
AVZ,-,4.955,6.468,.002,-,-,-.17,-,-,-,-,,AVZ Minerals,,.007,-,.007,.008,.007,.007,-1.30,.01,.005,,
AWE,7806.73,173.885,179.974,.847,1.61,1.01,16.96,9.6,-,-,-,f,AWE,,1.62,+11,1.61,1.62,1.625,1.505,+5.99,1.625,1.13,,
AXC,80.000,8.110,17.130,.001,-,-,-2.85,-,-,-,-,,AXG Mining,†,.005,-.2,.005,.007,.005,.005,-29.87,.021,.001,,
AVQ,8799.23,518.314,443.805,.038,-,-,-.61,-,-,-,-,,Axiom Min,,.013,+.1,.013,.014,.014,.013,+7.04,.025,.01,,
AZK,-,6.800,6.099,.006,.06,.50,-1.93,-,-,-,-,,Aziana,,.03,-,.025,.039,.03,.03,-1.30,.08,.025,,
APY,898.159,37.785,189.535,.020,-,-,-24.91,-,-,-,-,,Azonto Petroleum,,.017,-.3,.017,.019,.019,.017,-16.30,.06,.015,,
AZM,959.286,79.077,87.098,.016,-,-,-3.00,-,-,-,-,,Azumah Res,,.046,+.1,.044,.045,.047,.043,+.92,.069,.021,,
AZS,4149.63,143.468,1366.72,.024,-,-,-.56,-,-,-,-,,Azure Minerals,,.033,-,.033,.034,.034,.032,-1.30,.071,.025,,
BMB,2335.27,27.113,13.902,.041,-,-,-3.21,-,-,-,-,,Balamara Res,,.12,+.5,.115,.13,.145,.105,+3.05,.16,.06,,
BND,567.231,42.331,105.126,.053,-,-,-1.43,-,-,-,-,,Bandanna Energy,,.10,-,.10,.105,.105,.10,-1.30,.29,.097,,
BMN,1284.03,38.510,24.397,.029,-,-,-1.16,-,-,-,-,,Bannerman Res,,.089,+.3,.082,.089,.095,.083,+2.19,.135,.045,,
BKP,265.733,135.316,125.017,.004,-,-,.01,20.0,-,-,-,,Baraka Energy,,.002,-,.002,.003,.002,.002,-1.30,.007,.002,,
BAR,93.060,7.239,5.415,.002,-,-,-.37,-,-,-,-,,Barra Res,,.006,-,.006,.007,.006,.005,-1.30,.014,.005,,
BSE,4.154,29.852,41.325,.230,-,-,-1.76,-,-,-,-,,Base Res,,.41,-2,.41,.425,.43,.41,-5.95,.50,.29,,
BSM,5459.55,19.993,160.503,-,-,-,-1.15,-,-,-,-,,Bass Metals,,.003,-.1,.003,.004,.004,.003,-26.30,.016,.003,,
BSMO,-,-,6.100,-,-,-,-,-,-,-,-,,  opt sep14,,.001,-,-,.001,.001,.001,-1.30,.001,.001,,
BAS,100.000,125.139,14.568,.003,-,-,-.92,-,-,-,-,,Bass Strait Oil Co,,.006,-,.006,.007,.006,.006,-1.30,.013,.004,,
BSR,1623.13,145.224,54.050,.008,-,-,-.25,-,-,-,-,,Bassari Res,,.008,+.1,.007,.008,.008,.007,+12.99,.018,.005,,
BRL,2150.23,111.885,-,.053,-,-,-,-,-,-,-,,Bathurst Res NZ,,.064,+.2,.063,.067,.065,.062,+1.93,.277,.062,,
BAU,240.000,15.269,20.088,.028,-,-,-2.23,-,-,-,-,,Bauxite Resources,,.12,-1,.12,.135,.13,.12,-8.99,.155,.10,,
BBX,-,1.269,2.385,.002,-,-,-1.13,-,-,-,-,,BBX Minerals,,.015,-,.001,.012,.015,.015,-1.30,.025,.009,,
BBXO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,.011,-,-,.01,.011,.011,-1.30,.011,.011,,
