ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BSM,3359.51,147.570,124.679,.004,-,-,-.22,-,-,-,-,,Bass Metals,-,.011,+.1,.011,.012,.011,.008,+8.08,.013,.002,
BAS,1232.88,45.465,156.399,.002,-,-,-.14,-,-,-,-,,Bass Strait Oil Co,-,.003,-,.003,.004,.003,.003,-1.92,.008,.003,
BSR,6200.46,249.100,560.276,.018,-,-,-.14,-,-,-,-,,Bassari Res,-,.013,+.2,.012,.013,.013,.011,+16.26,.019,.009,
BRL,1151.00,180.658,334.076,.016,-,-,-,-,-,-,-,,Bathurst Res NZ,-,.017,-.1,.017,.018,.018,.017,-7.48,.059,.011,
BAU,642.519,25.451,68.712,.014,-,-,-4.21,-,-,-,-,,Bauxite Resources,-,.06,+.1,.059,.06,.061,.059,-.23,.14,.052,
BBX,926.459,64.790,17.806,.003,-,-,-.45,-,-,-,-,,BBX Minerals,-,.018,-.5,.018,.021,.023,.018,-23.66,.024,.006,
BCI,2935.24,327.713,199.852,.046,.68,.35,-90.66,-,15.00,-,63.83,f,BC Iron,-,.235,-1,.23,.245,.255,.23,-6.00,1.95,.215,
BPT,48920.9,1317.48,1068.24,.702,1.04,.52,-39.64,-,.50,-,.93,f,Beach Energy,-,.54,-4,.54,.545,.582,.50,-8.82,1.505,.50,
BCN,500.000,186.419,185.419,.004,-,-,.12,2.5,-,-,-,,Beacon Minerals,-,.003,-,.003,.004,.003,.003,-1.92,.006,.003,
BCNO,-,21.842,63.012,-,-,-,-,-,-,-,-,,  opt sep15,-,.001,-,-,.001,.001,.001,-1.92,.002,.001,
BDR,28453.8,1139.51,1018.11,.108,.18,.75,-4.30,-,1.00,-,7.41,,Beadell Resources,-,.135,+2,.13,.135,.147,.105,+15.47,.465,.10,
BKY,654.109,35.226,21.463,.078,-,-,-4.08,-,-,-,-,,Berkeley Res,-,.43,+3,.43,.44,.43,.38,+5.58,.43,.19,
BGD,580.000,86.524,-,.004,-,-,-.75,-,-,-,-,,BGD Corp,-,.013,-,.012,.013,.013,.013,-1.92,.736,.008,
BHP,37600.8,1478.65,1230.44,78.558,16.20,1.51,46.74,52.3,168.60,.28,6.89,f,BHP Billiton,-,24.46,+75,24.39,24.55,24.64,23.38,+1.24,32.208,22.41,
BIG,192.434,18.979,54.941,.011,.02,9.50,-9.80,-,-,-,-,,Big UN,X,.19,+1,.185,.19,.19,.185,+3.63,.34,.006,
BGS,5955.05,314.222,319.699,.006,-,-,-.56,-,-,-,-,,Birimian Gold,-,.006,-,.006,.007,.006,.006,-1.92,.021,.006,
BGSO,-,.117,-,-,-,-,-,-,-,-,-,,  opt jun18,-,.003,-,.001,.005,.003,.003,-1.92,.003,.003,
BMZ,-,24.329,6.349,.002,-,-,-10.24,-,-,-,-,,Black Mountain,-,.006,-,-,-,.006,.006,-1.92,.021,.001,
BOK,352.566,6.012,123.761,.009,-,-,-28.32,-,-,-,-,,Black Oak Minerals,X,.215,-.5,.21,.225,.225,.21,-4.20,.57,.205,
BLR,-,871.209,441.745,.006,-,-,-.72,-,-,-,-,,Black Range Min,-,.002,-,-,-,.002,.002,-1.92,.006,.001,
BRD,-,106.614,117.040,.001,-,-,-.04,-,-,-,-,,Black Ridge Min,-,.001,-,.001,.002,.001,.001,-1.92,.004,.001,
BKT,493.238,38.921,1360.03,.010,-,-,-.14,-,-,-,-,,Black Rock Min,X,.049,+.4,.042,.046,.049,.04,+6.97,.059,.002,
BKTOC,-,1.625,-,-,-,-,-,-,-,-,-,,  opt mar17,-,.008,-,.008,.013,.008,.008,-1.92,.01,.007,
BSP,-,18.619,1.900,-,-,-,-3.11,-,-,-,-,,Black Star Pet,-,.001,-,.001,.002,.001,.001,-1.92,.006,.001,
BSPO,-,-,-,.005,-,-,-,-,-,-,-,,  opt dec17,-,.05,-,-,.001,.05,.05,-1.92,.05,.05,
BGG,56.823,5.186,10.034,.030,.25,.14,1.28,2.7,-,-,-,,Blackgold Int'l,-,.034,-.3,.032,.037,.037,.032,-10.03,.094,.032,
