ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 17, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5159.8 at 2013-05-17T16:40:36. Report at Friday, May 17, 2013. Processed Saturday at 2013-05-18T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AUZ,689.817,38.936,64.854,.007,-,-,-.15,-,-,-,-,,Aust Mines,,.01,-.1,.01,.012,.011,.01,-8.49,.03,.01,,
AUZO,-,5.511,3.130,-,-,-,-,-,-,-,-,,  opt jun13,,.002,-,-,.001,.002,.002,+.60,.008,.001,,
AOC,409.449,10.655,9.597,.003,-,-,-1.70,-,-,-,-,,Aust Oil Co,,.033,-.8,.03,.04,.041,.03,-18.91,.265,.03,,
ARW,10177.0,161.356,300.982,.034,.01,.80,.03,26.7,-,-,-,,Aust Renewable,,.008,+.1,.007,.008,.008,.007,+14.89,.013,.007,,
AOK,3721.70,138.903,69.731,.058,-,-,-1.00,-,-,-,-,,AusTex Oil,,.135,+.5,.13,.135,.14,.125,+4.45,.175,.093,,
AKK,51478.2,1006.82,1319.33,.024,-,-,-.17,-,-,-,-,,Austin Explore,,.015,-,.014,.015,.016,.012,+.60,.033,.012,,
AKKOA,-,261.517,504.960,-,-,-,-,-,-,-,-,,  opt jul13,,.001,-,-,.001,.001,.001,+.60,.005,.001,,
APG,1493.75,54.834,53.448,.021,-,-,.55,3.5,-,-,-,,Austpac Res,,.019,-,.018,.019,.019,.017,+.60,.042,.015,,
AGD,10.000,.233,1.748,.032,-,-,-5.81,-,-,-,-,,Austral Gold,,.19,+5,.14,.19,.19,.14,+36.32,.22,.13,,
AVI,233.500,14.696,74.195,.010,-,-,-2.55,-,-,-,-,,Avalon Minerals,,.021,-,.018,.021,.037,.037,+.60,.14,.037,,
AVB,8491.22,194.391,351.484,.075,-,-,-.21,-,-,-,-,,Avanco Res,,.067,+.2,.066,.067,.067,.06,+3.78,.135,.048,,
AVY,273.945,1.589,2.717,.002,-,-,-9.46,-,-,-,-,,Avenue Res,,.045,-.5,.045,.065,.05,.045,-9.40,.20,.045,,
AVA,378.854,46.366,23.050,.018,-,-,6.58,1.6,-,-,-,,Aviva Corp,,.105,-1,.10,.13,.12,.11,-7.73,.185,.071,,
AYE,91.336,6.050,2.631,.004,-,-,-4.11,-,-,-,-,,Avocet Res,,.036,-,.035,.036,.037,.036,+.60,.073,.029,,
AVZ,330.000,8.023,5.321,.003,-,-,-3.65,-,-,-,-,,AVZ Minerals,,.009,-,.009,.01,.009,.009,+.60,.033,.009,,
AWE,4587.91,201.537,239.133,.621,1.43,.83,-15.91,-,-,-,-,f,AWE,,1.19,-7.5,1.185,1.205,1.265,1.175,-5.35,1.725,1.105,,
AXC,146.506,21.577,77.701,.001,-,-,-.40,-,-,-,-,,AXG Mining,,.002,-.1,.001,.002,.003,.002,-32.73,.006,.001,,
AVQ,27636.4,549.620,431.508,.038,-,-,-.40,-,-,-,-,,Axiom Min,,.017,+.1,.016,.017,.017,.015,+6.85,.038,.006,,
AZK,-,6.148,7.811,.007,.08,.88,-2.55,-,-,-,-,,Aziana,,.07,-,.055,.06,.07,.07,+.60,.20,.036,,
AZKO,-,.205,1.386,-,-,-,-,-,-,-,-,,  opt sep13,,.005,-,-,.005,.005,.005,+.60,.031,.005,,
AZH,2203.62,114.358,172.707,.125,-,-,-1.12,-,-,-,-,,Azimuth Res,,.29,-3.5,.28,.29,.325,.27,-10.17,.515,.215,,
AZM,3554.65,94.806,95.713,.016,-,-,-7.30,-,-,-,-,,Azumah Res,,.049,-.3,.049,.05,.057,.048,-5.17,.255,.048,,
AZS,11769.6,1406.02,32.303,.020,-,-,-.70,-,-,-,-,,Azure Minerals,,.032,-.7,.032,.033,.039,.032,-17.35,.096,.015,,
BMB,131.896,14.576,739.473,.020,-,-,-6.52,-,-,-,-,,Balamara Res,†,.077,-.3,.072,.084,.088,.085,-2.81,.18,.013,,
BND,5060.60,124.388,218.573,.069,-,-,-1.17,-,-,-,-,,Bandanna Energy,,.13,-2,.125,.13,.155,.12,-13.68,.465,.105,,
BMN,586.706,26.778,67.205,.018,-,-,-2.76,-,-,-,-,,Bannerman Res,,.058,-.2,.056,.058,.058,.055,-2.85,.17,.055,,
BNX,10.500,.885,-,.002,-,-,-1.25,-,-,-,-,,Bannon,,.12,-,.10,.12,.12,.12,+.60,.281,.12,,
BNXO,-,.155,-,-,-,-,-,-,-,-,-,,  opt aug15,,.03,-,.015,.055,.03,.03,+.60,.045,.03,,
BKP,2751.28,134.257,414.715,.008,-,-,-.02,-,-,-,-,,Baraka Energy,,.004,-,.004,.005,.005,.004,+.60,.016,.004,,
BAR,13.103,6.203,21.009,.004,-,-,-.15,-,-,-,-,,Barra Res,,.011,-,.011,.012,.011,.011,+.60,.025,.011,,
BAC,395.000,3.946,2.189,.001,-,-,-3.75,-,-,-,-,,Baru Resources,,.04,-1,.04,.05,.05,.04,-19.40,.085,.04,,
BACO,-,.142,.645,-,-,-,-,-,-,-,-,,  opt dec16,,.01,-,.005,.019,.01,.01,+.60,.021,.008,,
BSE,426.076,43.769,73.172,.219,-,-,-1.89,-,-,-,-,,Base Res,,.39,-4.5,.39,.395,.42,.35,-10.51,.543,.22,,
BSM,1038.94,160.005,130.039,.003,-,-,-2.24,-,-,-,-,,Bass Metals,,.01,-,.01,.011,.01,.009,+.60,.02,.004,,
BSMO,-,6.100,35.914,-,-,-,-,-,-,-,-,,  opt sep14,,.001,-,-,.001,.001,.001,+.60,.002,.001,,
BAS,.192,17.452,93.035,.004,-,-,-.14,-,-,-,-,,Bass Strait Oil Co,,.008,-,.008,.01,.008,.008,+.60,.02,.007,,
BSR,1580.00,59.466,152.443,.008,-,-,-.38,-,-,-,-,,Bassari Res,,.012,-.4,.012,.013,.016,.012,-24.40,.051,.012,,
BTU,4805.00,339.080,345.854,.126,-,-,-1.44,-,-,-,-,,Bathurst Res,,.18,-4.5,.175,.185,.23,.175,-18.96,.51,.147,,
BAU,4188.15,27.164,19.606,.029,-,-,-2.62,-,-,-,-,,Bauxite Resources,,.125,+.5,.12,.13,.145,.12,+4.77,.15,.095,,
BBX,63.000,2.460,.950,.001,-,-,-1.71,-,-,-,-,,BBX Minerals,,.017,-,.011,.017,.017,.017,+.60,.175,.011,,
BBXO,-,-,.005,-,-,-,-,-,-,-,-,,  opt jun14,,.011,-,-,.01,.011,.011,+.60,.03,.011,,
BCI,1005.51,42.724,13.325,.398,-,-,52.77,6.1,20.00,2.64,6.19,f,BC Iron,,3.23,-25,3.23,3.27,3.49,3.20,-6.58,4.18,2.24,,
BCD,740.000,10.941,146.221,.004,.08,.46,.46,8.0,-,-,-,,BCD Res,†,.037,-.2,.037,.04,.039,.037,-4.53,.09,.032,,
BPT,19804.8,709.386,1108.65,1.616,1.30,.98,12.83,9.9,2.25,5.70,1.76,f,Beach Energy,,1.275,-8.5,1.275,1.295,1.335,1.245,-5.76,1.562,.88,,
BHU,3.496,4.462,3.231,-,-,-,-8.22,-,-,-,-,,Beacon Hill Res,,.11,-,.08,.16,.11,.11,+.60,.255,.09,,
BCN,6552.55,79.757,315.969,.004,-,-,-.11,-,-,-,-,,Beacon Minerals,,.003,-,.003,.004,.004,.003,+.60,.008,.002,,
BCNO,80.000,11.344,-,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,.001,.002,.001,.001,+.60,.003,.001,,
BDR,23810.1,571.223,347.265,.492,-,-,-6.00,-,-,-,-,,Beadell Resources,,.625,-11,.62,.625,.73,.605,-14.36,1.135,.562,,
BKY,655.459,21.356,53.907,.051,-,-,-5.68,-,-,-,-,,Berkeley Res,,.285,-2.5,.265,.285,.31,.27,-7.46,.54,.26,,
BEZ,890.500,8.488,15.113,.012,-,-,-,-,-,-,-,,Besra Gold,,.07,-.5,.065,.08,.075,.065,-6.06,.30,.065,,
BHP,37923.2,800.469,1088.94,110.514,11.33,3.04,176.90,19.5,110.65,1.60,3.22,f,BHP Billiton,,34.41,-34,34.37,34.45,34.67,33.58,-.38,39.34,30.09,,
BGS,165399,4580.72,7.976,.018,-,-,-2.44,-,-,-,-,,Birimian Gold,,.025,-.8,.024,.026,.035,.023,-23.64,.039,.004,,
BFE,18.209,8.593,7.809,.002,-,-,-2.65,-,-,-,-,,Black Fire Minerals,,.011,-.2,.013,.014,.013,.011,-14.78,.14,.011,,
BMZ,199.556,3.066,16.266,.011,-,-,-3.56,-,-,-,-,,Black Mountain,,.13,-1,.13,.135,.145,.12,-6.29,.30,.12,,
BMZO,1151.94,3.813,1.550,-,-,-,-,-,-,-,-,,  opt may15,,.025,-,.026,.03,.03,.025,+.60,.105,.025,,
BLR,2376.71,731.091,159.204,.015,-,-,-.42,-,-,-,-,,Black Range Min,,.009,-.1,.009,.01,.011,.009,-9.40,.024,.005,,
BRD,100.000,86.110,167.035,-,-,-,-.15,-,-,-,-,,Black Ridge Min,,.001,-,.001,.002,.001,.001,+.60,.005,.001,,
BSP,350.000,3.209,1.456,.009,-,-,-1.96,-,-,-,-,,Black Star Pet,,.165,+1,.13,.165,.165,.16,+7.05,.215,.10,,
BSPO,-,.183,-,.002,-,-,-,-,-,-,-,,  opt dec17,,.05,-,.01,.045,.05,.05,+.60,.05,.05,,
