ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 1, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5100.9 at 2013-03-01T16:53:05. Report at Friday, March 1, 2013. Processed Monday at 2013-03-04T12:05:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AVI,-,7.910,16.728,.033,-,-,-1.80,-,-,-,-,,Avalon Minerals,,.07,-,.063,.067,.07,.07,-1.27,.165,.06,,
AVB,8559.20,113.585,218.412,.086,-,-,-.17,-,-,-,-,,Avanco Res,,.077,+.3,.075,.077,.078,.071,+2.78,.135,.048,,
AVY,-,.015,1.716,.006,-,-,-9.39,-,-,-,-,,Avenue Res,,.10,-,.071,.10,.10,.10,-1.27,.35,.10,,
AVA,912.402,20.692,11.055,.023,-,-,-1.44,-,-,-,-,,Aviva Corp,,.13,-,.13,.135,.135,.125,-1.27,.14,.071,,
AYE,-,3.591,.914,.006,-,-,-2.14,-,-,-,-,,Avocet Res,,.06,-,.055,.065,.06,.06,-1.27,.093,.04,,
AVZ,416.000,2.646,1.242,.004,-,-,-3.65,-,-,-,-,,AVZ Minerals,,.012,-.2,.012,.013,.012,.012,-15.56,.055,.012,,
AWE,15070.1,117.162,91.228,.689,1.43,.92,-15.91,-,-,-,-,f,AWE,,1.32,-3,1.315,1.325,1.395,1.27,-3.50,1.995,1.135,,
AXC,836.506,11.171,23.765,.001,-,-,-.80,-,-,-,-,,AXG Mining,,.002,-.1,.002,.003,.003,.002,-34.61,.011,.001,,
AVQ,15269.3,248.090,124.770,.039,-,-,-.40,-,-,-,-,,Axiom Min,,.019,-,.018,.019,.02,.018,-1.27,.038,.006,,
AZK,-,.290,3.198,.007,-,-,-.50,-,-,-,-,,Aziana,,.071,-,.05,.068,.071,.071,-1.27,.24,.071,,
AZKO,-,.205,.933,-,-,-,-,-,-,-,-,,  opt sep13,,.005,-,-,.015,.005,.005,-1.27,.05,.005,,
AZH,1163.66,45.390,58.918,.099,-,-,-1.12,-,-,-,-,,Azimuth Res,,.23,-.5,.225,.235,.255,.225,-3.40,.96,.22,,
AZM,2654.59,65.047,23.175,.027,-,-,-7.90,-,-,-,-,,Azumah Res,,.08,-.2,.079,.08,.086,.078,-3.71,.38,.069,,
AZS,99294.1,1244.20,12.102,.042,-,-,-.90,-,-,-,-,,Azure Minerals,,.075,-.6,.074,.075,.084,.073,-8.68,.096,.015,,
BMB,1005.92,8.005,271.953,.025,-,-,-5.39,-,-,-,-,,Balamara Res,†,.10,-1,.10,.105,.12,.10,-9.97,.18,.013,,
BND,1574.91,45.218,152.265,.129,-,-,.61,40.2,-,-,-,,Bandanna Energy,,.245,+1,.245,.25,.26,.24,+2.81,.815,.22,,
BMN,259.144,17.817,34.581,.030,-,-,-2.76,-,-,-,-,,Bannerman Res,,.097,-,.097,.10,.10,.096,-1.27,.24,.061,,
BNX,-,.548,-,.004,-,-,-,-,-,-,-,,Bannon,,.20,-,.15,.19,.20,.20,-1.27,.281,.128,,
BNXO,-,.095,-,-,-,-,-,-,-,-,-,,  opt aug15,,.045,-,.024,.055,.045,.045,-1.27,.045,.035,,
BKP,3735.30,58.700,165.037,.012,-,-,-.03,-,-,-,-,,Baraka Energy,,.006,-.1,.006,.007,.007,.006,-15.56,.02,.005,,
BAR,188.464,3.501,10.532,.006,-,-,.01,160.0,-,-,-,,Barra Res,,.016,-,.016,.018,.016,.016,-1.27,.036,.013,,
BAC,304.194,.550,1.568,.002,-,-,-3.03,-,-,-,-,,Baru Resources,,.048,-1.7,.05,.063,.064,.047,-27.43,.135,.045,,
BACO,-,-,.523,-,-,-,-,-,-,-,-,,  opt dec16,,.015,-,.006,.022,.015,.015,-1.27,.05,.01,,
BSE,841.588,24.068,18.848,.210,-,-,.08,468.8,-,-,-,,Base Res,,.375,-,.36,.38,.38,.355,-1.27,.588,.22,,
BSM,9952.31,139.554,6.054,.003,-,-,-20.68,-,-,-,-,,Bass Metals,,.01,-.2,.01,.012,.015,.011,-16.66,.083,.004,,
BSMO,-,3.850,.476,-,-,-,-,-,-,-,-,,  opt sep14,,.001,-,-,.001,.001,.001,-1.27,.033,.001,,
BAS,238.458,5.830,25.732,.008,-,-,-1.20,-,-,-,-,,Bass Strait Oil Co,,.015,-.2,.015,.017,.018,.015,-13.04,.028,.014,,
BSR,2477.27,31.143,45.154,.014,-,-,-3.95,-,-,-,-,,Bassari Res,,.025,-.1,.026,.027,.025,.022,-5.62,.068,.022,,
BTU,11864.2,122.590,168.219,.223,-,-,-3.12,-,-,-,-,,Bathurst Res,,.32,+.5,.315,.325,.35,.325,+.22,.87,.26,,
BAU,958.655,15.000,9.643,.028,-,-,-2.90,-,-,-,-,,Bauxite Resources,,.12,-1,.12,.125,.13,.12,-8.97,.16,.095,,
BBX,45.750,.442,-,.002,-,-,-1.34,-,-,-,-,,BBX Minerals,,.03,-1,.03,.04,.04,.03,-26.27,.24,.03,,
BBXO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,.011,-,-,.012,.011,.011,-1.27,.03,.011,,
BCI,2535.63,17.525,6.746,.495,-,-,52.77,7.6,20.00,2.64,4.96,f,BC Iron,,4.03,+17,4.00,4.12,4.18,3.82,+3.13,4.18,2.24,,
BCD,466.524,2.068,59.685,.005,.15,.29,-7.02,-,-,-,-,,BCD Res,†,.044,-.5,.044,.046,.049,.044,-11.48,.09,.044,,
BPT,51597.3,318.163,289.093,1.813,1.30,1.10,12.83,11.2,2.25,5.70,1.57,f,Beach Energy,,1.435,+12,1.43,1.44,1.435,1.305,+7.99,1.620,.88,,
BHU,48.000,.118,-,.007,.07,2.14,-.82,-,-,-,-,,Beacon Hill Res,,.15,-,.10,.16,.16,.15,-1.27,.32,.09,,
BCN,9214.23,34.514,166.173,.006,-,-,-.09,-,-,-,-,,Beacon Minerals,,.004,-,.004,.005,.005,.004,-1.27,.014,.004,,
BCNO,84.000,3.492,-,-,-,-,-,-,-,-,-,,  opt sep15,,.002,-,.002,.003,.002,.002,-1.27,.003,.001,,
BDR,26819.7,214.811,115.893,.583,-,-,-5.40,-,-,-,-,,Beadell Resources,,.785,-2.5,.78,.79,.86,.775,-4.36,1.135,.52,,
BKY,1534.39,10.656,29.849,.089,-,-,-7.70,-,-,-,-,,Berkeley Res,,.495,-1,.485,.495,.525,.47,-3.25,.54,.315,,
BKYO,8.458,.200,.145,-,-,-,-,-,-,-,-,,  opt may13,,.03,-1,.015,.03,.04,.03,-26.27,.11,.03,,
BEZ,602.757,2.860,5.260,.026,-,-,-,-,-,-,-,,Besra Gold,,.17,-,.17,.24,.18,.17,-1.27,.34,.145,,
