ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4842.6 at 16:47 16/10/2009  Report at 15:29 Saturday 17/10/2009. Processed 17:07 Sunday 18/10/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AOE,14682.8,829.22,786.159,3.237,0.82,5.4,52,8.5,-,-,-,,Arrow Energy,,4.42,16,4.41,4.43,4.52,4.18,1.90,4.73,1.845
ARV,1107,22.916,9.801,0.012,-,-,-8.47,-,-,-,-,,Artemis Res,,0.095,,0.095,0.096,0.10,0.093,-1.85,0.205,0.027
ARVOB,-,-,-,-,-,-,-,-,-,-,-,,  opt jun11,,-,,0.025,-,-,-,-,-,-
ATN,262696,360.037,43.937,0.031,-,-,-0.78,-,-,-,-,,Ashburton Min,,0.074,3.4,0.072,0.074,0.099,0.06,83.15,0.099,0.004
ATNO,14260.3,39.573,-,0.005,-,-,-,-,-,-,-,,  opt dec09,,0.063,3.9,0.057,0.059,0.07,0.046,160.60,0.07,0.001
ATNOA,28931.4,45.676,25.007,0.002,-,-,-,-,-,-,-,,  opt feb10,,0.019,1.4,0.018,0.019,0.025,0.014,278.10,0.025,0.001
ARO,22177.7,170.69,207.991,0.008,-,-,-0.24,-,-,-,-,,Astro Res NL,,0.011,0.1,0.011,0.013,0.013,0.011,8.15,0.013,0.002
AROOA,-,-,-,-,-,-,-,-,-,-,-,,  opt dec09,,0.005,,-,0.05,0.005,0.005,-1.85,0.005,0.005
AROOB,500,27.454,142.548,-,-,-,-,-,-,-,-,,  opt nov12,,0.003,,0.002,0.004,0.003,0.003,-1.85,0.004,0.001
AHN,215,4.538,2.454,0.002,-,-,-4.08,-,-,-,-,,Athena Res,,0.04,,0.04,0.053,0.04,0.04,-1.85,0.056,0.017
AHNO,-,2.46,2.278,-,-,-,-,-,-,-,-,,  opt nov09,,0.002,,-,0.002,0.002,0.002,-1.85,0.02,0.001
ATV,2809.79,159.782,22.449,0.02,-,-,-0.74,-,-,-,-,,Atlantic Gold NL,,0.062,-0.6,0.065,0.066,0.071,0.062,-10.68,0.11,0.04
ATVCD,-,-,0.02,-,-,-,-,-,-,-,-,,  ctg,,0.011,,0.023,0.048,0.011,0.011,-1.85,0.07,0.011
ATVO,1602.22,10.319,0.411,-,-,-,-,-,-,-,-,,  opt oct09,,0.001,-0.1,0.001,0.003,0.002,0.001,-51.85,0.016,0.001
ATVOA,896.3,15.698,-,-,-,-,-,-,-,-,-,,  opt jan11,,0.025,-0.5,0.025,0.027,0.03,0.025,-18.52,0.045,0.016
AGO,16642,435.308,288.727,0.749,-,-,-21.3,-,-,-,-,,Atlas Iron Ltd,,1.875,15.5,1.85,1.875,1.875,1.685,7.16,2.10,0.405
AXY,1639.91,85.411,17.138,0.015,-,-,-3.02,-,-,-,-,,Atom Energy Ltd,,0.085,0.8,0.085,0.086,0.086,0.076,8.54,0.091,0.017
AXYO,-,6.741,19.613,-,-,-,-,-,-,-,-,,  opt oct10,,0.003,,0.005,0.01,0.003,0.003,-1.85,0.007,0.001
ATQ,1546,9.89,19.178,0.014,-,-,-4.7,-,-,-,-,,Atomic Res,,0.14,0.5,0.14,0.145,0.165,0.125,1.85,0.17,0.066
ATQO,238,1.902,1.908,-,-,-,-,-,-,-,-,,  opt aug11,,0.034,0.8,0.026,0.049,0.034,0.026,28.92,0.04,0.001
ACZ,-,1.441,5.076,0.005,-,-,-0.71,-,-,-,-,,Atticus Resource,,0.25,,0.21,0.24,0.25,0.25,-1.85,0.26,0.125
ACZO,-,0.84,4.331,0.001,-,-,-,-,-,-,-,,  opt sep12,,0.061,,0.062,0.10,0.061,0.061,-1.85,0.07,0.02
ADX,5950.97,164.85,102.255,0.034,-,-,-1.6,-,-,-,-,,Audax Res,,0.13,1.5,0.125,0.13,0.135,0.115,11.19,0.175,0.017
AUK,1461.01,18.739,10.648,0.005,-,-,-1.34,-,-,-,-,,Augur Res Ltd,,0.045,-0.5,0.046,0.055,0.055,0.045,-11.85,0.055,0.007
AUKO,-,0.309,0.463,-,-,-,-,-,-,-,-,,  opt jun10,,0.012,,0.002,-,0.012,0.012,-1.85,0.012,0.009
AUJ,64,4.159,9.456,0.007,-,-,0.26,65.4,-,-,-,,Augustus Min,,0.17,0.5,0.17,0.19,0.175,0.165,1.18,0.22,0.09
AEE,212.778,20.202,7.911,0.013,-,-,-4.46,-,-,-,-,,Aura Energy,,0.18,0.5,0.18,0.185,0.195,0.175,1.00,0.26,0.08
AGU,2604.48,70.189,6.452,0.007,-,-,-4.41,-,-,-,-,,Aurium Res,,0.033,-0.1,0.032,0.033,0.034,0.029,-4.79,0.075,0.011
AGUO,483,16.874,4.881,-,-,-,-,-,-,-,-,,  opt may10,,0.005,0.1,0.002,0.007,0.005,0.004,23.15,0.024,0.001
ARM,1277.03,31.918,8.731,0.035,-,-,-5,-,-,-,-,,Aurora Min Ltd,,0.435,-0.5,0.43,0.44,0.445,0.42,-2.99,0.48,0.05
AUT,341.284,18.13,39.661,0.055,-,-,-8.9,-,-,-,-,,Aurora Oil & Gas,,0.27,,0.27,0.275,0.275,0.24,-1.85,0.33,0.10
AXO,1325.66,46.011,59.096,0.058,-,-,-19.38,-,-,-,-,,Aurox Res,,0.30,1,0.295,0.30,0.335,0.27,1.59,0.49,0.07
AOA,172.3,1.597,-,0.005,-,-,-,-,-,-,-,,Ausmon Resources,,0.255,,0.245,0.255,0.265,0.255,-1.85,0.29,0.18
AOAO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,-,,-,-,-,-,-,-,-
AQD,611.741,38.121,49.69,0.041,-,-,-1.92,-,-,-,-,,Ausquest Ltd,,0.18,1,0.18,0.185,0.18,0.17,4.03,0.195,0.08
AQDOA,295.356,9.625,30.383,-,-,-,-,-,-,-,-,,  opt nov09,,0.008,-0.2,0.009,0.012,0.011,0.008,-21.85,0.045,0.005
AQR,1163,10.131,17.572,0.011,-,-,-0.9,-,-,-,-,,Aussie Q Res,,0.094,-0.6,0.09,0.094,0.10,0.093,-7.85,0.10,0.022
AGV,399.498,4.232,4.987,0.002,-,-,-2.4,-,-,-,-,,Aust Gold Invest,,0.045,0.6,0.045,0.05,0.045,0.039,13.53,0.115,0.03
AUZ,60793.5,1879.7,449.809,0.012,-,-,-0.75,-,-,-,-,,Aust Mines Ltd,,0.002,,0.001,0.002,0.002,0.002,-1.85,0.02,0.001
AUZO,500,25.308,-,0.001,-,-,-,-,-,-,-,,  opt jun13,,0.001,,-,0.001,0.001,0.001,-1.85,0.001,0.001
AOC,100,7.461,9.77,0.005,-,-,-4.1,-,-,-,-,,Aust Oil Co,,0.10,-2,0.11,0.12,0.11,0.10,-18.52,0.125,0.036
AOCO,189.1,4.025,8.48,-,-,-,-,-,-,-,-,,  opt dec09,,0.004,0.1,0.004,0.005,0.004,0.003,31.48,0.01,0.002
AOM,4504.41,34.739,97.436,0.017,-,-,-0.16,-,-,-,-,,Aust Oriental,,0.008,0.1,0.008,0.009,0.008,0.006,12.43,0.008,0.003
ARW,5908.76,240.748,222.205,0.006,0.01,1.1,-2.65,-,-,-,-,,Aust Renewable,,0.011,,0.011,0.012,0.012,0.011,-1.85,0.024,0.004
