ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AHK,-,1.311,3.002,.003,-,-,-1.21,-,-,-,-,,Ark Mines,,.079,-,.01,.04,.079,.079,-1.07,.095,.01,,
AJQ,-,61.791,100.398,.016,-,-,-.56,-,-,-,-,,Armour Energy,,.053,-,.051,.053,.053,.053,-1.07,.21,.048,,
ARV,238.333,119.786,435.134,.004,-,-,-.29,-,-,-,-,,Artemis Res,,.003,+.1,.002,.003,.003,.002,+48.93,.005,.002,,
ARVOA,-,15.439,33.847,-,-,-,-,-,-,-,-,,  opt aug16,,.002,-,-,.001,.002,.002,-1.07,.002,.001,,
ARVOB,-,.004,-,-,-,-,-,-,-,-,-,,  opt jul16,,.001,-,-,.002,.001,.001,-1.07,.001,.001,,
AAJ,-,35.092,17.163,.002,-,-,-.93,-,-,-,-,,Aruma Res,,.013,-,.01,.018,.013,.013,-1.07,.044,.013,,
AJY,-,.005,.116,.021,.03,8.00,-13.33,-,-,-,-,,Asaplus Res,,.24,-,-,-,.24,.24,-1.07,.245,.24,,
AZQ,-,18.650,12.599,.019,-,-,-16.72,-,-,-,-,,Ascot Res,†,.14,-,.11,.14,.14,.14,-1.07,.24,.14,,
AKM,56.976,73.153,244.691,.022,-,-,-.43,-,-,-,-,,Aspire Min,,.031,-,.031,.034,.034,.031,-1.07,.065,.029,,
ARO,504.995,12.260,120.152,-,-,-,-3.00,-,-,-,-,,Astro Res,†,.021,+1,.022,.025,.021,.011,+89.84,.10,.008,,
