ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:50 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BBX,7308.47,115.008,30.307,.024,-,-,-.66,-,-,-,-,,BBX Minerals,-,.12,-2,.115,.13,.18,.10,-12.44,.18,.006,
BCI,4052.78,345.999,275.541,.053,.68,.40,-90.66,-,15.00,-,55.56,f,BC Iron,-,.27,-3.5,.27,.275,.32,.255,-9.63,1.087,.215,
BPT,53788.9,1610.78,1338.34,.834,1.04,.62,-39.64,-,.50,-,.78,f,Beach Energy,-,.64,-4.5,.635,.65,.70,.61,-4.72,1.25,.455,
BCN,2602.00,202.253,196.247,.006,-,-,.34,1.2,-,-,-,,Beacon Minerals,-,.004,-,.003,.004,.004,.003,+1.85,.006,.003,
BDR,30283.0,1282.38,1212.19,.128,.18,.89,-4.30,-,1.00,-,6.25,,Beadell Resources,-,.16,-.5,.155,.16,.177,.145,-1.18,.385,.10,
BKY,608.403,40.908,22.093,.078,-,-,-4.36,-,-,-,-,,Berkeley Res,-,.43,+.5,.425,.48,.445,.415,+3.02,.475,.19,
BGD,952.866,111.598,-,.004,-,-,-.75,-,-,-,-,,BGD Corp,-,.014,+.1,.012,.015,.014,.011,+9.54,.736,.008,
BHP,41579.0,1737.59,1457.31,73.933,16.20,1.42,46.74,49.3,168.60,.28,7.32,f,BHP Billiton,-,23.02,-157,23.00,23.05,24.92,22.85,-4.54,31.692,21.61,
BIG,128.482,19.569,63.637,.012,.02,10.25,-9.80,-,-,-,-,,Big UN,X,.205,+.5,.195,.20,.21,.185,+4.35,.34,.006,
BGS,20462.9,387.727,365.007,.008,-,-,-.87,-,-,-,-,,Birimian Gold,-,.009,-,.009,.01,.01,.007,+1.85,.021,.006,
BGSO,-,.117,-,-,-,-,-,-,-,-,-,,  opt jun18,-,.003,-,-,.005,.003,.003,+1.85,.003,.003,
BOK,115.234,7.252,192.755,.010,-,-,-44.88,-,-,-,-,,Black Oak Minerals,X,.23,-.5,.215,.24,.24,.23,-.28,.45,.205,
BRD,8500.00,138.364,128.021,.001,-,-,-.16,-,-,-,-,,Black Ridge Min,-,.001,-,.001,.002,.001,.001,+1.85,.004,.001,
BKT,205.145,63.780,1495.04,.016,-,-,-.75,-,-,-,-,,Black Rock Min,X,.075,-.5,.07,.078,.08,.075,-4.40,.105,.002,
BKTOC,-,2.813,-,.002,-,-,-,-,-,-,-,,  opt mar17,-,.04,-,.02,.05,.04,.04,+1.85,.047,.007,
BSP,833.333,21.385,2.950,-,-,-,-2.36,-,-,-,-,,Black Star Pet,-,.001,-,.001,.002,.001,.001,+1.85,.005,.001,
BSPO,-,-,-,.005,-,-,-,-,-,-,-,,  opt dec17,-,.05,-,-,.001,.05,.05,+1.85,.05,.05,
BGG,292.565,6.487,10.626,.052,.25,.23,1.28,4.5,-,-,-,,Blackgold Int'l,-,.058,+1.5,.034,.08,.058,.046,+36.73,.09,.03,
BGGO,-,-,.049,.002,-,-,-,-,-,-,-,,  opt jul16,-,.017,-,-,.015,.017,.017,+1.85,.017,.017,
