ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 21, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4860.9 at 2011-01-21T16:38:33. Report at Friday, January 21, 2011. Processed Saturday at 2011-01-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ATQO,470.000,1.179,-,.009,-,-,-,-,-,-,-,,  opt aug11,,.295,+3.5,.27,.30,.295,.27,+14.43,.295,.015,,
ACZ,26.450,.136,.306,.005,-,-,-.05,-,-,-,-,,Atticus Resources,,.18,-,.18,.19,.18,.18,+.97,.24,.12,,
ACZO,46.450,.046,.200,.001,-,-,-,-,-,-,-,,  opt sep12,,.041,+.1,.041,.10,.05,.04,+3.47,.06,.03,,
AYA,175.523,.374,-,.009,-,-,-,-,-,-,-,,Attila Res Ltd,,.77,+16,.76,.80,.80,.63,+27.20,.80,.25,,
AUK,474.466,1.593,3.053,.033,-,-,-1.40,-,-,-,-,,Augur Res,,.24,-4,.245,.25,.30,.24,-13.31,.35,.09,,
AUJ,946.342,1.905,.060,.016,-,-,-2.15,-,-,-,-,,Augustus Min,,.35,-,.35,.36,.38,.32,+.97,.47,.15,,
AEE,7194.82,18.694,7.945,.059,-,-,-2.15,-,-,-,-,,Aura Energy,,.45,-.5,.44,.45,.52,.42,-.13,.52,.118,,
AGU,3629.20,10.378,5.379,.012,-,-,-1.86,-,-,-,-,,Aurium Res,,.04,-.2,.04,.041,.042,.039,-3.79,.044,.015,,
AGUOA,130.000,5.732,.250,.002,-,-,-,-,-,-,-,,  opt sep12,,.016,-,.012,.016,.016,.016,+.97,.02,.006,,
ARM,2315.39,13.857,8.790,.035,-,-,-8.33,-,-,-,-,,Aurora Minerals,,.34,-3,.335,.34,.37,.325,-7.14,1.26,.305,,
AUT,12370.5,30.473,2.941,1.026,-,-,-1.19,-,-,-,-,,Aurora Oil & Gas,,2.70,+9,2.70,2.76,2.78,2.55,+4.42,2.78,.27,,
AIW,18695.7,45.334,2.311,.023,-,-,-5.07,-,-,-,-,,Ausamerican Min,,.069,+.3,.068,.069,.077,.064,+5.52,.105,.03,,
AIWO,2082.66,7.761,-,.006,-,-,-,-,-,-,-,,  opt dec12,,.033,+.7,.028,.033,.034,.026,+27.89,.034,.02,,
AUC,1815.57,4.227,6.226,.088,-,-,-1.39,-,-,-,-,,Ausgold,,1.455,-7,1.455,1.46,1.64,1.395,-3.62,1.68,.12,,
AUCO,211.203,.969,-,.068,-,-,-,-,-,-,-,,  opt mar13,,1.30,-10,1.15,1.30,1.35,1.25,-6.17,1.40,.035,,
AOA,43.000,.093,.654,.008,-,-,-2.36,-,-,-,-,,Ausmon Resources,,.205,+6.5,.18,.21,.205,.14,+47.40,.31,.14,,
ANW,180.000,.234,-,.006,-,-,-,-,-,-,-,,Ausnico Ltd,,.16,-,.16,.17,.165,.15,+.97,.23,.145,,
AQD,1354.33,4.552,1.684,.039,-,-,-1.39,-,-,-,-,,Ausquest,,.17,+.5,.16,.18,.175,.155,+4.00,.22,.105,,
AQR,870.467,2.351,78.195,.064,-,-,-.79,-,-,-,-,,Aussie Q Res,,.44,-3,.435,.445,.48,.435,-5.41,.79,.26,,
ABZ,801.766,1.382,2.078,.028,-,-,-.49,-,-,-,-,,Aust Bauxite,,.62,-14,.62,.635,.75,.61,-17.45,.80,.29,,
AGV,2841.70,6.124,2.173,.027,-,-,-1.97,-,-,-,-,,Aust Gold Invest,,.21,-,.205,.225,.235,.19,+.97,.235,.015,,
AKA,1238.00,2.203,-,.009,-,-,-,-,-,-,-,,Aust Min Min,,.17,-,.17,.175,.18,.17,+.97,.235,.10,,
AKAO,800.250,3.142,-,.001,-,-,-,-,-,-,-,,  opt oct11,,.028,-,.028,.034,.028,.028,+.97,.04,.01,,
AUZ,34460.3,51.846,329.649,.010,-,-,-,-,-,-,-,,Aust Mines,†,.029,+.4,.029,.03,.037,.026,+16.97,.04,.018,,
AUZO,11661.3,15.885,.500,-,-,-,-,-,-,-,-,,  opt jun13,†,.01,+.4,.01,.011,.017,.006,+67.64,.017,.001,,
AOC,-,.210,.553,.008,-,-,-1.01,-,-,-,-,,Aust Oil Co,,.145,-,.13,.145,.145,.145,+.97,.16,.07,,
AOCOA,50.000,.275,.285,-,-,-,-,-,-,-,-,,  opt dec11,,.02,-.5,.02,.025,.025,.02,-19.03,.03,.007,,
AOM,3494.65,3.641,15.281,.007,-,-,-.16,-,-,-,-,,Aust Oriental,,.003,-,.002,.003,.003,.003,+.97,.005,.002,,
ARW,15656.8,71.813,47.456,.031,.01,2.5,-.45,-,-,-,-,,Aust Renewable,,.025,-,.025,.026,.027,.025,+.97,.029,.008,,
ARWO,1773.69,18.729,-,.009,-,-,-,-,-,-,-,,  opt dec11,,.016,-.1,.015,.017,.017,.016,-4.91,.02,.004,,
AOK,1598.76,4.951,13.475,.023,-,-,-1.72,-,-,-,-,,Austex Oil,,.115,+.5,.11,.115,.115,.105,+5.52,.216,.10,,
AOKO,72.198,.932,-,-,-,-,-,-,-,-,-,,  opt dec11,,.02,-,.02,.025,.02,.02,+.97,.04,.015,,
AKK,8201.60,67.105,42.104,.009,-,-,-2.06,-,-,-,-,,Austin Explore,,.03,-.2,.03,.031,.033,.03,-5.28,.071,.025,,
AKKO,245.000,1.210,8.584,-,-,-,-,-,-,-,-,,  opt nov11,,.006,-.2,.005,.008,.006,.006,-24.03,.023,.005,,
APG,19221.4,26.091,10.759,.034,-,-,.15,26.0,-,-,-,,Austpac Res,,.039,+.1,.039,.04,.047,.038,+3.60,.07,.031,,
AGD,-,.015,.102,.042,-,-,-5.40,-,-,-,-,,Austral Gold,,.25,-,.14,.23,.25,.25,+.97,.36,.095,,
AZX,4976.62,6.746,.178,.052,-,-,.45,122.2,-,-,-,,Auzex Res,,.55,-5,.545,.56,.595,.53,-7.36,.69,.09,,
AZXOA,46.417,.254,-,.004,-,-,-,-,-,-,-,,  opt feb12,,.32,-9,.32,.38,.365,.32,-20.98,.45,.03,,
AVI,2244.85,3.997,3.141,.040,-,-,-1.10,-,-,-,-,,Avalon Min,,.23,+.8,.23,.24,.235,.20,+4.73,.241,.145,,
AVB,52102.2,357.976,114.698,.126,-,-,-.24,-,-,-,-,,Avanco Res,,.165,-1,.165,.17,.185,.16,-4.74,.235,.014,,
AVBOB,6567.68,42.225,14.013,.027,-,-,-,-,-,-,-,,  opt apr12,,.15,-1,.15,.155,.16,.145,-5.28,.195,.006,,
AVY,47.500,.058,-,.004,-,-,-,-,-,-,-,,Avenue Res Ltd,,.25,+2.5,.25,.30,.25,.225,+12.08,.25,.21,,
AVA,5625.35,9.785,2.045,.031,-,-,-18.97,-,-,-,-,,Aviva Corp,,.23,+.5,.23,.235,.26,.22,+3.19,.26,.058,,
AVO,6412.17,15.035,9.809,.928,.93,3.3,20.82,14.7,-,-,-,,Avoca Res,,3.06,-29,3.05,3.06,3.29,3.06,-7.69,3.79,1.535,,
AVZ,1670.57,3.384,1.136,.017,-,-,-1.90,-,-,-,-,,Avonlea Min,,.20,-3.5,.19,.21,.24,.20,-13.92,.32,.07,,
