ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:07 Friday 28/5/2010. Processed 15:12 Sunday 30/5/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AXY,1672.49,61.035,17.131,0.009,-,-,-0.88,-,-,-,-,,Atom Energy Ltd,,0.042,0.4,0.042,0.045,0.045,0.042,6.98,0.125,0.034
AXYO,607.814,3.687,1.789,-,-,-,-,-,-,-,-,,  opt oct10,,0.001,,0.001,0.002,0.001,0.001,-3.54,0.01,0.001
ATQ,1045.96,25.338,2.542,0.013,-,-,-6.9,-,-,-,-,,Atomic Res,,0.135,-1,0.135,0.14,0.16,0.135,-10.44,0.185,0.092
ATQO,-,1.842,0.03,0.001,-,-,-,-,-,-,-,,  opt aug11,,0.035,,0.015,0.045,0.035,0.035,-3.54,0.04,0.001
ACZ,50.64,0.898,0.745,0.006,-,-,-0.49,-,-,-,-,,Atticus Resource,,0.19,2,0.12,0.19,0.19,0.17,8.22,0.26,0.12
ACZO,-,0.472,0.258,-,-,-,-,-,-,-,-,,  opt sep12,,0.03,,0.03,0.05,0.03,0.03,-3.54,0.09,0.03
ADX,11023.8,125.989,75.458,0.048,-,-,-0.89,-,-,-,-,,Audax Res,,0.165,0.5,0.16,0.165,0.19,0.15,-0.42,0.212,0.081
AUK,30,15.298,4.459,0.016,-,-,-0.82,-,-,-,-,,Augur Res Ltd,,0.15,-3,0.15,0.18,0.18,0.15,-20.21,0.25,0.016
AUKO,-,2.024,-,-,-,-,-,-,-,-,-,,  opt jun10,,0.03,,0.005,0.02,0.03,0.03,-3.54,0.045,0.009
AUJ,723.25,13.533,1.839,0.01,-,-,-0.66,-,-,-,-,,Augustus Min,,0.25,,0.235,0.27,0.26,0.235,-3.54,0.47,0.10
AUJO,939,3.201,-,0.001,-,-,-,-,-,-,-,,  opt jul10,,0.03,,0.025,0.04,0.04,0.024,-3.54,0.215,0.024
AEE,529.949,41.676,2.825,0.014,-,-,-3.57,-,-,-,-,,Aura Energy,,0.17,-0.5,0.16,0.18,0.175,0.155,-6.40,0.33,0.105
AGU,2741.84,66.261,1.104,0.007,-,-,-4.35,-,-,-,-,,Aurium Res,,0.023,0.3,0.022,0.023,0.024,0.02,11.46,0.075,0.02
AGUOA,-,12.29,-,0.001,-,-,-,-,-,-,-,,  opt sep12,,0.01,,0.007,0.009,0.01,0.01,-3.54,0.025,0.008
ARM,2766.92,51.257,3.065,0.067,-,-,-5.78,-,-,-,-,,Aurora Min Ltd,,0.64,8,0.64,0.67,0.70,0.525,10.74,1.26,0.135
AUT,2413.62,52.114,6.071,0.158,-,-,-1.8,-,-,-,-,,Aurora Oil & Gas,,0.715,-1,0.71,0.725,0.76,0.665,-4.92,0.83,0.11
AXO,3276.6,185.157,21.069,0.132,-,-,-7.57,-,-,-,-,,Aurox Res,,0.675,4.5,0.67,0.675,0.695,0.58,3.60,0.985,0.22
AIW,-,26.283,6.806,0.007,-,-,3.36,1.5,-,-,-,,Ausamerican Min,,0.049,,-,-,0.049,0.049,-3.54,0.155,0.045
AUC,71.438,16.318,-,0.007,-,-,-0.39,-,-,-,-,,Ausgold Ltd,,0.125,-0.5,0.125,0.16,0.14,0.125,-7.39,0.248,0.125
AUCO,-,9.489,-,0.002,-,-,-,-,-,-,-,,  opt mar13,,0.035,,0.035,0.059,0.035,0.035,-3.54,0.07,0.035
AOA,281.388,2.311,0.613,0.008,-,-,0.86,26.7,-,-,-,,Ausmon Resources,,0.23,3,0.225,0.245,0.25,0.22,11.46,0.34,0.18
AQD,943.916,20.501,21.692,0.037,-,-,-2.98,-,-,-,-,,Ausquest Ltd,,0.16,1,0.145,0.155,0.17,0.145,3.12,0.20,0.105
AQR,1761.97,154.049,2.483,0.04,-,-,-0.74,-,-,-,-,,Aussie Q Res,,0.31,,0.31,0.33,0.36,0.27,-3.54,0.79,0.038
ABZ,220.252,11.657,-,0.01,-,-,-,-,-,-,-,,Aust Bauxite Ltd,,0.32,-3,0.315,0.335,0.345,0.30,-12.11,0.49,0.25
AGV,30,4.591,1.161,0.002,-,-,-2.62,-,-,-,-,,Aust Gold Invest,,0.026,-0.8,0.026,0.033,0.034,0.026,-27.07,0.057,0.018
AKA,25,13.326,-,0.008,-,-,-,-,-,-,-,,Aust Min Min,,0.175,2.5,0.15,0.185,0.175,0.15,13.12,0.235,0.15
AKAO,-,0.811,-,0.002,-,-,-,-,-,-,-,,  opt oct11,,0.04,,0.01,0.04,0.04,0.04,-3.54,0.04,0.02
AUZ,403228,3432.61,-,0.007,-,-,0.05,2.0,-,-,-,,Aust Mines Ltd,,0.001,,0.001,0.002,0.002,0.001,-3.54,0.02,0.001
AUZO,-,0.5,-,0.001,-,-,-,-,-,-,-,,  opt jun13,,0.001,,-,0.001,0.001,0.001,-3.54,0.001,0.001
AOC,330,2.949,1.813,0.004,-,-,-3.81,-,-,-,-,,Aust Oil Co,,0.085,-1.5,0.085,0.12,0.11,0.085,-18.54,0.16,0.07
AOCOA,-,2.004,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.019,,0.007,0.025,0.019,0.019,-3.54,0.03,0.012
AOM,5332.06,28.396,5.64,0.007,-,-,-0.07,-,-,-,-,,Aust Oriental,,0.003,,0.003,0.004,0.003,0.003,-3.54,0.009,0.003
ARW,1716.4,98.393,68.911,0.008,0.01,1.3,-1.56,-,-,-,-,,Aust Renewable,,0.013,,0.013,0.014,0.014,0.013,-3.54,0.033,0.01
AOK,3592.02,84.812,8.362,0.024,-,-,-4.22,-,-,-,-,,Austex Oil Ltd,,0.12,-0.5,0.115,0.12,0.13,0.115,-7.54,0.216,0.098
AOKO,8220.44,8.22,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.025,,0.025,0.034,0.034,0.023,-,0.034,0.023
AKK,4092.89,276.838,6.058,0.009,-,-,-2.49,-,-,-,-,,Austin Explore,,0.031,-0.4,0.03,0.031,0.034,0.029,-14.97,0.096,0.025
AKKO,77.5,58.409,-,0.002,-,-,-,-,-,-,-,,  opt nov11,,0.011,0.3,0.008,0.011,0.011,0.007,33.96,0.031,0.007
APG,1430,120.798,44.608,0.031,-,-,-0.29,-,-,-,-,,Austpac Res NL,,0.037,-0.1,0.037,0.038,0.039,0.037,-6.17,0.07,0.029
AAF,6350,413.765,177.381,0.007,-,-,-0.14,-,-,-,-,,Austral Africa Res,,0.002,0.1,0.001,0.002,0.002,0.001,96.46,0.007,0.001
AGD,15,1.271,0.152,0.03,-,-,6.17,2.9,-,-,-,,Austral Gold,,0.18,-7,0.18,0.21,0.25,0.18,-31.54,0.25,0.065
AZX,70.745,1.574,0.514,0.008,-,-,-3.35,-,-,-,-,,Auzex Res,,0.155,-0.5,0.145,0.155,0.16,0.145,-6.67,0.26,0.11
AZXO,-,0.02,0.116,-,-,-,-,-,-,-,-,,  opt sep10,,0.009,,-,0.001,0.009,0.009,-3.54,0.015,0.006
AVI,120,14.114,3.824,0.024,-,-,-0.68,-,-,-,-,,Avalon Min,,0.18,,0.175,0.20,0.205,0.17,-3.54,0.297,0.089
AVB,4543.65,279.526,3.614,0.01,-,-,1.23,1.5,-,-,-,,Avanco Res Ltd,,0.019,,0.019,0.02,0.02,0.017,-3.54,0.044,0.011
AVBO,-,18.625,-,-,-,-,-,-,-,-,-,,  opt jun10,,0.001,,-,0.001,0.001,0.001,-3.54,0.15,0.001
AVBOB,2105,96.984,2.285,0.003,-,-,-,-,-,-,-,,  opt apr12,,0.011,0.1,0.011,0.012,0.012,0.01,6.46,0.027,0.005
AVA,6.75,17.933,28.35,0.009,-,-,-10.74,-,-,-,-,,Aviva Corp,,0.075,,0.068,0.074,0.075,0.075,-3.54,0.17,0.056
AVO,6081.45,136.367,100.554,0.622,0.79,2.7,12.49,17.2,-,-,-,,Avoca Res,,2.15,3,2.14,2.19,2.25,2.05,-2.13,2.37,1.48
AVZ,25,5.504,3.355,0.005,-,-,-4.1,-,-,-,-,,Avonlea Min,,0.08,-2,0.075,0.095,0.10,0.08,-23.54,0.17,0.06
AWE,15930.2,302.631,199.5,1.096,1.74,1.2,1.43,146.9,-,-,-,,AWE Ltd,,2.10,5,2.09,2.10,2.13,2.00,-1.10,3.17,1.915
AXC,200,4.91,7.241,0.002,-,-,-1.39,-,-,-,-,,AXG Min Ltd,,0.019,-0.2,0.019,0.027,0.021,0.019,-13.07,0.04,0.018
AXCO,-,2.51,1.13,-,-,-,-,-,-,-,-,,  opt aug10,,0.001,,-,0.001,0.001,0.001,-3.54,0.006,0.001
AVQ,3459.3,102.194,-,0.02,-,-,-0.73,-,-,-,-,,Axiom Min Ltd cdi,,0.026,0.2,0.025,0.026,0.026,0.021,4.79,0.045,0.011
AZM,7285.92,195.6,11.741,0.08,-,-,-2.5,-,-,-,-,,Azumah Res,,0.43,3,0.42,0.43,0.45,0.40,3.96,0.53,0.10
AZS,3453.62,228.73,13.4,0.013,-,-,-0.78,-,-,-,-,,Azure Min,,0.047,0.2,0.046,0.048,0.05,0.045,0.90,0.111,0.033
BND,605.506,13.811,3.193,0.077,-,-,-0.73,-,-,-,-,,Bandanna Energy,,0.60,9.5,0.58,0.60,0.60,0.495,15.27,0.97,0.235
