ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5433.8 at 2014-11-14T16:38:06. Report at Friday, November 14, 2014. Processed Saturday at 2014-11-15T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AZK,243.200,39.101,16.875,.003,-,-,-1.61,-,-,-,-,,Aziana,,.015,-.2,.014,.015,.017,.015,-10.17,.05,.015,,
APY,924.500,155.685,655.930,.009,-,-,-24.91,-,-,-,-,,Azonto Petroleum,,.008,-,.009,.011,.01,.008,+1.60,.039,.008,,
AZM,418.650,128.785,180.589,.011,-,-,-1.00,-,-,-,-,,Azumah Res,,.028,+.3,.028,.029,.03,.026,+13.60,.069,.021,,
AZS,371.537,420.872,1717.73,.018,-,-,-.50,-,-,-,-,,Azure Minerals,,.022,-,.022,.023,.022,.022,+1.60,.045,.021,,
BMB,324.481,52.154,39.904,.016,-,-,-3.85,-,-,-,-,,Balamara Res,,.045,+.1,.045,.05,.054,.044,+3.87,.16,.044,,
BMN,1342.16,68.683,60.009,.024,-,-,-.70,-,-,-,-,,Bannerman Res,,.072,+1.8,.068,.072,.072,.057,+34.93,.135,.045,,
BKP,37673.1,286.793,370.437,.002,-,-,.08,1.3,-,-,-,,Baraka Energy,,.001,-,.001,.002,.001,.001,+1.60,.006,.001,,
BAR,1814.22,24.759,17.939,.002,-,-,-.21,-,-,-,-,,Barra Res,,.006,-.2,.006,.008,.007,.006,-23.40,.016,.005,,
BSE,5032.60,86.335,119.179,.141,-,-,-2.50,-,-,-,-,,Base Res,,.25,-4,.25,.28,.28,.25,-12.19,.50,.245,,
BSM,296.667,153.673,226.517,-,-,-,-.65,-,-,-,-,,Bass Metals,,.003,-,.003,.004,.003,.003,+1.60,.007,.001,,
BAS,3384.03,177.895,38.303,.003,-,-,-.60,-,-,-,-,,Bass Strait Oil Co,,.006,-,.006,.007,.006,.005,+1.60,.009,.004,,
BSR,1843.34,609.344,136.225,.016,-,-,-.18,-,-,-,-,,Bassari Res,,.014,+.3,.014,.015,.015,.011,+28.87,.029,.005,,
BRL,1760.53,377.985,174.340,.033,-,-,-,-,-,-,-,,Bathurst Res NZ,,.035,-,.032,.035,.04,.031,+1.60,.26,.03,,
BAU,840.283,82.244,74.426,.027,-,-,-2.00,-,-,-,-,,Bauxite Resources,,.115,-.5,.115,.12,.12,.115,-2.57,.175,.10,,
BBX,25.000,30.392,4.821,.001,-,-,-.04,-,-,-,-,,BBX Minerals,,.009,-,.009,.011,.009,.009,+1.60,.025,.004,,
