ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4972.9 at 16:33 9/4/2010  Report at 19:08 Friday 9/4/2010. Processed 19:28 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ATV,1412.36,20.626,6.486,0.021,-,-,-0.25,-,-,-,-,,Atlantic Gold NL,,0.054,0.2,0.054,0.056,0.056,0.052,2.89,0.10,0.04
ATVCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.03,,0.015,0.03,0.03,0.03,-0.96,0.03,0.011
ATVOA,45.215,2.231,-,-,-,-,-,-,-,-,-,,  opt jan11,,0.012,-0.2,0.012,0.014,0.014,0.012,-15.24,0.045,0.012
AGO,20256.3,254.62,130.08,1.244,-,-,-15.5,-,-,-,-,,Atlas Iron Ltd,,2.78,20,2.77,2.80,2.93,2.64,6.80,2.93,1.21
AXY,3841.17,47.097,11.652,0.012,-,-,-0.88,-,-,-,-,,Atom Energy Ltd,,0.06,-0.9,0.061,0.064,0.069,0.058,-14.00,0.125,0.02
AXYO,2099.99,3.078,0.73,-,-,-,-,-,-,-,-,,  opt oct10,,0.001,,0.001,0.002,0.001,0.001,-0.96,0.01,0.001
ATQ,2858.3,16.658,1.377,0.016,-,-,-6.9,-,-,-,-,,Atomic Res,,0.16,-1,0.16,0.175,0.185,0.16,-6.84,0.185,0.088
ATQO,30,0.327,0.03,0.001,-,-,-,-,-,-,-,,  opt aug11,,0.04,1,0.035,0.06,0.04,0.04,32.38,0.04,0.001
ACZ,-,0.571,0.593,0.005,-,-,-0.49,-,-,-,-,,Atticus Resource,,0.18,,0.17,0.19,0.18,0.18,-0.96,0.26,0.125
ACZO,50,0.3,0.234,0.001,-,-,-,-,-,-,-,,  opt sep12,,0.042,,0.028,0.06,0.042,0.042,-0.96,0.09,0.03
ADX,6630.71,66.819,22.111,0.048,-,-,-0.89,-,-,-,-,,Audax Res,,0.165,2.5,0.155,0.165,0.165,0.15,16.90,0.175,0.065
AUK,210.7,10.359,2.891,0.016,-,-,-0.82,-,-,-,-,,Augur Res Ltd,,0.15,-4,0.155,0.16,0.18,0.15,-22.01,0.20,0.014
AUKO,-,0.762,-,-,-,-,-,-,-,-,-,,  opt jun10,,0.025,,0.01,0.024,0.025,0.025,-0.96,0.03,0.009
