ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 3, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4243.0 at 2012-08-03T16:48:37. Report at Friday, August 3, 2012. Processed Saturday at 2012-08-04T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
APG,3022.13,88.766,372.062,.031,-,-,-.02,-,-,-,-,,Austpac Res,,.03,-.2,.03,.031,.031,.028,-6.45,.054,.028,,
AGD,-,2.022,3.413,.025,-,-,4.11,3.6,-,-,-,,Austral Gold,,.15,-,-,-,.15,.15,-.20,.32,.13,,
AVI,2761.02,91.408,43.252,.022,-,-,-1.07,-,-,-,-,,Avalon Minerals,,.07,-1.6,.07,.071,.09,.07,-18.81,.165,.046,,
AVB,11345.2,517.078,1419.81,.063,-,-,-.02,-,-,-,-,,Avanco Res,,.057,-,.057,.058,.064,.057,-.20,.125,.048,,
AVY,-,2.747,1.267,.007,-,-,-1.48,-,-,-,-,,Avenue Res,,.20,-,-,-,.20,.20,-.20,.35,.14,,
AVA,898.850,32.538,85.758,.015,-,-,-2.52,-,-,-,-,,Aviva Corp,,.09,+.1,.085,.09,.099,.089,+.92,.225,.075,,
AYE,236.317,4.526,22.709,.007,-,-,-.59,-,-,-,-,,Avocet Res,,.07,+.5,.07,.08,.073,.063,+7.49,.12,.04,,
AVZ,60.000,9.649,18.420,.003,-,-,-1.90,-,-,-,-,,Avonlea Minerals,,.022,+.1,.02,.025,.022,.021,+4.56,.12,.02,,
AWE,10841.5,350.775,387.783,.793,1.65,.9,-7.27,-,-,-,-,f,AWE,,1.52,+12,1.50,1.525,1.57,1.405,+8.37,1.995,.872,,
AXC,166.667,98.156,14.311,.002,-,-,-2.15,-,-,-,-,,AXG Mining,,.004,+.1,-,-,.004,.004,+33.13,.018,.003,,
AVQ,107019,950.457,3496.21,.012,-,-,-.65,-,-,-,-,,Axiom Min,,.008,+.2,.008,.009,.008,.006,+33.13,.054,.006,,
AZK,-,8.677,-,.017,-,-,-,-,-,-,-,,Aziana,,.175,-,-,-,.175,.175,-.20,.25,.115,,
AZKO,-,1.394,-,.001,-,-,-,-,-,-,-,,  opt sep13,,.031,-,-,-,.031,.031,-.20,.05,.021,,
AZH,4485.19,235.263,158.648,.137,-,-,-.90,-,-,-,-,,Azimuth Res,,.34,-,.335,.345,.355,.335,-.20,.99,.28,,
AZM,6066.23,165.810,106.108,.045,-,-,-6.74,-,-,-,-,,Azumah Res,,.135,-1,.13,.135,.15,.115,-7.10,.545,.115,,
AZS,699.400,49.474,123.505,.009,-,-,-1.31,-,-,-,-,,Azure Minerals,,.022,+.4,.022,.023,.022,.018,+22.02,.06,.015,,
