Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
CSL Ltd Last Sale Price $36.05,,,,,,,,,,,,
Apr,10,34.50,0.18,0.20,2,69,20.40,-0.17,7.59,,,
Apr,10,35.00,0.29,0.33,8,219,20.30,-0.25,12.45,,,
Apr,10,35.50,0.43,0.45,2,76,19.60,-0.34,18.14,,,
Jun,10,29.00,0.05,0.04,1,128,26.30,-0.03,0.63,,,
Jun,10,35.50,1.01,1.05,1,7,20.90,-0.38,12.78,,,
Sep,10,36.00,1.85,1.95,21,32,21.10,-0.42,10.92,,,
CSR Ltd Last Sale Price $1.75,,,,,,,,,,,,
Apr,10,1.76,0.07,0.06,119,170,33.80,-0.50,47.80,,,
May,10,1.66,0.04,0.04,120,374,32.60,-0.29,18.05,,,
May,10,1.76,0.10,0.09,10,60,35.20,-0.47,34.09,,,
Jun,10,1.66,0.07,0.07,8,164,35.20,-0.32,19.55,,,
Jul,10,1.77,0.14,0.21,50,153,34.80,-0.46,22.67,,,
David Jones Ltd Last Sale Price $4.75,,,,,,,,,,,,
Apr,10,4.75,0.10,0.10,45,195,22.20,-0.47,32.02,,,
Jun,10,4.25,0.04,0.04,10,-,24.30,-0.13,3.84,,,
Sep,10,4.50,0.18,0.18,18,52,25.30,-0.30,8.09,,,
Foster's Grp Last Sale Price $5.29,,,,,,,,,,,,
May,10,5.00,0.03,0.03,160,-,16.90,-0.15,3.98,,,
May,10,5.25,0.08,0.09,30,2112,14.20,-0.39,10.62,,,
May,10,5.50,0.25,0.24,120,175,16.20,-0.73,4.64,,,
Jul,10,5.25,0.16,0.15,5,110,17.50,-0.40,9.60,,,
Sep,10,5.00,0.14,0.13,8,69,17.80,-0.24,5.65,,,
Sep,10,5.25,0.24,0.23,91,66,17.20,-0.39,9.68,,,
Oct,10,5.75,0.59,0.60,5,450,17.90,-0.74,4.35,,,
Fortescue Metals Grp Last Sale Price $5.04,,,,,,,,,,,,
May,10,4.00,0.01,0.03,10,89,38.20,-0.04,2.09,,,
Sep,10,5.00,0.45,-,45,-,37.90,-0.41,19.06,,,
GPT Grp Last Sale Price $0.59,,,,,,,,,,,,
Dec,10,0.56,0.04,0.06,20,660,23.60,-0.30,9.44,,,
Harvey Norman Last Sale Price $3.69,,,,,,,,,,,,
Jun,10,3.50,0.12,0.11,35,40,28.10,-0.29,14.84,,,
Insurance Aust Grp Last Sale Price $3.90,,,,,,,,,,,,
Sep,10,4.00,0.30,0.40,76,109,24.30,-0.49,10.95,,,
Dec,10,3.75,0.24,0.22,2,12,26.20,-0.34,8.57,,,
Incitec Pivot Last Sale Price $3.46,,,,,,,,,,,,
