Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:06 Wednesday 16/6/2010. Processed 19:17 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.84,,,,,,,,,,,,
Sep,10,34.00,0.85,0.87,12,645,35.60,-0.17,7.91,,,
Sep,10,34.50,0.92,2.05,50,100,34.70,-0.19,8.56,,,
Sep,10,35.00,1.08,1.09,16,1090,34.90,-0.21,10.00,,,
Sep,10,35.50,1.19,1.72,2,134,34.30,-0.23,11.07,,,
Sep,10,37.00,1.62,1.69,502,676,32.80,-0.31,15.03,,,
Sep,10,37.50,1.79,1.78,1,1528,32.40,-0.33,16.65,,,
Sep,10,38.00,2.00,1.96,2,1847,32.10,-0.36,18.56,,,
Sep,10,38.50,2.19,2.73,5,611,31.60,-0.39,20.33,,,
Sep,10,39.00,2.40,2.50,2,379,31.20,-0.43,22.38,,,
Sep,10,41.00,3.44,5.24,1,865,29.70,-0.56,15.54,,,
Sep,10,42.00,4.00,4.02,4,463,28.20,-0.64,11.40,,,
Sep,10,43.50,5.11,6.71,10,66,28.20,-0.74,7.77,,,
Sep,10,45.00,6.32,8.88,3,354,28.20,-0.83,5.12,,,
Sep,10,46.00,7.18,9.80,3,87,28.20,-0.89,3.81,,,
Nov,10,37.00,2.15,2.21,5,2,32.50,-0.32,12.30,,,
Dec,10,30.00,0.76,0.75,2,488,38.30,-0.11,3.70,,,
Dec,10,33.00,1.27,1.28,15,209,35.90,-0.19,6.21,,,
Dec,10,34.00,1.50,1.49,7,286,34.90,-0.21,7.28,,,
Dec,10,35.00,1.75,1.75,10,219,34.10,-0.25,8.52,,,
Dec,10,36.00,2.13,2.08,2,519,34.10,-0.28,10.35,,,
Dec,10,37.00,2.42,3.18,1,714,33.10,-0.32,11.79,,,
Dec,10,43.00,5.38,5.42,3,146,29.10,-0.62,7.84,,,
Dec,10,50.00,10.89,13.23,1,147,24.40,-1.00,0.56,,,
Mar,11,34.00,2.05,2.34,1,127,34.40,-0.23,6.76,,,
Jun,11,34.50,2.69,2.77,2,-,33.80,-0.24,6.70,,,
Jun,11,36.00,3.19,3.30,20,58,33.10,-0.33,7.96,,,
Dec,11,36.00,4.01,4.22,1,179,33.00,-0.31,6.73,,,
Dec,11,37.00,4.42,4.97,325,171,32.60,-0.32,7.41,,,
Jun,12,35.00,4.21,3.50,1030,375,33.20,-0.29,5.27,,,
Boral Ltd Last Sale Price $5.38,,,,,,,,,,,,
Jun,10,5.00,0.01,0.03,5,352,37.90,-0.09,11.31,,,
Jun,10,5.25,0.07,0.07,15,550,37.90,-0.31,49.00,,,
Jun,10,6.00,0.63,0.73,65,66,42.70,-0.97,3.77,,,
Jul,10,5.50,0.28,0.26,45,752,30.30,-0.55,23.90,,,
Dec,10,5.75,0.64,0.60,69,52,29.10,-0.56,9.41,,,
BlueScope Steel Last Sale Price $2.35,,,,,,,,,,,,
Jun,10,2.25,0.03,0.03,65,1742,46.60,-0.25,43.14,,,
Jun,10,2.50,0.16,0.17,62,3480,39.30,-0.85,17.26,,,
Jun,10,3.00,0.66,0.66,89,717,109.80,-0.92,17.26,,,
Jul,10,2.25,0.09,0.10,112,693,44.60,-0.34,31.77,,,
Jul,10,2.50,0.22,0.28,17,987,40.00,-0.64,22.94,,,
Jul,10,2.75,0.40,0.42,25,666,2.00,-1.00,-,,,
Jul,10,3.00,0.65,0.80,52,480,2.00,-1.00,-,,,
Aug,10,2.00,0.05,0.07,154,76,46.60,-0.17,10.79,,,
Aug,10,2.25,0.12,0.20,10,1107,42.10,-0.35,24.81,,,
Aug,10,2.50,0.24,0.27,22,488,39.50,-0.59,19.41,,,
Sep,10,2.25,0.15,0.14,12,190,43.90,-0.36,23.30,,,
Dec,10,2.81,0.55,0.55,2,115,40.10,-0.68,6.91,,,
Dec,10,3.00,0.69,0.70,5,1730,40.40,-0.78,3.66,,,
Brambles Ltd Last Sale Price $6.35,,,,,,,,,,,,
Jun,10,6.08,0.06,0.04,11,292,41.50,-0.22,35.13,,,
Jun,10,6.56,0.26,0.27,2,422,34.20,-0.73,31.93,,,
Jul,10,5.75,0.11,0.11,13,113,39.30,-0.20,13.72,,,
Jul,10,6.00,0.16,0.16,25,364,37.20,-0.29,20.90,,,
Jul,10,6.25,0.25,0.36,3,153,36.20,-0.41,32.66,,,
Jul,10,6.50,0.35,0.37,6,114,33.10,-0.54,26.78,,,
C'wlth Bank  of Aust  Last Sale Price $52.98,,,,,,,,,,,,
Jun,10,46.00,0.01,0.03,64,1071,39.30,-,0.46,,,
Jun,10,46.50,0.01,0.03,3,33,39.30,-0.01,0.77,,,
Jun,10,47.50,0.04,0.05,7,82,39.30,-0.03,2.68,,,
Jun,10,48.00,0.06,0.05,61,697,39.70,-0.04,4.21,,,
Jun,10,49.50,0.08,0.09,95,221,32.40,-0.07,6.12,,,
Jun,10,50.00,0.12,0.10,305,1104,31.60,-0.10,9.19,,,
Jun,10,51.00,0.20,0.23,254,592,27.90,-0.17,15.31,,,
Jun,10,51.50,0.28,0.29,28,140,26.60,-0.22,21.05,,,
Jun,10,52.00,0.38,0.35,66,438,25.20,-0.29,28.71,,,
Jun,10,53.00,0.67,0.70,20,320,21.80,-0.49,49.76,,,
Jun,10,54.00,1.24,1.20,185,434,20.10,-0.73,16.84,,,
Jun,10,55.00,2.07,2.19,12,256,19.90,-0.91,3.83,,,
Jun,10,56.00,3.02,6.22,1,209,19.90,-1.00,-,,,
Jul,10,40.00,0.04,0.07,75,49,40.70,-0.02,0.70,,,
Jul,10,45.00,0.20,0.19,10,105,34.50,-0.07,3.13,,,
Jul,10,46.00,0.26,0.70,11,90,33.20,-0.09,4.07,,,
Jul,10,49.00,0.56,0.60,19,158,28.90,-0.18,8.85,,,
Jul,10,50.00,0.71,0.75,28,545,27.20,-0.23,11.12,,,
Jul,10,50.75,0.88,0.86,3,65,26.40,-0.28,13.70,,,
Jul,10,51.00,0.95,0.96,11,282,26.20,-0.30,14.95,,,
Jul,10,52.00,1.23,1.23,16,152,24.70,-0.37,19.18,,,
Jul,10,53.00,1.59,1.64,4,508,23.50,-0.46,24.50,,,
Jul,10,54.00,2.04,2.05,196,135,22.20,-0.56,16.05,,,
Jul,10,56.00,3.29,3.41,2,132,19.90,-0.79,4.31,,,
Jul,10,57.00,4.14,6.95,8,33,19.90,-0.88,1.88,,,
Jul,10,58.00,5.05,6.75,5,53,19.90,-0.97,0.55,,,
Aug,10,40.00,0.23,0.21,28,82,39.60,-0.04,2.15,,,
Aug,10,42.00,0.29,0.29,3,56,35.90,-0.05,2.82,,,
Aug,10,44.00,0.46,0.47,5,91,33.70,-0.08,4.35,,,
Aug,10,47.00,0.85,0.85,10,43,30.50,-0.15,8.18,,,
Aug,10,49.01,1.24,1.25,1,-,28.00,-0.22,11.82,,,
Aug,10,51.00,1.92,1.91,20,71,26.80,-0.32,18.37,,,
Aug,10,54.00,3.39,4.99,1,159,24.90,-0.52,22.68,,,
Aug,10,55.00,4.01,3.69,2,71,24.20,-0.60,19.09,,,
Aug,10,57.00,5.54,7.71,8,85,24.20,-0.74,14.59,,,
Aug,10,58.00,6.40,2.27,8,71,24.60,-0.79,13.20,,,
Sep,10,38.00,0.26,0.26,3,37,40.10,-0.04,1.76,,,
Sep,10,42.00,0.46,0.50,12,239,34.50,-0.07,3.13,,,
Sep,10,45.00,0.81,1.92,5,11,32.10,-0.13,5.58,,,
Sep,10,46.00,0.98,2.35,5,319,31.30,-0.15,6.79,,,
Sep,10,48.00,1.37,1.40,20,238,29.20,-0.21,9.40,,,
Sep,10,52.00,2.75,2.75,15,114,26.60,-0.39,18.95,,,
Oct,10,46.00,1.31,1.32,3,46,31.20,-0.17,6.69,,,
Oct,10,50.01,2.33,-,5,5,28.20,-0.30,11.87,,,
Oct,10,52.00,3.21,3.22,5,20,27.30,-0.39,16.36,,,
Dec,10,40.00,0.90,0.90,5,525,36.80,-0.10,3.23,,,
Dec,10,45.51,1.64,1.65,5,2,31.50,-0.19,5.90,,,
Dec,10,47.00,2.11,2.11,25,14,31.20,-0.23,7.59,,,
Dec,10,49.01,2.54,-,5,1,29.40,-0.28,9.18,,,
Dec,10,54.00,4.83,4.85,6,104,27.50,-0.46,13.74,,,
Mar,11,46.00,2.74,2.80,25,50,31.40,-0.22,6.69,,,
Mar,11,50.00,4.13,4.15,5,58,29.70,-0.32,10.09,,,
Jun,11,37.50,0.92,1.42,3,4,30.30,-0.09,1.70,,,
Jun,12,16.00,0.17,0.24,20,201,43.30,-,0.15,,,
Coca-Cola Amatil Last Sale Price $11.75,,,,,,,,,,,,
Jun,10,11.00,0.05,0.05,50,825,41.40,-0.13,17.26,,,
Jun,10,11.50,0.11,0.12,4,638,30.90,-0.30,36.24,,,
Jun,10,12.00,0.34,0.35,13,20,27.70,-0.68,31.06,,,
Jul,10,11.50,0.23,0.22,7,42,22.40,-0.35,15.88,,,
Aug,10,11.50,0.36,0.36,4,2,21.80,-0.36,15.53,,,
