Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 20:36 Friday 30/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.77,,,,,,,,,,,,
Nov,10,80.01,42.50,43.09,7,31,61.50,-1.00,-,,,
Nov,10,86.01,48.38,49.02,7,10,63.60,-1.00,-,,,
Dec,10,30.00,1.25,1.26,4,73,45.00,-0.17,8.31,,,
Dec,10,32.00,1.71,-,10,-,42.80,-0.22,11.38,,,
Dec,10,38.00,3.95,3.27,13,12,36.90,-0.46,21.03,,,
Dec,10,50.00,13.23,14.64,1,169,33.70,-1.00,2.87,,,
Dec,10,51.00,14.16,14.56,1,42,33.70,-1.00,2.44,,,
Jan,11,15.00,0.17,0.15,131,221,71.90,-0.02,0.89,,,
Mar,11,30.00,1.86,1.90,4,13,44.00,-0.19,7.67,,,
Mar,11,37.00,4.25,3.19,50,2,38.10,-0.40,17.54,,,
Mar,11,50.00,13.53,14.20,3,14,34.90,-0.89,3.01,,,
Dec,12,32.00,6.13,6.10,4,9,42.60,-0.27,6.87,,,
Myer Hldgs Ltd Last Sale Price $3.45,,,,,,,,,,,,
Aug,10,3.25,0.03,0.02,15,180,29.10,-0.20,11.34,,,
Aug,10,3.50,0.10,0.50,10,15,19.30,-0.58,17.00,,,
Aug,10,3.75,0.30,0.35,10,20,14.60,-1.00,-,,,
National Aust Bank Last Sale Price $25.13,,,,,,,,,,,,
Aug,10,18.00,0.00,0.01,26,30,40.90,-,-,,,
Aug,10,20.00,0.01,0.02,50,167,40.20,-0.01,0.78,,,
Aug,10,22.00,0.06,0.06,4,96,32.60,-0.06,2.85,,,
Aug,10,22.50,0.08,0.08,24,151,30.80,-0.08,4.15,,,
Aug,10,23.00,0.11,0.12,27,215,28.30,-0.11,5.45,,,
Aug,10,23.50,0.14,0.14,48,133,26.00,-0.15,7.52,,,
Aug,10,24.00,0.21,0.20,35,401,23.90,-0.21,10.89,,,
Aug,10,24.50,0.32,0.34,45,667,22.60,-0.31,16.60,,,
Aug,10,25.00,0.47,0.44,56,458,20.90,-0.43,24.64,,,
Aug,10,25.50,0.70,0.74,12,415,19.50,-0.58,17.12,,,
Aug,10,26.50,1.43,1.46,1,49,18.80,-0.86,2.85,,,
Aug,10,28.50,3.37,3.44,3,-,18.80,-1.00,-,,,
Sep,10,22.00,0.14,0.36,10,92,29.20,-0.10,3.63,,,
Sep,10,23.00,0.23,0.22,1,835,26.40,-0.16,6.10,,,
Sep,10,23.50,0.32,0.44,28,174,25.50,-0.21,8.30,,,
Sep,10,24.00,0.42,0.41,3,56,24.40,-0.27,11.02,,,
Sep,10,24.50,0.54,0.53,25,134,22.70,-0.34,13.88,,,
Sep,10,25.00,0.72,0.79,7,331,22.00,-0.43,18.67,,,
Sep,10,25.50,0.94,1.02,1,79,21.20,-0.53,14.91,,,
Sep,10,26.00,1.22,1.19,6,215,20.30,-0.64,9.08,,,
Oct,10,22.00,0.23,0.31,10,268,27.20,-0.13,3.67,,,
Oct,10,23.50,0.56,0.56,2,15,27.00,-0.26,9.02,,,
