Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 17:58 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.07,,,,,,,,,,,,
Jul,10,55.00,1.36,1.50,4,105,18.90,-0.31,7.28,,,
Sep,10,54.00,2.06,2.15,8,39,21.70,-0.29,7.52,,,
Sep,10,57.00,3.27,3.36,1,58,20.50,-0.43,11.17,,,
Dec,10,50.00,1.66,1.72,1,117,24.40,-0.19,4.00,,,
Dec,10,56.00,3.61,3.83,3,516,22.30,-0.38,8.68,,,
Dec,13,50.00,6.06,6.20,3,17,26.40,-0.25,2.87,,,
Computershare Ltd Last Sale Price $12.63,,,,,,,,,,,,
Apr,10,12.50,0.19,0.20,10,105,19.10,-0.39,18.93,,,
Sep,10,12.00,0.45,0.47,14,61,22.80,-0.30,7.31,,,
CSL Ltd Last Sale Price $36.20,,,,,,,,,,,,
Apr,10,34.00,0.13,0.15,4,424,21.00,-0.12,4.52,,,
Apr,10,34.50,0.20,0.22,8,66,20.50,-0.17,6.95,,,
Apr,10,35.00,0.29,0.35,9,211,19.70,-0.24,10.08,,,
Apr,10,35.50,0.42,0.41,1,76,19.20,-0.32,14.78,,,
Apr,10,36.00,0.61,0.72,5,313,18.80,-0.42,21.38,,,
Apr,10,36.50,0.84,0.94,5,39,18.30,-0.53,18.95,,,
May,10,33.50,0.26,0.26,5,23,21.60,-0.15,4.51,,,
May,10,34.00,0.35,0.39,13,27,21.60,-0.19,6.19,,,
May,10,34.50,0.46,0.48,2,34,21.20,-0.24,8.05,,,
May,10,36.50,1.15,1.14,4,98,19.30,-0.50,15.04,,,
Jun,10,33.00,0.32,0.93,10,110,21.80,-0.15,3.80,,,
Jun,10,34.00,0.53,0.42,10,342,21.80,-0.22,6.29,,,
Sep,10,37.00,2.28,2.22,17,103,20.80,-0.49,8.48,,,
CSR Ltd Last Sale Price $1.75,,,,,,,,,,,,
Apr,10,1.76,0.06,0.06,30,160,30.80,-0.48,39.44,,,
May,10,1.66,0.04,0.04,300,74,32.90,-0.29,16.42,,,
Jun,10,1.66,0.07,0.07,20,144,32.30,-0.31,15.90,,,
Jun,10,1.76,0.12,0.12,11,180,33.80,-0.45,28.14,,,
Jul,10,1.57,0.06,0.05,10,-,33.50,-0.22,9.53,,,
Jul,10,1.87,0.20,0.20,55,10,32.60,-0.58,13.87,,,
Dec,10,1.80,0.20,0.20,3,300,31.70,-0.45,12.07,,,
David Jones Ltd Last Sale Price $4.72,,,,,,,,,,,,
Apr,10,4.50,0.04,0.04,19,108,25.40,-0.22,12.00,,,
Apr,10,5.00,0.31,0.21,4,453,25.20,-0.79,8.00,,,
Sep,10,4.00,0.09,-,5,-,29.30,-0.15,3.73,,,
Sep,10,4.50,0.20,0.19,5,47,26.30,-0.32,8.79,,,
Foster's Grp Last Sale Price $5.30,,,,,,,,,,,,
May,10,5.25,0.08,0.11,45,2087,13.90,-0.37,9.67,,,
Jul,10,5.25,0.14,0.16,6,110,15.90,-0.39,8.03,,,
Aug,10,5.25,0.16,0.18,6,30,16.40,-0.39,7.45,,,
Sep,10,5.00,0.14,0.13,57,12,17.40,-0.23,5.28,,,
Sep,10,6.00,0.78,0.82,10,65,18.20,-0.94,3.13,,,
Dec,10,5.25,0.28,0.31,1,125,17.80,-0.38,7.35,,,
Dec,11,6.00,0.98,-,10,-,20.80,-0.64,3.11,,,
Fortescue Metals Grp Last Sale Price $4.97,,,,,,,,,,,,
Apr,10,4.75,0.07,0.08,64,222,30.20,-0.26,17.73,,,
Apr,10,5.00,0.17,0.19,13,118,30.60,-0.50,36.72,,,
May,10,4.75,0.16,0.16,32,42,35.30,-0.33,20.61,,,
Sep,10,4.50,0.28,0.51,36,80,40.10,-0.28,11.89,,,
Fairfax Media Ltd Last Sale Price $1.79,,,,,,,,,,,,
Dec,10,1.80,0.16,0.17,2,10,30.30,-0.41,11.80,,,
GPT Grp Last Sale Price $0.58,,,,,,,,,,,,
Jun,10,0.50,0.01,0.01,650,1074,29.60,-0.10,5.14,,,
Harvey Norman Last Sale Price $3.65,,,,,,,,,,,,
Jun,10,4.50,0.92,0.94,3,3,31.20,-0.98,8.24,,,
Dec,10,3.00,0.11,0.11,15,-,30.00,-0.15,4.12,,,
Insurance Aust Grp Last Sale Price $3.92,,,,,,,,,,,,
Sep,10,3.50,0.10,0.12,61,11,25.10,-0.19,5.03,,,
Incitec Pivot Last Sale Price $3.48,,,,,,,,,,,,
Apr,10,3.25,0.03,0.04,10,202,27.20,-0.16,9.04,,,
Sep,10,3.25,0.19,0.18,6,80,33.00,-0.31,11.02,,,
James Hardie Ind Last Sale Price $7.16,,,,,,,,,,,,
Apr,10,7.00,0.13,0.14,2,256,26.40,-0.35,22.85,,,
Apr,10,7.25,0.23,0.17,10,206,23.50,-0.54,23.73,,,
May,10,7.00,0.22,0.17,1,101,28.20,-0.37,19.68,,,
Sep,10,7.00,0.47,0.44,1,-,31.40,-0.38,13.76,,,
Leighton Hldgs Last Sale Price $39.13,,,,,,,,,,,,
May,10,38.00,0.69,0.74,1,5,20.80,-0.31,11.29,,,
Lihir Gold Ltd Last Sale Price $4.04,,,,,,,,,,,,
Apr,10,3.00,0.01,0.01,553,4259,54.90,-0.02,1.56,,,
Apr,10,3.25,0.01,0.01,392,2582,44.40,-0.03,1.87,,,
Apr,10,3.50,0.03,0.03,597,564,43.00,-0.10,7.79,,,
Apr,10,3.75,0.04,0.04,844,43,33.90,-0.19,12.46,,,
Apr,10,4.00,0.12,0.12,1158,-,31.10,-0.42,35.83,,,
Apr,10,4.50,0.48,0.47,500,-,34.50,-0.87,6.23,,,
May,10,2.75,0.00,0.01,25,764,44.40,-,0.32,,,
May,10,3.00,0.01,0.01,189,1337,44.00,-0.03,1.43,,,
May,10,3.25,0.02,0.02,275,1030,40.30,-0.07,3.17,,,
May,10,3.50,0.04,0.04,120,579,35.10,-0.12,5.55,,,
May,10,3.75,0.08,0.08,183,115,32.70,-0.24,12.68,,,
May,10,4.00,0.17,0.18,144,-,32.10,-0.42,26.95,,,
Jun,10,2.50,0.00,0.03,20,562,45.00,-,0.32,,,
Jun,10,2.75,0.01,0.01,245,1269,44.50,-0.02,0.96,,,
Jun,10,3.00,0.01,0.02,196,2159,39.00,-0.04,1.59,,,
Jun,10,3.25,0.03,0.03,56,600,37.20,-0.08,3.19,,,
Jun,10,3.50,0.06,0.07,64,184,34.90,-0.16,6.38,,,
Jun,10,3.75,0.13,0.14,730,26,34.00,-0.27,13.29,,,
Jun,10,4.00,0.21,0.28,60,10,32.20,-0.42,22.32,,,
Jun,10,4.25,0.36,0.36,13,-,33.20,-0.58,15.94,,,
Jun,10,4.50,0.54,0.63,5,-,33.70,-0.72,8.50,,,
Jul,10,3.25,0.04,0.05,200,5,35.50,-0.10,3.39,,,
Jul,10,3.75,0.14,0.16,10,-,32.20,-0.28,10.92,,,
Aug,10,3.30,0.06,0.10,50,377,33.40,-0.12,3.66,,,
Aug,10,3.54,0.11,0.17,85,147,33.30,-0.20,6.71,,,
Aug,10,4.01,0.28,0.34,5,-,32.70,-0.41,17.40,,,
Sep,10,3.00,0.05,0.08,35,111,37.60,-0.09,2.57,,,
Sep,10,3.25,0.07,0.07,200,102,34.00,-0.13,3.59,,,
Dec,10,2.50,0.02,0.03,6,76,36.40,-0.03,0.68,,,
Dec,10,2.75,0.04,0.04,45,85,36.10,-0.06,1.35,,,
Dec,10,3.00,0.06,0.07,17,712,33.20,-0.09,2.03,,,
Dec,10,3.50,0.16,0.60,50,100,31.40,-0.21,5.24,,,
Dec,10,3.75,0.26,0.28,5,-,32.70,-0.30,8.80,,,
Mar,11,3.25,0.12,0.13,32,-,30.20,-0.15,2.90,,,
Aug,11,3.00,0.11,0.15,10,607,30.20,-0.14,1.85,,,
Aug,11,3.25,0.17,0.26,93,50,30.20,-0.15,2.91,,,
Aug,11,3.50,0.24,0.39,25,29,30.20,-0.22,4.23,,,
Aug,11,4.25,0.58,0.73,20,-,30.10,-0.45,6.62,,,
Aug,11,4.50,0.74,0.90,23,-,30.20,-0.56,4.94,,,
Aug,11,4.75,0.91,1.07,25,-,30.40,-0.61,3.44,,,
Aug,11,5.00,1.09,1.26,26,-,30.50,-0.72,2.29,,,
Aug,11,5.50,1.57,1.60,12,15,35.90,-0.74,1.94,,,
Dec,12,2.50,0.16,0.20,55,100,36.70,-0.11,1.41,,,
Dec,12,5.00,1.39,1.28,4,-,38.80,-0.54,3.86,,,
Lend Lease Grp Last Sale Price $8.68,,,,,,,,,,,,
Apr,10,8.46,0.07,0.08,8,165,17.60,-0.26,10.88,,,
Apr,10,8.95,0.32,0.31,25,151,16.80,-0.73,7.25,,,
May,10,8.70,0.23,0.23,4,41,18.30,-0.46,15.86,,,
MAP Grp Last Sale Price $3.09,,,,,,,,,,,,
May,10,3.21,0.17,0.17,20,60,23.80,-0.62,11.40,,,
Jun,10,3.70,0.61,1.70,10,31,12.80,-1.00,-,,,
Sep,10,3.21,0.33,0.34,43,12,25.30,-0.52,13.76,,,
Mar,11,3.75,0.83,-,15,-,27.10,-0.77,5.61,,,
Macq Grp Ltd Last Sale Price $47.11,,,,,,,,,,,,
Apr,10,43.00,0.17,0.17,1,107,27.00,-0.09,4.41,,,
Apr,10,44.00,0.29,0.34,57,141,26.30,-0.15,7.75,,,
Apr,10,45.00,0.48,0.50,51,447,25.80,-0.23,12.96,,,
Apr,10,46.00,0.77,0.75,27,292,25.10,-0.33,20.44,,,
Apr,10,47.00,1.17,1.17,38,218,24.60,-0.45,31.12,,,
Apr,10,48.00,1.69,1.65,10,329,24.10,-0.58,21.37,,,
Apr,10,49.00,2.37,2.42,3,124,24.30,-0.70,12.69,,,
Apr,10,50.00,3.13,2.99,14,172,23.90,-0.81,6.41,,,
Apr,10,51.00,3.99,3.51,12,133,23.90,-0.90,2.67,,,
Apr,10,52.00,4.92,4.52,20,49,23.90,-0.98,0.80,,,
Apr,10,53.00,5.89,3.87,10,21,23.90,-1.00,-,,,
May,10,44.00,1.08,1.06,4,153,32.00,-0.25,14.68,,,
May,10,45.00,1.42,1.45,3,162,31.60,-0.31,19.23,,,
May,10,46.00,1.87,1.90,6,54,32.10,-0.38,25.35,,,
May,10,47.00,2.35,2.30,14,127,32.00,-0.45,31.94,,,
May,10,48.00,2.92,2.92,15,30,32.20,-0.51,27.59,,,
May,10,51.00,5.03,3.75,2,9,33.20,-0.70,15.50,,,
May,10,53.00,6.63,4.60,2,43,33.30,-0.81,10.06,,,
Jun,10,42.00,0.95,1.04,8,62,33.10,-0.19,8.70,,,
Jun,10,45.00,1.96,1.99,1,43,33.00,-0.33,17.82,,,
Jun,10,50.00,4.74,3.45,5,99,33.40,-0.60,16.82,,,
Jul,10,43.00,1.74,1.72,2,11,34.10,-0.26,11.20,,,
Jul,10,45.00,2.42,2.37,15,2,33.20,-0.34,15.59,,,
Sep,10,15.00,-,0.03,5,15,33.60,-,0.13,,,
Sep,10,20.00,-,0.05,8,10,33.60,-,0.22,,,
Sep,10,45.00,3.09,3.13,1,1,33.80,-0.34,13.58,,,
Sep,10,47.00,4.01,4.08,5,26,33.50,-0.42,17.67,,,
Dec,10,60.00,14.16,14.35,9,176,34.10,-0.79,3.69,,,
Jun,11,60.00,15.17,15.06,11,2,34.50,-0.71,3.93,,,
National Aust Bank Last Sale Price $27.65,,,,,,,,,,,,
Apr,10,24.00,0.00,0.02,2,212,21.80,-,0.18,,,
Apr,10,25.00,0.03,0.04,1,379,21.30,-0.04,1.14,,,
Apr,10,26.00,0.07,0.09,13,464,18.50,-0.10,2.96,,,
Apr,10,26.50,0.13,0.14,26,381,17.90,-0.17,5.92,,,
Apr,10,27.00,0.22,0.25,76,639,16.60,-0.27,10.01,,,
Apr,10,27.50,0.39,0.43,110,320,16.00,-0.41,17.53,,,
May,10,27.00,0.47,0.52,18,206,18.90,-0.32,10.88,,,
May,10,27.50,0.63,0.69,7,101,17.90,-0.42,14.59,,,
May,10,28.00,0.85,0.97,2,110,17.20,-0.53,11.70,,,
Jun,10,26.50,0.71,0.79,13,692,19.80,-0.27,11.10,,,
Jun,10,32.00,4.85,6.51,30,589,17.70,-1.00,7.77,,,
Aug,10,26.50,1.02,1.08,1,-,20.80,-0.30,9.14,,,
Sep,10,26.50,1.13,1.19,67,94,21.10,-0.31,8.48,,,
