Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4409.7 at 17:32 28/6/2010  Report at 19:06 Monday 28/6/2010. Processed 19:41 Monday 28/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.53,,,,,,,,,,,,
Foster's Grp Last Sale Price $5.64,,,,,,,,,,,,
Jul,10,5.50,0.07,0.07,25,1339,21.80,-0.31,15.17,,,
Aug,10,5.50,0.11,0.12,39,791,20.70,-0.33,11.86,,,
Sep,10,5.75,0.32,0.33,20,680,18.40,-0.53,15.44,,,
Fortescue Metals Grp Last Sale Price $4.42,,,,,,,,,,,,
Jul,10,4.25,0.14,0.17,1,204,43.70,-0.34,36.13,,,
Jul,10,4.50,0.25,0.26,1,175,41.20,-0.52,43.87,,,
Jul,10,5.00,0.61,0.69,10,119,40.70,-0.84,7.74,,,
Aug,10,4.25,0.23,0.24,100,89,45.50,-0.36,30.97,,,
Aug,10,4.50,0.35,0.35,14,314,45.40,-0.49,37.16,,,
Oct,10,3.50,0.13,0.14,10,-,50.80,-0.16,8.39,,,
Nov,10,3.50,0.16,0.18,10,-,50.70,-0.17,8.75,,,
Jun,11,4.25,0.69,0.72,55,5,50.80,-0.34,15.78,,,
Fairfax Media Ltd Last Sale Price $1.34,,,,,,,,,,,,
Mar,11,3.76,2.29,2.28,43,16,44.10,-1.00,-,,,
Harvey Norman Last Sale Price $3.38,,,,,,,,,,,,
Jul,10,3.50,0.17,0.16,8,59,25.80,-0.65,15.19,,,
Oct,10,3.00,0.08,0.08,20,-,32.40,-0.21,7.02,,,
Incitec Pivot Last Sale Price $2.87,,,,,,,,,,,,
Aug,10,3.25,0.40,0.39,50,149,31.50,-0.83,4.24,,,
Sep,10,2.75,0.12,0.12,20,155,33.90,-0.34,17.34,,,
Oct,10,3.25,0.43,0.39,50,5,30.90,-0.73,5.17,,,
James Hardie Ind Last Sale Price $6.32,,,,,,,,,,,,
Jul,10,6.25,0.26,0.20,1,104,40.60,-0.43,46.02,,,
Jul,10,6.75,0.54,0.41,1,170,37.80,-0.70,18.95,,,
Aug,10,6.75,0.63,0.65,15,41,38.50,-0.62,18.77,,,
Dec,10,5.75,0.40,0.39,5,-,41.20,-0.29,12.74,,,
Leighton Hldgs Last Sale Price $30.00,,,,,,,,,,,,
Jul,10,28.50,0.56,0.55,1,3,35.10,-0.28,21.29,,,
Jul,10,29.50,0.91,0.90,4,-,34.40,-0.40,34.60,,,
Jul,10,30.00,1.10,1.07,13,48,33.20,-0.46,41.82,,,
Jul,10,36.50,6.50,3.96,1,10,37.70,-1.00,0.19,,,
Aug,10,36.00,6.01,3.92,1,11,29.70,-1.00,0.20,,,
Lihir Gold Ltd Last Sale Price $4.41,,,,,,,,,,,,
Jul,10,4.00,0.02,0.02,25,5777,29.50,-0.11,5.17,,,
Jul,10,4.25,0.07,0.05,5,1159,26.20,-0.28,16.81,,,
Jul,10,4.50,0.18,0.17,14,34,26.40,-0.57,23.28,,,
Aug,10,4.01,0.04,0.04,590,1205,27.00,-0.16,6.21,,,
Aug,10,4.25,0.10,0.10,67,365,25.80,-0.31,13.79,,,
Sep,10,4.00,0.07,0.07,550,578,27.60,-0.19,6.58,,,
Sep,10,4.50,0.26,0.24,214,52,26.30,-0.51,15.52,,,
Lend Lease Grp Last Sale Price $7.40,,,,,,,,,,,,
Jul,10,7.25,0.17,0.17,10,21,29.20,-0.37,26.20,,,
Jul,10,8.22,0.83,0.80,5,44,29.10,-0.90,2.31,,,
Sep,10,6.77,0.20,0.21,4,-,30.10,-0.22,10.93,,,
Sep,10,9.19,1.89,1.88,2,45,29.60,-1.00,5.61,,,
MAP Grp Last Sale Price $2.78,,,,,,,,,,,,
Aug,10,2.72,0.09,0.10,5,8,28.70,-0.38,19.69,,,
Nov,10,2.75,0.16,0.18,5,-,27.00,-0.40,13.48,,,
Macq Grp Ltd Last Sale Price $38.95,,,,,,,,,,,,
Jul,10,32.00,0.29,0.29,5,45,55.80,-0.09,8.64,,,
Jul,10,34.00,0.50,0.49,7,44,50.50,-0.15,14.50,,,
Jul,10,35.00,0.65,0.65,8,25,48.40,-0.19,18.89,,,
Jul,10,36.00,0.82,0.83,84,119,46.00,-0.25,24.01,,,
Jul,10,37.00,1.05,0.98,42,97,43.70,-0.31,30.89,,,
Jul,10,38.00,1.34,1.35,8,92,41.20,-0.38,39.24,,,
Jul,10,38.50,1.54,1.60,1,-,40.50,-0.42,45.24,,,
Jul,10,39.00,1.73,1.67,34,113,39.10,-0.47,49.05,,,
Jul,10,39.50,1.98,1.95,17,6,38.60,-0.51,41.88,,,
Jul,10,40.00,2.24,2.21,26,202,38.00,-0.56,34.85,,,
Jul,10,42.00,3.50,3.43,86,266,34.80,-0.75,13.03,,,
Jul,10,43.00,4.29,4.02,20,164,34.10,-0.83,7.03,,,
Jul,10,44.00,5.16,4.85,4,206,33.20,-0.90,3.07,,,
Jul,10,45.00,6.09,6.05,9,128,32.90,-0.96,1.17,,,
Jul,10,46.00,7.06,3.40,15,241,33.50,-1.00,0.29,,,
Jul,10,47.00,8.05,6.35,9,108,33.60,-1.00,-,,,
Jul,10,48.00,9.05,5.00,2,51,33.70,-1.00,-,,,
Jul,10,50.00,11.05,8.18,1,23,33.90,-1.00,-,,,
Aug,10,35.00,1.04,1.01,4,4,44.50,-0.23,16.24,,,
Aug,10,38.00,1.91,1.90,22,11,40.00,-0.39,29.75,,,
Aug,10,39.00,2.31,2.25,10,39,38.80,-0.45,35.38,,,
Aug,10,40.00,2.76,2.75,4,111,37.10,-0.52,26.71,,,
Aug,10,44.00,5.46,5.10,2,80,34.30,-0.80,6.40,,,
Aug,10,46.00,7.13,5.57,5,23,31.40,-0.94,1.17,,,
Aug,10,48.00,9.05,-,1,12,31.40,-1.00,-,,,
Sep,10,35.00,1.38,1.33,1,110,42.80,-0.25,14.70,,,
Sep,10,39.00,2.75,2.75,2,11,38.60,-0.44,28.75,,,
Sep,10,40.00,3.24,1.40,10,29,37.80,-0.50,23.32,,,
Sep,10,43.00,5.01,4.80,10,84,35.20,-0.68,10.28,,,
Sep,10,44.00,5.73,4.50,35,43,34.40,-0.74,7.24,,,
Sep,10,45.00,6.46,6.40,2,60,32.90,-0.81,4.31,,,
Sep,10,50.00,11.06,11.26,49,126,33.40,-1.00,0.11,,,
Sep,10,51.00,12.05,10.16,4,10,33.40,-1.00,-,,,
Sep,10,54.00,15.05,15.28,2,3,33.40,-1.00,-,,,
Oct,10,45.00,6.79,-,7,4,34.30,-0.74,5.60,,,
Oct,10,49.00,10.22,-,10,-,34.30,-0.91,1.26,,,
Nov,10,30.00,0.98,0.97,5,169,45.40,-0.13,6.11,,,
Nov,10,32.00,1.40,1.37,1,36,43.80,-0.18,8.66,,,
Nov,10,46.00,8.31,8.30,5,-,35.90,-0.73,7.82,,,
Dec,10,30.00,1.20,1.19,2,59,45.20,-0.14,6.26,,,
Dec,10,35.00,2.44,2.54,2,140,40.60,-0.27,12.77,,,
Dec,10,36.00,2.79,2.73,5,11,40.20,-0.31,14.63,,,
Dec,10,37.00,3.21,3.12,105,10,39.50,-0.34,16.80,,,
Dec,10,39.00,4.13,4.05,6,52,38.60,-0.42,21.36,,,
Dec,10,44.00,6.96,3.63,1,23,35.30,-0.63,10.03,,,
Dec,10,47.00,9.22,5.85,1,26,34.90,-0.76,6.15,,,
Dec,10,49.00,10.86,10.80,1,24,34.60,-0.83,4.21,,,
Dec,10,50.00,11.71,9.30,4,169,34.50,-0.87,3.43,,,
Dec,10,51.00,12.57,12.60,8,34,34.30,-0.91,2.70,,,
Mar,11,36.00,3.37,3.45,1,-,38.60,-0.31,11.68,,,
Myer Hldgs Ltd Last Sale Price $3.25,,,,,,,,,,,,
Jul,10,3.25,0.07,0.11,125,471,21.30,-0.46,26.32,,,
Mar,11,3.00,0.17,0.19,32,5,27.70,-0.28,7.28,,,
National Aust Bank Last Sale Price $23.53,,,,,,,,,,,,
Jul,10,22.00,0.34,0.34,6,655,35.10,-0.23,16.24,,,
Jul,10,22.50,0.44,0.45,19,135,33.00,-0.29,21.09,,,
Jul,10,22.51,0.44,0.43,10,-,33.00,-0.29,21.09,,,
Jul,10,23.00,0.57,0.55,7,449,31.00,-0.37,27.63,,,
Jul,10,23.50,0.77,0.78,50,350,30.10,-0.46,37.08,,,
Jul,10,24.00,0.98,1.00,15,563,27.90,-0.56,24.72,,,
Jul,10,24.50,1.26,1.30,14,224,26.30,-0.68,14.30,,,
Jul,10,25.00,1.62,1.55,6,546,25.30,-0.78,7.27,,,
Jul,10,25.50,2.04,2.09,10,296,25.20,-0.87,3.39,,,
Jul,10,26.00,2.50,2.42,4,175,25.80,-0.93,1.45,,,
Jul,10,27.00,3.47,3.42,10,44,2.00,-1.00,-,,,
Jul,10,27.50,3.97,3.91,4,13,2.00,-1.00,-,,,
Jul,10,28.50,4.97,4.20,2,75,2.00,-1.00,-,,,
Aug,10,21.50,0.44,0.42,5,-,34.30,-0.22,11.38,,,
Aug,10,23.00,0.85,0.86,4,56,31.20,-0.38,21.98,,,
