Stocks that moved by more than 5% for the day,,,,
,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,
,,,,
,,,,
,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%)
Mariner Corp Ltd,MCX,0.006,-0.1,-14.29
Souls Private Equity opt feb15,SOEOA,0.012,-0.2,-14.29
Apollo Cons,AOP,0.007,-0.1,-12.5
Coretrack Ltd opt nov12,CKKOA,0.08,-1,-11.11
LBT Innovations,LBT,0.058,-0.7,-10.77
Ambertech Ltd,AMO,0.3,-3.5,-10.45
Smarttrans Hldgs,SMA,0.026,-0.3,-10.34
Advanced Magnesium,ANM,0.036,-0.4,-10
Vita Grp Ltd,VTG,0.27,-3,-10
Progen Pharmaceutic,PGL,0.33,-3.5,-9.59
Energio Ltd,EIO,0.038,-0.4,-9.52
Nexbis Ltd,NBS,0.095,-1,-9.52
Enerji Ltd opt dec16,ERJO,0.01,-0.1,-9.09
"Sunshine Heart, cdi",SHC,0.032,-0.3,-8.57
Rubik Financial,RFL,0.054,-0.5,-8.47
ASF Grp Ltd,AFA,0.11,-1,-8.33
Aust Vintage Ltd,AVG,0.3,-2.5,-7.69
ADG Global Supply,ADQ,0.065,-0.5,-7.14
Souls Private Equity,SOE,0.078,-0.6,-7.14
BPH Energy Ltd,BPH,0.041,-0.3,-6.82
Empired Ltd,EPD,0.205,-1.5,-6.82
CMI Ltd,CMI,0.84,-6,-6.67
Excela Ltd,EXA,0.28,-2,-6.67
Cougar Energy,CXY,0.015,-0.1,-6.25
Quest Min Ltd,QNL,0.046,-0.3,-6.12
Integrated Research,IRI,0.31,-2,-6.06
Port Bouvard Ltd,PBD,0.078,-0.5,-6.02
Hexima Ltd,HXL,0.33,-2,-5.71
Mikoh Corp,MIK,0.033,-0.2,-5.71
Phylogica Ltd,PYC,0.066,-0.4,-5.71
Electro Optic Sys,EOS,1.17,-7,-5.65
Cathrx Ltd,CXD,0.17,-1,-5.56
Paragon Care Ltd opt may12,PGCOA,0.017,-0.1,-5.56
