Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 5024.1 at 16:35 15/4/2010  Report at 19:05 Thursday 15/4/2010. Processed 19:12 Thursday 15/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
GBM Rsources Ltd opt jun10,GBZO,0.015,-0.5,-25.00,,,,,,,,
Astro Res NL opt nov12,AROOB,0.004,-0.1,-20.00,,,,,,,,
Westralian Gas & Pwr opt oct11,WGPOA,0.004,-0.1,-20.00,,,,,,,,
Convergent Min opt dec11,CVGO,0.025,-0.5,-16.67,,,,,,,,
Quantum Res,QUR,0.015,-0.3,-16.67,,,,,,,,
Uran Ltd opt jul12,URAOA,0.005,-0.1,-16.67,,,,,,,,
Wild Acre Metals,WAC,0.20,-4,-16.67,,,,,,,,
Boss Energy Ltd,BOE,0.042,-0.8,-16.00,,,,,,,,
Gulf Res,GLF,0.021,-0.4,-16.00,,,,,,,,
Admiralty Res,ADY,0.011,-0.2,-15.38,,,,,,,,
Great Western Exp opt jun12,GTEO,0.042,-0.7,-14.29,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.036,-0.6,-14.29,,,,,,,,
Proto Resource & opt dec13,PRWOA,0.006,-0.1,-14.29,,,,,,,,
Moby Oil & Gas,MOG,0.165,-2.5,-13.16,,,,,,,,
Pelican Res,PEL,0.08,-1.2,-13.04,,,,,,,,
Oil Basins Ltd,OBL,0.054,-0.8,-12.90,,,,,,,,
Ausgold Ltd opt mar13,AUCO,0.061,-0.9,-12.86,,,,,,,,
MEC Res opt jul13,MMRO,0.245,-3.5,-12.50,,,,,,,,
Crossland Uranium,CUX,0.15,-2,-11.76,,,,,,,,
Minerals Corp 10.5%db11,MSCHF,0.45,-6,-11.76,,,,,,,,
Mantle Min Corp,MNM,0.031,-0.4,-11.43,,,,,,,,
Superior Res,SPQ,0.062,-0.8,-11.43,,,,,,,,
Adavale Resource,ADD,0.039,-0.5,-11.36,,,,,,,,
Golden Cross,GCR,0.017,-0.2,-10.53,,,,,,,,
Rand Min NL,RND,0.36,-4,-10.00,,,,,,,,
Thor Min Plc cdi,THR,0.018,-0.2,-10.00,,,,,,,,
Caspian Oil & Gas,CIG,0.01,-0.1,-9.09,,,,,,,,
Fox Res opt nov10,FXRO,0.04,-0.4,-9.09,,,,,,,,
Groote Res Ltd opt jun10,GOTO,0.60,-6,-9.09,,,,,,,,
Zambezi Res cdi,ZRL,0.03,-0.3,-9.09,,,,,,,,
Augur Res Ltd,AUK,0.155,-1.5,-8.82,,,,,,,,
Northern Min,NMI,0.155,-1.5,-8.82,,,,,,,,
Overland Res,OVR,0.105,-1,-8.70,,,,,,,,
Breakaway Res,BRW,0.054,-0.5,-8.47,,,,,,,,
Alara Res Ltd,AUQ,0.11,-1,-8.33,,,,,,,,
Black Ridge Min,BRD,0.011,-0.1,-8.33,,,,,,,,
Goldsearch Ltd,GSE,0.033,-0.3,-8.33,,,,,,,,
MIL Res,MGK,0.033,-0.3,-8.33,,,,,,,,
Red River Res,RVR,0.11,-1,-8.33,,,,,,,,
Berkeley Res opt may13,BKYO,0.78,-7,-8.24,,,,,,,,
Great Western Exp,GTE,0.175,-1.5,-7.89,,,,,,,,
Samson Oil & Gas,SSN,0.035,-0.3,-7.89,,,,,,,,
Korab Res,KOR,0.355,-3,-7.79,,,,,,,,
Chameleon Min NL,CHM,0.024,-0.2,-7.69,,,,,,,,
Comet Ridge Ltd,COI,0.30,-2.5,-7.69,,,,,,,,
Empire Oil & Gas,EGO,0.012,-0.1,-7.69,,,,,,,,
Envirogold Ltd opt dec11,EVGO,0.012,-0.1,-7.69,,,,,,,,
Meteoric Res,MEI,0.12,-1,-7.69,,,,,,,,
Regis Res opt jan14,RRLO,0.54,-4.5,-7.69,,,,,,,,
Coppermoly Ltd,COY,0.125,-1,-7.41,,,,,,,,
Atom Energy Ltd,AXY,0.052,-0.4,-7.14,,,,,,,,
Sinovus Min Ltd,SNV,0.026,-0.2,-7.14,,,,,,,,
Transit Hldgs,TRH,0.26,-2,-7.14,,,,,,,,
Bounty Oil & Gas,BUY,0.092,-0.7,-7.07,,,,,,,,
Greater Bendigo Gold,GBM,0.04,-0.3,-6.98,,,,,,,,
Northwest Res,NWR,0.081,-0.6,-6.90,,,,,,,,
Equatorial Coal,EQX,0.028,-0.2,-6.67,,,,,,,,
Lincoln Min opt jun10,LMLO,0.042,-0.3,-6.67,,,,,,,,
Peninsula Min opt jun12,PENOA,0.028,-0.2,-6.67,,,,,,,,
Po Valley Energy,PVE,1.165,-8,-6.43,,,,,,,,
Aust Renewable,ARW,0.015,-0.1,-6.25,,,,,,,,
East Energy Resource,EER,0.15,-1,-6.25,,,,,,,,
Zamia Gold Mines,ZGM,0.092,-0.6,-6.12,,,,,,,,
Altura Min Ltd,AJM,0.31,-2,-6.06,,,,,,,,
Atticus Resource,ACZ,0.16,-1,-5.88,,,,,,,,
Laguna Res NL,LRC,0.016,-0.1,-5.88,,,,,,,,
Syndicated Metals,SMD,0.16,-1,-5.88,,,,,,,,
Cockatoo Coal,COK,0.485,-3,-5.83,,,,,,,,
ORH Ltd,ORH,0.033,-0.2,-5.71,,,,,,,,
Redbank Copper,RCP,0.05,-0.3,-5.66,,,,,,,,
DVM Intl  Ltd,DVM,0.085,-0.5,-5.56,,,,,,,,
