Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4622.9 at 16:47 10/12/2009  Report at 19:05 Thursday 10/12/2009. Processed 19:19 Thursday 10/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Orion Pet Ltd opt sep10,OIPO,0.007,-0.3,-30.00
Transit Hldgs opt dec09,TRHO,0.175,-7.5,-30.00
Traka Res,TKL,0.13,-4.5,-25.71
Aurium Res opt may10,AGUO,0.003,-0.1,-25.00
Northern Star,NST,0.03,-1,-25.00
Coppermoly Ltd opt apr11,COYO,0.02,-0.6,-23.08
Iron Ore Hldgs opt apr11,IOHO,0.51,-14,-21.54
Saracen Min opt jun13,SARO,0.24,-6,-20.00
Rum Jungle Uranium,RUM,0.086,-1.9,-18.10
Cobar Cons,CCU,0.245,-5,-16.95
ARC Explore Ltd opt jun12,ARXO,0.005,-0.1,-16.67
Axiom Min Ltd cdi,AVQ,0.015,-0.3,-16.67
Transit Hldgs,TRH,0.465,-9,-16.22
Nuenergy Capital,NGY,0.105,-2,-16.00
Central Pet opt jun10,CTPOA,0.029,-0.5,-14.71
Laconia Res Ltd,LCR,0.15,-2.5,-14.29
Modena Res Ltd,MDA,0.042,-0.7,-14.29
Sunset Energy Ltd,SEY,0.12,-2,-14.29
Triangle Energy,TEG,0.03,-0.5,-14.29
United Uranium opt jun12,UULOA,0.06,-1,-14.29
ARC Explore Ltd opt jan11,ARXOA,0.013,-0.2,-13.33
Promesa Ltd,PRA,0.07,-1,-12.50
Buxton Res Ltd,BUX,0.057,-0.8,-12.31
Metgasco Ltd,MEL,0.685,-9.5,-12.18
Republic Gold Ltd opt jun11,RAUOA,0.008,-0.1,-11.11
Rubicon Res,RBR,0.056,-0.7,-11.11
Aura Energy,AEE,0.125,-1.5,-10.71
Hampton Hill Min,HHM,0.25,-3,-10.71
Oilex Ltd,OEX,0.17,-2,-10.53
Poseidon Nick Ltd,POS,0.225,-2.5,-10.00
Red Sky Energy,ROG,0.036,-0.4,-10.00
Red Sky Energy  opt sep11,ROGOA,0.018,-0.2,-10.00
Galaxy Res,GXY,1.22,-13,-9.63
East Energy Resource,EER,0.095,-1,-9.52
Emergent Res,EMG,0.645,-6.5,-9.15
Astro Res NL,ARO,0.01,-0.1,-9.09
Monto Min Ltd,MOO,0.01,-0.1,-9.09
Rox Res,RXL,0.02,-0.2,-9.09
Samson Oil & Gas,SSN,0.01,-0.1,-9.09
Caledon Res cdi,CCD,0.72,-7,-8.86
Chalice Gold Mines,CHN,0.47,-4.5,-8.74
Apollo Min Ltd,AON,0.21,-2,-8.70
Zedex Min fpo nz,ZDX,0.105,-1,-8.70
Karoon Gas Aust,KAR,7.68,-72,-8.57
Avanco Res Ltd,AVB,0.022,-0.2,-8.33
Batavia Min,BTV,0.11,-1,-8.33
Coalspur Mines opt jun11,CPLO,0.22,-2,-8.33
Ethan Min Ltd,ETH,0.165,-1.5,-8.33
Midwinter Resourc,MWN,0.11,-1,-8.33
Resolute Min,RSG,0.88,-8,-8.33
Rubianna Res Ltd,RRE,0.275,-2.5,-8.33
Territory Uranium,TUC,0.11,-1,-8.33
Uramet Min,URM,0.055,-0.5,-8.33
Mundo Min,MUN,0.23,-2,-8.00
United Uranium,UUL,0.23,-2,-8.00
Victoria Pet opt jan10,VPEO,0.046,-0.4,-8.00
Cooper Energy Ltd,COE,0.475,-4,-7.77
Apex Min NL opt nov12,AXMO,0.012,-0.1,-7.69
Carpentaria Exp,CAP,0.12,-1,-7.69
Empire Oil & Gas,EGO,0.012,-0.1,-7.69
Scotgold Res,SGZ,0.12,-1,-7.69
Magnum Min & Exp,MGU,0.073,-0.6,-7.59
Resolute Min opt dec11,RSGO,0.37,-3,-7.50
Gold One Int Ltd opt oct12,GDOO,0.125,-1,-7.41
Golden Rim Res,GMR,0.125,-1,-7.41
Odin Energy Ltd,ODN,0.025,-0.2,-7.41
Dourado Res Ltd opt nov14,DUOO,0.065,-0.5,-7.14
RAM Res,RMR,0.04,-0.3,-6.98
Coalspur Mines,CPL,0.27,-2,-6.90
Carbon Energy,CNX,0.77,-5.5,-6.67
China Yunnan Copper,CYU,0.21,-1.5,-6.67
Flinders Mines,FMS,0.14,-1,-6.67
Forte Energy NL,FTE,0.14,-1,-6.67
Global Geoscience opt aug12,GSCO,0.028,-0.2,-6.67
Newera Uranium,NRU,0.042,-0.3,-6.67
Territory Res,TTY,0.145,-1,-6.45
Venture Min,VMS,0.29,-2,-6.45
Geopacific Res,GPR,0.03,-0.2,-6.25
Mount Burgess Min,MTB,0.015,-0.1,-6.25
Nimrodel Res,NMR,0.075,-0.5,-6.25
Platsearch NL,PTS,0.075,-0.5,-6.25
Red 5 Ltd,RED,0.15,-1,-6.25
Marengo Min,MGO,0.155,-1,-6.06
Planet Gas Ltd,PGS,0.155,-1,-6.06
Venus Res,VNS,0.47,-3,-6.00
Adelaide Res,ADN,0.315,-2,-5.97
Aust Renewable,ARW,0.016,-0.1,-5.88
Beach Pet opt jun10,BPTO,0.016,-0.1,-5.88
European Gas,EPG,0.16,-1,-5.88
Laguna Res NL,LRC,0.016,-0.1,-5.88
Nupower Res,NUP,0.064,-0.4,-5.88
Giralia Res NL,GIR,1.29,-8,-5.84
Greenearth Energy,GER,0.245,-1.5,-5.77
Natasa Min Ltd,NSN,1.31,-8,-5.76
Horizon Oil Ltd,HZN,0.33,-2,-5.71
Golden Gate Pet opt aug12,GGPO,0.017,-0.1,-5.56
Pac Ore Ltd opt sep12,PSFO,0.017,-0.1,-5.56
Tribune Res NL,TBR,0.685,-4,-5.52
Luiri Gold Ltd cdi 1:1,LGM,0.35,-2,-5.41
Atlas Iron Ltd,AGO,1.76,-10,-5.38
Contl Coal Ltd opt feb13,CCCO,0.018,-0.1,-5.26
Universal Res,URL,0.018,-0.1,-5.26
Finders Res,FND,0.37,-2,-5.13
Alchemy Resource opt aug10,ALYO,0.47,-2.5,-5.05
AED Oil Ltd,AED,0.565,-3,-5.04
Bauxite Resource,BAU,0.76,-4,-5.00
Citadel Resource Grp,CGG,0.38,-2,-5.00
Dynasty Metals,DMA,0.19,-1,-5.00
Greenpower Enrgy,GPP,0.095,-0.5,-5.00
Meridian Min,MII,0.076,-0.4,-5.00
