Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:05 Wednesday 16/6/2010. Processed 19:11 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Resourc & En Grp,REZ,0.10,-2,-16.67,,,,,,,,
TSV Hldgs Ltd,TSH,0.10,-2,-16.67,,,,,,,,
Wasabi Energy Ltd,WAS,0.011,-0.2,-15.38,,,,,,,,
Humanis Grp Ltd,HUM,0.012,-0.2,-14.29,,,,,,,,
Arturus Capital,AKW,0.10,-1.5,-13.04,,,,,,,,
Bravura Solutions,BVA,0.105,-1.5,-12.50,,,,,,,,
Cordlife Ltd,CBB,0.35,-5,-12.50,,,,,,,,
EVZ Ltd,EVZ,0.07,-1,-12.50,,,,,,,,
Ecsi Ltd,ECS,0.022,-0.3,-12.00,,,,,,,,
Apollo Cons,AOP,0.008,-0.1,-11.11,,,,,,,,
Stirling Products,STI,0.008,-0.1,-11.11,,,,,,,,
Enerji Ltd,ERJ,0.033,-0.4,-10.81,,,,,,,,
ECO Quest,ECQ,0.09,-1,-10.00,,,,,,,,
Ipernica Ltd,IPR,0.09,-1,-10.00,,,,,,,,
Resonance Health,RHT,0.019,-0.2,-9.52,,,,,,,,
National Leisure,NLG,0.01,-0.1,-9.09,,,,,,,,
RER Grp Ltd opt dec10,RGDO,0.10,-1,-9.09,,,,,,,,
Runge Ltd,RUL,0.43,-4,-8.51,,,,,,,,
Atlas Southsea Pearl,ATP,0.11,-1,-8.33,,,,,,,,
Comops Ltd,COM,0.055,-0.5,-8.33,,,,,,,,
RCL Grp stp,RLG,0.074,-0.6,-7.50,,,,,,,,
NSL Cons Ltd,NSL,0.08,-0.6,-6.98,,,,,,,,
Thomas & Coffey,THO,0.335,-2.5,-6.94,,,,,,,,
Phosphagenics Ltd,POH,0.135,-1,-6.90,,,,,,,,
Pulse Health Ltd,PHG,0.041,-0.3,-6.82,,,,,,,,
iSOFT Group Ltd,ISF,0.275,-2,-6.78,,,,,,,,
Hot Rock Ltd,HRL,0.07,-0.5,-6.67,,,,,,,,
Orbital Corp Ltd,OEC,0.028,-0.2,-6.67,,,,,,,,
RER Grp Ltd,RGD,0.28,-2,-6.67,,,,,,,,
Greencap Ltd,GCG,0.075,-0.5,-6.25,,,,,,,,
Hostech Ltd,HTC,0.015,-0.1,-6.25,,,,,,,,
Nomad Bld,NOD,0.15,-1,-6.25,,,,,,,,
HGL Ltd,HNG,1.17,-7,-5.65,,,,,,,,
Halcygen Pharma,HGN,0.51,-3,-5.56,,,,,,,,
