Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4981.2 at 16:34 11/1/2010  Report at 19:05 Monday 11/1/2010. Processed 20:40 Monday 11/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Argent Min opt jun11,ARDO,0.025,-1,-28.57,,,,,,,,
Iron Mountain opt feb12,IRMO,0.022,-0.8,-26.67,,,,,,,,
Hawthorn Res opt feb13,HAWOB,0.003,-0.1,-25.00,,,,,,,,
White Canyon Uranium opt jan10,WCUO,0.009,-0.3,-25.00,,,,,,,,
Jupiter Energy opt jun10,JPROA,0.013,-0.4,-23.53,,,,,,,,
United Uranium opt jun12,UULOA,0.05,-1.4,-21.87,,,,,,,,
Torrens Energy opt mar10,TEYO,0.04,-1,-20.00,,,,,,,,
Astro Res NL,ARO,0.009,-0.2,-18.18,,,,,,,,
Desert Energy opt apr10,DSNO,0.009,-0.2,-18.18,,,,,,,,
Bowen Energy Ltd,BWN,0.091,-1.9,-17.27,,,,,,,,
Baraka Pet,BKP,0.005,-0.1,-16.67,,,,,,,,
Burey Gold Ltd,BYR,0.036,-0.7,-16.28,,,,,,,,
Atlantic Gold NL opt jan11,ATVOA,0.021,-0.4,-16.00,,,,,,,,
Bondi Min Ltd,BOM,0.145,-2.5,-14.71,,,,,,,,
Aura Energy,AEE,0.12,-2,-14.29,,,,,,,,
Meteoric Res,MEI,0.15,-2.5,-14.29,,,,,,,,
Lakes Oil NL,LKO,0.007,-0.1,-12.50,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.007,-0.1,-12.50,,,,,,,,
Quest Pet,QPN,0.007,-0.1,-12.50,,,,,,,,
Rawson Res,RAW,0.105,-1.5,-12.50,,,,,,,,
Kuth Energy Ltd,KEN,0.11,-1.5,-12.00,,,,,,,,
Eagle Eye Metals,EYE,0.052,-0.7,-11.86,,,,,,,,
Nex Metals Explor,NME,0.23,-3,-11.54,,,,,,,,
Augur Res Ltd,AUK,0.16,-2,-11.11,,,,,,,,
Lonrho Min Ltd,LOM,0.016,-0.2,-11.11,,,,,,,,
MEC Res opt jul13,MMRO,0.20,-2.5,-11.11,,,,,,,,
Stirling Min,SMZ,0.12,-1.5,-11.11,,,,,,,,
Manas Res Ltd,MSR,0.13,-1.5,-10.34,,,,,,,,
Atomic Res,ATQ,0.10,-1,-9.09,,,,,,,,
Crescent Gold,CRE,0.205,-2,-8.89,,,,,,,,
Emerald Oil & Gas,EMR,0.041,-0.4,-8.89,,,,,,,,
Minemakers Ltd opt may10,MAKO,0.055,-0.5,-8.33,,,,,,,,
Newland Res,NRL,0.022,-0.2,-8.33,,,,,,,,
Orion Pet Ltd,OIP,0.089,-0.8,-8.25,,,,,,,,
Dynasty Metals,DMA,0.235,-2,-7.84,,,,,,,,
Overland Res,OVR,0.083,-0.7,-7.78,,,,,,,,
Carpentaria Exp,CAP,0.12,-1,-7.69,,,,,,,,
Aviva Corp,AVA,0.061,-0.5,-7.58,,,,,,,,
Coal FE Res,CES,0.037,-0.3,-7.50,,,,,,,,
Reward Min Ltd,RWD,0.50,-4,-7.41,,,,,,,,
Energy And Min opt jul11,EMAO,0.051,-0.4,-7.27,,,,,,,,
Gunson Res,GUN,0.13,-1,-7.14,,,,,,,,
Coppermoly Ltd opt dec11,COYOA,0.07,-0.5,-6.67,,,,,,,,
