Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:34 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
European Gas,EPG,0.17,-2,-10.53,,,,,,,,
Caledon Res cdi,CCD,0.45,-5,-10.00,,,,,,,,
Richmond Min opt dec10,RHMO,0.054,-0.6,-10.00,,,,,,,,
Royal Res opt oct13,ROYOA,0.072,-0.8,-10.00,,,,,,,,
Yellow Rock,YRR,0.018,-0.2,-10.00,,,,,,,,
Sabre Res,SBR,0.32,-3.5,-9.86,,,,,,,,
Global Nickel Invest,GNI,0.046,-0.5,-9.80,,,,,,,,
Canyon Res Ltd,CAY,0.28,-3,-9.68,,,,,,,,
Contl Coal Ltd opt feb13,CCCO,0.019,-0.2,-9.52,,,,,,,,
Alara Res Ltd,AUQ,0.086,-0.9,-9.47,,,,,,,,
Anglo Aust,AAR,0.039,-0.4,-9.30,,,,,,,,
Bathurst Res,BTU,0.15,-1.5,-9.09,,,,,,,,
Rimfire Pacific,RIM,0.01,-0.1,-9.09,,,,,,,,
Comet Ridge Ltd,COI,0.155,-1.5,-8.82,,,,,,,,
Gladiator Res,GLA,0.22,-2,-8.33,,,,,,,,
Golden Gate Pet opt aug12,GGPO,0.011,-0.1,-8.33,,,,,,,,
Chesser Res,CHZ,0.34,-3,-8.11,,,,,,,,
Sth American Cor,SAY,0.035,-0.3,-7.89,,,,,,,,
Platina Res,PGM,0.235,-2,-7.84,,,,,,,,
HOT Chili Ltd,HCH,0.18,-1.5,-7.69,,,,,,,,
Midas Res,MDS,0.06,-0.5,-7.69,,,,,,,,
New Guinea Energy,NGE,0.18,-1.5,-7.69,,,,,,,,
Padbury Min Ltd,PDY,0.012,-0.1,-7.69,,,,,,,,
Red Sky Energy,ROG,0.012,-0.1,-7.69,,,,,,,,
Republic Gold Ltd,RAU,0.012,-0.1,-7.69,,,,,,,,
Renaissance Min,RNS,0.185,-1.5,-7.50,,,,,,,,
Carbine Res,CRB,0.31,-2.5,-7.46,,,,,,,,
Encounter Res,ENR,0.25,-2,-7.41,,,,,,,,
AWE Ltd,AWE,1.61,-12.5,-7.20,,,,,,,,
Acclaim Explore,AEX,0.013,-0.1,-7.14,,,,,,,,
Gleneagle Gold,GLN,0.013,-0.1,-7.14,,,,,,,,
India Res,IRL,0.013,-0.1,-7.14,,,,,,,,
Niplats Aust,NIP,0.205,-1.5,-6.82,,,,,,,,
Catalpa Res opt oct11,CAHOB,0.55,-4,-6.78,,,,,,,,
Alchemy Resource opt aug10,ALYO,0.14,-1,-6.67,,,,,,,,
Geopacific Res,GPR,0.56,-4,-6.67,,,,,,,,
Rialto Energy opt jun11,RIAO,0.07,-0.5,-6.67,,,,,,,,
Nucoal Res NL,NCR,0.215,-1.5,-6.52,,,,,,,,
Ashburton Min,ATN,0.015,-0.1,-6.25,,,,,,,,
Phoenix Copper,PNX,0.15,-1,-6.25,,,,,,,,
Pluton Res,PLV,0.375,-2.5,-6.25,,,,,,,,
Metminco Ltd,MNC,0.155,-1,-6.06,,,,,,,,
Hill End Gold,HEG,0.094,-0.6,-6.00,,,,,,,,
Mintails Ltd,MLI,0.016,-0.1,-5.88,,,,,,,,
Pioneer Res Ltd,PIO,0.032,-0.2,-5.88,,,,,,,,
Conquest Min,CQT,0.325,-2,-5.80,,,,,,,,
Bauxite Resource,BAU,0.165,-1,-5.71,,,,,,,,
Northern Uranium,NTU,0.066,-0.4,-5.71,,,,,,,,
Segue Res,SEG,0.017,-0.1,-5.56,,,,,,,,
Signature Metals,SBL,0.017,-0.1,-5.56,,,,,,,,
GBM Rsources Ltd,GBZ,0.052,-0.3,-5.45,,,,,,,,
Gold One Int Ltd,GDO,0.27,-1.5,-5.26,,,,,,,,
Newport Min Ltd,NMN,0.54,-3,-5.26,,,,,,,,
Montezuma Min Co,MZM,0.37,-2,-5.13,,,,,,,,
Nyota Min Ltd,NYO,0.28,-1.5,-5.08,,,,,,,,
Castle Min,CDT,0.38,-2,-5.00,,,,,,,,
Heron Res,HRR,0.19,-1,-5.00,,,,,,,,
Westgold Res,WGR,0.285,-1.5,-5.00,,,,,,,,
