Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:05 Friday 21/5/2010. Processed 19:13 Friday 21/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Axiom Prop,AXI,0.025,-0.3,-10.71,,,,,,,,
Koon Hldgs cdi,KNH,0.25,-3,-10.71,,,,,,,,
Redcape Prop Grp stp,RPF,0.25,-3,-10.71,,,,,,,,
Virax Hldgs,VHL,0.067,-0.8,-10.67,,,,,,,,
Structural Monitor cdi,SMN,0.017,-0.2,-10.53,,,,,,,,
Techniche Ltd,TCN,0.034,-0.4,-10.53,,,,,,,,
TPL Corp Ltd,TPL,0.017,-0.2,-10.53,,,,,,,,
Jumbuck Entertain,JMB,0.215,-2.5,-10.42,,,,,,,,
CPI Grp Ltd,CPI,0.26,-3,-10.34,,,,,,,,
Biotron Ltd,BIT,0.061,-0.7,-10.29,,,,,,,,
Mint Wireless,MNW,0.035,-0.4,-10.26,,,,,,,,
Eastland Medical,EMS,0.053,-0.6,-10.17,,,,,,,,
Talent2 Internation,TWO,1.34,-15,-10.07,,,,,,,,
Centro Prop stp,CNP,0.18,-2,-10.00,,,,,,,,
Circadian Tech,CIR,0.63,-7,-10.00,,,,,,,,
Island Sky Aust,ISK,0.045,-0.5,-10.00,,,,,,,,
Stanfield Funds,SFN,0.009,-0.1,-10.00,,,,,,,,
WDS Ltd,WDS,0.39,-4,-9.30,,,,,,,,
PharmAust Ltd,PAA,0.059,-0.6,-9.23,,,,,,,,
Bremer Park Ltd,BPK,0.01,-0.1,-9.09,,,,,,,,
Brisconnection Tr stp,BCS,1.00,-10,-9.09,,,,,,,,
China Steel,CNH,0.10,-1,-9.09,,,,,,,,
Keybridge Capital,KBC,0.09,-0.9,-9.09,,,,,,,,
Mikoh Corp,MIK,0.07,-0.7,-9.09,,,,,,,,
National Leisure,NLG,0.01,-0.1,-9.09,,,,,,,,
Oncard Intl,ONC,0.10,-1,-9.09,,,,,,,,
Soilsub Tech,SOI,0.01,-0.1,-9.09,,,,,,,,
Neptune Marine opt dec10,NMSO,0.091,-0.9,-9.00,,,,,,,,
Redflex Hldgs,RDF,1.62,-16,-8.99,,,,,,,,
ISS Grp Ltd,ISS,0.16,-1.5,-8.57,,,,,,,,
Cadence Capital,CDM,0.76,-7,-8.43,,,,,,,,
Brain Resource,BRC,0.22,-2,-8.33,,,,,,,,
Capral Ltd,CAA,0.165,-1.5,-8.33,,,,,,,,
Mesbon China Nylon,MES,0.11,-1,-8.33,,,,,,,,
TZ Ltd,TZL,0.55,-5,-8.33,,,,,,,,
Clean Teq Hldgs,CLQ,0.28,-2.5,-8.20,,,,,,,,
Sedgman Ltd,SDM,1.24,-11,-8.15,,,,,,,,
Bentley Capital,BEL,0.23,-2,-8.00,,,,,,,,
Medic Vision Ltd,MVH,0.023,-0.2,-8.00,,,,,,,,
Senetas Corp,SEN,0.046,-0.4,-8.00,,,,,,,,
Viralytics Ltd,VLA,0.046,-0.4,-8.00,,,,,,,,
M2 Telecommun,MTU,1.52,-13,-7.88,,,,,,,,
Biodiem Ltd,BDM,0.12,-1,-7.69,,,,,,,,
Energy Ventures,EVE,0.036,-0.3,-7.69,,,,,,,,
Multiplex European unt,MUE,0.125,-1,-7.41,,,,,,,,
Codan Ltd,CDA,1.26,-10,-7.35,,,,,,,,
Early Learning Serv,ELY,0.51,-4,-7.27,,,,,,,,
Advanced Energy,AES,0.065,-0.5,-7.14,,,,,,,,
Quickstep Hldgs,QHL,0.325,-2.5,-7.14,,,,,,,,
Sterihealth Ltd,STP,1.30,-10,-7.14,,,,,,,,
Vision Grp Hldgs,VGH,0.465,-3.5,-7.00,,,,,,,,
E-Pay Asia Ltd,EPY,0.20,-1.5,-6.98,,,,,,,,
Penrice Soda,PSH,0.40,-3,-6.98,,,,,,,,
PMP Ltd,PMP,0.54,-4,-6.90,,,,,,,,
Praemium Ltd,PPS,0.135,-1,-6.90,,,,,,,,
Jetset Travelworld,JET,0.885,-6.5,-6.84,,,,,,,,
Nick Scali Ltd,NCK,1.305,-9.5,-6.79,,,,,,,,
Dolomatrix Intl,DMX,0.28,-2,-6.67,,,,,,,,
GLG Corp Ltd,GLE,0.28,-2,-6.67,,,,,,,,
Optiscan Imaging,OIL,0.056,-0.4,-6.67,,,,,,,,
Pro Medicus Ltd   ,PME,0.56,-4,-6.67,,,,,,,,
iiNet Ltd,IIN,2.55,-18,-6.59,,,,,,,,
Saferoads Hldgs,SRH,0.50,-3.5,-6.54,,,,,,,,
Centro Retail stp,CER,0.215,-1.5,-6.52,,,,,,,,
Avexa Ltd,AVX,0.029,-0.2,-6.45,,,,,,,,
ETFS Metals etfs pt,ETPMPT,179.39,-1221,-6.37,,,,,,,,
Mirrabooka Invest,MIR,1.555,-10.5,-6.33,,,,,,,,
PaperlinX Ltd,PPX,0.67,-4.5,-6.29,,,,,,,,
Aii300metals&Min etf unt,MAM,3.90,-26,-6.25,,,,,,,,
Humanis Grp Ltd,HUM,0.015,-0.1,-6.25,,,,,,,,
Wasabi Energy Ltd,WAS,0.015,-0.1,-6.25,,,,,,,,
Universal Biosensors cdi,UBI,1.36,-9,-6.21,,,,,,,,
Aii200financials etf unt,FIN,4.32,-28,-6.09,,,,,,,,
Warrnambool Cheese,WCB,3.25,-21,-6.07,,,,,,,,
Ozgrowth Ltd,OZG,0.155,-1,-6.06,,,,,,,,
Phosphagenics Ltd,POH,0.155,-1,-6.06,,,,,,,,
RP Data Ltd,RPX,0.93,-6,-6.06,,,,,,,,
Q Ltd,QXQ,0.047,-0.3,-6.00,,,,,,,,
Equity Tr,EQT,15.47,-98,-5.96,,,,,,,,
Antisense Therapeutic,ANP,0.016,-0.1,-5.88,,,,,,,,
Cougar Energy,CXY,0.08,-0.5,-5.88,,,,,,,,
Sth Crs Elect Engnr,SXE,1.12,-7,-5.88,,,,,,,,
Telezon Ltd,TLZ,0.08,-0.5,-5.88,,,,,,,,
Van Eyk Three Pillar,VTP,0.80,-5,-5.88,,,,,,,,
Gage Roads Brewing,GRB,0.082,-0.5,-5.75,,,,,,,,
Reef Casino Tr unt,RCT,1.82,-11,-5.70,,,,,,,,
Goodman Grp forus,GMG,0.58,-3.5,-5.69,,,,,,,,
Tox Free Solutions,TOX,2.16,-13,-5.68,,,,,,,,
Alinta Energy Grp stp,AEJ,0.05,-0.3,-5.66,,,,,,,,
QRSciences Hldgs,QRS,0.05,-0.3,-5.66,,,,,,,,
Structural Systems,STS,0.50,-3,-5.66,,,,,,,,
HGL Ltd,HNG,1.10,-6.5,-5.58,,,,,,,,
Cardia Bioplastics,CNN,0.017,-0.1,-5.56,,,,,,,,
CEC Grp Ltd,CEG,0.085,-0.5,-5.56,,,,,,,,
Logicamms Ltd,LCM,0.85,-5,-5.56,,,,,,,,
Gunns Ltd,GNS,0.35,-2,-5.41,,,,,,,,
Solco Ltd,SOO,0.07,-0.4,-5.41,,,,,,,,
Eastland Medical opt jun11,EMSOB,0.018,-0.1,-5.26,,,,,,,,
Embelton Ltd,EMB,4.50,-25,-5.26,,,,,,,,
Mastermyne Grp,MYE,0.90,-5,-5.26,,,,,,,,
