Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
NABIZW,15.90,03/06/11,1:1,14.18,14.23,13.91,-,-,,,,
NABIZZ,15.90,03/06/11,1:1,14.18,14.23,14.12,-,-,,,,
NABIOD,14.50,17/06/11,1:1,15.35,15.37,14.68,-,-,,,,
NABSMV,19.19,30/06/11,1:1,8.77,-,6.09,-,-,,,,
NABSM3,22.97,30/06/11,1:1,5.26,-,-,-,-,,,,
NABIOO,16.00,15/12/11,1:1,14.71,14.73,14.85,26,101,,,,
NABIOI,22.50,15/12/11,1:1,10.58,10.6,10.02,-,-,,,,
NABSOA,22.33,28/06/12,1:1,8.61,8.63,7.84,-,-,,,,
NABSMW,23.55,29/06/12,1:1,5.25,-,5.44,29,6,,,,
NABSOB,13.77,27/06/13,1:1,15.54,15.56,15.50,-,-,,,,
NABSMZ,15.26,28/06/13,1:1,12.74,-,12.56,-,-,,,,
NABSMA,20.03,28/06/13,1:1,8.03,-,8.16,-27,30,,,,
NABSOC,8.28,26/06/14,1:1,19.94,19.96,19.49,-,-,,,,
NABSSA,20.93,30/06/14,1:1,10.52,-,10.32,-,-,,,,
NABSOD,16.00,26/06/15,1:1,15.21,15.23,13.32,-,-,,,,
NABSWM,9.87,30/06/15,1:1,-,-,18.23,-,-,,,,
NABSZA,12.68,30/06/15,1:1,15.3,-,14.48,-,-,,,,
NABSSB,16.18,30/06/15,1:1,13.63,-,13.28,-,-,,,,
NABSWB,13.81,30/06/16,1:1,-,-,14.01,-,-,,,,
NABSWC,19.39,30/06/16,1:1,-,-,9.44,-,-,,,,
NABSZB,20.05,30/06/16,1:1,10.37,-,10.37,64,10,,,,
NABSMX,21.32,30/06/16,1:1,7.58,-,7.34,-,-,,,,
NABSWD,28.09,30/06/16,1:1,5.65,-,5.27,-,-,,,,
NABSMY,26.16,30/06/17,1:1,5.78,-,5.79,-,-,,,,
NABSZD,13.28,28/06/18,1:1,14.75,-,12.54,-,-,,,,
NABSMB,20.03,29/06/18,1:1,8.56,-,7.52,-,-,,,,
NABSZX,9.42,04/02/19,1:1,18.2,18.25,18.16,-,-,,,,
NABSZW,13.44,04/02/19,1:1,14.18,14.23,14.27,25,1410,,,,
Newcrest Min Last Sale Price $33.78,,,,,,,,,,,,
NCMIYH,13.36,14/05/10,1:1,19.43,19.7,22.02,-,-,,,,
NCMIMC,14.50,19/05/10,1:1,19.4,19.53,19.78,-,-,,,,
NCMIMD,20.50,19/05/10,1:1,13.45,13.58,12.60,-,-,,,,
