Warrant Market - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:17 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
WOWVMF,24.00,23/09/10,4:1,0.525,0.56,0.645,-21,20,,,,
WOWUMC,27.00,23/09/10,4:1,0.089,0.105,0.096,-18.4,1450,,,,
WOWUMD,30.00,23/09/10,4:1,0.001,-,-,-,-,,,,
Woodside Pet Last Sale Price $41.92,,,,,,,,,,,,
WPLVZE,48.00,28/07/10,5:1,0.001,0.04,-,-,-,,,,
WPLVZF,44.00,25/08/10,5:1,0.245,0.27,-,-,-,,,,
WPLWOA,46.00,26/08/10,5:1,0.055,0.06,0.055,-5,2920,,,,
WPLWOB,50.00,26/08/10,5:1,0.018,0.023,-,-,-,,,,
WPLUMC,44.00,23/09/10,4:1,0.36,0.39,0.38,-7.5,107,,,,
WPLWMH,45.00,23/09/10,4:1,0.27,0.3,0.27,-10,276,,,,
Equity Put Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
AMPWOP,5.50,23/09/10,3:1,0.145,0.15,-,-,-,,,,
AMPWOQ,6.25,23/09/10,3:1,0.35,0.355,0.35,1.5,3700,,,,
ANZ Banking Grp Last Sale Price $22.41,,,,,,,,,,,,
ANZVZS,22.00,28/07/10,4:1,0.06,0.074,0.057,-11.3,400,,,,
ANZVZT,22.00,25/08/10,4:1,0.205,0.23,-,-,-,,,,
ANZVMP,18.00,23/09/10,4:1,0.053,0.058,-,-,-,,,,
ANZVMQ,20.00,23/09/10,4:1,0.12,0.13,-,-,-,,,,
ANZWOV,20.50,23/09/10,4:1,0.135,0.14,0.15,-0.5,316,,,,
ANZWMV,22.00,23/09/10,4:1,0.255,0.27,-,-,-,,,,
ANZWOW,22.00,23/09/10,4:1,0.245,0.25,0.245,-5.5,17,,,,
ANZVMR,24.00,23/09/10,4:1,0.51,0.53,-,-,-,,,,
ANZWOX,24.00,23/09/10,4:1,0.5,0.505,0.50,-2,50,,,,
ANZVMS,26.00,23/09/10,4:1,0.885,0.91,-,-,-,,,,
ANZVMT,20.00,27/01/11,4:1,0.33,0.34,-,-,-,,,,
ANZVMV,22.00,27/01/11,4:1,0.52,0.53,-,-,-,,,,
ANZVMW,24.00,27/01/11,4:1,0.78,0.795,-,-,-,,,,
ANZVMX,26.00,27/01/11,4:1,1.105,1.125,-,-,-,,,,
ASX Ltd Last Sale Price $28.71,,,,,,,,,,,,
ASXUMP,32.00,23/09/10,4:1,1.015,1.06,0.815,-,-,,,,
BHP Billiton Ltd Last Sale Price $39.68,,,,,,,,,,,,
BHPVZS,37.00,28/07/10,4:1,0.018,0.04,0.19,-,-,,,,
BHPVZT,38.00,25/08/10,4:1,0.31,0.335,-,-,-,,,,
BHPWOR,30.00,26/08/10,4:1,0.015,0.02,0.033,-,-,,,,
BHPWOT,33.00,26/08/10,4:1,0.037,0.042,0.06,-24,1600,,,,
BHPWOU,36.00,26/08/10,4:1,0.11,0.115,0.12,-12.5,6559,,,,
BHPVOR,39.00,26/08/10,4:1,0.305,0.31,0.315,-21,5525,,,,
BHPVOS,40.50,26/08/10,4:1,0.465,0.47,0.49,-31,1500,,,,
BHPVOT,42.00,26/08/10,4:1,0.71,0.715,1.06,-,-,,,,
BHPUMU,34.00,23/09/10,4:1,0.145,0.155,0.15,-11.5,400,,,,
BHPUMW,36.00,23/09/10,4:1,0.245,0.26,0.31,-19,6000,,,,
BHPUMV,38.00,23/09/10,4:1,0.4,0.415,0.415,-12,750,,,,
BHPWMV,40.00,23/09/10,4:1,0.56,0.585,1.11,-,-,,,,
BHPVMP,42.00,23/09/10,4:1,0.86,0.885,-,-,-,,,,
BHPVMQ,40.00,27/01/11,4:1,0.95,0.97,-,-,-,,,,
BHPVMR,42.00,27/01/11,4:1,1.21,1.235,-,-,-,,,,
BHPVMS,44.00,27/01/11,4:1,1.52,1.54,-,-,-,,,,
BHPVMT,46.00,27/01/11,4:1,1.86,1.89,-,-,-,,,,
BlueScope Steel Last Sale Price $2.38,,,,,,,,,,,,
BSLWOQ,2.20,26/08/10,2:1,0.036,0.041,-,-,-,,,,
BSLUMP,2.00,28/10/10,1:1,0.089,0.096,-,-,-,,,,
Brambles Ltd Last Sale Price $5.43,,,,,,,,,,,,
BXBWOQ,7.00,26/08/10,3:1,0.53,0.535,0.475,-,-,,,,
BXBVMS,5.00,23/09/10,1:1,0.275,0.29,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $51.24,,,,,,,,,,,,
CBAVZU,50.00,28/07/10,5:1,0.086,0.1,0.405,-,-,,,,
