Warrant Market - Weekly
"Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:51 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
OZLIOV,2.15,15/12/15,1:1,2.25,2.26,1.785,-,-,
OZLIOZ,3.00,15/12/15,1:1,1.415,1.425,1.23,-,-,
OZLSOE,2.40,23/06/16,1:1,2.13,2.14,-,-,-,
OZLSOF,3.10,23/06/16,1:1,1.60,1.61,1.31,-,-,
OZLSWG,5.26,30/06/16,1:1,.57,.59,.44,-,-,
OZLSZB,17.06,30/06/16,1:1,.26,-,.38,-,-,
OZLSWB,19.87,30/06/16,1:1,.02,-,.205,-,-,
OZLSWL,1.71,30/06/17,1:1,2.87,2.89,-,-,-,
OZLSWR,2.14,30/06/20,1:1,3.20,3.22,-,-,-,

Pacific Brands Last Sale Price $0.72,
PBGSWB,1.14,30/06/16,1:1,.01,-,.02,-,-,

Paladin Energy Last Sale Price $0.25,
PDNIOV,0.19,15/12/15,1:1,.07,.08,.185,-,-,
PDNIOZ,0.35,15/12/15,1:1,.015,.025,.11,-,-,

Perpetual Last Sale Price $44.91,
PPTSMX,55.86,30/06/16,1:1,1.61,-,6.17,-,-,
PPTSMY,68.83,30/06/17,1:1,2.09,-,2.00,-,-,
PPTSRX,24.11,06/08/21,1:1,20.62,-,30.00,-,-,

Primary Health Care Last Sale Price $3.71,
PRYISI,2.22,08/06/16,1:1,1.57,1.58,2.74,-,-,
PRYSSA,2.54,08/06/16,1:1,1.29,1.30,-,-,-,
PRYSSN,5.14,30/06/16,1:1,.14,.15,-,-,-,
PRYSZC,5.84,30/06/17,1:1,.23,-,.505,-,-,
PRYSZU,1.54,04/02/19,1:1,2.17,-,1.60,-,-,

Qantas Airways,
QANIOV,0.61,15/12/15,1:1,3.37,3.38,3.38,+21,1173,
QANIOL,2.79,20/05/16,1:1,1.40,1.41,1.44,+32,5,
QANIYE,1.49,21/06/16,1:1,2.50,-,2.22,-,-,
QANSOE,1.19,23/06/16,1:1,2.81,2.82,2.29,-,-,
QANSWG,0.40,30/06/16,1:1,3.58,3.60,.98,-,-,
QANSWH,0.80,30/06/16,1:1,3.20,3.21,1.75,-,-,
QANSWB,2.36,30/06/16,1:1,1.51,-,.89,-,-,
QANSZB,2.58,30/06/16,1:1,1.46,-,1.19,-,-,
QANSMX,3.59,30/06/16,1:1,.595,-,.02,-,-,
QANIOA,1.88,21/10/16,1:1,-,-,-,-,-,
QANJOQ,2.46,30/05/19,1:1,1.485,1.495,1.27,-,-,
QANJOP,2.84,30/05/19,1:1,1.105,1.115,.98,-,-,
QANJOE,1.96,14/04/20,1:1,1.98,1.99,1.695,-,-,
QANSOH,1.78,23/06/20,1:1,-,-,-,-,-,
QANSWR,1.76,30/06/20,1:1,3.10,3.11,-,-,-,
QANSRU,0.59,06/08/21,1:1,3.34,-,.805,-,-,

QBE Insurance Grp Last Sale Price $13.25,
QBEIO2,5.50,06/11/15,1:1,7.47,7.48,7.40,-,-,
QBEIOV,8.30,15/12/15,1:1,5.06,5.07,6.19,-,-,
QBEIOZ,11.50,15/12/15,1:1,2.02,2.03,2.29,-,-,
QBEISA,13.75,31/03/16,1:1,1.02,1.03,1.80,-,-,
QBEIO1,6.50,06/05/16,1:1,7.34,7.35,-,-,-,
QBEIOL,11.50,20/05/16,1:1,2.93,2.94,2.83,-,-,
QBEISI,5.79,08/06/16,1:1,7.62,7.63,7.32,-,-,
QBESSA,6.62,08/06/16,1:1,6.86,6.87,7.95,-,-,
QBESSL,7.70,08/06/16,1:1,5.84,5.85,-,-,-,
QBEIYF,8.06,21/06/16,1:1,5.47,-,5.17,-,-,
QBEIYE,9.23,21/06/16,1:1,4.38,-,5.36,-,-,
QBEIYG,11.19,21/06/16,1:1,2.73,-,4.12,-,-,
QBESOE,8.02,23/06/16,1:1,5.60,5.61,3.70,-,-,
QBESOF,10.72,23/06/16,1:1,3.24,3.25,3.78,-,-,
QBESWS,12.21,29/06/16,1:1,2.34,2.36,-,-,-,
QBESWB,5.76,30/06/16,1:1,7.54,-,7.14,-,-,
QBESWH,6.73,30/06/16,1:1,6.87,6.89,4.99,-,-,
QBESWG,9.72,30/06/16,1:1,4.11,4.12,4.11,-,-,
QBESMX,11.53,30/06/16,1:1,2.20,-,2.10,-,-,
QBESWC,11.78,30/06/16,1:1,2.11,-,3.29,-,-,
QBESSN,14.17,30/06/16,1:1,1.05,1.06,1.67,-,-,
QBESSP,14.17,30/06/16,1:1,.98,.99,1.38,-,-,
QBESSM,14.29,30/06/16,1:1,.955,.965,-,-,-,
QBESZB,14.48,30/06/16,1:1,.89,-,1.46,-,-,
QBESWD,21.72,30/06/16,1:1,.01,-,.02,-,-,
QBEIOA,7.50,21/10/16,1:1,6.30,6.31,-,-,-,
QBESWJ,6.12,30/06/17,1:1,7.54,7.56,7.27,-,-,
QBESMY,23.64,30/06/17,1:1,.023,-,.09,-,-,
QBEJOH,6.47,12/12/17,1:1,6.78,6.79,6.35,-,-,
QBEJOJ,9.38,31/05/18,1:1,3.87,3.88,4.22,-,-,
QBESZD,11.73,28/06/18,1:1,3.45,-,1.30,-,-,
QBESMB,19.67,29/06/18,1:1,.345,-,.58,-,-,
QBESZW,9.19,04/02/19,1:1,4.06,-,3.87,-,-,
QBEJOQ,7.46,30/05/19,1:1,5.79,5.80,5.98,+29,50,
QBESO1,6.16,06/12/19,1:1,7.09,7.10,6.81,-,-,
QBEJOE,11.31,14/04/20,1:1,1.94,1.95,2.22,+30,20,
QBESOH,8.27,23/06/20,1:1,6.78,6.79,6.58,-,-,
QBESWR,7.40,30/06/20,1:1,7.57,7.59,7.36,-,-,
QBESRX,5.56,06/08/21,1:1,7.69,-,8.49,-,-,
QBESRW,9.19,06/08/21,1:1,4.06,-,4.10,-,-,

BetaShares Aus 200 Last Sale Price $11.61,
QOZSWL,5.33,30/06/17,1:1,6.63,6.68,6.82,+2,49,
QOZSWR,7.19,30/06/20,1:1,5.56,5.61,-,-,-,

Russell High Div Last Sale Price $28.39,
RDVSOZ,10.74,23/06/16,1:1,18.08,18.09,18.69,+129,14,

Ramsay Health Care Last Sale Price $62.01,
RHCISI,25.36,08/06/16,1:1,37.30,37.32,37.76,-,-,
RHCSSA,29.76,08/06/16,1:1,33.21,33.23,33.03,-,-,
RHCSWG,8.12,30/06/16,1:1,54.35,54.39,59.27,-,-,
RHCSSN,62.27,30/06/16,1:1,5.28,5.29,4.72,-,-,
RHCSSP,62.27,30/06/16,1:1,5.13,5.14,-,-,-,
RHCSSM,63.16,30/06/16,1:1,4.91,4.92,4.49,-96,3,
RHCSWL,22.28,30/06/17,1:1,42.58,42.62,40.31,-,-,
RHCJOP,36.36,30/05/19,1:1,25.66,25.67,23.93,+23,2,
RHCSO1,31.40,06/12/19,1:1,30.63,30.64,27.76,-,-,
RHCSOG,26.50,13/12/19,1:1,38.24,38.25,34.46,-,-,
RHCJOT,26.32,14/04/20,1:1,35.70,35.71,32.61,-,-,
RHCSWR,38.40,30/06/20,1:1,36.11,36.15,34.65,-,-,
RHCSRX,9.24,06/08/21,1:1,52.76,-,49.82,-,-,

Rio Tinto Last Sale Price $50.65,
RIOIO2,30.00,06/11/15,1:1,21.37,21.38,-,-,-,
RIOIOV,36.70,15/12/15,1:1,14.38,14.39,14.33,-,-,
RIOIOZ,50.50,15/12/15,1:1,3.36,3.37,5.95,-,-,
RIOIO1,28.50,06/05/16,1:1,25.24,25.25,-,-,-,
RIOIOL,36.50,20/05/16,1:1,16.50,16.51,19.52,+35,79,
RIOIOM,48.00,20/05/16,1:1,8.71,-,-,-,-,
RIOSSL,32.50,08/06/16,1:1,19.69,19.70,-,-,-,
RIOISI,32.55,08/06/16,1:1,19.60,19.61,23.06,-,-,
RIOSSA,36.81,08/06/16,1:1,15.93,15.94,18.04,-,-,
RIOIYE,31.97,21/06/16,1:1,20.13,-,22.22,-,-,
RIOIYF,43.94,21/06/16,1:1,10.33,-,14.03,-,-,
RIOSOE,40.10,23/06/16,1:1,13.90,13.91,31.56,-,-,
RIOSOF,51.56,23/06/16,1:1,7.73,7.74,16.29,-,-,
RIOSSS,31.22,24/06/16,1:1,20.95,20.96,31.50,-,-,
RIOISN,55.26,24/06/16,1:1,5.15,5.60,-,-,-,
RIOISQ,65.48,24/06/16,1:1,7.13,7.68,-,-,-,
RIOSSO,57.09,28/06/16,1:1,3.04,3.43,-,-,-,
RIOSWS,48.58,29/06/16,1:1,7.70,7.71,8.32,-,-,
RIOSWB,18.87,30/06/16,1:1,31.84,-,30.52,-,-,
RIOSWH,30.97,30/06/16,1:1,21.48,21.50,35.56,-,-,
RIOSWG,45.85,30/06/16,1:1,9.23,9.25,16.79,-,-,
RIOSMX,46.76,30/06/16,1:1,6.78,-,11.05,-,-,
RIOSZB,53.20,30/06/16,1:1,4.32,-,5.16,-,-,
RIOSSN,55.40,30/06/16,1:1,3.89,3.90,4.94,-,-,
RIOSSP,55.40,30/06/16,1:1,3.71,3.72,5.19,-,-,
RIOSSM,57.66,30/06/16,1:1,3.14,3.15,4.90,-,-,
RIOSWC,59.01,30/06/16,1:1,.82,-,2.60,-,-,
RIOSWD,86.64,30/06/16,1:1,-,-,2.49,-,-,
RIOISB,51.80,22/09/16,1:1,7.55,7.56,-,-,-,
RIOIOA,30.00,21/10/16,1:1,23.29,23.30,-,-,-,
RIOJOC,37.02,22/06/17,1:1,13.65,13.66,15.07,-58,5,
RIOSWJ,25.89,30/06/17,1:1,26.96,26.98,29.49,-,-,
RIOSMY,44.86,30/06/17,1:1,9.23,-,12.45,-,-,
RIOJOJ,34.98,31/05/18,1:1,15.69,15.70,20.00,-,-,
RIOSMB,79.97,29/06/18,1:1,.86,-,1.92,-,-,
RIOSZW,30.82,04/02/19,1:1,19.78,-,25.79,-,-,
RIOSZU,37.24,04/02/19,1:1,13.37,-,23.73,-,-,
RIOSO1,30.96,06/12/19,1:1,19.71,19.72,17.73,-,-,
RIOSOG,29.76,13/12/19,1:1,28.01,28.02,28.14,-,-,
RIOJOT,27.33,14/04/20,1:1,23.33,23.34,-,-,-,
RIOJOF,41.50,14/04/20,1:1,9.17,9.18,11.95,-,-,
RIOSWR,27.86,30/06/20,1:1,30.38,30.40,-,-,-,
RIOSRW,30.83,06/08/21,1:1,19.77,-,21.53,-,-,
RIOSRX,35.42,06/08/21,1:1,15.19,-,15.96,-,-,
RIOSRU,37.25,06/08/21,1:1,13.36,-,18.65,-,-,

ResMed Inc Last Sale Price $8.04,
RMDSO1,3.62,06/12/19,1:1,4.42,4.43,4.21,-15,230,
RMDSRT,2.04,06/08/21,1:1,6.01,-,3.65,-,-,

South32 Last Sale Price $1.47,
S32ISJ,1.20,08/06/16,1:1,.405,.415,.445,+1,50,
S32SSC,1.45,08/06/16,1:1,.26,.27,.365,-,-,
S32JOT,0.81,14/04/20,1:1,.65,.66,.67,-4,100,
S32JOA,1.11,14/04/20,1:1,.35,.36,.40,+1.5,100,
S32SWR,1.05,30/06/20,1:1,.88,.89,.91,-,-,

Scentre Grp Last Sale Price $4.14,
SCGISI,1.73,08/06/16,1:1,2.46,2.47,-,-,-,
SCGSSA,1.91,08/06/16,1:1,2.30,2.31,2.06,-,-,
SCGSSL,2.40,08/06/16,1:1,1.83,1.84,-,-,-,
SCGSSN,3.95,30/06/16,1:1,.415,.425,-,-,-,
SCGSSP,3.95,30/06/16,1:1,.405,.415,.295,-,-,
SCGSSM,4.11,30/06/16,1:1,.35,.36,-,-,-,

Seek Last Sale Price $12.83,
SEKSSO,14.32,28/06/16,1:1,.78,.885,1.54,-,-,

SPDR 50 Fund Last Sale Price $51.22,
SFYIOL,42.00,20/05/16,1:1,11.94,11.95,-,-,-,
SFYSOE,30.37,23/06/16,1:1,22.13,22.14,-,-,-,
SFYSZX,15.10,04/02/19,1:1,36.06,-,35.00,-,-,
SFYSZW,22.10,04/02/19,1:1,29.06,-,32.48,-,-,
SFYJOM,30.84,30/05/19,1:1,20.36,20.37,21.88,+12,2,
SFYSO1,25.92,06/12/19,1:1,25.28,25.29,24.41,-,-,
SFYSOG,27.37,13/12/19,1:1,25.92,25.93,25.38,-,-,
SFYSOX,20.81,19/11/20,1:1,30.39,30.40,29.88,-,-,
SFYSRX,14.70,06/08/21,1:1,36.46,-,42.00,-,-,
SFYSRT,15.10,06/08/21,1:1,36.06,-,38.34,-,-,
SFYSRW,22.10,06/08/21,1:1,29.06,-,27.58,-,-,

Slater & Gordon Last Sale Price $2.77,
SGHJOA,1.51,14/04/20,1:1,1.24,1.25,1.28,-7,980,

Stockland Last Sale Price $4.05,
SGPISI,2.10,08/06/16,1:1,2.00,2.01,-,-,-,
SGPSSA,2.31,08/06/16,1:1,1.82,1.83,-,-,-,
SGPSMY,6.27,30/06/17,1:1,.013,-,.935,-,-,
SGPSMB,4.96,29/06/18,1:1,.069,-,.32,-,-,
SGPJOP,2.76,30/05/19,1:1,1.30,1.295,1.30,+20,1,
SGPJOE,3.20,14/04/20,1:1,.85,.86,1.18,-,-,
SGPJOF,3.32,14/04/20,1:1,.725,.735,.56,-,-,
SGPSWR,2.26,30/06/20,1:1,2.38,2.40,2.59,-,-,

Sonic Healthcare Last Sale Price $19.28,
SHLISA,21.40,31/03/16,1:1,.91,.92,.84,-,-,
SHLISI,9.03,08/06/16,1:1,10.48,10.49,-,-,-,
SHLSSA,10.23,08/06/16,1:1,9.38,9.39,9.37,+40,23,
SHLIYE,9.53,21/06/16,1:1,10.05,-,-,-,-,
SHLIYF,12.72,21/06/16,1:1,7.03,-,9.21,-,-,
SHLSSO,22.15,28/06/16,1:1,.795,.955,-,-,-,
SHLSWC,3.65,30/06/16,1:1,15.64,-,16.88,-,-,
SHLSWG,4.99,30/06/16,1:1,14.52,14.54,16.09,-,-,
SHLSZB,10.69,30/06/16,1:1,8.89,-,10.28,-,-,
SHLSWL,7.71,30/06/17,1:1,12.08,12.10,11.73,-,-,
SHLSZX,4.81,04/02/19,1:1,14.47,-,14.50,-,-,
SHLSZW,7.52,04/02/19,1:1,11.76,-,9.70,-,-,
SHLSO1,9.49,06/12/19,1:1,9.79,9.80,9.48,+58,21,
SHLSWR,11.18,30/06/20,1:1,11.70,11.73,11.47,-,-,
SHLSRT,4.81,06/08/21,1:1,14.47,-,15.83,-,-,
SHLSRX,6.19,06/08/21,1:1,13.09,-,11.10,-,-,
SHLSRW,7.52,06/08/21,1:1,11.76,-,10.48,-,-,

Spark Infrastructure Last Sale Price $2.08,
SKISZX,0.20,04/02/19,1:1,1.87,-,1.525,-,-,
SKIJOP,1.19,30/05/19,1:1,.885,.895,-,-,-,
SKIJOF,1.04,14/04/20,1:1,1.035,1.045,-,-,-,
SKIJOE,1.45,14/04/20,1:1,.62,.63,-,-,-,

SPDR Prop Fund Last Sale Price $11.91,
SLFIOL,10.25,20/05/16,1:1,2.47,2.49,2.40,-,-,
SLFSZB,10.74,30/06/16,1:1,1.73,-,1.69,-,-,
SLFSZX,2.10,04/02/19,1:1,9.81,-,9.57,-,-,
SLFSZW,3.74,04/02/19,1:1,8.17,-,8.00,-,-,
SLFSO1,5.97,14/04/20,1:1,5.84,5.86,5.30,-,-,
SLFSOX,3.27,19/11/20,1:1,8.53,8.56,8.38,-,-,
SLFSRY,2.47,06/08/21,1:1,9.45,-,6.64,-,-,
SLFSRW,3.75,06/08/21,1:1,8.16,-,5.28,-,-,

Spark New Zealand Last Sale Price $3.19,
SPKSO1,1.48,05/03/20,1:1,1.70,1.71,1.27,-,-,

Santos Last Sale Price $5.84,
STOIOV,9.30,15/12/15,1:1,.15,.16,.385,-,-,
STOIOZ,11.50,15/12/15,1:1,.145,.155,.19,-,-,
STOIOL,6.40,20/05/16,1:1,.855,-,1.19,-,-,
STOISJ,4.20,08/06/16,1:1,2.09,2.10,2.18,+43.5,91,
STOSSC,4.65,08/06/16,1:1,1.755,1.765,2.09,-20,25,
STOIYE,4.91,21/06/16,1:1,1.49,-,.69,-,-,
STOIYF,6.94,21/06/16,1:1,.675,-,.69,-,-,
STOSOE,7.11,23/06/16,1:1,.57,-,.825,-,-,
STOISN,13.41,24/06/16,1:1,.41,.525,-,-,-,
STOISQ,15.60,24/06/16,1:1,.45,.59,-,-,-,
STOSWB,5.80,30/06/16,1:1,.80,-,.405,-,-,
STOSWG,7.46,30/06/16,1:1,.55,.57,.59,+9.5,108,
STOISB,6.20,22/09/16,1:1,.865,.875,-,-,-,
STOIOA,3.00,21/10/16,1:1,3.23,3.24,-,-,-,
STOSOG,7.74,13/12/19,1:1,2.47,-,2.33,-,-,
STOSO3,2.02,14/04/20,1:1,3.82,3.83,4.38,-,-,
STOJOB,2.52,14/04/20,1:1,3.31,-,-,-,-,
STOJOA,3.03,14/04/20,1:1,2.81,2.82,3.14,-32,700,
STOSO2,3.04,14/04/20,1:1,2.80,2.81,1.91,-,-,
STOJOT,3.54,14/04/20,1:1,2.29,2.30,2.66,-24,280,
STOSOH,5.14,23/06/20,1:1,3.35,-,-,-,-,
STOSWR,4.09,30/06/20,1:1,3.92,3.94,3.70,-,-,

SPDR 200 Fund Last Sale Price $49.65,
STWIO2,24.00,06/11/15,1:1,25.81,25.82,-,-,-,
STWJOC,27.51,26/11/15,1:1,22.10,22.11,21.05,-,-,
STWJOD,39.79,26/11/15,1:1,9.82,9.83,10.14,+64,35,
STWIO1,28.00,06/05/16,1:1,23.23,23.24,-,-,-,
STWIOM,34.00,20/05/16,1:1,17.14,17.15,17.80,-,-,
STWISA,52.10,31/05/16,1:1,3.81,3.84,-,-,-,
STWISI,26.05,08/06/16,1:1,24.29,24.36,23.11,-,-,
STWSSD,29.50,08/06/16,1:1,21.15,-,-,-,-,
STWSSA,29.63,08/06/16,1:1,21.02,21.09,20.35,-,-,
STWSSL,29.70,08/06/16,1:1,21.14,21.21,-,-,-,
STWIYE,28.44,21/06/16,1:1,22.05,-,22.56,-,-,
STWIYF,38.39,21/06/16,1:1,12.72,-,18.35,-,-,
STWIYG,45.68,21/06/16,1:1,6.80,-,14.23,-,-,
STWSOE,15.48,23/06/16,1:1,34.80,34.81,23.71,-,-,
STWSOF,20.87,23/06/16,1:1,29.64,29.65,30.02,-,-,
STWSSR,17.58,24/06/16,1:1,32.66,32.73,33.10,-,-,
STWSOB,53.63,24/06/16,1:1,3.37,3.38,-,-,-,
STWSOA,54.34,24/06/16,1:1,3.16,3.17,3.13,-57,2,
STWSWS,46.90,29/06/16,1:1,6.19,6.25,4.80,-,-,
STWSWB,15.47,30/06/16,1:1,34.26,-,33.57,-,-,
STWSWH,15.61,30/06/16,1:1,34.78,34.85,24.42,-,-,
STWSWC,22.03,30/06/16,1:1,27.81,-,26.25,-,-,
STWSWG,22.80,30/06/16,1:1,27.68,27.75,28.31,+96,1,
STWSZB,29.06,30/06/16,1:1,21.42,-,24.61,-,-,
STWSWI,29.32,30/06/16,1:1,21.47,21.54,21.92,+272,1,
STWSWD,30.94,30/06/16,1:1,18.90,-,21.01,-,-,
STWSSN,54.26,30/06/16,1:1,2.91,2.94,-,-,-,
STWSSP,54.26,30/06/16,1:1,2.73,2.76,3.12,-,-,
STWSSM,55.98,30/06/16,1:1,2.39,2.41,4.21,-,-,
STWSSC,56.36,30/06/16,1:1,.82,1.035,3.45,-,-,
STWIOA,25.00,21/10/16,1:1,25.66,25.67,-,-,-,
STWSZC,47.88,30/06/17,1:1,7.10,-,9.30,-,-,
STWSZX,14.37,04/02/19,1:1,35.26,-,35.34,-,-,
STWSZU,20.07,04/02/19,1:1,29.56,-,29.96,-,-,
STWSZW,26.96,04/02/19,1:1,22.68,-,22.54,-,-,
STWJOP,28.46,30/05/19,1:1,21.15,21.16,18.85,-,-,
STWSO1,27.71,06/12/19,1:1,21.90,21.91,23.86,-,-,
STWSOG,26.54,13/12/19,1:1,25.39,25.40,25.15,-,-,
STWJOE,34.88,14/04/20,1:1,14.74,14.75,15.95,-,-,
STWJOA,40.38,14/04/20,1:1,9.23,9.24,10.35,+121,2,
STWSWR,31.48,30/06/20,1:1,22.88,22.93,23.19,+39,3,
STWSOX,23.28,19/11/20,1:1,26.33,26.34,27.54,-,-,
STWSRT,14.37,06/08/21,1:1,35.26,-,41.27,-,-,
STWSRX,15.51,06/08/21,1:1,34.13,-,39.20,-,-,
STWSRY,18.55,06/08/21,1:1,31.09,-,33.02,-,-,
STWSRU,20.07,06/08/21,1:1,29.56,-,32.03,-,-,
STWSRW,26.96,06/08/21,1:1,22.68,-,29.04,-,-,

Suncorp Grp Last Sale Price $13.11,
SUNJOG,9.27,26/11/15,1:1,3.84,3.85,5.10,-,-,
SUNIOV,7.47,15/12/15,1:1,5.74,5.75,5.43,-,-,
SUNIOZ,10.57,15/12/15,1:1,2.68,2.69,2.95,-,-,
SUNJRB,10.45,16/12/15,1:1,2.67,-,1.73,-,-,
SUNIOM,7.38,20/05/16,1:1,6.06,6.07,7.35,-,-,
SUNISI,7.20,08/06/16,1:1,6.12,6.13,-,-,-,
SUNSSL,7.65,08/06/16,1:1,5.73,5.74,-,-,-,
SUNSSA,8.03,08/06/16,1:1,5.37,5.38,5.65,-,-,
SUNSSW,14.49,15/06/16,1:1,.70,.82,1.45,-,-,
SUNIYE,7.84,21/06/16,1:1,5.53,-,6.20,-,-,
SUNIYF,10.73,21/06/16,1:1,2.87,-,2.14,-,-,
SUNSOE,1.46,23/06/16,1:1,11.71,11.72,12.07,-,-,
SUNISN,12.32,24/06/16,1:1,1.835,1.945,3.19,-,-,
SUNISQ,14.32,24/06/16,1:1,2.03,2.16,-,-,-,
SUNSWG,1.98,30/06/16,1:1,11.31,11.33,11.67,-,-,
SUNSWB,7.29,30/06/16,1:1,5.84,-,5.04,-,-,
SUNSWC,11.32,30/06/16,1:1,2.01,-,2.56,-,-,
SUNSZB,11.49,30/06/16,1:1,2.15,-,2.94,-,-,
SUNSSN,13.91,30/06/16,1:1,.895,.905,-,-,-,
SUNSSP,13.91,30/06/16,1:1,.84,.85,-,-,-,
SUNSSM,14.13,30/06/16,1:1,.785,.795,1.35,-,-,
SUNSMX,15.05,30/06/16,1:1,.15,-,.725,-,-,
SUNSWD,15.27,30/06/16,1:1,.059,-,.041,-,-,
SUNIOA,6.50,21/10/16,1:1,6.97,6.98,-,-,-,
SUNSWK,5.69,30/06/17,1:1,7.98,8.00,8.35,-,-,
SUNSZC,7.62,30/06/17,1:1,5.74,-,.04,-,-,
SUNJOJ,6.76,31/05/18,1:1,6.35,6.36,6.17,-,-,
SUNJOK,9.73,31/05/18,1:1,3.38,3.39,3.56,-,-,
SUNSZD,7.09,28/06/18,1:1,6.27,-,7.07,-,-,
SUNSMB,8.25,29/06/18,1:1,5.09,-,4.42,-,-,
SUNSZW,1.94,04/02/19,1:1,11.18,-,10.37,-,-,
SUNSO1,7.60,06/12/19,1:1,5.51,5.52,5.46,-,-,
SUNSOG,7.04,13/12/19,1:1,6.93,6.94,6.80,-,-,
SUNJOH,7.69,14/04/20,1:1,5.42,5.43,5.82,-,-,
SUNJOE,8.39,14/04/20,1:1,4.72,4.73,4.88,+103,3,
SUNJOF,8.78,14/04/20,1:1,4.33,4.34,4.58,-,-,
SUNSWR,7.42,30/06/20,1:1,7.64,7.66,7.07,-,-,
SUNSRW,1.94,06/08/21,1:1,11.18,-,10.74,-,-,

Seven West Media Last Sale Price $0.68,
SWMJOP,0.51,30/05/19,1:1,.155,.165,.325,-,-,
SWMJOR,0.35,14/04/20,1:1,.315,.325,.115,-,-,
SWMJOT,0.46,14/04/20,1:1,.21,.22,.215,-,-,

Senex Energy Last Sale Price $0.19,
SXYJOT,0.04,14/04/20,1:1,.135,-,-,-,-,

Sydney Airport Last Sale Price $6.45,
SYDIOV,2.30,15/12/15,1:1,4.19,4.20,2.15,-,-,
SYDIYB,3.50,22/03/16,1:1,3.00,-,2.53,-,-,
SYDISI,2.15,08/06/16,1:1,4.34,4.35,2.55,-,-,
SYDSSA,2.35,08/06/16,1:1,4.17,4.18,3.89,-,-,
SYDIYF,3.45,21/06/16,1:1,3.09,-,2.20,-,-,
SYDSOE,0.13,23/06/16,1:1,6.32,6.33,4.05,-,-,
SYDSWG,1.71,30/06/16,1:1,4.81,4.83,4.42,-,-,
SYDSZC,0.59,30/06/17,1:1,5.86,-,4.64,-,-,
SYDJOP,2.43,30/05/19,1:1,4.01,4.02,4.02,-,-,
SYDSO1,2.40,06/12/19,1:1,4.04,4.05,4.04,+35,50,
SYDSOG,2.13,13/12/19,1:1,4.40,4.41,3.20,-,-,
SYDJOT,3.04,14/04/20,1:1,3.41,3.42,-,-,-,
SYDJOR,4.35,14/04/20,1:1,2.09,2.10,-,-,-,
SYDSWR,2.91,30/06/20,1:1,4.26,4.28,3.51,-,-,
SYDSRT,0.33,06/08/21,1:1,6.10,-,3.31,-,-,
SYDSRW,0.71,06/08/21,1:1,5.72,-,4.56,-,-,

SPDR MSCI Au Sel HDY Last Sale Price $27.00,
SYISOE,13.94,15/12/15,1:1,13.29,13.32,-,-,-,
SYISOF,16.00,15/12/15,1:1,11.25,11.28,-,-,-,
SYISSA,13.14,08/06/16,1:1,14.25,14.28,14.28,-15,281,
SYISSB,16.33,08/06/16,1:1,11.17,11.20,11.20,-27,90,
SYISWJ,8.59,30/06/17,1:1,19.37,19.40,20.69,-,-,
SYISWL,12.78,30/06/17,1:1,15.03,15.07,18.03,-,-,
SYISWR,17.24,30/06/20,1:1,12.65,12.69,12.68,-,-,
SYISOX,10.54,19/11/20,1:1,16.59,16.63,17.22,-,-,
SYISRX,6.16,06/08/21,1:1,20.80,-,16.88,-,-,
SYISRT,9.93,06/08/21,1:1,17.04,-,17.73,-130,14,

Tabcorp Hldgs Last Sale Price $4.72,
TAHJOE,3.56,26/11/15,1:1,1.16,1.17,.95,-,-,
TAHIYE,1.98,21/06/16,1:1,2.79,-,2.82,-,-,
TAHIYF,2.77,21/06/16,1:1,2.03,-,2.18,-,-,
TAHSOE,0.43,23/06/16,1:1,4.30,4.31,4.42,-,-,
TAHSWS,4.11,29/06/16,1:1,.93,.95,-,-,-,
TAHSWB,0.44,30/06/16,1:1,4.23,-,4.37,-,-,
TAHSWD,4.07,30/06/16,1:1,.74,-,.89,-,-,
TAHSMX,5.37,30/06/16,1:1,.16,-,.27,-,-,
TAHSZB,7.54,30/06/16,1:1,.11,-,-,-,-,
TAHSWL,1.14,30/06/17,1:1,3.66,3.68,-,-,-,
TAHSMY,7.51,30/06/17,1:1,.035,-,-,-,-,
TAHSMB,2.38,29/06/18,1:1,2.39,-,.74,-,-,
TAHSZX,0.20,04/02/19,1:1,4.50,-,4.29,-,-,
TAHJOQ,2.45,30/05/19,1:1,2.27,2.28,2.40,-,-,
TAHJOP,3.30,30/05/19,1:1,1.41,1.42,1.41,-,-,
TAHSO1,1.86,06/12/19,1:1,2.86,2.87,2.94,+10,15,
TAHSOG,1.43,13/12/19,1:1,3.37,3.38,3.56,-,-,
TAHJOF,3.01,14/04/20,1:1,1.705,1.715,1.765,-,-,
TAHSWR,2.65,30/06/20,1:1,2.92,2.94,2.81,-,-,
TAHSRX,0.61,06/08/21,1:1,4.08,-,2.39,-,-,
TAHSRW,0.98,06/08/21,1:1,3.72,-,3.49,-,-,

Transurban Grp Last Sale Price $10.44,
TCLIYB,5.25,22/03/16,1:1,5.25,-,4.44,-,-,
TCLISI,4.20,08/06/16,1:1,6.35,6.36,-,-,-,
TCLSSA,4.63,08/06/16,1:1,5.96,5.97,-,-,-,
TCLSSL,6.00,08/06/16,1:1,4.63,4.64,-,-,-,
TCLSOE,1.68,23/06/16,1:1,8.82,8.83,7.54,-,-,
TCLISQ,8.45,24/06/16,1:1,2.76,2.84,-,-,-,
