Warrant Market - Weekly
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
ANNSWG,9.97,30/06/16,1:1,10.52,10.56,11.65,-,-,
ANNSWR,15.62,30/06/20,1:1,10.66,10.67,12.48,-,-,

ANZ Banking Grp Last Sale Price $28.40,
ANZIO2,15.50,06/11/15,1:1,13.20,13.21,12.58,-,-,
ANZIOV,20.35,15/12/15,1:1,8.44,8.45,8.49,-,-,
ANZIOZ,28.20,15/12/15,1:1,2.33,2.34,2.35,+15,357,
ANZISZ,36.80,15/12/15,1:1,1.16,1.17,1.17,-6.5,20,
ANZJRA,16.44,16/12/15,1:1,12.04,-,18.85,-,-,
ANZJRB,23.01,16/12/15,1:1,5.47,-,12.54,-,-,
ANZISY,33.50,17/12/15,1:1,1.215,1.225,1.335,-,-,
ANZSOC,23.50,04/03/16,1:1,6.05,6.06,5.00,-,-,
ANZSWQ,23.50,04/03/16,1:1,5.92,5.93,4.81,+20,15,
ANZIO1,18.50,06/05/16,1:1,11.36,11.37,14.23,-,-,
ANZIOL,31.00,20/05/16,1:1,3.78,3.79,3.58,-3,31,
ANZISA,31.70,31/05/16,1:1,3.03,3.04,2.92,-,-,
ANZISI,16.58,08/06/16,1:1,12.68,12.69,12.49,+38,195,
ANZSSA,18.13,08/06/16,1:1,11.30,11.31,9.81,-,-,
ANZIYZ,29.50,15/06/16,1:1,3.28,-,5.84,-,-,
ANZSSW,36.94,15/06/16,1:1,1.105,1.445,1.45,-,-,
ANZIYE,15.41,21/06/16,1:1,13.73,-,17.75,-,-,
ANZIYF,21.35,21/06/16,1:1,8.35,-,12.29,-,-,
ANZIYG,27.29,21/06/16,1:1,4.17,-,4.25,-,-,
ANZSOE,5.73,23/06/16,1:1,22.96,22.97,25.82,-,-,
ANZSOF,8.43,23/06/16,1:1,20.39,20.40,19.01,-,-,
ANZSSS,8.74,24/06/16,1:1,20.12,20.13,23.48,-,-,
ANZSST,11.44,24/06/16,1:1,17.54,17.55,23.37,-,-,
ANZISN,30.12,24/06/16,1:1,3.61,3.90,4.63,-,-,
ANZSOB,31.24,24/06/16,1:1,2.59,2.60,4.06,-,-,
ANZISQ,36.98,24/06/16,1:1,4.33,4.70,-,-,-,
ANZSSO,35.44,28/06/16,1:1,1.08,1.37,-,-,-,
ANZSWS,29.44,29/06/16,1:1,3.01,3.03,2.67,-,-,
ANZSWB,4.71,30/06/16,1:1,19.13,-,23.41,-,-,
ANZSWH,4.92,30/06/16,1:1,24.13,24.15,27.65,-,-,
ANZSWG,7.66,30/06/16,1:1,21.32,21.34,20.59,-,-,
ANZSWC,11.04,30/06/16,1:1,12.85,-,18.62,-,-,
ANZSMX,11.68,30/06/16,1:1,17.09,-,17.06,-,-,
ANZSZB,11.78,30/06/16,1:1,17.11,-,22.64,-,-,
ANZSWE,16.13,30/06/16,1:1,7.85,-,16.98,-,-,
ANZSWD,19.48,30/06/16,1:1,4.68,-,14.38,-,-,
ANZSSN,34.90,30/06/16,1:1,1.405,1.415,-,-,-,
ANZSSP,34.90,30/06/16,1:1,1.25,1.26,-,-,-,
ANZSSM,35.23,30/06/16,1:1,1.24,1.25,2.47,-,-,
ANZJOC,14.25,22/06/17,1:1,14.15,14.16,13.59,-,-,
ANZSWJ,6.65,30/06/17,1:1,22.50,22.52,26.50,-,-,
ANZSWK,12.70,30/06/17,1:1,17.03,17.05,17.01,+69,7,
ANZSMY,17.41,30/06/17,1:1,11.57,-,16.88,-,-,
ANZJOH,21.27,12/12/17,1:1,7.13,7.14,7.21,+90,248,
ANZJOJ,17.35,31/05/18,1:1,11.05,11.06,10.26,-13,22,
ANZSZD,2.15,28/06/18,1:1,26.40,-,29.84,-,-,
ANZSMB,13.54,29/06/18,1:1,15.30,-,20.36,-,-,
ANZSZW,6.07,04/02/19,1:1,22.41,-,21.67,-,-,
ANZSZV,9.56,04/02/19,1:1,18.93,-,18.23,-177,100,
ANZSO1,17.58,06/12/19,1:1,10.82,10.83,10.28,-64,9,
ANZSOG,16.08,13/12/19,1:1,14.82,14.83,14.05,+21,2,
ANZJOA,11.77,14/04/20,1:1,16.63,16.64,-,-,-,
ANZSO2,15.03,14/04/20,1:1,13.38,13.39,-,-,-,
ANZJOE,19.05,14/04/20,1:1,9.36,9.37,8.86,+12,4,
ANZJOT,22.10,14/04/20,1:1,6.31,6.32,5.41,-41,25,
ANZSOH,18.00,23/06/20,1:1,14.12,14.13,13.41,-,-,
ANZSWR,20.31,30/06/20,1:1,14.55,14.57,13.63,-,-,
ANZSRX,4.92,06/08/21,1:1,23.56,-,27.51,-,-,
ANZSRW,6.07,06/08/21,1:1,22.41,-,27.54,-,-,
ANZSRV,9.56,06/08/21,1:1,18.93,-,22.81,-,-,
ANZSRT,13.62,06/08/21,1:1,14.86,-,18.72,-,-,

APA Grp Last Sale Price $8.43,
APAJOH,3.31,12/12/17,1:1,5.12,5.13,4.94,-,-,
APASRX,1.33,06/08/21,1:1,7.10,-,4.51,-,-,

Argo Invest Last Sale Price $7.81,
ARGSZB,4.22,30/06/16,1:1,3.70,-,3.94,-,-,
ARGJOH,4.89,12/12/17,1:1,2.92,2.93,3.57,-,-,
ARGJOM,5.82,30/05/19,1:1,1.985,1.995,2.19,-,-,

Arrium Last Sale Price $0.09,
ARIIOV,0.10,15/12/15,1:1,.035,.045,-,-,-,
ARIIOL,0.13,20/05/16,1:1,.042,.052,-,-,-,

ASX Last Sale Price $38.72,
ASXIOV,21.50,15/12/15,1:1,17.61,17.62,21.04,-,-,
ASXIOZ,28.50,15/12/15,1:1,10.76,10.77,10.09,-,-,
ASXIOL,36.00,20/05/16,1:1,6.90,6.91,7.11,-,-,
ASXISI,18.13,08/06/16,1:1,21.29,21.30,21.62,-,-,
ASXSSA,20.19,08/06/16,1:1,19.47,19.48,-,-,-,
ASXIYF,27.86,21/06/16,1:1,12.26,-,13.87,-,-,
ASXSOE,10.29,23/06/16,1:1,28.97,28.98,31.18,-,-,
ASXSSR,6.70,24/06/16,1:1,32.37,32.38,27.70,-,-,
ASXSSO,41.06,28/06/16,1:1,2.86,3.19,-,-,-,
ASXSWS,35.21,29/06/16,1:1,6.83,6.85,-,-,-,
ASXSWB,10.20,30/06/16,1:1,22.66,-,16.57,-,-,
ASXSWG,11.56,30/06/16,1:1,28.07,28.11,24.54,-,-,
ASXSZB,13.33,30/06/16,1:1,25.93,-,22.58,-,-,
ASXSWL,15.98,30/06/17,1:1,24.69,24.71,20.64,-,-,
ASXSMY,28.81,30/06/17,1:1,10.92,-,11.77,-,-,
ASXSMB,28.78,29/06/18,1:1,10.94,-,6.92,-,-,
ASXSZX,6.62,04/02/19,1:1,32.18,-,28.54,-,-,
ASXSZW,14.13,04/02/19,1:1,24.67,-,24.99,-,-,
ASXSO1,22.89,06/12/19,1:1,15.84,15.85,14.29,-,-,
ASXSOG,17.40,13/12/19,1:1,22.54,22.55,-,-,-,
ASXSWR,23.75,30/06/20,1:1,21.01,21.03,21.87,-,-,
ASXSRW,14.13,06/08/21,1:1,24.67,-,21.05,-,-,

Alumina Last Sale Price $1.26,
AWCIOV,0.60,15/12/15,1:1,.70,.71,1.16,-,-,
AWCIOZ,0.80,15/12/15,1:1,.505,.515,.985,-,-,
AWCSOE,1.05,23/06/16,1:1,.38,.39,.39,-,-,

Aurizon Hldgs Last Sale Price $5.17,
AZJIYB,3.50,22/03/16,1:1,1.75,-,1.83,-,-,
AZJISI,2.31,08/06/16,1:1,2.94,2.95,-,-,-,
AZJSSA,2.52,08/06/16,1:1,2.76,2.77,-,-,-,
AZJSOE,1.69,23/06/16,1:1,3.58,3.59,3.12,-,-,
AZJSZX,1.28,04/02/19,1:1,3.90,-,1.53,-,-,
AZJSWR,2.69,30/06/20,1:1,3.26,3.27,-,-,-,

Billabong Int'l Last Sale Price $0.65,
BBGSWB,8.09,30/06/16,1:1,.01,-,.011,-,-,

Bendigo&Adelaide Bk Last Sale Price $10.45,
BENIOV,6.45,15/12/15,1:1,4.15,4.16,5.87,-,-,
BENIOZ,8.80,15/12/15,1:1,1.95,1.96,2.09,-,-,
BENIYE,7.17,21/06/16,1:1,3.63,-,6.12,-,-,
BENIYF,9.40,21/06/16,1:1,1.795,-,4.28,-,-,
BENSWS,10.85,29/06/16,1:1,1.23,1.25,1.15,-12,25,
BENSZB,8.25,30/06/16,1:1,2.64,-,4.01,-,-,
BENJOP,6.82,30/05/19,1:1,3.63,3.64,5.31,-,-,
BENJOT,5.02,14/04/20,1:1,5.42,5.43,-,-,-,
BENJOF,7.72,14/04/20,1:1,2.73,2.74,2.34,-,-,
BENJOE,8.36,14/04/20,1:1,2.09,2.10,2.03,-,-,
BENSWR,6.73,30/06/20,1:1,6.45,6.48,7.01,-,-,
BENSRX,4.13,06/08/21,1:1,6.32,-,6.09,-,-,

BHP Billiton Last Sale Price $24.46,
BHPISZ,29.43,21/09/15,1:1,.001,.011,.017,-,-,
BHPIO2,14.35,06/11/15,1:1,10.54,10.55,-,-,-,
BHPIOV,20.85,15/12/15,1:1,4.51,4.52,4.91,-,-,
BHPIOZ,27.75,15/12/15,1:1,.985,.995,1.07,-,-,
BHPISA,27.75,31/03/16,1:1,1.995,2.01,2.11,-,-,
BHPIO1,13.33,06/05/16,1:1,12.78,12.79,13.85,-,-,
BHPIOM,19.50,20/05/16,1:1,7.10,7.11,7.06,+26,313,
BHPIOL,25.50,20/05/16,1:1,3.87,3.88,4.54,-,-,
BHPISI,15.81,08/06/16,1:1,9.60,9.61,9.20,-,-,
BHPSSA,18.13,08/06/16,1:1,7.70,7.71,7.14,-56,21,
BHPSSW,30.75,15/06/16,1:1,1.32,1.605,1.31,-,-,
BHPIYE,14.77,21/06/16,1:1,10.43,-,12.13,-,-,
BHPIYH,18.30,21/06/16,1:1,7.40,-,-,-,-,
BHPIYF,20.63,21/06/16,1:1,5.56,-,7.06,-,-,
BHPIYG,24.87,21/06/16,1:1,3.19,-,5.12,-,-,
BHPSOE,18.00,23/06/16,1:1,8.06,8.07,12.10,-,-,
BHPSOF,24.74,23/06/16,1:1,3.92,3.93,4.20,-,-,
BHPSSR,14.17,24/06/16,1:1,11.11,11.12,11.85,-,-,
BHPSOB,26.99,24/06/16,1:1,2.94,2.95,-,-,-,
BHPISN,31.79,24/06/16,1:1,2.07,2.38,-,-,-,
BHPISQ,38.01,24/06/16,1:1,3.22,3.60,-,-,-,
BHPSSO,29.21,28/06/16,1:1,1.40,1.64,-,-,-,
BHPSWS,24.68,29/06/16,1:1,3.28,3.30,3.25,-,-,
BHPSWB,5.89,30/06/16,1:1,14.68,-,21.35,-,-,
BHPSWC,11.82,30/06/16,1:1,8.87,-,15.50,-,-,
BHPSWH,14.07,30/06/16,1:1,11.42,11.44,12.35,-,-,
BHPSMX,15.19,30/06/16,1:1,9.79,-,12.52,-,-,
BHPSWE,18.54,30/06/16,1:1,2.57,-,5.00,-,-,
BHPSZB,19.00,30/06/16,1:1,6.97,-,5.49,-,-,
BHPSWG,21.12,30/06/16,1:1,5.31,5.33,5.00,-2,20,
BHPSWF,24.17,30/06/16,1:1,.61,-,4.80,-,-,
BHPSSN,28.11,30/06/16,1:1,1.88,1.89,-,-,-,
BHPSSP,28.11,30/06/16,1:1,1.765,1.775,2.55,-,-,
BHPSSM,29.22,30/06/16,1:1,1.555,1.565,1.40,-,-,
BHPJOC,18.09,22/06/17,1:1,6.38,6.39,6.56,-,-,
BHPSWJ,12.25,30/06/17,1:1,13.74,13.76,15.48,-,-,
BHPSMY,18.45,30/06/17,1:1,6.81,-,5.07,-,-,
BHPSZC,31.90,30/06/17,1:1,2.19,-,6.00,-,-,
BHPJOJ,18.65,31/05/18,1:1,5.82,5.83,5.80,+43,130,
