S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:13 Friday 18/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.603,0.189,0.395,0.385,IIF,ING Industrial Fd unt,0.385,-0.5,"142,893",0.385,0.39,1.8,p,-,0.60,4.68,-78.3,-
0.67,0.43,0.595,0.585,IOF,ING Office Fd stp,0.59,0.5,"113,453",0.59,0.595,5.05,,-,0.74,8.56,-16.7,-
4.21,3.22,3.47,3.43,IAG,Insurance Aust Grp,3.46,2,"49,358",3.44,3.46,14.5,f,1.73,1.29,4.19,25.07,13.8
1.71,1.005,1.10,1.085,ITO,Intoll Grp stp,1.09,0.5,"121,073",1.09,1.095,12,,-,1.78,11.01,-16.38,-
6.50,5.25,6.18,6.11,IVC,Invocare Ltd,6.15,4,"1,344",6.14,6.18,25.25,f,1.30,0.48,4.11,32.9,18.7
7.40,3.74,6.27,6.15,IFL,IOOF Hldgs Ltd,6.27,15,"7,568",6.12,6.29,21,f,0.93,0.56,3.35,19.5,32.2
9.38,6.55,9.22,9.02,IRE,IRESS Market Tech,9.10,5,"4,361",9.00,9.22,34,f,1.02,0.75,3.74,34.78,26.2
0.93,0.245,0.255,0.245,ISF,iSOFT Group Ltd,0.245,-1,"88,679",0.245,0.25,1,,3.66,-0.23,4.08,3.66,6.7
8.86,3.73,6.77,6.57,JHX,James Hardie Ind cdi,6.70,-6,"30,542",6.69,6.79,-,,-,-0.29,-,-21.4,-
23.71,14.05,20.14,19.83,JBH,JB Hi-Fi Ltd,20.01,2,"9,661",19.98,20.01,62,f,1.67,1.71,3.10,103.42,19.3
1.32,0.50,0.56,0.55,KZL,Kagara Ltd,0.555,0.5,"18,630",0.555,0.56,-,,-,0.67,-,-18.99,-
12.10,4.51,7.40,7.22,KAR,Karoon Gas Aust,7.24,-14,"6,259",7.20,7.30,-,,-,-,-,-15.25,-
10.50,5.95,10.50,10.14,KCN,Kingsgate Cons,10.50,27,"12,095",10.46,10.51,30,,2.73,2.69,2.86,82,12.8
41.70,21.10,33.25,32.19,LEI,Leighton Hldgs,32.27,-74,"9,778",32.25,32.39,120,f,1.73,7.52,3.72,208.2,15.5
10.907,6.376,7.73,7.48,LLC,Lend Lease Grp stp,7.63,-4,"26,296",7.61,7.67,36,f,1.20,3.99,4.72,43.1,17.7
4.38,2.41,4.38,4.28,LGL,Lihir Gold Ltd,4.35,9,"147,480",4.34,4.36,2.96,,-,1.22,0.68,-10.93,-
2.04,0.95,1.195,1.14,LNC,Linc Energy Ltd,1.16,3.5,"9,437",1.385,1.075,-,,-,-,-,-16.12,-
0.72,0.30,0.575,0.545,LYC,Lynas Corp,0.57,1.5,"85,951",0.565,0.575,-,,-,-,-,-7.07,-
17.17,6.03,12.50,12.20,MCC,Macarthur Coal,12.50,30,"12,373",12.46,12.50,21,f,2.16,4.15,1.68,45.3,27.6
0.885,0.31,0.625,0.585,MAH,Macmahon Hldgs,0.59,0.5,"100,999",0.59,0.60,1.5,,2.27,0.39,2.54,3.4,17.4
58.80,34.81,44.90,44.17,MQG,Macq Grp Ltd,44.63,19,"18,482",44.52,44.65,186,,1.72,25.82,4.17,320.2,13.9
3.38,1.998,3.02,2.92,MAP,MAP Grp forus,2.96,2,"79,376",2.95,2.97,19,,-,-0.30,6.42,-33.11,-
4.89,1.864,4.45,4.35,MML,Medusa Min Ltd,4.45,6,"10,395",4.44,4.48,-,,-,0.91,-,35.43,12.6
3.25,1.69,2.74,2.65,MRM,Mermaid Marine,2.68,-1,"2,911",2.65,2.73,7,f,2.66,0.95,2.61,18.59,14.4
4.74,3.84,4.15,4.09,MTS,Metcash Ltd,4.15,-13,"30,910",4.12,4.16,26,f,1.14,0.12,6.27,29.74,14.0
2.92,1.30,1.93,1.85,MCR,Mincor Res NL,1.895,5,"10,525",1.895,1.925,7,f,1.45,0.98,3.69,10.12,18.7
8.80,3.70,8.08,7.88,MIN,Mineral Res,8.08,9,"5,843",8.05,8.10,18.75,f,2.04,2.39,2.32,38.3,21.1
3.43,1.87,2.32,2.23,MBN,Mirabela Nickel,2.32,8,"10,376",2.27,2.34,-,,-,-,-,-22.86,-
1.745,1.01,1.415,1.375,MGR,Mirvac Grp stp,1.415,3,"154,136",1.41,1.415,6.2,,-,-,4.38,-11.58,-
15.98,10.04,13.64,13.34,MND,Monadelphous Grp,13.64,31,"4,338",13.63,13.68,79,f,1.15,1.52,5.79,91.08,15.0
2.09,0.80,1.665,1.585,MGX,Mount Gibson Iron,1.63,4,"57,539",1.625,1.63,-,,-,0.78,-,6.56,24.8
3.12,1.18,2.19,2.12,MMX,Murchison Metals,2.15,4,"16,161",2.14,2.15,-,,-,-,-,-8.73,-
3.98,2.86,3.22,3.16,MYR,Myer Hldgs Ltd,3.22,5,"32,656",3.20,3.23,10.5,f,0.39,-0.21,3.26,4.1,78.5
32.37,21.23,25.22,24.90,NAB,National Aust Bank,25.12,32,"62,305",25.11,25.18,147,f,1.36,12.41,5.85,199.3,12.6
39.75,28.47,35.41,34.80,NCM,Newcrest Min,35.24,60,"32,218",35.20,35.26,20,,2.77,9.20,0.57,55.4,63.6
20.18,12.01,18.66,18.45,NWS,News Corp b voting,18.60,13,"20,732",18.57,18.63,5.14,,14.51,0.45,0.28,74.58,24.9
11.819,5.54,5.99,5.91,NUF,Nufarm Ltd,5.99,-1,"9,237",5.94,5.99,15,,-,3.07,2.50,-17.4,-
6.93,4.97,5.94,5.84,OSH,Oil Search Ltd,5.86,-3,"30,525",5.85,5.90,4.47,,2.88,-,0.76,12.86,45.6
2.13,1.22,1.69,1.635,OMH,OM Hldgs Ltd,1.635,-3,"7,786",1.62,1.665,2,,2.79,0.54,1.22,5.59,29.2
4.15,2.31,3.23,3.16,OST,OneSteel Ltd,3.20,4,"41,361",3.20,3.23,9,,0.61,1.72,2.81,5.45,58.7
27.75,18.98,27.15,26.77,ORI,Orica Ltd,26.85,1,"9,909",26.61,27.00,98,p,1.04,1.31,3.65,102.3,26.2
17.94,13.32,15.84,15.53,ORG,Origin Energy,15.84,35,"24,354",15.75,15.85,50,f,1.45,8.48,3.16,72.3,21.9
1.325,0.83,1.055,1.035,OZL,OZ Minerals,1.05,1.5,"183,629",1.045,1.05,-,,-,0.82,-,-16.6,-
1.52,0.76,0.97,0.925,PBG,Pac Brands,0.955,3,"55,200",0.955,0.96,-,,-,-0.04,-,-7.6,-
5.18,3.41,4.00,3.94,PDN,Paladin Energy,4.00,7,"20,532",3.96,4.00,-,,-,1.58,-,11.67,34.3
0.65,0.30,0.525,0.50,PNA,PanAust Ltd,0.52,1.5,"271,697",0.515,0.52,-,,-,0.20,-,0.96,54.2
3.068,1.603,2.28,2.17,PAN,Panoramic Res,2.25,5,"7,261",2.18,2.30,7,f,2.67,1.41,3.11,18.7,12.0
0.845,0.37,0.655,0.635,PPX,PaperlinX Ltd,0.635,-2,"26,638",0.63,0.65,-,,-,0.60,-,-62.7,-
41.39,25.23,31.66,31.17,PPT,Perpetual Ltd,31.55,29,"1,595",31.21,31.55,165,f,1.11,4.46,5.23,183.4,17.2
2.35,0.685,2.35,2.21,PRU,Perseus Min Ltd,2.35,16,"48,876",2.33,2.36,-,,-,-,-,-2.43,-
6.34,3.76,5.20,5.10,PTM,Platinum Asset,5.16,1,"7,594",5.09,5.19,20,f,1.17,-,3.88,23.41,22.0
1.29,0.655,0.77,0.735,PLA,Platinum Aust,0.755,-0.5,"10,229",0.75,0.76,-,,-,-,-,-7.8,-
6.56,3.63,3.99,3.89,PRY,Primary Health Care,3.92,-4,"26,394",3.88,3.93,22,f,1.91,-1.15,5.61,42.08,9.3
4.57,0.034,3.76,3.64,PIH,Prime Infr Grp stp,3.74,,"7,536",3.66,3.75,-,,-,-,-,-,-
3.06,1.85,2.54,2.44,QAN,Qantas Airways,2.45,-3,"118,807",2.45,2.47,6,,-,2.25,2.45,-2.7,-
25.70,18.42,19.03,18.63,QBE,QBE Insurance Grp,18.66,-2,"57,025",18.66,18.70,128,p,1.54,5.16,6.86,196.5,9.5
15.24,10.20,15.03,14.86,RHC,Ramsay Health Care,14.92,13,"8,232",14.86,14.94,40,f,1.61,1.70,2.68,64.2,23.2
7.97,4.76,7.50,7.39,RMD,ResMed Inc cdi,7.49,-7,"13,878",7.42,7.53,-,,-,-,-,25.11,29.8
81.25,46.40,71.57,70.19,RIO,Rio Tinto Ltd,70.85,78,"28,586",70.85,70.90,51.56,f,5.97,13.56,0.73,307.95,23.0
10.95,4.92,10.95,10.70,RIV,Riversdale Min,10.80,6,"7,869",10.79,10.96,-,,-,2.04,-,-2.09,-
0.92,0.33,0.37,0.35,ROC,Roc Oil Co,0.36,-0.5,"46,292",0.355,0.36,-,,-,-,-,-19.96,-
16.10,11.24,13.63,13.38,STO,Santos Ltd,13.50,-4,"25,673",13.38,13.50,42,f,1.24,-,3.11,52.1,25.9
8.57,3.62,7.83,7.72,SEK,Seek Ltd,7.73,6,"15,383",7.70,7.76,9.9,f,1.86,0.55,1.28,18.4,42.0
