S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:18 Wednesday 27/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
3.13,0.705,2.03,1.915,PAN,Panoramic Res,1.935,-12.5,"12,310",1.935,1.94,3,f,0.97,1.21,1.55,2.9,66.7
0.75,0.295,0.615,0.60,PPX,PaperlinX Ltd,0.605,-1.5,"12,417",0.605,0.615,-,,-,1.13,-,-145.6,-
41.39,21.60,37.28,36.01,PPT,Perpetual Ltd,37.04,-57,"1,654",36.70,38.99,100,f,0.96,3.46,2.70,96,38.6
6.34,2.90,5.41,5.25,PTM,Platinum Asset,5.38,-9,"4,559",5.38,5.45,20,f,1.12,-,3.72,22.49,23.9
1.29,0.52,1.17,1.105,PLA,Platinum Aust,1.145,-3,"20,803",1.135,1.145,-,,-,-,-,-6.4,-
6.56,3.61,5.57,5.36,PRY,Primary Health Care,5.56,3,"15,216",5.53,5.57,14,f,2.05,-,2.52,28.65,19.4
4.57,0.031,3.68,3.53,PIH,Prime Infr Grp stpld,3.56,-9,"15,523",3.56,3.57,-,,-,-,-,-,-
3.06,1.38,2.89,2.83,QAN,Qantas Airways,2.84,-1,"151,563",2.84,2.85,6,,0.93,2.25,2.11,5.6,50.7
25.70,15.01,23.44,22.60,QBE,QBE Insurance Grp,23.28,37,"56,848",23.28,23.42,127,p,1.68,5.17,5.46,213.9,10.9
12.09,9.10,11.58,11.26,RHC,Ramsay Health Care,11.36,-19,"7,448",11.35,11.62,38,f,1.35,0.09,3.35,51.3,22.1
6.67,4.46,5.95,5.85,RMD,ResMed Inc cdi 10:1,5.87,10,"41,741",5.84,5.88,-,,-,1.75,-,23.91,24.6
80.14,30.657,71.14,69.90,RIO,Rio Tinto Ltd,69.90,-344,"55,923",69.90,69.95,101.48,,0.45,-,1.45,46.14,151.5
8.50,2.15,7.84,7.47,RIV,Riversdale Min,7.57,-29,"7,044",7.52,7.78,-,,-,1.96,-,0.16,4731.3
0.98,0.30,0.67,0.65,ROC,Roc Oil Co,0.67,-0.5,"54,485",0.665,0.67,-,,-,-,-,-68.67,-
16.582,12.529,13.27,13.05,STO,Santos Ltd,13.14,-25,"55,135",13.13,13.15,42,f,5.64,-,3.20,236.7,5.6
7.03,2.02,6.56,6.37,SEK,Seek Ltd,6.48,-3,"15,658",6.39,6.54,9.2,f,2.04,0.51,1.42,18.8,34.5
7.09,5.03,6.65,6.51,SEV,Seven Network   ,6.60,,"2,506",6.55,6.69,34,f,0.19,7.27,5.15,6.38,103.4
1.281,0.83,0.945,0.925,SIP,Sigma Pharmaceutical,0.925,-2,"46,441",0.925,0.93,7,f,1.36,-0.12,7.57,9.5,9.7
29.15,14.97,22.48,21.71,SGM,Sims Metal Mgmt,22.15,-80,"7,826",22.00,22.28,38,f,-,8.09,1.72,-82.9,-
2.94,2.25,2.39,2.35,SGT,Singapore Tel cdi,2.39,-1,"38,110",2.35,2.40,10.69,,1.94,0.61,4.47,20.76,11.5
6.29,1.615,5.74,5.52,SMX,SMS Management,5.68,-3,"2,816",5.60,5.75,25,f,1.47,0.71,4.40,36.7,15.5
