S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4438.8 at 16:38 31/8/2010  Report at 19:05 Tuesday 31/8/2010. Processed 19:06 Tuesday 31/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
2.78,2.41,2.68,2.60,DLX,Duluxgrp Ltd,2.60,-9,"20,777",2.60,2.63,-,,-,-,-,-,-
1.055,0.615,0.84,0.815,ESG,Eastern Star Gas,0.84,1,"33,117",0.835,0.84,-,,-,-,-,-0.8,-
3.90,0.315,0.675,0.64,ELD,Elders Ltd,0.64,-3.5,"61,149",0.64,0.645,-,,-,1.63,-,-51.11,-
22.00,12.86,21.85,21.51,EAU,Eldorado Gold cdi,21.51,-49,738,21.51,21.57,4.95,,4.98,-,0.23,24.64,87.3
0.995,0.45,0.78,0.75,EHL,Emeco Hldgs,0.77,-0.5,"25,205",0.77,0.775,2,f,-,0.70,2.60,-7.8,-
27.15,12.51,13.28,13.04,ERA,Energy Res,13.15,-17,"3,130",13.14,13.16,33,f,2.66,-,2.51,87.9,15.0
0.60,0.25,0.41,0.395,EWC,Energy World Corp,0.395,-1,"22,320",0.39,0.395,-,,-,0.30,-,3.02,13.1
0.595,0.46,0.505,0.495,ENV,Envestra Ltd,0.50,,"33,850",0.50,0.505,5.5,,0.51,-0.05,11.00,2.8,17.9
5.31,2.80,4.94,4.83,EQN,Equinox Min Ltd cdi,4.91,-17,"16,761",4.90,4.91,-,,-,-,-,7.22,68.0
11.45,6.03,6.32,6.06,EXT,Extract Res,6.06,-28,"3,274",6.05,6.06,-,,-,-,-,-4.96,-
1.885,1.26,1.455,1.43,FXJ,Fairfax Media Ltd,1.44,-0.5,"111,436",1.44,1.45,2.5,f,4.60,-0.27,1.74,11.5,12.5
0.90,0.63,0.785,0.76,FKP,FKP Prop Grp stp,0.765,-0.5,"71,614",0.76,0.765,1.5,,3.02,1.26,1.96,4.53,16.9
10.13,7.05,10.13,9.89,FWD,Fleetwood Corp,10.01,1,"2,909",10.01,10.03,68,f,1.07,2.86,6.79,72.6,13.8
21.43,13.07,19.92,19.60,FLT,Flight Centre,19.64,-11,"2,805",19.64,19.65,70,f,2.00,3.07,3.56,140.3,14.0
5.57,3.28,4.74,4.64,FMG,Fortescue Metals Grp,4.68,-3,"115,349",4.67,4.68,-,,-,0.51,-,22.12,21.2
6.26,5.11,6.10,6.01,FGL,Foster's Grp,6.06,1,"113,665",6.05,6.07,12,,-,0.49,1.98,-24.1,-
1.45,0.785,0.915,0.89,GBG,Gindalbie Metals,0.89,-3,"32,639",0.89,0.895,-,,-,-,-,-0.95,-
1.78,1.235,1.345,1.305,GFF,Goodman Fielder,1.34,2,"99,839",1.335,1.34,10.75,p,1.09,-0.17,8.02,11.7,11.5
0.75,0.54,0.635,0.625,GMG,Goodman Grp forus,0.635,0.5,"300,653",0.63,0.635,3.4,,-,0.47,5.35,-9.9,-
3.08,0.525,3.05,2.99,GPT,GPT Grp stp,2.99,-5,"107,687",2.99,3.01,6.8,,1.39,3.45,2.27,9.43,31.7
8.85,5.10,6.97,6.85,GNC,Graincorp Ltd,6.87,-12,"15,155",6.87,6.88,22.27,f,2.86,4.78,3.24,63.62,10.8
10.62,7.79,9.68,9.51,GUD,GUD Hldgs,9.65,-5,"2,057",9.64,9.66,62,f,1.23,1.92,6.42,76.5,12.6
1.325,0.26,0.645,0.61,GNS,Gunns Ltd,0.63,,"33,786",0.63,0.635,2,,1.85,1.62,3.17,3.69,17.1
3.50,2.53,3.03,2.95,GWT,GWA Intl,2.97,-7,"6,227",2.97,2.98,18,f,0.90,0.21,6.06,16.18,18.4
4.85,3.22,3.53,3.43,HVN,Harvey Norman,3.45,-8,"30,400",3.45,3.46,14,f,1.56,-,4.06,21.78,15.8
2.30,1.26,1.445,1.39,HST,Hastie Grp Ltd,1.40,-5,"6,931",1.395,1.40,9,f,1.88,-0.22,6.43,16.9,8.3
1.40,0.93,1.375,1.35,HDF,Hastings Divers stp,1.365,0.5,"12,491",1.365,1.37,12,,-,-,8.79,-10.95,-
6.20,4.07,6.17,6.15,HSP,Healthscope Ltd,6.15,-3,"10,627",6.15,6.16,23.5,f,1.40,0.71,3.82,32.83,18.7
2.67,2.01,2.18,2.13,HGG,Henderson Grp cdi,2.14,-5,"13,057",2.14,2.15,10.4,,1.02,-0.14,4.86,10.64,20.1
2.93,1.65,2.27,2.21,HIL,Hills Ind Ltd,2.21,-5,"5,830",2.21,2.22,12.5,f,1.34,1.47,5.66,16.7,13.2
5.66,3.22,5.66,5.37,ILU,Iluka Res,5.55,6,"18,089",5.55,5.56,-,,-,2.57,-,-14.2,-
3.83,2.51,3.39,3.32,IPL,Incitec Pivot,3.37,,"84,205",3.36,3.37,4.1,,-,0.27,1.22,-10.2,-
5.92,3.65,5.53,5.46,IGO,Independence Grp,5.47,-11,"2,720",5.46,5.47,5,f,5.06,1.37,0.91,25.28,21.6
1.55,0.625,0.67,0.65,IFN,Infigen Energy stp,0.66,,"27,672",0.66,0.665,2,,-,0.41,3.03,-9.2,-
0.603,0.345,0.465,0.455,IIF,ING Industrial Fd unt,0.455,-1,"179,961",0.455,0.46,1.6,,-,0.60,3.52,-78.3,-
0.67,0.525,0.61,0.60,IOF,ING Office Fd stp,0.60,-1,"158,634",0.60,0.605,3.9,,0.41,0.74,6.50,1.6,37.5
