S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
Trading data for Monday, March 21,2011,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
25.12,15.33,20.75,20.39,FLT,Flight Centre,20.68,-33,3829,20.5,20.73,80,f,2,3.28,3.87,159.6,13
7.34,3.28,6.04,5.9,FMG,Fortescue Metals Grp,5.95,1,84469,5.92,5.96,3,,10.35,0.29,0.5,31.06,19.2
6.44,5.11,5.56,5.45,FGL,Foster's Grp,5.53,8,58419,5.53,5.55,27.25,f,-,0.54,4.93,-26.3,-
1.485,0.86,1.065,1.015,GBG,Gindalbie Metals,1.03,-1.5,54177,1.025,1.035,-,,-,-,-,-0.07,-
13.71,7.758,11.4,11.02,GCL,Gloucester Coal,11.38,-17,3253,11.14,11.87,-,,-,4.02,-,38.6,29.5
1.665,1.06,1.175,1.155,GFF,Goodman Fielder,1.175,2.5,63574,1.165,1.175,10.75,p,1.09,-0.16,9.15,11.7,10
0.75,0.56,0.715,0.68,GMG,Goodman Grp forus,0.715,3.5,436221,0.71,0.715,3.4,,1.03,0.48,4.76,3.5,20.4
3.19,0.525,2.99,2.91,GPT,GPT Grp stp,2.99,2,120309,2.96,3,13.5,,2.82,3.6,4.52,38.1,7.8
8.2,5.063,7.65,7.31,GNC,GrainCorp,7.32,-9,11419,7.3,7.42,25,f,1.6,4.54,3.42,39.9,18.3
10.74,7.79,9.37,9.17,GUD,GUD Hldgs,9.35,8,1666,9.33,9.38,63,f,1.11,1.25,6.74,69.9,13.4
0.835,0.26,0.58,0.52,GNS,Gunns,0.56,2.5,242108,0.56,0.57,-,,-,1.56,-,2.99,18.7
3.5,2.83,3.2,3.13,GWA,GWA Grp,3.18,-2,5697,3.11,3.19,18,f,1.04,0.23,5.66,18.65,17.1
3.95,2.75,2.92,2.87,HVN,Harvey Norman,2.88,-4,20688,2.87,2.9,13,f,1.48,2.14,4.51,19.22,15
1.74,1.17,1.54,1.515,HDF,Hastings Divers stp,1.53,-1.5,8201,1.515,1.54,12,,-,1.08,7.84,-7.32,-
2.73,1.92,2.61,2.54,HGG,Henderson Grp cdi,2.6,5,29067,2.57,2.62,10.22,,1.47,0.02,3.93,15.03,17.3
2.93,1.37,1.535,1.49,HIL,Hills Ind,1.525,2.5,6700,1.515,1.53,11,f,-,1.26,7.21,-9.5,-
10.99,4.02,10.99,10.79,ILU,Iluka Res,10.86,9,33888,10.77,10.9,8,,1.08,2.54,0.74,8.6,126.3
4.72,2.54,4.23,4.15,IPL,Incitec Pivot,4.18,-6,65346,4.18,4.19,7.8,,3.24,0.37,1.87,25.3,16.5
8.35,3.862,6.37,6.24,IGO,Independence Grp,6.3,4,3918,6.27,6.38,7,f,4.74,2.36,1.11,33.16,19
1.34,0.28,0.4,0.36,IFN,Infigen Energy stp,0.395,4,55804,0.39,0.395,3,,-,0.44,7.59,-11.3,-
0.545,0.345,0.54,0.535,IIF,ING Industrial Fd unt,0.535,-,706482,0.535,0.54,3.21,p,-,0.56,6,-2.3,-
0.64,0.525,0.58,0.57,IOF,ING Office Fd stp,0.575,-,127888,0.57,0.575,3.9,,1.92,0.74,6.78,7.5,7.7
4.03,3.22,3.45,3.35,IAG,Insurance Aust Grp,3.41,5,245943,3.36,3.42,13.5,f,-,1.28,3.96,-3.78,-
2.28,0.315,1.95,1.9,IAU,Intrepid Mines,1.945,4.5,16006,1.88,1.95,-,,-,0.38,-,-1.1,-
7.73,5.7,7,6.86,IVC,InvoCare,6.94,-5,2533,6.88,6.95,28.25,f,0.95,-,4.07,26.9,25.8
8.14,5.75,7.2,7.04,IFL,IOOF Hldgs,7.11,-4,3835,7.07,7.11,39,f,0.86,0.6,5.49,33.7,21.1
9.383,7.62,9.21,8.93,IRE,IRESS Market Tech,9.14,11,3257,9,9.17,38,p,1.06,0.83,4.16,40.34,22.7
8.05,5.05,6.25,6.03,JHX,James Hardie Ind cdi,6.22,3,11897,5.86,6.3,-,,-,-1.02,-,-70.78,-
22.46,17.32,18.65,18.15,JBH,JB Hi-Fi,18.25,-5,3431,18.16,18.35,81,f,1.48,2.34,4.44,119.93,15.2
0.885,0.465,0.59,0.555,KZL,Kagara,0.565,-0.5,33389,0.56,0.57,-,,-,0.75,-,0.89,63.5
11,5.56,6.8,6.52,KAR,Karoon Gas Aust,6.55,-16,4010,6.5,6.59,-,,-,-,-,-9.14,-
12.3,7.4,8.74,8.42,KCN,Kingsgate Cons,8.58,8,4671,8.56,8.69,30,,1.74,3.12,3.5,52.3,16.4
39.48,27.61,28.9,28.43,LEI,Leighton Hldgs,28.9,47,6073,28.82,28.9,145,f,1.24,7.6,5.02,179.7,16.1
9.28,6.7,8.69,8.51,LLC,Lend Lease Grp stp,8.66,6,11789,8.51,8.7,32,p,2.11,5.03,3.7,67.4,12.8
3.05,0.897,2.84,2.77,LNC,Linc Energy,2.81,3,11417,2.78,2.84,-,f,-,-,-,70.28,4
2.35,0.375,1.97,1.93,LYC,Lynas Corp,1.935,1.5,267370,1.935,1.94,-,,-,-,-,-3.62,-
17.17,9.5,11.8,11.12,MCC,Macarthur Coal,11.3,-18,18511,11.26,11.32,41,f,2.03,5.73,3.63,83.3,13.6
0.885,0.45,0.56,0.545,MAH,Macmahon Hldgs,0.545,-1.5,15889,0.54,0.55,1.5,,0.28,0.37,2.75,0.42,129.8
1.915,0.68,1.885,1.835,MQA,Macq Atlas Roads stp,1.87,-3,15696,1.87,1.885,-,,-,-0.54,-,-31.5,-
51.97,33.01,35.4,35.03,MQG,Macquarie Grp,35.24,6,7353,35.23,35.33,186,,1.55,25.21,5.28,289.2,12.2
3.17,2.447,3,2.93,MAP,MAp Grp forus,2.96,-3,20028,2.95,2.98,21,,0.26,-,7.09,5.42,54.6
7.75,3.63,7.31,6.88,MML,Medusa Min,7.24,46,13967,7.15,7.26,10,,5.61,1.22,1.38,56.12,12.9
3.43,2.25,3.16,3.06,MRM,Mermaid Marine,3.14,3,4463,3.04,3.16,9,f,2.23,1.21,2.87,20.04,15.7
4.57,3.84,4.02,3.98,MTS,Metcash,4,2,49496,3.99,4.02,26,f,1.15,0.14,6.5,29.85,13.4
2.34,1.275,1.455,1.42,MCR,Mincor Res,1.425,1.5,7411,1.42,1.425,8,f,0.74,0.95,5.61,5.9,24.2
13.63,6.11,11.29,11.04,MIN,Mineral Res,11.25,-1,4503,11.23,11.3,28.6,f,2.92,3.13,2.54,83.5,13.5
2.85,1.54,2.04,2,MBN,Mirabela Nickel,2.04,-,7084,2.03,2.06,-,,-,1.24,-,-11.9,-
1.51,1.16,1.235,1.205,MGR,Mirvac Grp stp,1.22,-1.5,233185,1.215,1.22,8,,0.74,1.59,6.56,5.9,20.7
22.4,11.77,21,20.7,MND,Monadelphous Grp,21,7,2108,20.79,21,88,f,1.16,1.96,4.19,101.86,20.6
2.42,1.16,1.975,1.94,MGX,Mount Gibson Iron,1.955,0.5,61374,1.95,1.97,-,,-,0.99,-,21.59,9.1
3.12,1.115,1.23,1.185,MMX,Murchison Metals,1.195,-3.5,23915,1.195,1.21,-,,-,-,-,0.37,323
4.02,2.86,3.35,3.26,MYR,Myer Hldgs,3.34,-1,48610,3.31,3.34,22.5,f,1.18,-0.09,6.74,26.6,12.6
29.03,22.23,24.785,24.27,NAB,National Aust Bank,24.72,24,54976,24.7,24.73,152,f,1.26,12.63,6.15,191.8,12.9
5.4,3.37,4.26,4.08,NVT,Navitas,4.09,-21,8131,4.08,4.2,19.4,f,1.04,0.06,4.74,20.23,20.2
43.71,29.73,37.11,36.83,NCM,Newcrest Min,36.94,29,24239,36.94,37,30,,4.8,13.16,0.81,144.1,25.6
20.18,15.4,17.49,17.19,NWS,News Corp b voting,17.39,-1,18572,17.26,17.45,13.42,,9.82,-,0.77,131.81,13.2
8.498,3.2,5.15,5.1,NUF,Nufarm,5.14,-,6788,5.11,5.15,-,,-,3.45,-,-15,-
4.17,2.18,2.55,2.47,OGC,OceanaGold Corp cdi,2.53,13,5524,2.53,2.55,-,,-,2.59,-,19.68,12.9
7.2,5.11,7.05,6.94,OSH,Oil Search,6.98,-1,48219,6.96,6.99,4.16,,3.36,-,0.6,13.97,50
2.13,1.22,1.4,1.36,OMH,OM Hldgs,1.395,3.5,3386,1.34,1.4,2.75,f,3.48,0.64,1.97,9.58,14.6
4.15,2.26,2.44,2.38,OST,OneSteel,2.43,2,87693,2.43,2.45,12,,1.62,1.34,4.94,19.39,12.5
26.93,22.836,25.29,24.8,ORI,Orica,25.04,-8,6537,25.02,25.1,95,f,3.9,1.44,3.79,370.97,6.7
16.81,13.458,15.65,15.27,ORG,Origin Energy,15.54,14,33452,15.52,15.55,50,f,0.24,7.97,3.22,12,129.5
1.825,0.945,1.565,1.525,OZL,OZ Minerals,1.55,2,178904,1.535,1.55,7,,2.67,1.02,4.52,18.7,8.3
1.385,0.765,0.825,0.8,PBG,Pacific Brands,0.82,2,28918,0.815,0.825,3.1,f,-,0.06,3.78,-14.6,-
5.61,3.01,3.79,3.66,PDN,Paladin Energy,3.69,9,119809,3.68,3.69,-,,-,1.49,-,-9.61,-
0.91,0.4,0.78,0.76,PNA,PanAust,0.77,-,166261,0.765,0.77,-,,-,0.23,-,4.79,16.1
2.97,1.7,2.09,2.05,PAN,Panoramic Res,2.06,1,7277,2.05,2.1,10.5,f,2.35,1.43,5.1,24.7,8.3
39.39,27.11,29.99,29.28,PPT,Perpetual,29.72,23,1532,29.55,29.9,200,f,0.95,-,6.73,189.9,15.7
3.55,1.67,2.92,2.81,PRU,Perseus Min,2.89,9,11053,2.85,2.94,-,,-,-,-,-10.81,-
5.59,4.43,4.7,4.52,PTM,Platinum Asset,4.69,23,12221,4.59,4.69,24,f,1.08,-,5.12,25.9,18.1
4.56,2.72,2.9,2.8,PRY,Primary Health Care,2.85,-2,24500,2.81,2.86,13,f,1.18,-1.33,4.56,15.4,18.5
3.02,2.05,2.12,2.07,QAN,Qantas Airways,2.1,1,117562,2.1,2.12,-,,-,2.42,-,12.9,16.3
22.24,16.09,17.05,16.75,QBE,QBE Insurance Grp,16.82,-4,111660,16.8,16.86,128,p,0.95,-,7.61,121.72,13.8
3.31,2.53,3.3,3.24,QRN,QR National,3.25,-5,58279,3.24,3.26,-,,-,-,-,11.37,28.6
18.97,13.01,17.4,16.8,RHC,Ramsay Health Care,17.29,79,10756,17.24,17.4,47.5,f,1.66,-,2.75,78.8,21.9
2.46,0.755,2.3,2.18,RRL,Regis Res,2.22,-5,22304,2.17,2.22,-,,-,-,-,4.17,53.2
3.985,2.95,3.01,2.97,RMD,ResMed Inc cdi,3,-3,36968,2.99,3,-,,-,8.7,-,24.01,12.5
1.535,0.72,1.185,1.11,RSG,Resolute Min,1.12,-,75296,1.1,1.12,-,,-,-,-,-7.48,-
89.04,58.86,81.37,80.62,RIO,Rio Tinto,81,50,26303,80.95,81.01,111.21,f,6.46,18.72,1.37,718.78,11.3
17.14,7.447,15.89,15.55,RIV,Riversdale Min,15.75,4,5922,15.72,15.83,-,,-,2.9,-,-3.2,-
0.475,0.305,0.385,0.38,ROC,Roc Oil Co,0.38,-,24750,0.38,0.385,-,,-,-,-,-4.92,-
8.31,2.777,6.85,6.54,SFR,Sandfire Res,6.8,2,3941,6.75,6.85,-,,-,-,-,-41.55,-
15.585,11.24,15.585,15.14,STO,Santos,15.22,17,84647,15.22,15.3,37,f,1.62,-,2.43,59.8,25.5
8.57,6.06,6.29,6.14,SEK,Seek,6.19,-10,17863,6.16,6.2,13.5,f,2.21,0.78,2.18,29.8,20.8
9.44,5.41,8.13,7.89,SVW,Seven Grp Hldgs,7.95,-8,2023,7.9,8.21,36,f,1.12,5.58,4.53,40.46,19.6
0.9,0.34,0.43,0.41,SIP,Sigma Pharmaceutical,0.41,-2,34864,0.41,0.415,-,,-,0.17,-,-63.2,-
23.43,15.23,16.72,16.43,SGM,Sims Metal Mgt,16.57,-15,6724,16.51,16.61,35,p,1.93,8.51,2.11,67.7,24.5
2.66,2.22,2.29,2.22,SGT,Singapore Tel cdi,2.28,4,79790,2.27,2.29,11.68,,1.59,0.67,5.12,18.57,12.3
7.44,5.12,6.37,6.24,SMX,SMS Management,6.27,7,2805,6.24,6.32,30,f,1.49,0.67,4.78,44.6,14.1
14.6,9.53,10.78,10.55,SHL,Sonic Healthcare,10.71,14,15536,10.69,10.8,59,p,1.19,-2.21,5.51,70.3,15.2
0.975,0.76,0.86,0.845,SPN,SP AusNet stp,0.855,0.5,50974,0.85,0.86,8,p,1.09,0.91,9.36,8.72,9.8
1.283,1.035,1.095,1.075,SKI,Spark Infrastructure stp,1.075,-2.5,40166,1.07,1.08,13.54,,0.55,1.68,12.6,7.4,14.5
2.95,1.655,1.94,1.88,SPT,Spotless Grp,1.9,-10,11397,1.9,1.94,11,p,1.25,-,5.79,13.8,13.8
3.09,1.38,2.18,2.06,SBM,St Barbara,2.17,12,16526,2.17,2.19,-,,-,1.24,-,10.42,20.8
2.35,1.54,1.675,1.615,SXL,Sthn Cross Media,1.665,-2,3519,1.65,1.7,13.2,f,2.94,-0.06,7.93,38.83,4.3
4.15,3.44,3.67,3.57,SGP,Stockland stp,3.66,2,113778,3.6,3.67,22.8,,1.27,3.63,6.23,29,12.6
9.76,7.56,8.09,7.88,SUN,Suncorp Grp,8.03,8,38910,8.01,8.04,35,f,1.44,0.01,4.36,50.35,15.9
0.665,0.105,0.5,0.465,SDL,Sundance Res,0.47,-2,540747,0.47,0.475,-,,-,-,-,-0.51,-
7.7,6.106,7.4,7.3,TAH,Tabcorp Hldgs,7.38,10,31212,7.37,7.4,49,f,1.56,-,6.64,76.2,9.7
2.6,2.108,2.23,2.21,TTS,Tatts Grp,2.23,1,41915,2.22,2.25,10.5,f,0.91,-1.15,4.71,9.6,23.2
1.82,1.435,1.48,1.45,TEL,Telecom Corp of NZ,1.455,-0.5,55330,1.45,1.455,13.64,,0.9,0.56,9.37,12.21,11.9
3.46,2.55,2.66,2.64,TLS,Telstra Corp,2.64,-,261282,2.64,2.65,28,f,0.93,0.36,10.61,26,10.2
1.879,1.1,1.185,1.16,TEN,Ten Network Hldgs,1.17,-0.5,77016,1.165,1.18,6,,2.4,-0.26,5.13,14.4,8.1
18.99,11.52,12.58,12.25,TRS,The Reject Shop,12.32,10,865,12.25,12.54,51,f,1.53,2.24,4.14,78,15.8
7.54,5.34,5.69,5.6,TOL,Toll Hldgs,5.65,-,14263,5.64,5.65,25,f,1.91,1.34,4.42,47.8,11.8
3.95,1.955,3.89,3.83,TAL,Tower Aust,3.88,-,33149,3.88,3.89,5.75,f,3.97,1.33,1.48,22.8,17
2.58,1.25,1.375,1.315,TPM,TPG Telecom,1.36,6.5,8094,1.36,1.38,4,f,1.9,-0.19,2.94,7.6,17.9
4.091,2.795,3.14,3.05,TSE,Transfield Services,3.08,2,22124,3.04,3.09,14,f,0.8,0.08,4.55,11.18,27.5
1.5,0.92,1.23,1.135,TPI,Transpacific Indust,1.195,-2,26574,1.145,1.2,-,,-,-0.21,-,6.7,17.8
5.45,4.13,5.14,5.06,TCL,Transurban Grp stp,5.14,7,27818,5.11,5.14,25,,0.24,2.73,4.86,5.9,87.1
15.93,12.72,15.28,15.01,UGL,UGL,15.15,1,5324,15.13,15.35,67,f,1.4,0.18,4.42,93.5,16.2
0.74,0.28,0.33,0.32,VBA,Virgin Blue Hldgs,0.33,-,230472,0.325,0.33,-,,-,0.41,-,-1.2,-
