S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4465.4 at 16:35 16/8/2010  Report at 19:05 Monday 16/8/2010. Processed 19:19 Monday 16/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
26.382,20.469,25.30,24.72,ORI,Orica Ltd,25.07,6,"9,505",25.06,25.09,98,p,1.04,1.31,3.91,102.3,24.5
17.94,13.85,15.57,15.15,ORG,Origin Energy,15.40,-29,"30,977",15.35,15.62,50,f,1.45,8.48,3.25,72.3,21.3
1.325,0.945,1.225,1.19,OZL,OZ Minerals,1.205,-1,"240,130",1.20,1.21,-,,-,0.82,-,-16.6,-
1.52,0.78,0.89,0.86,PBG,Pac Brands,0.89,-0.5,"15,428",0.885,0.89,-,,-,-0.04,-,-7.6,-
5.18,3.37,4.00,3.86,PDN,Paladin Energy,3.95,1,"22,212",3.88,3.98,-,,-,1.58,-,11.67,33.8
0.65,0.385,0.585,0.565,PNA,PanAust Ltd,0.575,-1,"189,709",0.575,0.58,-,,-,0.20,-,0.96,59.9
2.745,1.603,2.46,2.36,PAN,Panoramic Res,2.37,-15,"11,391",2.37,2.41,7,f,2.67,1.41,2.95,18.7,12.7
0.845,0.47,0.625,0.595,PPX,PaperlinX Ltd,0.615,1.5,"9,884",0.61,0.62,-,,-,0.60,-,-62.7,-
41.39,27.11,30.21,29.16,PPT,Perpetual Ltd,30.05,-33,"1,253",30.05,30.30,165,f,1.11,4.46,5.49,183.4,16.4
2.51,0.82,2.41,2.37,PRU,Perseus Min Ltd,2.39,4,"24,522",2.37,2.39,-,,-,-,-,-2.43,-
6.34,4.42,5.18,5.01,PTM,Platinum Asset,5.15,2,"15,382",5.00,5.17,20,f,1.17,-,3.88,23.41,22.0
1.29,0.615,0.69,0.68,PLA,Platinum Aust,0.685,-0.5,"8,079",0.68,0.69,-,,-,-,-,-7.8,-
6.56,3.32,3.40,3.32,PRY,Primary Health Care,3.34,-8,"9,595",3.31,3.35,22,f,1.91,-1.15,6.59,42.08,7.9
4.57,0.034,3.56,3.34,PIH,Prime Infr Grp stp,3.47,5,"4,147",3.31,3.49,-,,-,-,-,-,-
3.06,2.12,2.50,2.42,QAN,Qantas Airways,2.46,-6,"454,996",2.46,2.47,-,,-,2.35,-,4.9,50.2
25.70,16.25,17.20,16.93,QBE,QBE Insurance Grp,17.09,4,"27,901",17.07,17.11,128,p,1.54,5.16,7.49,196.5,8.7
15.49,10.20,14.59,14.39,RHC,Ramsay Health Care,14.42,-11,"2,592",14.26,14.50,40,f,1.61,1.70,2.77,64.2,22.5
3.985,2.445,3.51,3.48,RMD,ResMed Inc cdi,3.49,-4,"26,189",3.46,3.51,-,,-,-,-,25.11,13.9
81.25,55.20,70.95,70.36,RIO,Rio Tinto Ltd,70.82,-61,"19,941",70.78,70.85,100.83,f,4.61,15.37,1.42,465.33,15.2
11.24,5.12,9.70,9.46,RIV,Riversdale Min,9.53,-29,"6,020",9.51,9.60,-,,-,2.04,-,-2.09,-
0.75,0.305,0.40,0.365,ROC,Roc Oil Co,0.395,0.5,"57,023",0.39,0.395,-,,-,-,-,-19.96,-
16.10,11.24,14.04,13.80,STO,Santos Ltd,13.98,1,"29,437",13.95,14.00,42,f,1.24,-,3.00,52.1,26.8
8.57,4.51,7.46,7.20,SEK,Seek Ltd,7.40,17,"17,179",7.24,7.50,9.9,f,1.86,0.55,1.34,18.4,40.2
