ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4546.3 at 16:47 2/11/2009  Report at 19:05 Monday 2/11/2009. Processed 19:21 Monday 2/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.034,0.001,-,-,ATQO,  opt aug11,0.034,,-,0.026,0.035,-,,-,-,-,-,-
0.26,0.125,0.20,0.18,ACZ,Atticus Resource,0.18,-2,437,0.18,0.24,-,,-,-,-,-0.71,-
0.09,0.02,0.07,0.066,ACZO,  opt sep12,0.066,-2.4,222,0.066,0.08,-,,-,-,-,-,-
0.175,0.017,0.105,0.10,ADX,Audax Res,0.10,-1,12869,0.10,0.105,-,,-,-,-,-1.6,-
0.07,0.007,-,-,AUK,Augur Res Ltd,0.063,,-,0.055,0.065,-,,-,-,-,-1.34,-
0.012,0.009,-,-,AUKO,  opt jun10,0.012,,-,0.003,-,-,,-,-,-,-,-
0.22,0.09,-,-,AUJ,Augustus Min,0.18,,-,0.18,0.195,-,,-,-,-,0.26,69.2
0.26,0.08,0.165,0.16,AEE,Aura Energy,0.16,-1.5,355,0.16,0.175,-,,-,-,-,-4.46,-
0.075,0.011,0.035,0.033,AGU,Aurium Res,0.034,-0.2,3360,0.033,0.039,-,,-,-,-,-4.41,-
0.024,0.001,-,-,AGUO,  opt may10,0.003,,-,0.003,0.005,-,,-,-,-,-,-
0.48,0.05,0.425,0.41,ARM,Aurora Min Ltd,0.42,-1,359,0.41,0.425,-,,-,-,-,-5,-
0.31,0.10,0.30,0.30,AUT,Aurora Oil & Gas,0.30,-0.5,50,0.26,0.30,-,,-,-,-,-8.9,-
0.49,0.07,0.30,0.27,AXO,Aurox Res,0.30,2,1514,0.29,0.305,-,,-,-,-,-19.38,-
0.29,0.18,-,-,AOA,Ausmon Resources,0.235,,-,0.235,0.26,-,,-,-,-,-,-
