ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.005,0.002,-,-,AOM,Aust Oriental Min,0.004,-,-,0.003,0.004,-,,-,-,-,-0.16,-
0.029,0.008,0.022,0.021,ARW,Aust Renewable,0.022,-,9500,0.02,0.022,-,,-,0.01,-,-0.83,-
0.02,0.004,-,-,ARWO,  opt dec11,0.014,-,-,0.011,0.015,-,,-,-,-,-,-
0.191,0.09,0.12,0.115,AOK,AusTex Oil,0.115,-,3080,0.11,0.115,-,,-,-,-,-1.72,-
0.04,0.015,-,-,AOKO,  opt dec11,0.019,-,-,0.013,0.02,-,,-,-,-,-,-
0.058,0.025,0.028,0.027,AKK,Austin Explore,0.027,-0.2,6120,0.027,0.029,-,,-,-,-,-2.06,-
0.018,0.002,-,-,AKKO,  opt nov11,0.003,-,-,0.002,0.003,-,,-,-,-,-,-
0.085,0.031,0.076,0.074,APG,Austpac Res,0.075,0.3,12639,0.075,0.076,-,,-,-,-,0.15,50
0.36,0.098,-,-,AGD,Austral Gold,0.26,-,-,0.14,0.26,-,,-,-,-,-5.55,-
0.76,0.09,0.685,0.61,AZX,Auzex Res,0.66,1.5,3472,0.66,0.68,-,,-,-,-,1.56,42.3
0.54,0.03,-,-,AZXOA,  opt feb12,0.54,-,-,0.42,0.53,-,,-,-,-,-,-
0.29,0.145,0.26,0.25,AVI,Avalon Minerals,0.26,3,1251,0.255,0.26,-,,-,-,-,-0.95,-
0.235,0.014,0.145,0.13,AVB,Avanco Res,0.14,1.5,216289,0.135,0.14,-,,-,-,-,-0.45,-
0.195,0.006,0.13,0.115,AVBOB,  opt apr12,0.115,0.5,8838,0.115,0.12,-,,-,-,-,-,-
0.365,0.21,-,-,AVY,Avenue Res,0.3,-,-,0.31,-,-,,-,-,-,-,-
0.285,0.062,0.205,0.2,AVA,Aviva Corp,0.2,-,3455,0.195,0.2,-,,-,-,-,-10.16,-
0.32,0.07,0.145,0.14,AVZ,Avonlea Minerals,0.145,2.5,3520,0.14,0.155,-,,-,-,-,-2,-
2.89,1.455,1.595,1.555,AWE,AWE,1.57,1,24642,1.56,1.595,-,,-,1.59,-,-18.42,-
0.035,0.007,0.019,0.018,AXC,AXG Min,0.018,-,1800,0.018,0.02,-,,-,-,-,-1.4,-
0.082,0.016,0.046,0.042,AVQ,Axiom Min cdi,0.045,0.4,289793,0.045,0.046,-,,-,-,-,-0.43,-
0.275,0.044,0.23,0.195,AZH,Azimuth Res,0.23,5.5,42206,0.22,0.23,-,,-,-,-,-1.37,-
0.825,0.245,0.585,0.565,AZM,Azumah Res,0.57,0.5,3986,0.57,0.58,-,,-,-,-,-9.6,-
0.12,0.033,0.09,0.085,AZS,Azure Minerals,0.086,0.4,7484,0.086,0.089,-,,-,-,-,-0.78,-
0.92,0.21,0.72,0.72,BAA,Baily Minerals,0.72,-4,16,0.72,0.77,-,,-,-,-,-0.61,-
1.97,0.49,1.89,1.815,BND,Bandanna Energy,1.835,-5.5,6384,1.82,1.87,-,,-,-,-,-3.83,-
0.905,0.24,0.495,0.455,BMN,Bannerman Res,0.49,4.5,41915,0.49,0.495,-,,-,-,-,-4.01,-
0.03,0.003,0.024,0.021,BKP,Baraka Pet,0.021,-0.3,461978,0.021,0.022,-,,-,-,-,-,-
0.12,0.04,0.043,0.042,BAR,Barra Res,0.042,0.2,2230,0.041,0.045,-,,-,-,-,-2.11,-
