ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:06 Thursday 18/3/2010. Processed 19:26 Thursday 18/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.033,0.006,0.015,0.014,ARW,Aust Renewable,0.014,,850,0.014,0.015,-,,-,0.01,-,-1.56,-
0.22,0.066,0.185,0.185,AOK,Austex Oil Ltd,0.185,,1120,0.18,0.185,-,,-,-,-,-4.22,-
0.096,0.021,0.056,0.049,AKK,Austin Explore,0.049,,137320,0.049,0.05,-,,-,-,-,-3.44,-
0.031,0.012,0.019,0.017,AKKO,  opt nov11,0.017,,4500,0.017,0.018,-,,-,-,-,-,-
0.059,0.029,-,-,APG,Austpac Res NL,0.034,,-,0.034,0.035,-,,-,-,-,-0.29,-
0.007,0.001,0.003,0.002,AAF,Austral Africa Res,0.002,-0.1,4008,0.002,0.003,-,,-,-,-,-0.6,-
0.18,0.065,0.10,0.10,AGD,Austral Gold,0.10,,2100,0.098,0.10,-,,-,-,-,6.17,1.6
0.26,0.11,0.19,0.19,AZX,Auzex Res,0.19,1,50,0.15,0.19,-,,-,-,-,-3.35,-
0.07,0.006,-,-,AZXO,  opt sep10,0.009,,-,-,0.019,-,,-,-,-,-,-
0.297,0.066,-,-,AVI,Avalon Min,0.21,,-,0.21,0.215,-,,-,-,-,-0.68,-
0.044,0.006,0.025,0.025,AVB,Avanco Res Ltd,0.025,,6000,0.025,0.026,-,,-,-,-,-1.45,-
0.15,0.001,-,-,AVBO,  opt jun10,0.001,,-,-,0.002,-,,-,-,-,-,-
0.027,0.004,0.014,0.014,AVBOB,  opt apr12,0.014,-0.1,8344,0.013,0.014,-,,-,-,-,-,-
0.215,0.056,0.073,0.073,AVA,Aviva Corp,0.073,-0.2,57,0.073,0.08,-,,-,-,-,-10.74,-
2.26,1.415,2.03,1.975,AVO,Avoca Res,2.00,2,36623,1.98,2.03,-,,-,0.79,-,12.49,16.0
0.17,0.04,0.105,0.105,AVZ,Avonlea Min,0.105,0.5,706,0.105,0.12,-,,-,-,-,-4.1,-
3.17,2.17,2.74,2.67,AWE,AWE Ltd,2.73,5,33337,2.72,2.37,-,,-,1.74,-,1.43,190.9
0.04,0.018,-,-,AXC,AXG Min Ltd,0.026,,-,0.021,0.026,-,,-,-,-,-1.39,-
0.006,0.001,-,-,AXCO,  opt aug10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.045,0.011,0.042,0.04,AVQ,Axiom Min Ltd cdi,0.04,,26235,0.04,0.041,-,,-,-,-,-0.73,-
0.325,0.089,0.26,0.25,AZM,Azumah Res,0.255,,4693,0.25,0.255,-,,-,-,-,-2.5,-
0.08,0.035,0.04,0.039,AZS,Azure Min,0.039,,3786,0.039,0.04,-,,-,-,-,-0.78,-
0.80,0.18,0.66,0.66,BND,Bandanna Energy,0.66,,188,0.64,0.66,-,,-,-,-,-0.73,-
1.485,0.41,0.49,0.47,BMN,Bannerman Res,0.48,2,11156,0.475,0.48,-,,-,-,-,-7.84,-
0.03,0.003,0.004,0.004,BKP,Baraka Pet,0.004,-0.1,6667,0.004,0.005,-,,-,-,-,-0.03,-
0.22,0.057,0.077,0.077,BAR,Barra Res,0.077,0.1,52,0.077,0.079,-,,-,-,-,-1.78,-
0.029,0.004,-,-,BARO,  opt dec10,0.007,,-,0.002,0.012,-,,-,-,-,-,-
0.155,0.045,-,-,BSE,Base Iron Ltd,0.084,,-,0.084,0.098,-,,-,-,-,-2.4,-
0.349,0.107,0.23,0.23,BSM,Bass Metals Ltd,0.23,,700,0.225,0.23,-,,-,-,-,13.32,1.7
0.08,0.01,-,-,BSMOA,  opt apr10,0.01,,-,0.001,0.03,-,,-,-,-,-,-
0.068,0.014,0.034,0.033,BAS,Bass Strait Oil Co,0.034,-0.2,1701,0.034,0.036,-,,-,-,-,-0.62,-
0.44,0.057,0.365,0.35,BSR,Bassari Res,0.35,-0.5,2544,0.355,0.36,-,,-,-,-,-1.33,-
