AFR MINOIL MARKETS excluding fixed interest,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4085.6 at 2012-06-28T16:40:36. Report at Thursday, June 28, 2012. Processed Friday at 2012-06-29T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
.21,.10,-,-,CZI,Cassini Res,.14,-,-,.13,.14,-,,-,-,-,-,-,,
.40,.185,.265,.265,CDT,Castle Minerals,.265,-.5,26,.265,.28,-,,-,-,-,-4.80,-,,
.60,.04,.185,.175,CGT,Castlemaine Gold,.175,-,11319,.175,.18,-,,-,-,-,-10.70,-,,
.555,.29,-,-,CYL,Catalyst Metals,.55,-,-,.47,.545,-,,-,-,-,-4.29,-,,
.225,.09,-,-,CXU,Cauldron Energy,.155,-,-,-,-,-,,-,-,-,-4.91,-,,
.03,.005,-,-,CXUO,  opt oct12,.025,-,-,-,-,-,,-,-,-,-,-,,
.46,.20,.24,.24,CAZ,Cazaly Res,.24,-1,142,.24,.255,-,,-,-,-,3.41,7.0,,
.48,.13,-,-,CNL,Celamin Hldgs,.16,-,-,-,-,-,,-,-,-,-4.20,-,,
.40,.10,-,-,CNLCA,  ctg,.10,-,-,-,-,-,,-,-,-,-,-,,
.29,.03,-,-,CNLO,  opt mar14,.03,-,-,.03,-,-,,-,-,-,-,-,,
.78,.071,.425,.41,CTM,Centaurus Metals,.41,-1,304,.41,.425,-,,-,-,-,-7.42,-,,
.11,.035,.042,.042,CNS,Centius Gold,.042,-.3,1617,.042,.05,-,,-,-,-,-,-,,
