ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:18 Tuesday 6/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.49,0.25,0.375,0.35,ABZ,Aust Bauxite Ltd,0.375,1.5,1541,0.36,0.37,-,,-,-,-,-,-
0.10,0.018,-,-,AGV,Aust Gold Invest,0.028,,-,0.025,0.028,-,,-,-,-,-2.62,-
0.235,0.175,0.19,0.19,AKA,Aust Min Min,0.19,0.5,711,0.185,0.19,-,,-,-,-,-,-
0.02,0.001,0.002,0.001,AUZ,Aust Mines Ltd,0.001,,349400,0.001,0.002,-,,-,-,-,0.05,2.0
0.001,0.001,-,-,AUZO,  opt jun13,0.001,,-,-,0.001,-,,-,-,-,-,-
0.135,0.05,-,-,AOC,Aust Oil Co,0.094,,-,0.09,0.10,-,,-,-,-,-3.81,-
0.016,0.012,-,-,AOCOA,  opt dec11,0.012,,-,0.01,0.03,-,,-,-,-,-,-
0.009,0.003,-,-,AOM,Aust Oriental,0.005,,-,0.004,0.005,-,,-,-,-,-0.07,-
0.033,0.006,0.016,0.014,ARW,Aust Renewable,0.014,-0.2,17968,0.014,0.015,-,,-,0.01,-,-1.56,-
0.22,0.10,0.16,0.155,AOK,Austex Oil Ltd,0.16,,3128,0.16,0.165,-,,-,-,-,-4.22,-
0.096,0.025,0.056,0.054,AKK,Austin Explore,0.054,-0.2,19284,0.054,0.055,-,,-,-,-,-2.49,-
0.031,0.012,-,-,AKKO,  opt nov11,0.018,,-,0.017,0.018,-,,-,-,-,-,-
0.07,0.029,0.044,0.04,APG,Austpac Res NL,0.04,0.1,16093,0.04,0.042,-,,-,-,-,-0.29,-
0.007,0.001,0.002,0.002,AAF,Austral Africa Res,0.002,,2000,0.002,0.003,-,,-,-,-,-0.14,-
0.18,0.065,-,-,AGD,Austral Gold,0.12,,-,0.11,0.15,-,,-,-,-,6.17,1.9
0.26,0.11,0.175,0.175,AZX,Auzex Res,0.175,0.5,1000,0.175,0.20,-,,-,-,-,-3.35,-
0.07,0.006,-,-,AZXO,  opt sep10,0.009,,-,-,0.012,-,,-,-,-,-,-
0.297,0.072,0.22,0.21,AVI,Avalon Min,0.21,1,1546,0.21,0.22,-,,-,-,-,-0.68,-
0.044,0.006,0.024,0.023,AVB,Avanco Res Ltd,0.023,-0.2,8530,0.023,0.025,-,,-,-,-,1.23,1.9
0.15,0.001,0.002,0.002,AVBO,  opt jun10,0.002,,450,0.001,0.002,-,,-,-,-,-,-
0.027,0.004,0.016,0.014,AVBOB,  opt apr12,0.016,0.2,6906,0.014,0.015,-,,-,-,-,-,-
0.215,0.056,-,-,AVA,Aviva Corp,0.08,,-,0.08,0.082,-,,-,-,-,-10.74,-
2.26,1.415,2.19,2.13,AVO,Avoca Res,2.19,10,20403,2.18,2.19,-,,-,0.79,-,12.49,17.5
0.17,0.04,0.105,0.10,AVZ,Avonlea Min,0.10,,200,0.10,0.11,-,,-,-,-,-4.1,-
3.17,2.17,2.84,2.77,AWE,AWE Ltd,2.84,12,28501,2.83,2.84,-,,-,1.74,-,1.43,198.6
0.04,0.018,-,-,AXC,AXG Min Ltd,0.021,,-,0.021,0.026,-,,-,-,-,-1.39,-
0.006,0.001,-,-,AXCO,  opt aug10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.045,0.011,0.04,0.038,AVQ,Axiom Min Ltd cdi,0.039,-0.1,11222,0.036,0.039,-,,-,-,-,-0.73,-
0.42,0.089,0.42,0.39,AZM,Azumah Res,0.40,2.5,97805,0.395,0.40,-,,-,-,-,-2.5,-
0.08,0.035,0.04,0.039,AZS,Azure Min,0.039,-0.1,5105,0.039,0.04,-,,-,-,-,-0.78,-
0.815,0.18,0.81,0.79,BND,Bandanna Energy,0.80,3,2168,0.795,0.80,-,,-,-,-,-0.73,-
1.485,0.41,0.51,0.50,BMN,Bannerman Res,0.505,1,10515,0.505,0.51,-,,-,-,-,-7.84,-
0.03,0.003,0.004,0.003,BKP,Baraka Pet,0.004,,166109,0.004,0.005,-,,-,-,-,-0.03,-
0.22,0.057,0.081,0.076,BAR,Barra Res,0.08,,4023,0.08,0.082,-,,-,-,-,-1.89,-
0.029,0.004,-,-,BARO,  opt dec10,0.007,,-,0.002,0.015,-,,-,-,-,-,-
0.155,0.051,-,-,BSE,Base Iron Ltd,0.085,,-,0.08,0.085,-,,-,-,-,-2.4,-
0.349,0.131,0.225,0.215,BSM,Bass Metals Ltd,0.225,0.5,2770,0.215,0.225,-,,-,-,-,13.32,1.7
0.08,0.01,-,-,BSMOA,  opt apr10,0.01,,-,0.001,0.02,-,,-,-,-,-,-
0.068,0.015,0.036,0.035,BAS,Bass Strait Oil Co,0.036,0.1,6250,0.033,0.036,-,,-,-,-,-0.62,-
0.44,0.057,0.32,0.305,BSR,Bassari Res,0.32,-1,2375,0.305,0.32,-,,-,-,-,-1.33,-
0.25,0.08,0.25,0.235,BTV,Batavia Min,0.25,2,7402,0.24,0.25,-,,-,-,-,0.3,83.3
0.12,0.02,0.12,0.12,BTVO,  opt jun12,0.12,,665,0.10,0.12,-,,-,-,-,-,-
0.155,0.045,0.075,0.07,BTU,Bathurst Res,0.07,-0.5,625,0.07,0.075,-,,-,-,-,-16.7,-
0.05,0.007,-,-,BTUO,  opt dec10,0.007,,-,-,0.10,-,,-,-,-,-,-
1.345,0.25,0.54,0.48,BAU,Bauxite Resource,0.485,-5.5,12262,0.48,0.495,-,,-,-,-,-7.59,-
1.80,0.459,1.80,1.69,BCI,BC Iron Ltd,1.79,13,7824,1.76,1.79,-,,-,-,-,-2.65,-
0.185,0.088,0.092,0.09,BCD,BCD Res NL,0.09,-0.5,4966,0.09,0.094,-,,-,0.09,-,3.05,3.0
1.04,0.655,0.78,0.76,BPT,Beach Energy Ltd,0.775,2,62850,0.77,0.775,1.75,p,9.17,1.27,2.26,16.05,4.8
0.041,0.001,0.003,0.003,BPTO,  opt jun10,0.003,,23607,0.003,0.004,-,,-,-,-,-,-
0.035,0.006,0.029,0.027,BCN,Beacon Min,0.028,0.1,85026,0.027,0.028,-,,-,-,-,1.96,1.4
0.008,0.001,-,-,BCNO,  opt aug10,0.003,,-,0.001,0.003,-,,-,-,-,-,-
0.022,0.002,-,-,BCNOA,  opt aug10,0.017,,-,0.017,0.018,-,,-,-,-,-,-
0.40,0.045,0.22,0.22,BDR,Beadell Resource,0.22,2,200,0.21,0.235,-,,-,-,-,-2.78,-
0.32,0.205,0.235,0.23,BDG,Bendigo Min Ltd,0.23,,5348,0.23,0.235,0.5,,6.40,0.15,2.17,3.2,7.2
1.50,0.584,1.41,1.385,BKY,Berkeley Res,1.40,5,6982,1.40,1.405,-,,-,-,-,-8.92,-
0.76,0.40,-,-,BKYO,  opt may13,0.65,,-,0.60,0.72,-,,-,-,-,-,-
44.93,31.25,44.93,44.60,BHP,BHP Billiton Ltd,44.63,68,110356,44.62,44.68,95.15,f,1.95,8.76,2.13,185.29,24.1
0.20,0.037,0.155,0.15,BFE,Black Fire Min,0.15,,59,0.145,0.15,-,,-,-,-,-1.1,-
0.038,0.002,-,-,BFEO,  opt jun10,0.015,,-,0.016,0.02,-,,-,-,-,-,-
0.105,0.037,0.045,0.044,BLR,Black Range Min,0.044,,15977,0.044,0.045,-,,-,-,-,-0.2,-
0.07,0.016,-,-,BLRO,  opt feb11,0.02,,-,0.016,0.028,-,,-,-,-,-,-
0.035,0.005,0.018,0.014,BRD,Black Ridge Min,0.015,-0.1,150668,0.014,0.015,-,,-,-,-,-0.26,-
0.007,0.001,0.006,0.005,BRDOA,  opt nov10,0.005,0.1,30750,0.003,0.004,-,,-,-,-,-,-
0.44,0.087,0.28,0.26,BLK,Blackham Res,0.28,1,1000,0.26,0.28,-,,-,-,-,-2.27,-
0.14,0.06,0.08,0.075,BLKO,  opt oct11,0.08,0.5,196,0.08,0.09,-,,-,-,-,-,-
1.025,0.245,0.92,0.88,BTR,Blackthorn Res,0.88,-3,1422,0.88,0.89,-,,-,-,-,-9.47,-
0.018,0.003,0.009,0.008,BLZ,Blaze Intl,0.008,-0.1,6250,0.009,0.01,-,,-,-,-,-0.07,-
0.002,0.002,-,-,BLZO,  opt aug10,0.002,,-,0.001,0.004,-,,-,-,-,-,-
0.04,0.01,0.012,0.011,BDI,Blina Diamonds NL,0.011,,12000,0.011,0.012,-,,-,-,-,-9.4,-
0.335,0.15,0.235,0.225,BUL,Blue Energy Ltd,0.23,-0.5,31325,0.225,0.23,-,,-,-,-,-2.16,-
0.175,0.06,-,-,BOM,Bondi Min Ltd,0.08,,-,0.077,0.10,-,,-,-,-,-5.48,-
0.069,0.039,0.05,0.05,BOE,Boss Energy Ltd,0.05,,100,0.042,0.05,-,,-,-,-,-4.42,-
0.01,0.001,-,-,BOEO,  opt nov10,0.001,,-,-,-,-,,-,-,-,-,-
0.185,0.027,0.085,0.085,BML,Botswana Metals,0.085,,1131,0.08,0.085,-,,-,0.09,-,-0.54,-
0.80,0.45,0.485,0.48,BOC,Bougainville Copper,0.485,,180,0.48,0.49,-,,-,0.38,-,0.9,53.9
0.38,0.018,0.18,0.17,BGD,Boulder Steel,0.18,,2880,0.175,0.18,-,,-,0.02,-,-1.77,-
0.18,0.01,0.068,0.068,BGDO,  opt mar12,0.068,,500,0.062,0.068,-,,-,-,-,-,-
0.178,0.016,0.08,0.078,BUY,Bounty Oil & Gas,0.08,0.1,9730,0.08,0.081,-,,-,-,-,1.9,4.2
1.60,0.71,1.51,1.465,BOW,Bow Energy Ltd,1.49,2.5,21329,1.48,1.49,-,,-,-,-,4.42,33.7
0.19,0.065,0.08,0.077,BWN,Bowen Energy Ltd,0.08,0.4,375,0.08,0.085,-,,-,-,-,-15.1,-
0.136,0.05,0.06,0.058,BRW,Breakaway Res,0.058,-0.2,4360,0.058,0.06,-,,-,-,-,-0.5,-
3.95,1.00,3.90,3.78,BRM,Brockman Res,3.89,10,2449,3.86,3.89,-,,-,-,-,-14.9,-
0.205,0.036,0.205,0.19,BMY,Brumby Res,0.20,2,16396,0.20,0.215,-,,-,-,-,-3.2,-
0.13,0.066,0.13,0.12,BMYOA,  opt sep11,0.13,1,2211,0.115,0.135,-,,-,-,-,-,-
0.17,0.029,0.08,0.078,BCC,Buccaneer Energy,0.078,-0.1,30112,0.077,0.08,-,,-,-,-,-6.33,-
0.105,0.007,0.05,0.049,BCCO,  opt nov12,0.05,,3300,0.049,0.05,-,,-,-,-,-,-
0.064,0.017,0.06,0.057,BYR,Burey Gold Ltd,0.06,0.3,5830,0.058,0.06,-,,-,-,-,-0.57,-
0.087,0.039,0.07,0.065,BUR,Burleson Energy,0.067,0.2,10006,0.068,0.069,-,,-,-,-,-1.75,-
0.015,0.003,0.008,0.008,BURO,  opt aug10,0.008,,50,0.01,0.015,-,,-,-,-,-,-
0.30,0.155,0.245,0.24,BRU,Buru Energy,0.245,0.5,1192,0.245,0.25,-,,-,-,-,11.57,2.1
0.024,0.003,0.007,0.007,BRUO,  opt oct10,0.007,,2045,0.007,0.009,-,,-,-,-,-,-
0.11,0.03,-,-,BUX,Buxton Res Ltd,0.09,,-,0.09,0.11,-,,-,-,-,-0.75,-
1.35,0.61,0.89,0.83,CCD,Caledon Res cdi,0.89,9,921,0.85,0.89,-,,-,0.41,-,-5.4,-
0.031,0.006,0.012,0.012,CUU,Callabonna Uranium,0.012,,3000,0.011,0.012,-,,-,0.01,-,-0.9,-
0.55,0.35,-,-,CBX,Cape Alumina Ltd,0.50,,-,0.47,0.50,-,,-,-,-,-0.54,-
0.635,0.24,0.51,0.50,CFE,Cape Lambert Res,0.505,1,26177,0.50,0.505,-,,-,-,-,10.88,4.6
0.10,0.033,-,-,CMY,Capital Min,0.046,,-,0.044,0.05,-,,-,-,-,-0.62,-
0.028,0.001,-,-,CMYO,  opt oct10,0.001,,-,0.003,0.018,-,,-,-,-,-,-
0.035,0.014,-,-,CMYOA,  opt jul11,0.014,,-,0.016,0.03,-,,-,-,-,-,-
0.32,0.02,0.29,0.28,CRB,Carbine Res,0.28,1.5,3411,0.275,0.28,-,,-,-,-,0.04,700.0
0.18,0.075,0.14,0.14,CRBO,  opt jul11,0.14,-1,220,0.135,0.14,-,,-,-,-,-,-
0.885,0.345,0.60,0.565,CNX,Carbon Energy,0.59,2,25722,0.585,0.595,-,,-,-,-,-1.87,-
3.60,2.51,3.20,3.20,CRM,Carbon Min Ltd,3.20,2,2,3.00,3.80,-,,-,-,-,-0.9,-
0.885,0.35,0.495,0.485,CVN,Carnarvon Pet,0.485,0.5,22196,0.485,0.49,-,,-,0.05,-,3.3,14.7
0.30,0.109,0.285,0.275,CAV,Carnavale Res,0.28,0.5,1236,0.27,0.29,-,,-,-,-,-2.2,-
