ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 19:02 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.09,0.007,0.07,0.07,AUK,Augur Res Ltd,0.07,-0.5,1800,0.055,0.08,-,,-,-,-,-1.34,-
0.012,0.009,-,-,AUKO,  opt jun10,0.012,,-,0.001,0.011,-,,-,-,-,-,-
0.22,0.10,-,-,AUJ,Augustus Min,0.20,,-,0.20,0.215,-,,-,-,-,0.26,76.9
0.26,0.08,0.145,0.14,AEE,Aura Energy,0.145,2,2432,0.145,0.15,-,,-,-,-,-4.46,-
0.075,0.011,0.032,0.032,AGU,Aurium Res,0.032,-0.1,2850,0.032,0.038,-,,-,-,-,-4.41,-
0.024,0.001,-,-,AGUO,  opt may10,0.003,,-,0.002,0.003,-,,-,-,-,-,-
0.62,0.07,0.615,0.575,ARM,Aurora Min Ltd,0.615,1.5,10027,0.60,0.615,-,,-,-,-,-5,-
0.305,0.10,0.29,0.29,AUT,Aurora Oil & Gas,0.29,2,460,0.29,0.295,-,,-,-,-,-8.9,-
0.49,0.07,0.26,0.24,AXO,Aurox Res,0.25,,2560,0.24,0.25,-,,-,-,-,-19.38,-
0.34,0.18,0.29,0.29,AOA,Ausmon Resources,0.29,-0.5,400,0.28,0.295,-,,-,-,-,-,-
-,-,-,-,AOAO,  opt jun14,-,,-,0.001,-,-,,-,-,-,-,-
0.195,0.08,0.135,0.135,AQD,Ausquest Ltd,0.135,-0.5,426,0.135,0.14,-,,-,-,-,-1.92,-
-,-,-,-,AQDNA,  def x opt,-,,-,-,-,-,,-,-,-,-,-
0.10,0.03,0.08,0.08,AQR,Aussie Q Res,0.08,,100,0.08,0.084,-,,-,-,-,-0.9,-
0.115,0.03,-,-,AGV,Aust Gold Invest,0.05,,-,0.032,0.05,-,,-,-,-,-2.4,-
0.02,0.001,0.002,0.001,AUZ,Aust Mines Ltd,0.002,,41335,0.001,0.002,-,,-,-,-,-0.75,-
0.001,0.001,-,-,AUZO,  opt jun13,0.001,,-,-,0.001,-,,-,-,-,-,-
0.135,0.036,-,-,AOC,Aust Oil Co,0.09,,-,0.09,0.099,-,,-,-,-,-4.1,-
0.01,0.002,-,-,AOCO,  opt dec09,0.005,,-,0.003,0.005,-,,-,-,-,-,-
0.009,0.003,-,-,AOM,Aust Oriental,0.005,,-,0.005,0.006,-,,-,-,-,-0.16,-
0.033,0.004,-,-,ARW,Aust Renewable,0.016,,-,0.016,0.018,-,,-,0.01,-,-2.65,-
0.20,0.05,0.19,0.185,AOK,Austex Oil Ltd,0.185,,5465,0.185,0.19,-,,-,-,-,-4.05,-
0.096,0.02,0.058,0.056,AKK,Austin Explore,0.056,-0.2,3000,0.056,0.058,-,,-,-,-,-3.44,-
0.024,0.015,-,-,AKKO,  opt nov11,0.024,,-,0.022,0.025,-,,-,-,-,-,-
0.059,0.028,0.053,0.051,APG,Austpac Res NL,0.051,-0.1,14219,0.051,0.052,-,,-,-,-,-0.28,-
0.007,0.001,-,-,AAF,Austral Africa Res,0.004,,-,0.004,0.005,-,,-,-,-,-0.6,-
0.23,0.065,-,-,AGD,Austral Gold,0.13,,-,0.081,0.18,-,,-,-,-,-2.53,-
0.28,0.11,-,-,AZX,Auzex Res,0.155,,-,0.155,0.20,-,,-,-,-,-15.3,-
0.07,0.006,-,-,AZXO,  opt sep10,0.015,,-,0.009,0.03,-,,-,-,-,-,-
0.30,0.054,-,-,AVI,Avalon Min,0.225,,-,0.22,0.23,-,,-,-,-,-5.87,-
0.045,0.006,0.025,0.024,AVB,Avanco Res Ltd,0.025,0.3,10320,0.024,0.025,-,,-,-,-,-1.45,-
0.15,0.001,-,-,AVBO,  opt jun10,0.004,,-,0.001,0.004,-,,-,-,-,-,-
0.027,0.004,0.015,0.014,AVBOB,  opt apr12,0.015,0.2,20359,0.014,0.015,-,,-,-,-,-,-
0.215,0.062,0.067,0.063,AVA,Aviva Corp,0.063,,2183,0.063,0.064,-,,-,-,-,-2.78,-
