ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4776.7 at 16:47 2/12/2009  Report at 19:05 Wednesday 2/12/2009. Processed 19:32 Wednesday 2/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.28,0.11,0.15,0.15,AZX,Auzex Res,0.15,-1,480,0.13,0.21,-,,-,-,-,-15.3,-
0.07,0.006,-,-,AZXO,  opt sep10,0.015,,-,0.015,0.03,-,,-,-,-,-,-
0.30,0.054,0.225,0.20,AVI,Avalon Min,0.20,-2.5,1750,0.21,0.24,-,,-,-,-,-5.87,-
0.045,0.006,0.029,0.025,AVB,Avanco Res Ltd,0.025,-0.2,8960,0.025,0.028,-,,-,-,-,-1.45,-
0.15,0.001,-,-,AVBO,  opt jun10,0.004,,-,0.001,0.004,-,,-,-,-,-,-
0.027,0.004,0.014,0.014,AVBOB,  opt apr12,0.014,-0.4,3000,0.013,0.017,-,,-,-,-,-,-
0.215,0.065,0.068,0.068,AVA,Aviva Corp,0.068,,250,0.068,0.069,-,,-,-,-,-2.78,-
2.20,1.33,2.20,2.08,AVO,Avoca Res,2.20,17,35228,2.15,2.20,-,,-,0.61,-,-6.97,-
0.17,0.026,0.14,0.14,AVZ,Avonlea Min,0.14,0.5,110,0.135,0.14,-,,-,-,-,-5.2,-
3.06,2.10,2.75,2.69,AWE,AWE Ltd,2.74,8,19076,2.74,2.75,-,,-,1.80,-,17.36,15.8
0.04,0.015,-,-,AXC,AXG Min Ltd,0.021,,-,0.023,0.029,-,,-,-,-,-1.4,-
0.006,0.001,-,-,AXCO,  opt aug10,0.002,,-,0.001,0.005,-,,-,-,-,-,-
0.034,0.011,0.013,0.012,AVQ,Axiom Min Ltd cdi,0.012,,2400,0.014,0.025,-,,-,-,-,-9.67,-
0.31,0.04,0.305,0.29,AZM,Azumah Res,0.30,1,14928,0.295,0.30,-,,-,-,-,-2.8,-
0.113,0.036,0.054,0.054,AZS,Azure Min,0.054,0.5,464,0.051,0.054,-,,-,-,-,-1.9,-
0.66,0.165,0.57,0.55,BND,Bandanna Energy,0.57,2,785,0.565,0.61,-,,-,-,-,-0.22,-
1.485,0.555,1.20,1.16,BMN,Bannerman Res,1.20,2,3264,1.19,1.20,-,,-,-,-,-6.22,-
0.03,0.003,0.008,0.007,BKP,Baraka Pet,0.007,,75100,0.007,0.008,-,,-,-,-,-0.15,-
0.22,0.041,0.09,0.087,BAR,Barra Res,0.089,-0.1,3077,0.088,0.089,-,,-,-,-,-1.78,-
0.04,0.002,-,-,BARO,  opt dec10,0.005,,-,0.006,0.02,-,,-,-,-,-,-
0.13,0.045,-,-,BSE,Base Iron Ltd,0.125,,-,0.11,0.125,-,,-,-,-,-3.53,-
0.349,0.089,0.275,0.26,BSM,Bass Metals Ltd,0.265,0.5,3495,0.265,0.27,-,,-,-,-,18.46,1.4
0.08,0.02,-,-,BSMOA,  opt apr10,0.065,,-,0.038,0.085,-,,-,-,-,-,-
0.068,0.013,0.042,0.037,BAS,Bass Strait Oil Co,0.038,-0.4,207452,0.038,0.039,-,,-,-,-,-0.7,-
0.42,0.03,0.37,0.35,BSR,Bassari Res,0.35,,3599,0.345,0.35,-,,-,-,-,-0.9,-
0.124,0.06,0.115,0.115,BTV,Batavia Min,0.115,0.5,1260,0.115,0.12,-,,-,-,-,4.8,2.4
0.05,0.008,0.036,0.036,BTVO,  opt jun12,0.036,,700,0.035,0.045,-,,-,-,-,-,-
1.345,0.165,0.91,0.82,BAU,Bauxite Resource,0.835,-4.5,2225,0.835,0.875,-,,-,-,-,-4.4,-
1.476,0.19,1.115,1.055,BCI,BC Iron Ltd,1.055,-0.5,2285,1.05,1.055,-,,-,-,-,-2.2,-
0.21,0.105,0.15,0.13,BCD,BCD Res NL,0.14,0.5,4855,0.135,0.14,-,,-,0.09,-,2.29,6.1
0.956,0.678,0.865,0.845,BPT,Beach Pet,0.86,2,85573,0.855,0.865,1.75,p,14.41,-,2.03,25.21,3.4
0.052,0.012,0.02,0.017,BPTO,  opt jun10,0.018,-0.1,1645,0.018,0.019,-,,-,-,-,-,-
0.034,0.003,0.028,0.026,BCN,Beacon Min,0.027,0.1,295672,0.027,0.028,-,,-,-,-,-3.44,-
0.015,0.001,-,-,BCNO,  opt aug10,0.003,,-,0.002,0.004,-,,-,-,-,-,-
0.02,0.001,0.019,0.017,BCNOA,  opt aug10,0.019,0.2,103351,0.018,0.019,-,,-,-,-,-,-
0.185,0.041,0.125,0.115,BDR,Beadell Resource,0.115,-0.5,1185,0.115,0.135,-,,-,-,-,-4,-
0.32,0.125,0.265,0.255,BDG,Bendigo Min Ltd,0.26,1.5,5908,0.26,0.265,0.5,,3.40,0.15,1.92,1.7,15.3
1.50,0.175,1.19,1.08,BKY,Berkeley Res,1.19,8.5,2423,1.18,1.19,-,,-,-,-,-9.47,-
0.76,0.40,-,-,BKYO,  opt may13,0.50,,-,0.50,0.65,-,,-,-,-,-,-
41.99,25.75,41.99,41.75,BHP,BHP Billiton Ltd,41.92,58,130594,41.75,41.92,113.63,f,1.15,8.84,2.71,130.15,32.2
0.20,0.025,0.13,0.13,BFE,Black Fire Min,0.13,0.5,1377,0.13,0.135,-,,-,-,-,-3.48,-
0.038,0.002,-,-,BFEO,  opt jun10,0.026,,-,0.016,0.027,-,,-,-,-,-,-
0.105,0.014,0.048,0.043,BLR,Black Range Min,0.044,0.1,12435,0.045,0.048,-,,-,-,-,-0.48,-
0.07,0.004,-,-,BLRO,  opt feb11,0.025,,-,0.026,0.03,-,,-,-,-,-,-
0.44,0.061,0.335,0.30,BLK,Blackham Res,0.30,-2,2257,0.29,0.30,-,,-,-,-,-1.4,-
0.90,0.055,0.715,0.68,BTR,Blackthorn Res,0.68,0.5,1190,0.67,0.68,-,,-,-,-,-67.49,-
0.04,0.009,0.015,0.014,BDI,Blina Diamonds NL,0.014,-0.1,4090,0.014,0.016,-,,-,-,-,-11.3,-
0.335,0.093,0.21,0.205,BUL,Blue Energy Ltd,0.21,,12244,0.205,0.21,-,,-,-,-,-1.48,-
0.175,0.023,0.11,0.11,BOM,Bondi Min Ltd,0.11,-0.5,145,0.11,0.125,-,,-,-,-,-3.22,-
0.08,0.04,0.061,0.061,BOE,Boss Energy Ltd,0.061,0.6,6795,0.062,0.08,-,,-,-,-,-11.82,-
0.055,0.001,-,-,BOEO,  opt nov10,0.004,,-,0.001,-,-,,-,-,-,-,-
0.052,0.02,0.038,0.037,BML,Botswana Metals,0.037,-0.1,1529,0.037,0.043,-,,-,-,-,-0.67,-
0.85,0.47,-,-,BOC,Bougainville Copper,0.56,,-,0.56,0.60,-,,-,0.37,-,-0.44,-
0.38,0.018,0.235,0.215,BGD,Boulder Steel,0.225,0.5,10203,0.22,0.23,-,,-,-,-,-1.6,-
0.18,0.01,0.135,0.12,BGDO,  opt mar12,0.135,,1400,0.125,0.14,-,,-,-,-,-,-
0.178,0.016,0.094,0.092,BUY,Bounty Oil & Gas,0.092,-0.1,15457,0.092,0.093,-,,-,-,-,1.08,8.5
1.60,0.146,1.33,1.295,BOW,Bow Energy Ltd,1.32,1,3665,1.305,1.325,-,,-,-,-,-0.46,-
0.19,0.05,-,-,BWN,Bowen Energy Ltd,0.11,,-,0.10,0.11,-,,-,-,-,-6.5,-
