ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.235,0.12,0.12,0.12,AKA,Aust Min Min,0.12,-0.5,718,0.12,0.15,-,,-,-,-,-,-
0.04,0.015,-,-,AKAO,  opt oct11,0.015,,-,0.012,0.037,-,,-,-,-,-,-
0.02,0.001,0.001,0.001,AUZ,Aust Mines Ltd,0.001,-0.1,54000,0.001,0.002,-,,-,-,-,0.05,2.0
0.001,0.001,-,-,AUZO,  opt jun13,0.001,,-,-,0.001,-,,-,-,-,-,-
0.16,0.07,-,-,AOC,Aust Oil Co,0.09,,-,0.088,0.13,-,,-,-,-,-3.81,-
0.03,0.01,-,-,AOCOA,  opt dec11,0.01,,-,0.011,0.015,-,,-,-,-,-,-
0.009,0.002,-,-,AOM,Aust Oriental,0.003,,-,0.002,0.004,-,,-,-,-,-0.07,-
0.033,0.009,0.01,0.009,ARW,Aust Renewable,0.009,-0.1,8727,0.008,0.009,-,,-,0.01,-,-1.56,-
0.216,0.098,0.13,0.125,AOK,Austex Oil Ltd,0.13,0.5,2478,0.12,0.13,-,,-,-,-,-2.29,-
0.04,0.023,-,-,AOKO,  opt dec11,0.032,,-,0.032,0.038,-,,-,-,-,-,-
0.096,0.027,0.032,0.031,AKK,Austin Explore,0.032,0.2,4200,0.031,0.032,-,,-,-,-,-2.49,-
0.031,0.007,-,-,AKKO,  opt nov11,0.008,,-,0.007,0.009,-,,-,-,-,-,-
0.07,0.03,0.033,0.033,APG,Austpac Res NL,0.033,,3000,0.033,0.037,-,,-,-,-,-0.29,-
0.13,0.10,0.12,0.12,AAFDA,Austral Africa Res def,0.12,,1000,0.11,0.15,-,,-,-,-,-0.14,-
0.25,0.065,-,-,AGD,Austral Gold,0.18,,-,0.18,0.25,-,,-,-,-,6.17,2.9
0.26,0.10,-,-,AZX,Auzex Res,0.13,,-,0.115,0.135,-,,-,-,-,-3.35,-
0.015,0.006,-,-,AZXO,  opt sep10,0.009,,-,-,0.008,-,,-,-,-,-,-
0.297,0.109,0.175,0.17,AVI,Avalon Min,0.175,0.5,2030,0.155,0.175,-,,-,-,-,-0.68,-
0.044,0.013,0.016,0.015,AVB,Avanco Res Ltd,0.015,-0.1,18390,0.015,0.016,-,,-,-,-,1.23,1.2
0.027,0.005,-,-,AVBOB,  opt apr12,0.006,,-,0.006,0.008,-,,-,-,-,-,-
0.17,0.056,-,-,AVA,Aviva Corp,0.062,,-,0.062,0.07,-,,-,-,-,-10.74,-
2.79,1.48,2.63,2.53,AVO,Avoca Res,2.56,-12,13002,2.55,2.56,-,,-,0.79,-,12.49,20.5
0.17,0.07,-,-,AVZ,Avonlea Min,0.079,,-,0.07,0.085,-,,-,-,-,-4.1,-
3.17,1.575,1.66,1.575,AWE,AWE Ltd,1.59,-6,36960,1.58,1.605,-,,-,1.74,-,1.43,111.2
0.039,0.014,-,-,AXC,AXG Min Ltd,0.014,,-,0.013,0.019,-,,-,-,-,-1.39,-
