ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:23 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.027,0.004,0.021,0.02,AVBOB,  opt apr12,0.021,-0.3,6073,0.02,0.021,-,,-,-,-,-,-
0.215,0.056,0.067,0.063,AVA,Aviva Corp,0.067,0.4,1983,0.067,0.07,-,,-,-,-,-2.78,-
2.26,1.415,1.965,1.885,AVO,Avoca Res,1.915,-3,5627,1.91,1.92,-,,-,0.61,-,-6.97,-
0.17,0.03,0.12,0.115,AVZ,Avonlea Min,0.12,,600,0.11,0.12,-,,-,-,-,-5.2,-
3.17,2.11,3.13,3.05,AWE,AWE Ltd,3.09,-5,21842,3.08,3.10,-,,-,1.80,-,17.36,17.8
0.04,0.015,-,-,AXC,AXG Min Ltd,0.022,,-,0.022,0.027,-,,-,-,-,-1.4,-
0.006,0.001,-,-,AXCO,  opt aug10,0.002,,-,0.002,0.003,-,,-,-,-,-,-
0.04,0.011,0.04,0.023,AVQ,Axiom Min Ltd cdi,0.026,0.6,32206,0.026,0.029,-,,-,-,-,-0.73,-
0.325,0.055,0.29,0.275,AZM,Azumah Res,0.28,-1,2103,0.275,0.285,-,,-,-,-,-2.8,-
0.08,0.036,0.048,0.046,AZS,Azure Min,0.046,-0.2,3000,0.046,0.049,-,,-,-,-,-1.9,-
0.735,0.18,0.70,0.655,BND,Bandanna Energy,0.655,-4.5,663,0.655,0.66,-,,-,-,-,-0.22,-
1.485,0.555,0.80,0.765,BMN,Bannerman Res,0.775,-2,14326,0.775,0.78,-,,-,-,-,-6.22,-
0.03,0.003,0.007,0.006,BKP,Baraka Pet,0.006,,37500,0.005,0.006,-,,-,-,-,-0.15,-
0.22,0.047,0.095,0.094,BAR,Barra Res,0.094,0.4,1563,0.09,0.094,-,,-,-,-,-1.78,-
0.029,0.002,-,-,BARO,  opt dec10,0.007,,-,0.004,0.009,-,,-,-,-,-,-
0.155,0.045,0.135,0.115,BSE,Base Iron Ltd,0.135,,5095,0.125,0.135,-,,-,-,-,-3.53,-
