ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
Xao 4507.4 At 16:36 30/7/2010  Report At 19:05 Friday 30/7/2010!. Processed 13:05 Monday 2/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""CGG",Citadel Resource Group ,FPO,"1,799,977","146,564",8.14,-3.22,"2,367,091,408","0.00""",,,,,,,,,
"""PEM",Perilya ,FPO,"455,561","37,099",8.14,2.35,"526,075,563","0.00""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"985,068","79,504",8.07,-0.51,"187,584,911","0.04""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"336,834","26,828",7.96,-0.38,"209,632,844","0.01""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"795,604","62,842",7.89,-1.98,"200,184,686","0.03""",,,,,,,,,
"""CQO",Charter Hall Office REIT,UNIT,"13,397,732","1,052,121",7.85,-2.00,"4,872,354,215","0.02""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"11,004,780","861,539",7.82,-1.58,"2,209,126,568","0.03""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"1,019,282","77,896",7.64,-0.60,"1,167,783,517","0.00""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"4,144,410","316,904",7.64,-0.28,"780,136,909","0.04""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"327,481","24,840",7.58,-2.53,"177,546,198","0.01""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"1,275,726","96,778",7.58,-0.84,"300,687,299","0.03""",,,,,,,,,
"""ANN",Ansell ,FPO,"937,598","70,464",7.51,-1.38,"131,577,652","0.05""",,,,,,,,,
