ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4632.7 at 16:36 21/6/2010  Report at 19:05 Monday 21/6/2010!. Processed 12:11 Tuesday 22/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"26,757,649","2,915,206",10.89,-1.56,"2,209,126,568","0.13""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"1,441,509","153,695",10.66,3.94,"255,203,613","0.06""",,,,,,,,,
"""LNC",Linc Energy,FPO,"3,134,598","334,062",10.65,4.31,"489,093,470","0.06""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"769,492","81,903",10.64,2.76,"97,972,949","0.08""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"2,301,751","244,390",10.61,2.01,"1,062,316,784","0.02""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"5,332,529","557,580",10.45,0.87,"1,655,499,093","0.03""",,,,,,,,,
"""ITO",Intoll Group,STAPLED,"6,168,625","639,921",10.37,-0.45,"2,261,732,048","0.02""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"73,880","7,514",10.17,2.60,"149,073,532","0.00""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"2,374,299","239,824",10.10,1.31,"1,092,161,437","0.02""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"5,778,563","579,069",10.02,1.60,"1,035,064,820","0.05""",,,,,,,,,
"""REA",REA Group,FPO,"34,715","3,399",9.79,-2.87,"128,439,366","0.00""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"1,909,645","185,940",9.73,-1.24,"1,031,911,394","0.01""",,,,,,,,,
"""FXL",Flexigroup ,FPO,"146,497","14,100",9.62,4.40,"270,818,164","0.00""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"2,776,707","264,406",9.52,4.07,"777,656,734","0.03""",,,,,,,,,
"""SVW",Seven Group Holdings ,FPO,"184,246","17,321",9.40,0.31,"305,410,281","0.00""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"7,335,605","681,579",9.29,7.14,"686,759,634","0.09""",,,,,,,,,
"""HST",Hastie Group ,FPO,"995,524","89,478",8.98,2.38,"239,716,924","0.03""",,,,,,,,,
"""GNC",Graincorp ,FPO,"958,192","84,971",8.86,2.54,"198,318,900","0.04""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"1,649,413","145,119",8.79,0.59,"435,435,998","0.03""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"8,549,995","751,124",8.78,6.74,"1,079,174,611","0.07""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"14,974,093","1,295,673",8.65,4.57,"3,106,998,120","0.04""",,,,,,,,,
"""AAX",Ausenco ,FPO,"1,442,844","122,928",8.52,0.00,"122,427,576","0.10""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"3,106,949","263,549",8.48,0.35,"635,132,810","0.04""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"1,091,080","92,085",8.44,0.00,"264,264,459","0.03""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"2,178,468","181,250",8.32,1.18,"702,867,609","0.02""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"994,764","81,373",8.18,0.65,"565,558,754","0.01""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"26,904,745","2,181,810",8.10,4.34,"1,823,322,017","0.12""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"603,171","48,833",8.09,1.13,"354,445,200","0.01""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"7,426,004","594,819",8.01,0.00,"2,265,123,620","0.02""",,,,,,,,,
"""GDO",Gold One International ,FPO,"946,984","75,000",7.92,3.39,"805,894,985","0.00""",,,,,,,,,
"""ORI",Orica ,FPO,"710,154","55,401",7.80,-0.41,"361,129,562","0.01""",,,,,,,,,
"""AWB",AWB ,FPO,"1,969,249","152,818",7.76,-1.45,"817,304,356","0.01""",,,,,,,,,
"""NWH",NRW Holdings ,FPO,"1,077,732","83,268",7.72,-0.45,"251,223,000","0.03""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"3,708,351","286,442",7.72,1.79,"1,281,390,524","0.02""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"157,981","12,168",7.70,-0.39,"232,490,800","0.00""",,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"4,148,619","315,377",7.60,8.19,"707,757,674","0.04""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"11,283,708","858,040",7.60,-2.95,"2,705,140,151","0.03""",,,,,,,,,
"""MPO",Molopo Energy ,FPO,"169,131","12,851",7.59,1.31,"250,665,548","0.00""",,,,,,,,,
"""GIR",Giralia Resources,FPO,"516,245","38,190",7.39,6.80,"178,310,170","0.02""",,,,,,,,,
"""MDL",Mineral Deposits ,FPO,"1,277,979","94,187",7.37,5.35,"576,076,525","0.01""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"2,585,209","189,716",7.33,3.40,"417,432,088","0.04""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"12,567",920,7.32,0.00,"238,640,580","0.00""",,,,,,,,,
"""SLM",Salmat ,FPO,"65,046","4,652",7.15,-0.74,"159,131,983","0.00""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"1,367,312","95,386",6.97,0.00,"620,709,233","0.01""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,257,020","85,882",6.83,0.00,"960,638,735","0.00""",,,,,,,,,
"""AOE",Arrow Energy ,FPO,"1,296,012","88,277",6.81,-0.61,"732,570,533","0.01""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"13,160,769","890,347",6.76,2.04,"1,037,994,023","0.08""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"6,474,065","432,214",6.67,0.52,"931,386,248","0.04""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"356,990","23,443",6.56,1.48,"215,680,322","0.01""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"4,083,282","263,136",6.44,-2.30,"336,582,351","0.07""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"4,087,522","258,000",6.31,0.00,"958,061,849","0.02""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"1,809,708","112,535",6.21,0.65,"1,166,032,778","0.01""",,,,,,,,,
"""IRE",Iress Market Technology ,FPO,"180,853","11,193",6.18,1.42,"123,812,455","0.00""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"924,612","56,702",6.13,0.78,"1,212,723,832","0.00""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"6,871,704","414,399",6.03,-1.38,"713,154,560","0.05""",,,,,,,,,
"""CQR",Charter Hall Retail REIT,UNIT,"11,904,973","715,712",6.01,-0.86,"1,505,216,260","0.04""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"500,358","29,825",5.96,1.73,"248,219,660","0.01""",,,,,,,,,
"""MCC",Macarthur Coal ,FPO,"743,627","43,544",5.85,2.08,"254,333,109","0.01""",,,,,,,,,
"""CDU",Cudeco ,FPO,"443,997","25,097",5.65,3.19,"137,285,632","0.01""",,,,,,,,,
"""SRV",Servcorp ,FPO,"602,234","32,534",5.40,0.67,"98,440,807","0.03""",,,,,,,,,
"""CNX",Carbon Energy ,FPO,"1,417,527","75,793",5.34,0.00,"609,497,650","0.01""",,,,,,,,,
"""PAG",Primeag Australia ,FPO,"47,739","2,547",5.33,-2.32,"150,554,149","0.00""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"11,024,472","568,163",5.15,0.69,"1,855,529,431","0.03""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"1,307,106","66,838",5.11,0.52,"2,067,095,545","0.00""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"647,133","33,028",5.10,-0.76,"576,837,197","0.00""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"140,928","7,145",5.07,1.35,"28,950,668","0.02""",,,,,,,,,
"""PMP",PMP ,FPO,"62,904","3,140",4.99,2.58,"335,348,483","0.00""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"1,759,294","87,557",4.97,-2.60,"414,278,904","0.02""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"933,447","45,062",4.82,2.27,"500,273,209","0.00""",,,,,,,,,
"""PIH",Prime Infrastructure.,STAPLED,"473,598","22,555",4.76,-1.07,"351,776,795","0.00""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"8,689,257","407,229",4.68,-4.76,"1,178,626,572","0.03""",,,,,,,,,
"""APN",APN News & Media ,FPO,"1,303,925","60,761",4.66,2.35,"598,823,853","0.01""",,,,,,,,,
