ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4456.7 at 16:38 15/7/2010  Report at 19:06 Thursday 15/7/2010!. Processed 12:59 Friday 16/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""BXB",Brambles ,FPO,"6,402,814","856,085",13.37,3.53,"1,422,229,707","0.06""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"16,938,342","2,258,598",13.33,0.00,"3,266,304,329","0.06""",,,,,,,,,
"""APN",APN News & Media ,FPO,"1,623,520","206,434",12.71,0.48,"598,823,853","0.03""",,,,,,,,,
"""MLB",Melbourne IT ,FPO,"19,063","2,424",12.71,1.43,"79,569,967","0.00""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"342,304","43,361",12.66,-1.80,"420,711,773","0.01""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"1,996,341","251,439",12.59,-0.34,"780,136,909","0.03""",,,,,,,,,
"""DLX",Duluxgroup ,DEF SET,"9,523,777","1,191,642",12.51,-1.17,"362,100,430","0.32""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"1,817,255","227,025",12.49,0.00,"733,711,705","0.03""",,,,,,,,,
"""KZL",Kagara,FPO,"2,237,562","274,725",12.27,-2.70,"674,489,717","0.04""",,,,,,,,,
"""HST",Hastie Group ,FPO,"477,866","57,435",12.01,0.33,"239,716,924","0.02""",,,,,,,,,
"""IGO",Independence Group,FPO,"815,397","97,364",11.94,1.54,"113,813,539","0.08""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"253,200","30,204",11.92,-1.38,"259,309,656","0.01""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"6,254,985","745,248",11.91,-0.91,"2,368,729,935","0.03""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"2,025,213","240,772",11.88,0.00,"635,132,810","0.03""",,,,,,,,,
"""SVW",Seven Group Holdings ,FPO,"120,949","14,369",11.88,-0.33,"305,410,281","0.00""",,,,,,,,,
"""SXL",Southern Cross Media Group LIMITE,FPO,"545,152","63,728",11.69,-1.96,"378,827,750","0.01""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"1,598,911","185,206",11.58,0.33,"461,163,412","0.04""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"218,517","25,129",11.50,-0.93,"322,273,136","0.00""",,,,,,,,,
"""CSR",CSR ,FPO,"3,251,817","373,337",11.48,0.00,"1,514,920,814","0.02""",,,,,,,,,
"""GNC",Graincorp ,FPO,"763,681","87,309",11.43,-0.17,"198,318,900","0.04""",,,,,,,,,
"""FLT",Flight Centre ,FPO,"343,602","38,220",11.12,0.34,"99,780,631","0.03""",,,,,,,,,
"""ENV",Envestra ,FPO,"2,065,320","227,222",11.00,0.00,"1,386,827,962","0.01""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"807,060","88,584",10.97,-0.45,"565,958,113","0.01""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"3,279,558","352,674",10.75,-0.29,"2,078,994,021","0.01""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"1,072,103","114,407",10.67,-4.95,"179,244,153","0.06""",,,,,,,,,
"""CDU",Cudeco ,FPO,"218,579","23,166",10.59,-1.71,"137,285,632","0.01""",,,,,,,,,
"""MDL",Mineral Deposits ,FPO,"170,727","18,061",10.57,1.74,"580,576,525","0.00""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"2,343,760","244,252",10.42,-3.86,"931,386,248","0.02""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"2,681,251","279,140",10.41,-2.09,"1,167,783,517","0.02""",,,,,,,,,
"""NUF",Nufarm ,FPO,"15,387,650","1,561,124",10.14,0.00,"261,775,731","0.59""",,,,,,,,,
"""BMN",Bannerman Resources ,FPO,"1,947,810","196,438",10.08,9.09,"201,710,934","0.09""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"2,160,285","217,886",10.08,-1.44,"713,154,560","0.03""",,,,,,,,,
"""PPT",Perpetual ,FPO,"84,063","8,449",10.05,0.20,"43,417,478","0.01""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"3,815,594","378,243",9.91,1.22,"2,592,249,647","0.01""",,,,,,,,,
"""CER",Centro Retail Group,STAPLED,"1,115,498","110,530",9.90,-3.12,"2,286,399,424","0.00""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"875,756","86,712",9.90,-1.60,"239,531,783","0.03""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,456,868","142,985",9.81,-0.60,"612,625,759","0.02""",,,,,,,,,
"""SEK",Seek ,FPO,"732,992","71,476",9.75,-1.24,"336,584,488","0.02""",,,,,,,,,
"""MCC",Macarthur Coal ,FPO,"1,062,326","103,403",9.73,-1.70,"254,333,109","0.04""",,,,,,,,,
"""CSL",CSL ,FPO,"3,374,349","324,695",9.62,-2.84,"549,692,886","0.05""",,,,,,,,,
"""RSG",Resolute Mining ,FPO,"334,625","31,520",9.41,-1.59,"392,586,434","0.00""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"2,014,019","188,440",9.35,-0.82,"798,520,953","0.02""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"1,938,943","180,668",9.31,-2.12,"717,142,802","0.02""",,,,,,,,,
"""SBM",St Barbara ,FPO,"6,301,583","559,782",8.88,-1.38,"1,953,168,407","0.02""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"553,502","48,298",8.72,0.00,"415,928,881","0.01""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"4,321,066","374,549",8.66,3.32,"1,031,911,394","0.03""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"2,952,667","253,124",8.57,1.85,"958,061,849","0.02""",,,,,,,,,
"""LNC",Linc Energy,FPO,"5,557,165","472,318",8.49,-1.81,"489,093,470","0.09""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"764,599","62,682",8.19,-2.18,"498,485,150","0.01""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"3,411,121","276,448",8.10,-2.58,"1,079,570,693","0.02""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"477,862","38,583",8.07,-0.29,"215,681,127","0.01""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"221,872","17,480",7.87,-1.37,"561,347,878","0.00""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"4,559,362","358,367",7.86,-0.59,"1,045,236,720","0.03""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"1,483,928","116,540",7.85,1.00,"200,184,686","0.05""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"2,419,611","188,709",7.79,-2.00,"463,070,936","0.04""",,,,,,,,,
