ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4686.8 at 16:34 17/2/2010  Report at 19:05 Wednesday 17/2/2010. Processed 12:10 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""SPN",SP AusNet,STAPLED,"3,675,123","561,549",15.28,-1.09,"2,705,140,151","0.02""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"23,699,891","3,615,691",15.25,-0.75,"2,078,994,021","0.17""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"15,449,422","2,308,564",14.94,-3.88,"481,554,331","0.47""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,327,543","197,231",14.85,2.19,"707,511,545","0.02""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"619,867","91,557",14.77,1.05,"108,334,987","0.08""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"1,238,720","182,703",14.74,1.22,"270,000,000","0.06""",,,,,,,,,
"""ERA",ERA,FPO 'A',"427,945","62,604",14.62,4.55,"190,737,934","0.03""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"4,662,001","671,147",14.39,1.80,"1,077,174,611","0.06""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"3,972,521","571,270",14.38,0.47,"2,067,095,545","0.02""",,,,,,,,,
"""KMD",Kathmandu Holdings ,FPO,"583,575","83,787",14.35,0.61,"200,000,000","0.04""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"2,391,512","342,426",14.31,2.08,"2,884,031,620","0.01""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"1,105,910","157,839",14.27,-0.75,"603,580,761","0.02""",,,,,,,,,
"""MDT",Macquarie DDR Trust,UNIT,"2,041,675","287,910",14.10,2.29,"943,203,042","0.03""",,,,,,,,,
"""HSP",Healthscope ,FPO,"1,347,275","188,556",13.99,1.63,"314,241,491","0.06""",,,,,,,,,
"""EXT",Extract Resources,FPO,"92,866","12,836",13.82,1.40,"242,617,636","0.00""",,,,,,,,,
"""APA",APA Group,STAPLED,"506,062","69,931",13.81,0.31,"508,816,964","0.01""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"4,158,304","574,470",13.81,6.06,"717,142,802","0.08""",,,,,,,,,
"""KZL",Kagara,FPO,"1,948,320","264,512",13.57,3.88,"674,489,717","0.03""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"4,264,585","577,987",13.55,1.37,"1,894,391,570","0.03""",,,,,,,,,
"""SEK",Seek ,FPO,"3,222,861","426,080",13.22,2.28,"335,766,988","0.12""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"1,179,778","155,934",13.21,1.89,"865,224,422","0.01""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"3,092,076","395,684",12.79,-2.70,"764,907,820","0.05""",,,,,,,,,
"""MOF",Macquarie Office Trust,UNIT,"7,444,059","947,084",12.72,1.81,"4,752,826,494","0.02""",,,,,,,,,
"""LRC",Laguna Resources,FPO,"1,579,855","199,855",12.65,7.69,"1,103,014,602","0.01""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"3,444,356","434,517",12.61,4.67,"388,380,445","0.11""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"36,610,317","4,557,505",12.44,0.61,"4,766,093,266","0.09""",,,,,,,,,
"""ORI",Orica ,FPO,"714,373","88,126",12.33,0.64,"361,088,962","0.02""",,,,,,,,,
"""REA",REA Group,FPO,"25,634","3,144",12.26,1.79,"128,439,366","0.00""",,,,,,,,,
"""CDU",Cudeco ,FPO,"337,037","41,210",12.22,2.66,"137,751,181","0.03""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"7,339,321","886,034",12.07,0.83,"1,045,236,720","0.08""",,,,,,,,,
"""HFA",HFA Holdings ,FPO,"766,094","90,776",11.84,6.38,"469,330,170","0.01""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"9,639,660","1,134,275",11.76,9.22,"446,890,286","0.25""",,,,,,,,,
"""HST",Hastie Group ,FPO,"984,782","115,571",11.73,1.88,"236,132,996","0.04""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"292,424","34,094",11.65,-0.56,"414,227,380","0.00""",,,,,,,,,
"""ITO",Intoll Group,STAPLED,"4,220,996","491,600",11.64,1.34,"2,261,732,048","0.02""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"54,429","6,297",11.56,0.30,"62,959,971","0.01""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"25,789","2,959",11.47,-0.22,"238,640,580","0.00""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"931,141","106,576",11.44,3.81,"1,161,817,264","0.00""",,,,,,,,,
"""BBG",Billabong International ,FPO,"751,229","85,871",11.43,0.56,"252,863,336","0.03""",,,,,,,,,
"""PNA",PanAust ,FPO,"13,602,642","1,543,605",11.34,4.30,"2,932,780,549","0.05""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"3,522,837","399,511",11.34,3.34,"1,025,035,218","0.03""",,,,,,,,,
"""AWB",AWB ,FPO,"4,299,279","481,960",11.21,2.35,"817,304,356","0.05""",,,,,,,,,
"""BLD",Boral ,FPO,"2,258,765","252,186",11.16,-1.60,"595,313,279","0.04""",,,,,,,,,
"""STO",Santos ,FPO,"2,787,410","302,684",10.85,1.71,"831,413,347","0.03""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"10,302,302","1,117,054",10.84,2.05,"2,351,955,725","0.04""",,,,,,,,,
"""IEM",iShares MSCI Emerging Markets,CDI 1:1,"7,589",818,10.77,1.73,"425,700,000","0.00""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"2,725,527","293,598",10.77,3.43,"699,358,971","0.04""",,,,,,,,,
"""GWT",GWA International ,FPO,"962,600","103,644",10.76,-0.32,"300,667,514","0.03""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"1,162,064","123,465",10.62,5.80,"435,384,268","0.02""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"703,900","74,710",10.61,0.46,"203,496,058","0.03""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"9,671,189","1,015,139",10.49,2.85,"1,655,499,093","0.06""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"2,581,662","270,990",10.49,0.73,"1,031,911,394","0.02""",,,,,,,,,
"""VTA",Viterra Inc,CDI 1:1,"39,295","4,084",10.39,1.18,"68,629,939","0.00""",,,,,,,,,
"""TGG",TEMPLETON GLOBAL GROWTH FUND LIMI,FPO,"67,454","7,000",10.37,-0.62,"145,414,719","0.00""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"567,877","58,876",10.36,0.76,"264,264,459","0.02""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"70,634","7,304",10.34,3.36,"50,412,566","0.01""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"5,195,129","535,570",10.30,-0.31,"1,380,386,438","0.03""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"28,783,153","2,962,610",10.29,2.76,"2,265,123,620","0.13""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"474,685","48,556",10.22,3.93,"363,937,557","0.01""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"418,113","42,627",10.19,1.52,"213,475,606","0.02""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"13,649,245","1,390,777",10.18,0.00,"3,873,085,929","0.03""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"1,926,824","195,962",10.17,1.95,"634,144,970","0.03""",,,,,,,,,
"""WOW",Woolworths ,FPO,"3,482,070","346,065",9.93,1.67,"1,239,999,313","0.02""",,,,,,,,,
"""NMS",Neptune Marine Services ,FPO,"787,596","77,624",9.85,2.53,"417,499,705","0.01""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,379,230","134,574",9.75,0.29,"607,730,819","0.02""",,,,,,,,,
"""ELD",Elders ,FPO,"1,356,017","130,549",9.62,1.46,"448,598,480","0.02""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"3,259,441","311,685",9.56,1.37,"1,080,653,789","0.02""",,,,,,,,,
"""MRM",Mermaid Marine Aust ,FPO,"772,594","72,520",9.38,4.01,"186,109,338","0.03""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"487,007","45,458",9.33,0.58,"177,116,198","0.02""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"71,932","6,645",9.23,1.93,"146,174,810","0.00""",,,,,,,,,
"""ANN",Ansell ,FPO,"2,558,558","233,989",9.14,7.84,"132,335,652","0.17""",,,,,,,,,
"""GNC",Graincorp ,FPO,"2,198,529","198,620",9.03,4.30,"198,318,900","0.10""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"1,036,754","91,731",8.84,7.95,"204,012,842","0.04""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"1,271,870","112,366",8.83,0.00,"1,561,166,672","0.00""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"1,340,871","118,067",8.80,1.40,"508,212,161","0.02""",,,,,,,,,
