ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 19:07 Tuesday 29/12/2009!. Processed 11:40 Wednesday 30/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""UGL",UGL ,FPO,"205,138","29,355",14.31,0.56,"165,781,705","0.01""",,,,,,,,,
"""HFA",HFA Holdings ,FPO,"509,474","72,870",14.30,1.88,"460,483,911","0.01""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"881,047","125,880",14.28,0.39,"483,712,063","0.02""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"4,391,494","621,847",14.16,3.37,"1,522,867,420","0.04""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"3,351,756","467,358",13.94,3.03,"320,880,521","0.14""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"2,348,248","326,971",13.92,1.29,"1,270,897,282","0.02""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"222,036","30,775",13.86,3.64,"169,781,960","0.01""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"2,969,142","405,962",13.67,3.39,"1,488,668,825","0.02""",,,,,,,,,
"""CFU",Ceramic Fuel Cells ,FPO,"2,064,133","280,000",13.56,4.44,"1,029,873,280","0.02""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"6,730,118","910,556",13.53,3.65,"2,995,569,402","0.03""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"1,645,204","221,977",13.49,1.00,"2,078,994,021","0.01""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"5,678,564","756,385",13.32,1.38,"2,508,596,875","0.03""",,,,,,,,,
"""STO",Santos ,FPO,"1,286,352","167,138",12.99,0.64,"831,395,138","0.02""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"602,217","78,154",12.97,0.81,"272,935,495","0.02""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"760,841","97,450",12.80,0.78,"748,219,617","0.01""",,,,,,,,,
"""IOO",iShares S&P Global 100,CDI 1:1,"2,591",330,12.73,-0.83,"10,600,000","0.00""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"5,451,720","685,308",12.57,1.36,"2,265,123,620","0.03""",,,,,,,,,
