ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4689.6 at 16:47 17/12/2009  Report at 19:06 Thursday 17/12/2009. Processed 11:39 Friday 18/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""BLY",Boart Longyear ,FPO,"51,365,271","3,402,979",6.62,0.00,"4,611,574,674","0.07""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"15,766,952","1,044,237",6.62,3.44,"2,460,135,686","0.04""",,,,,,,,,
"""GWT",GWA International ,FPO,"1,834,201","121,162",6.60,3.93,"300,667,514","0.04""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"5,113,972","337,934",6.60,-1.66,"1,076,928,611","0.03""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"66,871,977","4,398,223",6.57,2.65,"6,071,770,261","0.07""",,,,,,,,,
"""CQT",Conquest Mining ,FPO,"459,528","30,005",6.53,0.00,"353,151,103","0.00""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"429,743","27,597",6.42,-1.48,"151,928,424","0.01""",,,,,,,,,
"""AEO",Austereo Group ,FPO,"6,751",432,6.39,3.35,"344,798,708","0.00""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"1,382,489","86,660",6.26,4.07,"200,184,686","0.04""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"4,897,582","305,120",6.23,0.74,"750,594,010","0.04""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"34,461","2,128",6.17,1.00,"62,560,346","0.00""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"1,641,804","100,879",6.14,0.00,"270,000,000","0.03""",,,,,,,,,
"""APA",APA Group,STAPLED,"2,504,537","153,541",6.13,4.34,"508,816,964","0.03""",,,,,,,,,
"""GXY",Galaxy Resources ,FPO,"132,619","8,127",6.12,1.14,"141,021,066","0.00""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"8,260,996","496,396",6.00,-0.46,"3,094,136,385","0.01""",,,,,,,,,
"""ERA",ERA,FPO 'A',"592,648","34,541",5.82,2.59,"190,737,934","0.01""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"20,862,933","1,203,178",5.76,2.54,"2,307,770,787","0.05""",,,,,,,,,
"""MOF",Macquarie Office Trust,UNIT,"36,100,905","2,071,541",5.73,1.72,"4,752,826,494","0.04""",,,,,,,,,
"""MTS",Metcash ,FPO,"5,084,511","291,372",5.73,-0.68,"765,191,573","0.03""",,,,,,,,,
"""HSP",Healthscope ,FPO,"1,590,889","90,695",5.70,1.04,"314,241,491","0.02""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"3,527,912","200,899",5.69,1.94,"865,074,422","0.02""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"1,521,347","86,258",5.67,0.00,"259,126,131","0.03""",,,,,,,,,
"""SBM",St Barbara ,FPO,"16,609,356","940,015",5.66,1.72,"1,952,668,407","0.04""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"20,142,362","1,138,519",5.65,0.70,"1,823,306,551","0.06""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"27,193,852","1,511,859",5.56,-0.42,"3,121,339,730","0.04""",,,,,,,,,
"""IVC",Invocare ,FPO,"557,895","30,174",5.40,-0.17,"101,834,236","0.03""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"9,793,287","523,712",5.34,3.84,"1,522,867,420","0.03""",,,,,,,,,
"""FLT",Flight Centre ,FPO,"423,843","22,350",5.27,0.97,"99,680,858","0.02""",,,,,,,,,
"""PNA",PanAust ,FPO,"14,341,122","756,231",5.27,0.87,"2,932,520,239","0.02""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"716,105","37,351",5.21,1.31,"202,081,252","0.01""",,,,,,,,,
"""MAP",MAp Group,FORUS,"9,985,022","516,098",5.16,0.35,"1,861,210,782","0.02""",,,,,,,,,
"""ARU",Arafura Resources ,FPO,"518,786","26,331",5.07,2.89,"259,213,979","0.01""",,,,,,,,,
"""AWB",AWB ,FPO,"7,652,993","383,627",5.01,0.45,"817,304,356","0.04""",,,,,,,,,
"""GCL",Gloucester Coal,FPO,"29,748","1,488",5.00,1.53,"81,962,133","0.00""",,,,,,,,,
"""VPG",Valad Property Group,FORUS,"6,164,333","302,643",4.91,9.09,"2,248,546,624","0.01""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"2,700,033","129,347",4.79,-0.75,"388,429,875","0.03""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"19,120,804","904,851",4.73,1.80,"2,209,126,568","0.04""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"3,600,107","167,676",4.65,2.09,"1,167,783,517","0.01""",,,,,,,,,
"""FXL",Flexigroup ,FPO,"51,964","2,400",4.61,0.66,"239,168,690","0.00""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"928,904","42,715",4.59,-1.11,"292,976,085","0.01""",,,,,,,,,
"""AAX",Ausenco ,FPO,"671,590","30,813",4.58,-1.18,"121,861,958","0.02""",,,,,,,,,
"""BBG",Billabong International ,FPO,"1,725,972","78,573",4.55,-3.93,"252,863,336","0.03""",,,,,,,,,
"""WSA",Western Areas,FPO,"774,758","35,098",4.53,2.23,"179,109,649","0.02""",,,,,,,,,
"""NUF",Nufarm ,FPO,"2,616,295","117,776",4.50,-0.28,"218,061,199","0.05""",,,,,,,,,
"""GDY",Geodynamics ,FPO,"183,953","8,112",4.41,0.00,"290,725,222","0.00""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"349,591","14,922",4.26,-0.28,"142,902,861","0.01""",,,,,,,,,
"""EXT",Extract Resources,FPO,"599,378","25,288",4.21,3.02,"242,460,636","0.01""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"1,638,669","68,095",4.15,0.21,"236,343,513","0.02""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"773,761","31,491",4.07,0.86,"478,897,537","0.00""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"5,682,735","226,384",3.98,2.04,"2,884,031,620","0.00""",,,,,,,,,
"""AWE",AWE ,FPO,"3,259,176","129,477",3.97,-0.73,"521,871,941","0.02""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"2,144,172","84,315",3.93,-0.45,"350,190,429","0.02""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,749,304","68,884",3.93,0.42,"338,294,375","0.02""",,,,,,,,,
"""LEP",ALE Property Group,STAPLED,"87,092","3,407",3.91,1.68,"151,519,561","0.00""",,,,,,,,,
"""BXB",Brambles ,FPO,"10,057,510","393,040",3.90,0.31,"1,412,190,433","0.02""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"695,518","27,020",3.88,-1.09,"208,918,744","0.01""",,,,,,,,,
"""MMG",Macquarie Media Group,STAPLED,"2,514,295","96,376",3.83,-0.25,"378,818,260","0.02""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"1,539,130","58,408",3.79,-0.75,"361,141,400","0.01""",,,,,,,,,
"""EGO",Empire Oil & Gas,FPO,"26,425,313","1,000,000",3.78,0.00,"3,282,527,861","0.03""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"8,800,304","329,697",3.74,0.42,"1,275,641,444","0.02""",,,,,,,,,
"""FBU",Fletcher Building ,FPO NZ,"272,776","10,173",3.72,-0.81,"606,118,435","0.00""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"2,733,237","99,956",3.65,0.87,"733,711,705","0.01""",,,,,,,,,
"""MRM",Mermaid Marine Aust ,FPO,"636,181","23,145",3.63,-1.61,"186,009,338","0.01""",,,,,,,,,
"""ABY",Aditya Birla Minerals ,FPO,"136,260","4,935",3.62,0.40,"313,372,551","0.00""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"4,598,968","161,160",3.50,3.78,"314,795,521","0.05""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"4,130,341","143,035",3.46,5.42,"576,777,900","0.02""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"6,609,826","228,506",3.45,0.37,"802,460,585","0.02""",,,,,,,,,
"""GNS",Gunns ,FPO,"5,427,369","181,181",3.33,-4.97,"806,734,892","0.02""",,,,,,,,,
"""SEK",Seek ,FPO,"2,328,997","77,227",3.31,0.15,"335,766,988","0.02""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"6,306,541","205,560",3.25,0.53,"1,175,672,572","0.01""",,,,,,,,,
"""SFR",Sandfire Resources,FPO,"262,380","8,480",3.23,1.15,"107,330,725","0.00""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"3,304,156","106,050",3.21,1.14,"634,144,970","0.01""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"1,639,615","52,649",3.21,0.00,"620,709,233","0.00""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"1,006,431","32,335",3.21,-1.00,"247,501,047","0.01""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"853,515","27,382",3.20,-0.62,"303,981,829","0.00""",,,,,,,,,
"""WOW",Woolworths ,FPO,"7,632,983","241,924",3.16,-0.92,"1,239,578,438","0.02""",,,,,,,,,
"""KZL",Kagara,FPO,"1,562,376","47,560",3.04,-1.42,"672,244,880","0.00""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"2,074,920","62,874",3.03,2.23,"272,935,495","0.02""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"9,144,529","276,359",3.02,0.35,"1,270,897,282","0.02""",,,,,,,,,
"""ATI",Atlantic ,FPO,"2,516,764","75,000",2.98,3.33,"1,128,744,262","0.00""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"16,739,900","493,374",2.94,0.95,"1,655,249,093","0.03""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"28,805,297","836,389",2.90,5.55,"2,592,249,647","0.03""",,,,,,,,,
