ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4732.7 at 16:36 22/2/2010  Report at 19:05 Monday 22/2/2010. Processed 11:14 Tuesday 23/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ERA",ERA,FPO 'A',"308,162","40,852",13.25,4.56,"190,737,934","0.02""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"3,431,731","453,933",13.22,2.06,"2,884,031,620","0.01""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"28,450","3,735",13.12,0.00,"146,174,810","0.00""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"4,809,683","629,357",13.08,1.83,"388,534,445","0.16""",,,,,,,,,
"""AAX",Ausenco ,FPO,"285,631","37,344",13.07,3.49,"121,861,958","0.03""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"2,679,643","344,408",12.85,1.51,"733,711,705","0.04""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"549,166","70,477",12.83,3.92,"208,918,744","0.03""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"1,611,946","204,867",12.70,0.00,"686,759,634","0.03""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"284,794","35,845",12.58,2.39,"97,443,268","0.03""",,,,,,,,,
"""HSP",Healthscope ,FPO,"921,044","115,479",12.53,0.23,"314,241,491","0.03""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"1,427,169","176,513",12.36,5.55,"285,095,264","0.06""",,,,,,,,,
"""PMV",Premier Investments ,FPO,"61,624","7,532",12.22,-1.81,"150,770,718","0.00""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"872,343","105,229",12.06,3.37,"363,937,557","0.02""",,,,,,,,,
"""LNC",Linc Energy,FPO,"493,786","59,115",11.97,-1.62,"469,631,618","0.01""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"3,417,037","402,084",11.76,2.18,"931,386,248","0.04""",,,,,,,,,
"""SEV",Seven Network ,FPO,"1,781,244","208,958",11.73,-5.16,"190,260,281","0.11""",,,,,,,,,
"""AWE",AWE ,FPO,"1,939,760","227,039",11.70,0.37,"521,871,941","0.04""",,,,,,,,,
"""PMP",PMP ,FPO,"223,305","26,135",11.70,5.88,"335,348,483","0.00""",,,,,,,,,
"""GNS",Gunns ,FPO,"23,411,199","2,735,260",11.68,-22.15,"806,734,892","0.33""",,,,,,,,,
"""RED",Red 5 ,FPO,"1,462,890","169,600",11.59,4.76,"949,288,043","0.01""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"24,664,764","2,826,343",11.45,8.16,"3,121,339,730","0.09""",,,,,,,,,
"""BOW",Bow Energy ,FPO,"328,026","37,369",11.39,0.46,"279,085,702","0.01""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"14,390,804","1,634,945",11.36,2.84,"1,823,306,551","0.09""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"490,453","55,274",11.27,3.75,"264,264,459","0.02""",,,,,,,,,
"""PPT",Perpetual ,FPO,"127,280","14,211",11.16,3.96,"42,981,208","0.03""",,,,,,,,,
"""BKW",Brickworks ,FPO,"62,488","6,867",10.98,0.48,"147,235,904","0.00""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"10,328,377","1,127,570",10.91,0.85,"2,926,103,883","0.03""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"1,121,459","122,166",10.89,3.76,"486,223,803","0.02""",,,,,,,,,
"""KZL",Kagara,FPO,"1,305,477","138,081",10.57,3.39,"674,489,717","0.02""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"11,403","1,202",10.54,-1.22,"62,959,971","0.00""",,,,,,,,,
"""CPU",Computershare,FPO,"1,181,796","124,134",10.50,1.17,"555,664,059","0.02""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"4,465,077","468,735",10.49,1.11,"1,178,626,572","0.04""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"555,034","58,212",10.48,2.63,"413,727,231","0.01""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"3,022,747","315,747",10.44,4.11,"631,237,586","0.05""",,,,,,,,,
"""RSG",Resolute Mining ,FPO,"417,044","43,208",10.36,1.47,"387,374,066","0.01""",,,,,,,,,
"""GNC",Graincorp ,FPO,"1,231,149","125,787",10.21,0.66,"198,318,900","0.06""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"10,837,283","1,101,918",10.16,1.73,"1,624,890,447","0.06""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"537,438","54,412",10.12,0.55,"414,227,380","0.01""",,,,,,,,,
"""SEK",Seek ,FPO,"1,066,226","106,234",9.96,2.51,"335,766,988","0.03""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"752,709","74,518",9.90,1.88,"462,755,572","0.01""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"2,348,052","231,770",9.87,0.00,"1,062,316,784","0.02""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"735,232","72,398",9.84,0.72,"561,000,000","0.01""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"3,491,622","342,860",9.82,7.12,"707,511,545","0.04""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"20,825,013","2,041,860",9.80,0.00,"4,766,093,266","0.04""",,,,,,,,,
"""SBM",St Barbara ,FPO,"17,624,191","1,719,396",9.75,2.12,"1,952,668,407","0.08""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"38,122,026","3,716,414",9.74,-0.73,"2,265,123,620","0.16""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"573,516","55,728",9.71,1.95,"213,475,606","0.02""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"7,263,554","704,303",9.69,3.54,"2,729,071,212","0.02""",,,,,,,,,
"""ENV",Envestra ,FPO,"1,395,445","135,082",9.68,-0.96,"1,346,902,042","0.01""",,,,,,,,,
"""WHG",WHK Group ,FPO,"225,370","21,708",9.63,0.43,"262,829,131","0.00""",,,,,,,,,
"""APN",APN News & Media ,FPO,"1,870,277","178,619",9.55,1.69,"595,311,917","0.03""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"1,171,095","111,717",9.54,4.54,"435,384,268","0.02""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"2,224,664","212,375",9.54,0.89,"581,517,884","0.03""",,,,,,,,,
"""SXL",Southern Cross Media Group,STAPLED,"582,198","55,506",9.53,1.60,"378,818,260","0.01""",,,,,,,,,
"""VPG",Valad Property Group,FORUS,"5,355,360","510,785",9.53,0.00,"2,248,546,624","0.02""",,,,,,,,,
"""ABY",Aditya Birla Minerals ,FPO,"455,938","42,804",9.38,0.98,"313,372,551","0.01""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"651,512","61,126",9.38,3.17,"490,935,150","0.01""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"5,898,550","541,023",9.17,1.28,"1,751,297,420","0.03""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"158,381","14,486",9.14,3.09,"60,606,420","0.02""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"342,338","31,177",9.10,-0.27,"170,381,960","0.01""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"866,699","78,590",9.06,-3.69,"303,981,829","0.02""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"6,011,295","544,059",9.05,1.65,"1,380,386,438","0.03""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"5,826,802","527,147",9.04,-0.27,"1,045,236,720","0.05""",,,,,,,,,
"""AMC",Amcor ,FPO,"3,362,795","299,432",8.90,1.18,"1,221,103,663","0.02""",,,,,,,,,
"""NHC",New Hope Corp ,FPO,"368,568","32,727",8.88,1.75,"826,980,549","0.00""",,,,,,,,,
"""NVT",Navitas ,FPO,"205,094","17,946",8.75,0.86,"342,361,526","0.00""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"305,370","25,661",8.40,-0.08,"202,081,252","0.01""",,,,,,,,,
"""TRS",The Reject Shop ,FPO,"151,623","12,474",8.22,2.41,"25,973,070","0.04""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"5,595,209","444,085",7.93,2.04,"3,104,041,437","0.01""",,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"921,254","72,499",7.87,4.00,"707,487,674","0.01""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"1,029,240","80,933",7.86,7.40,"1,561,166,672","0.00""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,335,759","182,352",7.80,1.87,"503,524,465","0.03""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"10,292",801,7.78,-1.12,"238,640,580","0.00""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"648,769","50,038",7.71,2.04,"208,765,592","0.02""",,,,,,,,,
"""TZN",Terramin Australia ,FPO,"104,501","8,065",7.71,4.00,"158,388,677","0.00""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"5,351,184","404,301",7.55,1.31,"713,154,560","0.05""",,,,,,,,,
"""FXL",Flexigroup ,FPO,"97,689","7,335",7.50,1.93,"239,168,690","0.00""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"543,366","40,167",7.39,3.47,"343,992,088","0.01""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"2,040,289","148,738",7.29,6.97,"364,723,825","0.04""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"30,569,848","2,185,785",7.15,2.57,"2,368,729,935","0.09""",,,,,,,,,
"""CDU",Cudeco ,FPO,"466,754","33,036",7.07,6.88,"137,285,632","0.02""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"135,296","9,318",6.88,2.53,"50,412,566","0.01""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"45,415,921","3,107,278",6.84,1.56,"4,611,574,674","0.06""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"2,844,964","193,484",6.80,0.94,"1,290,049,879","0.01""",,,,,,,,,
"""MCP",McPherson's ,FPO,"140,228","8,852",6.31,-1.35,"71,651,758","0.01""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"7,581,120","477,023",6.29,1.16,"3,873,085,929","0.01""",,,,,,,,,
"""BLD",Boral ,FPO,"1,854,341","115,926",6.25,0.36,"595,313,279","0.01""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"1,574,645","97,524",6.19,4.29,"204,012,842","0.04""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"1,415,833","87,520",6.18,0.44,"496,731,383","0.01""",,,,,,,,,
"""BBG",Billabong International ,FPO,"791,629","48,629",6.14,2.67,"252,863,336","0.01""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"371,318","22,206",5.98,0.20,"86,036,700","0.02""",,,,,,,,,
"""ACL",Alchemia ,FPO,"337,820","20,000",5.92,1.61,"190,249,026","0.01""",,,,,,,,,
"""COE",Cooper Energy ,FPO,"515,520","30,439",5.90,2.04,"292,426,001","0.01""",,,,,,,,,
"""ELD",Elders ,FPO,"1,254,328","73,917",5.89,-0.35,"448,598,480","0.01""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"1,115,174","65,158",5.84,1.09,"254,924,863","0.02""",,,,,,,,,
"""AWC",Alumina ,FPO,"20,457,805","1,184,176",5.78,0.61,"2,440,196,187","0.04""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"458,153","26,434",5.77,3.54,"93,937,192","0.02""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"25,981,789","1,486,616",5.72,-2.99,"1,894,391,570","0.07""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"525,499","29,918",5.69,1.02,"177,116,198","0.01""",,,,,,,,,
"""ARU",Arafura Resources ,FPO,"632,358","35,903",5.67,-2.30,"259,213,979","0.01""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"4,520,674","253,640",5.61,2.73,"1,077,174,611","0.02""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"7,566,545","424,841",5.61,0.95,"1,299,562,220","0.03""",,,,,,,,,
"""WOW",Woolworths ,FPO,"2,703,413","151,075",5.58,0.85,"1,239,999,313","0.01""",,,,,,,,,
"""SDG",Sunland Group ,FPO,"222,146","12,066",5.43,1.94,"289,268,542","0.00""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"714,818","38,083",5.32,2.52,"320,880,521","0.01""",,,,,,,,,
"""CWE",Carnegie Wave Energy ,FPO,"248,414","13,214",5.31,4.16,"565,237,627","0.00""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"25,694","1,338",5.20,-2.40,"65,276,374","0.00""",,,,,,,,,
"""FLT",Flight Centre ,FPO,"215,419","11,145",5.17,1.30,"99,755,858","0.01""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"2,735,487","141,266",5.16,2.52,"699,358,971","0.02""",,,,,,,,,
"""FWD",Fleetwood Corporation ,FPO,"145,012","7,394",5.09,-2.62,"53,156,311","0.01""",,,,,,,,,
"""PEN",Peninsula Minerals ,FPO,"4,929,139","250,000",5.07,0.00,"1,376,096,061","0.01""",,,,,,,,,
"""IGO",Independence Group,FPO,"400,470","20,191",5.04,1.47,"113,688,539","0.01""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"11,271,214","555,746",4.93,-0.99,"1,655,499,093","0.03""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"962,740","46,977",4.88,0.35,"259,126,131","0.01""",,,,,,,,,
"""AOE",Arrow Energy ,FPO,"6,055,058","288,383",4.76,1.14,"732,381,533","0.03""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"667,996","31,426",4.70,-1.00,"232,285,800","0.01""",,,,,,,,,
"""ANN",Ansell ,FPO,"1,618,691","75,627",4.67,1.38,"132,335,652","0.05""",,,,,,,,,
"""IRE",Iress Market Technology ,FPO,"319,620","14,177",4.43,0.00,"123,812,455","0.01""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"1,626,924","71,892",4.41,2.85,"508,212,161","0.01""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"556,111","23,973",4.31,0.60,"108,334,987","0.02""",,,,,,,,,
