ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4403.7 at 16:35 2/6/2010  Report at 19:06 Wednesday 2/6/2010!. Processed 11:56 Thursday 3/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IVC",Invocare ,FPO,"160,609","34,132",21.25,-0.67,"102,069,091","0.03""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"7,905,585","1,678,263",21.22,-2.97,"1,655,499,093","0.10""",,,,,,,,,
"""HST",Hastie Group ,FPO,"997,623","211,372",21.18,-1.02,"239,716,924","0.08""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,506,834","318,685",21.14,0.07,"450,076,509","0.07""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"379,801","80,230",21.12,0.80,"420,711,773","0.01""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"11,978,913","2,526,239",21.08,-1.42,"3,121,339,730","0.08""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"648,417","136,160",20.99,0.86,"187,419,911","0.07""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"4,392,419","912,985",20.78,-0.86,"558,008,815","0.16""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"4,417,837","915,832",20.73,-6.20,"321,030,521","0.28""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"3,202,468","661,870",20.66,0.00,"620,709,233","0.10""",,,,,,,,,
"""STO",Santos ,FPO,"3,378,056","697,568",20.65,-3.00,"832,552,523","0.08""",,,,,,,,,
"""OST",OneSteel ,FPO,"4,839,474","999,195",20.64,-2.23,"1,331,583,166","0.07""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"1,525,877","310,040",20.31,-1.37,"517,059,313","0.06""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"403,140","81,329",20.17,-1.43,"156,131,748","0.05""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"4,281,155","863,817",20.17,2.91,"435,384,268","0.19""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,083,526","413,857",19.86,-1.05,"880,668,872","0.04""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"17,688,927","3,507,909",19.83,-1.32,"1,823,322,017","0.19""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"724,969","142,793",19.69,-1.60,"177,546,198","0.08""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"3,173,954","620,128",19.53,-1.34,"1,092,161,437","0.05""",,,,,,,,,
"""IRE",Iress Market Technology ,FPO,"611,354","116,244",19.01,2.05,"123,812,455","0.09""",,,,,,,,,
"""UGL",UGL ,FPO,"364,401","68,993",18.93,-0.76,"165,928,705","0.04""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"597,201","111,950",18.74,-2.32,"179,209,987","0.06""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"8,279,114","1,549,086",18.71,-1.49,"2,977,233,682","0.05""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"14,175,434","2,617,589",18.46,3.84,"2,709,995,932","0.09""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"1,022,503","188,292",18.41,-2.32,"1,561,166,672","0.01""",,,,,,,,,
"""CDI",Challenger Diversified Prop,STAPLED,"135,410","24,897",18.38,0.00,"913,426,007","0.00""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"2,014,565","369,477",18.34,0.39,"344,565,826","0.10""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"14,865,748","2,725,826",18.33,0.00,"3,266,304,329","0.08""",,,,,,,,,
"""AWE",AWE ,FPO,"2,069,163","377,426",18.24,-2.43,"521,871,941","0.07""",,,,,,,,,
"""CSV",CSG ,FPO,"368,585","66,914",18.15,-1.24,"238,879,807","0.02""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"8,265,531","1,498,481",18.12,-0.26,"2,510,727,671","0.06""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"6,632,060","1,200,387",18.10,-2.72,"733,711,705","0.16""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"1,016,834","180,320",17.73,0.00,"255,203,613","0.07""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"668,161","118,295",17.70,-1.88,"367,162,725","0.03""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"1,951,838","341,309",17.48,-0.13,"565,558,754","0.06""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"11,549,549","1,954,514",16.92,-5.97,"931,386,248","0.21""",,,,,,,,,
"""AWC",Alumina ,FPO,"15,762,734","2,657,534",16.86,-2.97,"2,440,196,187","0.10""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"803,636","134,918",16.78,-1.44,"200,107,524","0.06""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"896,596","148,864",16.60,-2.09,"300,687,299","0.05""",,,,,,,,,
"""SEK",Seek ,FPO,"1,369,419","223,128",16.29,0.13,"336,584,488","0.06""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"41,769","6,704",16.05,-1.10,"148,880,108","0.00""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"2,595,514","414,666",15.97,-0.73,"533,379,348","0.07""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"68,317","10,819",15.83,0.44,"28,950,668","0.03""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"4,424,903","694,583",15.69,-0.70,"1,167,783,517","0.05""",,,,,,,,,
"""ENV",Envestra ,FPO,"673,203","104,871",15.57,-2.00,"1,386,827,962","0.00""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"3,429,161","526,852",15.36,-0.87,"1,281,390,524","0.04""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"1,515,573","231,522",15.27,-0.80,"493,550,069","0.04""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"3,005,068","456,655",15.19,-3.31,"798,520,953","0.05""",,,,,,,,,
"""TGS",Tiger Resources ,FPO,"1,966,213","289,761",14.73,0.00,"406,415,027","0.07""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"710,562","103,917",14.62,-2.92,"498,460,150","0.02""",,,,,,,,,
