ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010!. Processed 13:33 Monday 18/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IFL",IOOF Holdings ,FPO,"449,964","37,064",8.23,0.66,"229,794,395","0.01""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"27,170,261","2,203,108",8.10,-1.24,"3,121,339,730","0.07""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"2,260,672","182,461",8.07,-2.66,"1,037,994,023","0.01""",,,,,,,,,
"""ORI",Orica ,FPO,"1,678,735","134,729",8.02,-0.78,"361,065,279","0.03""",,,,,,,,,
"""GBP",Global Petroleum ,FPO,"1,085,818","86,600",7.97,2.63,"174,444,787","0.05""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"13,663,407","1,073,529",7.85,-0.26,"2,926,103,883","0.03""",,,,,,,,,
"""GNC",Graincorp ,FPO,"408,227","31,608",7.74,0.00,"198,318,900","0.01""",,,,,,,,,
"""RHG",RHG ,FPO,"214,249","16,599",7.74,0.00,"329,114,553","0.00""",,,,,,,,,
"""WOW",Woolworths ,FPO,"2,659,195","204,001",7.67,-0.67,"1,239,999,313","0.01""",,,,,,,,,
"""AMC",Amcor ,FPO,"5,881,944","442,496",7.52,0.31,"1,220,822,970","0.03""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"2,659,424","199,608",7.50,1.61,"320,880,521","0.06""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"4,693,821","351,179",7.48,-0.25,"2,078,994,021","0.01""",,,,,,,,,
"""AEO",Austereo Group ,FPO,"16,198","1,210",7.47,5.62,"344,798,708","0.00""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"471,660","35,009",7.42,-0.35,"213,430,606","0.01""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"7,666,888","556,210",7.25,0.00,"2,592,249,647","0.02""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"3,346,171","236,829",7.07,-1.67,"717,142,802","0.03""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"2,686,127","187,288",6.97,-1.03,"1,062,316,784","0.01""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"18,094,298","1,251,213",6.91,0.00,"6,205,676,188","0.02""",,,,,,,,,
"""MOF",Macquarie Office Trust,UNIT,"22,160,358","1,496,811",6.75,1.58,"4,752,826,494","0.03""",,,,,,,,,
"""AWC",Alumina ,FPO,"10,762,923","716,754",6.65,-1.06,"2,440,196,187","0.02""",,,,,,,,,
"""WSA",Western Areas,FPO,"427,211","27,504",6.43,-0.18,"179,735,899","0.01""",,,,,,,,,
"""SFH",Specialty Fashion Group ,FPO,"109,928","7,066",6.42,-0.92,"190,520,581","0.00""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"3,493,651","222,096",6.35,-2.15,"1,025,032,469","0.02""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"158,045","9,937",6.28,-0.49,"85,948,449","0.01""",,,,,,,,,
"""SRV",Servcorp ,FPO,"23,811","1,486",6.24,0.00,"98,440,807","0.00""",,,,,,,,,
"""CSR",CSR ,FPO,"15,576,835","968,112",6.21,0.00,"1,514,920,814","0.06""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"145,049","8,935",6.16,-1.89,"93,937,192","0.01""",,,,,,,,,
"""NHF",NIB Holdings ,FPO,"90,013","5,508",6.11,0.00,"495,925,501","0.00""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"257,852","15,629",6.06,0.35,"259,126,131","0.00""",,,,,,,,,
"""SEV",Seven Network ,FPO,"376,572","22,756",6.04,1.37,"190,260,281","0.01""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"1,044,784","61,490",5.88,0.00,"108,235,467","0.05""",,,,,,,,,
"""CRG",Crane Group ,FPO,"166,246","9,735",5.85,-1.30,"77,684,223","0.01""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"201,764","11,728",5.81,-1.70,"146,109,810","0.00""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"6,444,011","370,829",5.75,-0.82,"2,729,071,212","0.01""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"3,278,789","188,144",5.73,1.58,"958,061,849","0.02""",,,,,,,,,
"""GNS",Gunns ,FPO,"1,071,279","60,638",5.66,-1.53,"806,734,892","0.00""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"3,187,036","179,155",5.62,-0.81,"1,275,641,444","0.01""",,,,,,,,,
"""AGS",Alliance Resources ,FPO,"1,157,060","64,687",5.59,5.51,"341,172,309","0.01""",,,,,,,,,
"""SRX",Sirtex Medical ,FPO,"20,082","1,124",5.59,2.44,"55,768,136","0.00""",,,,,,,,,
"""DYL",Deep Yellow ,FPO,"610,001","33,649",5.51,1.58,"1,125,689,458","0.00""",,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"1,515,078","83,164",5.48,0.41,"707,187,674","0.01""",,,,,,,,,
"""IVC",Invocare ,FPO,"727,581","39,514",5.43,0.67,"101,834,236","0.03""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"381,523","20,697",5.42,-0.68,"264,264,459","0.00""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"309,948","16,618",5.36,-1.37,"561,000,000","0.00""",,,,,,,,,
"""IDL",Industrea ,FPO,"2,890,307","152,417",5.27,1.12,"955,736,701","0.01""",,,,,,,,,
