S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4615.6 at 16:40 9/8/2010  Report at 19:05 Monday 9/8/2010. Processed 19:20 Monday 9/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
2.85,1.405,2.70,2.65,MSL,MAC Services (The),2.69,-1,"6,137",2.66,2.69,8.75,f,1.76,0.86,3.25,15.4,17.5
17.17,7.84,13.63,13.22,MCC,Macarthur Coal,13.37,-13,"11,534",13.34,13.37,21,f,2.16,4.15,1.57,45.3,29.5
0.885,0.45,0.63,0.615,MAH,Macmahon Hldgs,0.625,-0.5,"28,464",0.62,0.63,1.5,,2.27,0.39,2.40,3.4,18.4
1.335,0.51,1.31,1.255,MQA,Macq Atlas Roads stp,1.30,-2.5,"17,624",1.255,1.315,-,,-,-,-,-,-
58.80,35.01,40.44,39.05,MQG,Macq Grp Ltd,40.31,76,"13,054",40.30,40.39,186,,1.72,25.82,4.61,320.2,12.6
6.42,3.23,4.70,4.54,MRU,Mantra Res,4.66,-3,573,4.55,4.70,-,,-,-,-,-24.68,-
3.38,2.265,3.11,3.05,MAP,MAP Grp forus,3.11,1,"24,421",3.09,3.11,19,,-,-0.30,6.11,-33.11,-
3.48,2.09,2.75,2.73,MCP,McPherson's Ltd,2.73,-2,159,2.71,2.73,10,f,2.96,0.02,3.66,29.6,9.2
4.89,2.227,3.92,3.80,MML,Medusa Min Ltd,3.85,-15,"13,107",3.84,3.85,-,,-,0.91,-,35.43,10.9
0.825,0.24,0.40,0.365,MEO,MEO Aust Ltd,0.40,3.5,"49,157",0.395,0.40,-,,-,-,-,-7.8,-
3.25,1.935,2.84,2.73,MRM,Mermaid Marine,2.83,1,"2,125",2.76,2.84,7,f,2.66,0.95,2.47,18.59,15.2
4.74,3.84,4.46,4.39,MTS,Metcash Ltd,4.42,,"28,595",4.41,4.42,26,f,1.14,0.12,5.88,29.74,14.9
1.155,0.58,0.855,0.835,MRE,Minara Res,0.845,0.5,"16,548",0.845,0.855,-,,-,0.74,-,4.16,20.3
2.92,1.30,2.04,2.00,MCR,Mincor Res NL,2.04,3,"9,691",2.01,2.04,7,f,1.45,0.98,3.43,10.12,20.2
1.175,0.605,0.845,0.83,MDL,Mineral Deposits,0.84,0.5,"1,297",0.83,0.845,-,,-,0.57,-,-13.82,-
8.92,4.45,8.87,8.53,MIN,Mineral Res,8.83,22,"5,554",8.72,8.83,18.75,f,2.04,2.39,2.12,38.3,23.1
3.43,1.87,2.04,1.955,MBN,Mirabela Nickel,1.995,-11.5,"23,751",1.99,1.995,-,,-,-,-,-22.86,-
1.745,1.18,1.355,1.325,MGR,Mirvac Grp stp,1.325,-3,"174,975",1.325,1.335,8,,-,-,6.04,-11.58,-
