S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4652.6 at 16:47 9/12/2009  Report at 19:05 Wednesday 9/12/2009. Processed 19:16 Wednesday 9/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
18.86,3.39,17.36,16.96,FLT,Flight Centre,17.25,-3,"1,441",17.05,17.34,9,,4.26,1.92,0.52,38.3,45.0
0.197,0.039,0.15,0.14,FMS,Flinders Mines,0.15,1,"55,776",0.145,0.15,-,,-,-,-,-0.33,-
4.75,1.655,4.22,4.11,FMG,Fortescue Metals Grp,4.14,-7,"42,531",4.14,4.18,-,,-,0.35,-,21.9,18.9
5.89,4.80,5.49,5.42,FGL,Foster's Grp,5.45,-5,"75,935",5.45,5.46,27.25,f,0.84,0.46,5.00,22.8,23.9
1.45,0.80,0.815,0.80,GDY,Geodynamics Ltd,0.815,1,"1,560",0.80,0.815,-,,-,0.97,-,-5.42,-
1.05,0.415,0.95,0.92,GBG,Gindalbie Metals,0.945,-0.5,"10,642",0.935,0.95,-,,-,-,-,5.1,18.5
1.475,0.29,1.425,1.37,GIR,Giralia Res NL,1.37,-7,"2,741",1.37,1.38,-,,-,-,-,4.2,32.6
1.78,0.93,1.64,1.595,GFF,Goodman Fielder,1.61,-1,"41,122",1.605,1.625,10.5,p,1.27,-0.20,6.52,13.3,12.1
0.949,0.123,0.57,0.55,GMG,Goodman Grp forus,0.57,1.5,"311,580",0.565,0.57,9.65,,-,0.84,16.93,-45.4,-
0.851,0.191,0.58,0.57,GPT,GPT Grp stpld,0.575,-1,"280,961",0.575,0.58,5.6,,-,0.71,9.74,-107.6,-
8.85,3.863,5.68,5.52,GNC,Graincorp Ltd,5.57,-13,"15,500",5.56,5.62,7.27,f,11.96,6.79,1.31,86.92,6.4
9.67,4.82,8.60,8.42,GUD,GUD Hldgs,8.54,2,868,8.52,8.55,60,f,1.00,0.66,7.03,60,14.2
1.325,0.605,0.90,0.875,GNS,Gunns Ltd,0.89,0.5,"19,239",0.89,0.90,4,f,2.02,1.80,4.49,8.1,11.0
3.18,1.67,2.85,2.72,GWT,GWA Intl,2.82,6,"7,724",2.82,2.85,18,f,0.94,0.27,6.38,16.9,16.7
4.85,1.805,4.17,4.06,HVN,Harvey Norman,4.12,-11,"42,307",4.12,4.15,11,f,1.83,2.01,2.67,20.18,20.4
2.30,0.993,1.715,1.655,HST,Hastie Grp Ltd,1.67,-4,"16,822",1.67,1.68,12,f,2.70,-0.26,7.19,32.4,5.2
2.067,0.255,1.045,1.02,HDF,Hastings Divers stpld,1.03,-1,"26,032",1.025,1.03,16,,0.11,2.06,15.53,1.8,57.2
5.00,3.61,4.90,4.77,HSP,Healthscope Ltd,4.80,-8,"8,734",4.76,4.85,21.5,f,1.34,0.06,4.48,28.88,16.6
2.67,1.14,2.23,2.21,HGG,Henderson Grp cdi 1:1,2.21,-6,"22,754",2.20,2.23,12.15,,-,-0.22,5.50,-0.17,-
0.43,0.039,0.265,0.255,HFA,HFA Hldgs Ltd,0.255,-0.5,"5,814",0.255,0.26,3.5,,-,-0.24,13.73,-124.64,-
3.23,1.145,1.97,1.94,HIL,Hills Ind Ltd,1.945,-3,"2,168",1.94,1.95,10,f,0.49,1.40,5.14,4.9,39.7
0.37,0.105,0.35,0.345,HZN,Horizon Oil Ltd,0.35,-0.5,"11,631",0.345,0.35,-,,-,0.02,-,-1.17,-
0.67,0.12,0.425,0.405,ICN,Icon Energy Ltd,0.42,-1,"5,179",0.415,0.415,-,,-,-,-,-2.54,-
5.40,2.70,3.61,3.52,ILU,Iluka Res,3.58,-5,"9,257",3.55,3.62,-,,-,2.70,-,3.7,96.8
0.96,0.24,0.775,0.765,IMD,Imdex Ltd,0.77,-0.5,"4,380",0.77,0.775,1,,6.37,0.19,1.30,6.37,12.1
1.98,0.755,1.775,1.72,IMF,IMF (Aust) Ltd,1.76,,611,1.755,1.78,15,f,1.16,0.27,8.52,17.35,10.1
3.42,1.63,3.18,3.09,IPL,Incitec Pivot,3.15,-8,"198,505",3.14,3.15,4.4,,-,0.14,1.40,-11.7,-
5.52,1.355,4.51,4.31,IGO,Independence Grp,4.43,-7,"4,180",4.36,4.48,5,f,2.83,1.34,1.13,14.14,31.3
1.235,0.215,1.23,1.22,IRN,Indophil Res,1.22,-0.5,"73,202",1.22,1.225,-,,-,-,-,-2.93,-
0.51,0.089,0.445,0.43,IDL,Industrea Ltd,0.44,,"10,519",0.435,0.44,1.25,f,1.45,-0.03,2.84,1.81,24.3
1.55,0.75,1.34,1.32,IFN,Infigen Energy stpld,1.32,-2,"35,488",1.32,1.34,9,,2.51,0.58,6.82,22.6,5.8
0.603,0.057,0.43,0.415,IIF,ING Industrial Fd unt,0.425,-1,"82,699",0.425,0.43,9.8,,-,0.96,23.06,-103.8,-
0.899,0.184,0.58,0.565,IOF,ING Office Fd stpld,0.58,0.5,"111,978",0.575,0.58,7.92,,-,0.99,13.66,-49.8,-
4.21,2.94,3.80,3.69,IAG,Insurance Aust Grp,3.77,1,"62,172",3.76,3.79,10,f,0.93,1.16,2.65,9.32,40.5
0.385,0.15,0.265,0.255,IGR,Integra Min Ltd,0.26,-1,"57,148",0.255,0.26,-,,-,-,-,-1.1,-
0.42,0.13,0.28,0.27,IAU,Intrepid Mines,0.28,,"5,533",0.28,0.285,-,,-,0.17,-,-7.97,-
6.48,4.48,5.75,5.65,IVC,Invocare Ltd,5.67,-10,"2,183",5.65,5.85,24.5,f,1.22,0.35,4.32,29.9,19.0
6.07,2.112,5.83,5.56,IFL,IOOF Hldgs Ltd,5.67,-5,"4,507",5.65,5.86,4,f,4.17,0.55,0.71,16.7,34.0
8.92,4.32,7.83,7.72,IRE,IRESS Market Tech,7.78,,"7,105",7.71,7.89,32,f,0.98,0.67,4.11,31.29,24.9
0.93,0.515,0.70,0.69,ISF,iSOFT Group Ltd,0.695,-0.5,"17,600",0.695,0.70,1,,4.30,-0.27,1.44,4.3,16.2
0.485,0.089,0.41,0.395,JML,Jabiru Metals Ltd,0.405,-1,"22,310",0.40,0.41,-,,-,-,-,-12,-
8.59,2.89,8.31,8.11,JHX,James Hardie Ind cdi,8.23,,"37,616",8.21,8.35,-,,-,-0.40,-,18.89,43.6
23.71,8.15,22.99,22.24,JBH,JB Hi-Fi Ltd,22.71,-9,"7,190",22.68,22.98,44,f,2.01,1.21,1.94,88.26,25.7
1.32,0.23,1.045,1.025,KZL,Kagara Ltd,1.03,-4,"64,688",1.025,1.035,-,,-,0.74,-,-34.98,-
12.10,2.45,8.42,7.83,KAR,Karoon Gas Aust,8.40,28,"9,762",8.36,8.40,-,,-,-,-,3.02,278.1
10.30,2.71,9.15,8.84,KCN,Kingsgate Cons,8.94,-25,"9,192",8.81,9.12,15,f,2.33,2.55,1.68,34.9,25.6
38.99,16.15,36.59,36.02,LEI,Leighton Hldgs,36.02,-84,"9,295",36.00,36.20,115,f,1.30,7.43,3.19,149.5,24.1
11.29,4.85,9.44,9.14,LLC,Lend Lease Grp stpld,9.35,11,"13,564",9.34,9.35,41,f,-,4.20,4.39,-164.7,-
0.345,0.075,0.34,0.34,LLP,Lend Lease Primelife stpld,0.34,,"7,913",0.34,0.345,2.1,,-,0.55,6.18,-30.38,-
3.77,2.34,3.30,3.25,LGL,Lihir Gold Ltd,3.28,-8,"305,760",3.27,3.28,1.62,,-,1.29,0.49,-9.97,-
2.68,0.975,1.58,1.525,LNC,Linc Energy Ltd,1.55,1.5,"13,705",1.535,1.56,-,,-,-,-,-10.36,-
0.72,0.075,0.54,0.505,LYC,Lynas Corp,0.535,1,"140,661",0.53,0.535,-,,-,-,-,-4.5,-
2.32,0.74,2.13,2.01,MSL,MAC Services (The),2.13,4,572,2.01,2.13,8.5,f,1.75,0.82,3.99,14.85,14.3
10.62,2.32,9.34,9.15,MCC,Macarthur Coal,9.23,-11,"5,575",9.21,9.33,13,f,6.10,4.03,1.41,79.3,11.6
0.755,0.276,0.58,0.555,MAH,Macmahon Hldgs,0.565,-2,"30,877",0.565,0.57,1.5,,2.05,0.37,2.65,3.07,18.4
0.735,0.10,0.535,0.515,MCW,Macq Country unt,0.53,1,"60,956",0.53,0.535,7,,-,0.77,13.21,-101.81,-
0.185,0.024,0.11,0.10,MDT,Macq DDR Tr unt,0.11,1,"34,061",0.105,0.11,2.12,,-,0.38,19.27,-65.5,-
58.80,15.00,48.40,47.50,MQG,Macq Grp Ltd,48.16,-19,"11,115",48.00,48.39,126,,1.93,23.72,2.62,243.2,19.8
1.82,0.95,1.31,1.29,MIG,Macq Infra stpld,1.30,-0.5,"154,884",1.30,1.31,20,p,-,1.73,15.38,-73.72,-
2.16,0.413,2.00,1.955,MMG,Macq Media stpld,1.99,1,"8,403",1.975,1.995,7.7,,-,-2.66,3.87,-40.3,-
0.38,0.071,0.29,0.285,MOF,Macq Office unt,0.29,-0.5,"146,041",0.285,0.29,3.75,,-,0.49,12.93,-42,-
5.19,0.65,-,-,MRU,Mantra Res,4.41,,-,4.42,4.39,-,,-,-,-,-36.86,-
2.95,1.291,2.65,2.60,MAP,MAP Grp forus,2.61,-4,"46,034",2.61,2.66,27,,4.40,-,10.34,118.92,2.2
0.55,0.115,0.125,0.12,MAE,Marion Energy,0.125,-0.5,"3,377",0.12,0.125,-,,-,-,-,-6.7,-
4.40,0.60,3.92,3.69,MML,Medusa Min Ltd,3.92,1,"4,633",3.75,3.95,-,,-,-,-,25,15.7
2.49,1.56,1.68,1.655,MLB,Melbourne IT Ltd,1.67,,882,1.655,1.69,15,f,1.25,-0.69,8.98,18.78,8.9
