S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:41 Thursday 24/12/2009. Processed 15:56 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.197,0.041,0.145,0.135,FMS,Flinders Mines,0.14,,"78,156",0.135,0.14,-,,-,-,-,-0.33,-
4.75,1.655,4.40,4.35,FMG,Fortescue Metals Grp,4.38,,"12,984",4.37,4.38,-,,-,0.35,-,21.9,20.0
5.89,4.80,5.50,5.39,FGL,Foster's Grp,5.49,,"32,267",5.42,5.50,27.25,f,0.84,0.46,4.96,22.8,24.1
1.45,0.80,0.81,0.80,GDY,Geodynamics Ltd,0.80,,"1,260",0.80,0.81,-,,-,0.97,-,-5.42,-
1.05,0.505,0.99,0.98,GBG,Gindalbie Metals,0.99,0.5,"3,702",0.985,0.99,-,,-,-,-,5.1,19.4
1.475,0.29,1.375,1.335,GIR,Giralia Res NL,1.375,2.5,418,1.36,1.38,-,,-,-,-,4.2,32.7
1.78,0.93,1.585,1.555,GFF,Goodman Fielder,1.58,1,"9,580",1.57,1.585,10.5,p,1.27,-0.20,6.65,13.3,11.9
0.949,0.123,0.595,0.58,GMG,Goodman Grp forus,0.59,-1,"127,401",0.585,0.59,9.65,,-,0.84,16.36,-45.4,-
0.816,0.191,0.59,0.575,GPT,GPT Grp stpld,0.585,-1,"224,685",0.58,0.585,5.6,,-,0.71,9.57,-107.6,-
8.85,3.863,6.00,5.83,GNC,Graincorp Ltd,6.00,21,"13,167",5.95,6.03,7.27,f,11.96,6.79,1.21,86.92,6.9
9.67,4.87,8.60,8.48,GUD,GUD Hldgs,8.60,15,464,8.45,8.60,60,f,1.00,0.66,6.98,60,14.3
1.325,0.605,0.92,0.89,GNS,Gunns Ltd,0.915,4.5,"42,487",0.91,0.92,4,f,2.02,1.80,4.37,8.1,11.3
3.30,1.67,3.30,3.16,GWT,GWA Intl,3.30,13,"5,224",3.24,3.30,18,f,0.94,0.27,5.45,16.9,19.5
4.85,1.805,4.22,4.16,HVN,Harvey Norman,4.21,,"4,709",4.18,4.22,11,f,1.83,2.01,2.61,20.18,20.9
2.30,0.993,1.85,1.83,HST,Hastie Grp Ltd,1.85,3,"5,999",1.83,1.85,12,f,2.70,-0.26,6.49,32.4,5.7
2.006,0.255,1.14,1.105,HDF,Hastings Divers stpld,1.14,4,"10,211",1.125,1.14,12,,0.15,2.06,10.53,1.8,63.3
5.09,3.61,5.09,5.01,HSP,Healthscope Ltd,5.09,9,"1,764",5.00,5.09,21.5,f,1.34,0.06,4.22,28.88,17.6
2.67,1.165,2.27,2.24,HGG,Henderson Grp cdi 1:1,2.27,,"9,145",2.26,2.30,12.15,,-,-0.22,5.35,-0.17,-
0.43,0.051,0.265,0.255,HFA,HFA Hldgs Ltd,0.265,1,"5,506",0.255,0.265,3.5,,-,-0.24,13.21,-124.64,-
3.13,1.145,2.07,2.02,HIL,Hills Ind Ltd,2.05,1,"1,476",2.02,2.05,10,f,0.49,1.40,4.88,4.9,41.8
0.37,0.105,0.355,0.345,HZN,Horizon Oil Ltd,0.35,1,"15,991",0.35,0.355,-,,-,0.02,-,-1.17,-
0.67,0.155,0.395,0.385,ICN,Icon Energy Ltd,0.395,0.5,"1,214",0.39,0.395,-,,-,-,-,-2.54,-
4.98,2.70,3.65,3.62,ILU,Iluka Res,3.63,-3,"10,916",3.61,3.68,-,,-,2.70,-,3.7,98.1
0.96,0.24,0.77,0.75,IMD,Imdex Ltd,0.755,0.5,451,0.75,0.77,1,,6.37,0.19,1.32,6.37,11.9
1.98,0.77,1.84,1.83,IMF,IMF (Aust) Ltd,1.84,1.5,103,1.82,1.84,15,f,1.16,0.27,8.15,17.35,10.6
