S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 19:09 Friday 13/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
11.32,6.11,11.01,10.78,CPU,Computershare Ltd,10.99,4,"17,239",10.86,11.02,22,p,2.58,-1.95,2.00,56.75,19.4
0.682,0.244,0.43,0.415,CEU,ConnectEast stpld,0.425,-0.5,"119,421",0.425,0.43,2,,-,-,4.71,-25.43,-
0.795,0.14,0.61,0.59,CQT,Conquest Min,0.59,-2,"2,107",0.595,0.61,-,,-,-,-,-0.42,-
3.44,1.71,3.10,3.07,CMJ,Consolidated Media,3.07,,"9,299",3.00,3.10,16.5,,3.75,0.66,5.37,61.91,5.0
0.54,0.20,0.54,0.52,COE,Cooper Energy Ltd,0.53,,"14,743",0.53,0.535,-,,-,0.42,-,-1,-
4.78,2.60,4.33,4.25,CXP,Corporate Express,4.30,-3,"5,484",4.23,4.35,23,f,1.40,0.16,5.35,32.2,13.4
11.66,6.32,8.73,8.57,CRG,Crane Grp Ltd,8.68,8,"5,644",8.65,8.80,63,f,1.01,4.35,7.26,63.9,13.6
9.39,4.18,8.20,8.10,CWN,Crown Ltd,8.15,-1,"12,440",8.15,8.28,37,p,-,3.42,4.54,-166.89,-
38.52,26.85,31.94,31.50,CSL,CSL Ltd,31.77,-23,"26,770",31.71,31.82,70,,2.75,7.49,2.20,192.51,16.5
2.18,0.905,1.89,1.85,CSR,CSR Ltd,1.86,-3,"57,932",1.86,1.865,4,f,-,0.87,2.15,-45.1,-
6.59,1.05,5.82,5.65,CDU,Cudeco Ltd,5.70,-3,"5,930",5.68,5.80,-,,-,-,-,-0.07,-
3.31,0.96,3.27,3.23,CUS,Customers Ltd,3.25,,"2,575",3.21,3.25,-,,-,0.09,-,4.9,66.3
5.94,2.02,5.81,5.72,DJS,David Jones Ltd,5.77,-3,"28,044",5.74,5.78,28,f,1.13,1.16,4.85,31.5,18.3
0.47,0.098,0.365,0.355,DYL,Deep Yellow Ltd,0.36,-0.5,"8,955",0.36,0.365,-,,-,-,-,-1.19,-
0.962,0.519,0.845,0.81,DXS,Dexus Prop Grp stpld,0.815,-2,"167,307",0.81,0.815,7.3,,-,1.01,8.96,-39.38,-
5.69,2.11,3.97,3.77,DOM,Dominion Min,3.90,-7,"6,167",3.84,3.96,14,,2.17,1.06,3.59,30.38,12.8
9.24,3.01,9.02,8.77,DOW,Downer EDI Ltd,8.98,2,"14,345",8.95,8.99,29,,1.88,2.18,3.23,54.4,16.5
2.319,1.28,1.735,1.70,DUE,DUET Grp forus,1.71,1,"19,314",1.71,1.72,24.12,p,-,1.70,14.11,-9.24,-
1.165,0.30,0.88,0.86,ESG,Eastern Star Gas,0.87,,"25,603",0.865,0.87,-,,-,-,-,-0.34,-
0.775,0.193,0.54,0.53,ERC,Eircom Hldgs Ltd,0.53,-0.5,"10,922",0.53,0.54,-,,-,-3.93,-,-884.2,-
1.20,0.165,0.18,0.17,ELD,Elders Ltd,0.17,-1,"631,954",0.17,0.175,5.5,,-,0.37,32.35,-51.51,-
0.995,0.16,0.86,0.84,EHL,Emeco Hldgs,0.845,-1,"12,371",0.84,0.85,4,f,0.53,0.74,4.73,2.1,40.2
2.87,1.205,2.50,2.38,ENE,Energy Develop,2.45,-7,"1,714",2.45,2.50,12,,0.20,1.83,4.90,2.4,102.1
28.28,14.51,24.10,23.81,ERA,Energy Res,23.94,8,"2,460",23.90,24.00,34,f,4.79,-,1.42,162.78,14.7
0.72,0.175,0.47,0.45,EWC,Energy World Corp,0.465,-0.5,"14,776",0.465,0.47,-,,-,-,-,-0.71,-
