Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4554.4 at 16:36 2/8/2010  Report at 19:05 Monday 2/8/2010. Processed 19:22 Monday 2/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.90,,,,,,,,,,,,
Dec,10,57.00,1.23,1.07,21,72,20.30,0.39,5.81,,,
Dec,10,58.00,0.97,0.81,1,74,20.20,0.34,4.60,,,
Dec,10,59.00,0.76,0.74,4,233,20.10,0.29,3.58,,,
Mar,11,54.00,3.37,3.40,5,45,23.30,0.59,9.79,,,
Jun,11,60.00,2.02,1.99,2,-,23.80,0.43,4.25,,,
Dec,11,50.00,7.63,7.90,1,11,28.20,0.71,5.68,,,
Dec,11,59.00,3.79,3.55,4,9,26.30,0.50,5.10,,,
Coca-Cola Amatil Last Sale Price $11.51,,,,,,,,,,,,
Aug,10,11.50,0.22,0.20,7,341,20.10,0.55,26.64,,,
Aug,10,12.00,0.07,0.06,43,413,21.90,0.26,8.88,,,
Computershare Ltd Last Sale Price $10.19,,,,,,,,,,,,
Aug,10,10.50,0.12,0.11,20,70,24.40,0.35,16.48,,,
Sep,10,11.00,0.08,0.08,66,97,22.50,0.22,5.41,,,
Oct,10,10.50,0.36,0.32,9,20,24.90,0.47,14.65,,,
Oct,10,11.00,0.19,0.18,10,10,24.00,0.32,7.73,,,
CSL Ltd Last Sale Price $33.64,,,,,,,,,,,,
Aug,10,32.00,1.87,0.93,1,37,20.00,0.86,9.77,,,
Aug,10,32.50,1.46,1.26,2,139,19.70,0.78,13.89,,,
Aug,10,33.00,1.09,1.09,3,338,19.20,0.69,19.31,,,
Aug,10,33.50,0.77,0.80,2,147,18.60,0.58,27.13,,,
Aug,10,34.00,0.50,0.49,17,559,17.90,0.45,21.48,,,
Aug,10,34.50,0.31,0.30,38,281,17.80,0.33,13.45,,,
Aug,10,35.00,0.17,0.16,21,232,17.00,0.21,7.38,,,
Aug,10,36.00,0.04,0.04,5,67,17.00,0.07,1.95,,,
Sep,10,30.00,3.84,3.14,2,6,20.10,0.95,4.09,,,
Sep,10,32.00,2.10,2.06,2,61,20.00,0.79,9.31,,,
Sep,10,33.00,1.34,1.24,2,361,18.60,0.67,14.33,,,
Sep,10,33.50,1.10,1.10,3,155,19.80,0.58,19.65,,,
Sep,10,34.00,0.80,0.80,38,125,18.60,0.50,16.28,,,
Sep,10,34.05,0.68,0.67,4,-,18.70,0.49,13.82,,,
Sep,10,35.00,0.39,0.40,7,101,17.60,0.33,7.88,,,
Sep,10,35.50,0.25,0.25,36,47,17.10,0.25,5.12,,,
Sep,10,36.00,0.16,0.17,3,87,17.00,0.19,3.28,,,
Oct,10,34.00,1.10,1.00,2,84,19.60,0.53,13.50,,,
Oct,10,35.00,0.69,0.68,7,86,19.20,0.41,8.51,,,
Jan,11,34.00,1.88,-,2,-,20.80,0.58,11.37,,,
CSR Ltd Last Sale Price $1.74,,,,,,,,,,,,
Dec,10,1.90,0.06,0.06,10,63,25.60,0.37,8.04,,,
David Jones Ltd Last Sale Price $4.76,,,,,,,,,,,,
Aug,10,4.50,0.33,0.35,5,188,32.50,0.78,21.47,,,
Aug,10,5.00,0.04,0.03,2,34,23.60,0.24,12.27,,,
Sep,10,4.50,0.38,0.38,8,134,27.90,0.75,16.64,,,
Sep,10,4.75,0.22,0.25,7,118,26.80,0.56,29.66,,,
Sep,10,5.00,0.09,0.09,49,317,22.70,0.33,12.30,,,
Oct,10,4.75,0.24,0.15,6,212,26.80,0.57,20.04,,,
