Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4533.0 at 16:35 10/2/2010  Report at 19:05 Wednesday 10/2/2010. Processed 19:11 Wednesday 10/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.00,,,,,,,,,,,,
Mar,10,54.00,0.66,0.58,174,516,24.90,0.36,10.56,,,
Mar,10,54.01,0.65,1.00,10,17,24.90,0.36,10.40,,,
Mar,10,55.00,0.45,0.41,43,290,24.70,0.28,7.12,,,
Mar,10,55.01,0.43,0.39,6,29,24.40,0.28,6.88,,,
Mar,10,55.50,0.36,0.43,12,120,24.60,0.25,5.76,,,
Mar,10,56.00,0.28,0.26,40,359,24.20,0.21,4.48,,,
Mar,10,57.00,0.17,0.22,4,433,24.00,0.15,2.80,,,
Mar,10,57.01,0.17,0.44,10,16,24.00,0.15,2.80,,,
Mar,10,58.00,0.11,0.13,10,192,23.70,0.10,1.68,,,
Mar,10,59.00,0.07,0.06,122,569,24.40,0.08,1.12,,,
Mar,10,60.00,0.04,0.09,100,459,24.50,0.05,0.72,,,
Mar,10,61.00,0.03,0.05,5,43,24.60,0.04,0.40,,,
Apr,10,50.00,2.96,3.86,13,16,25.30,0.68,10.03,,,
Apr,10,51.00,2.43,2.45,17,11,25.30,0.62,14.26,,,
Apr,10,52.00,1.94,2.14,5,47,24.80,0.55,17.25,,,
Apr,10,53.00,1.51,1.87,1,302,24.40,0.49,13.46,,,
Apr,10,54.00,1.14,1.07,31,165,23.80,0.42,10.16,,,
Apr,10,55.00,0.89,1.04,6,129,23.90,0.36,7.93,,,
Apr,10,56.00,0.64,0.94,1,99,23.30,0.29,5.71,,,
Apr,10,56.01,0.68,-,2,-,23.90,0.30,6.02,,,
Apr,10,58.00,0.32,0.36,189,36,22.60,0.18,2.81,,,
May,10,50.00,3.44,3.25,2,4,25.40,0.68,10.56,,,
May,10,54.00,1.58,-,3,46,24.10,0.45,10.40,,,
May,10,56.00,1.02,1.29,1,6,24.00,0.34,6.71,,,
Jun,10,35.50,16.35,12.06,2,22,38.10,0.97,0.10,,,
Jun,10,36.00,15.85,5.44,2,43,38.00,0.96,0.10,,,
Jun,10,37.00,14.86,4.90,1,9,37.80,0.95,0.16,,,
Jun,10,38.00,13.88,4.50,1,200,37.50,0.94,0.23,,,
Jun,10,38.50,13.38,-,1,7,36.30,0.94,0.23,,,
Jun,10,40.00,11.88,11.75,1,13,32.50,0.94,0.26,,,
Jun,10,45.50,6.92,-,1,4,27.10,0.84,3.08,,,
Jun,10,50.00,3.88,4.21,10,281,25.50,0.67,10.69,,,
Jun,10,52.00,2.81,3.50,5,235,24.80,0.58,14.66,,,
Jun,10,52.01,2.86,2.83,30,-,25.30,0.58,14.92,,,
Jun,10,54.00,1.96,3.26,1,391,24.20,0.48,10.20,,,
Jun,10,56.00,1.31,1.45,2,18,23.70,0.38,6.86,,,
Aug,10,35.50,16.36,16.10,1,24,34.90,0.96,0.12,,,
Sep,10,56.00,2.06,3.90,1,19,24.20,0.45,6.40,,,
Dec,10,32.00,19.91,19.78,2,81,41.70,0.94,0.17,,,
Dec,10,34.00,18.02,18.52,26,380,39.40,0.93,0.41,,,
Dec,10,35.51,15.92,-,2,-,39.30,0.91,-,,,
Dec,10,36.01,15.52,-,2,-,39.10,0.91,-,,,
Dec,10,37.00,15.04,14.95,3,9,32.50,0.92,0.46,,,
Dec,10,37.01,14.52,-,1,-,36.40,0.91,-,,,
Dec,10,38.51,13.40,-,2,-,36.30,0.88,0.19,,,
Dec,10,45.00,8.58,8.51,4,1,28.70,0.80,3.89,,,
Dec,10,45.51,7.91,7.91,10,-,29.30,0.79,3.53,,,
Dec,10,48.00,6.62,9.02,1,66,27.80,0.73,6.20,,,
Dec,13,36.00,17.75,17.57,26,-,29.70,0.92,0.96,,,
Coca-Cola Amatil Last Sale Price $10.86,,,,,,,,,,,,
Feb,10,11.00,0.12,0.11,4,278,25.80,0.43,24.16,,,
Mar,10,11.00,0.21,0.24,20,479,23.20,0.49,16.04,,,
Mar,10,11.50,0.07,0.08,15,500,22.30,0.27,5.73,,,
Computershare Ltd Last Sale Price $11.73,,,,,,,,,,,,
Feb,10,12.00,0.11,0.12,265,191,25.40,0.36,20.42,,,
Feb,10,12.50,0.03,0.07,3,88,26.70,0.13,5.83,,,
Mar,10,11.50,0.50,0.59,10,50,25.50,0.64,18.74,,,
Mar,10,12.00,0.28,0.33,13,280,26.10,0.45,19.80,,,
Mar,10,12.50,0.12,0.14,13,95,24.40,0.26,8.49,,,
Apr,10,11.50,0.68,0.54,10,4,26.30,0.63,17.53,,,
Apr,10,12.50,0.24,0.19,10,6,24.50,0.35,9.45,,,
CSL Ltd Last Sale Price $31.53,,,,,,,,,,,,
Feb,10,31.00,0.90,0.88,6,63,22.40,0.67,26.77,,,
Feb,10,32.00,0.36,0.33,34,717,21.30,0.40,26.05,,,
Feb,10,32.50,0.20,0.17,10,343,20.70,0.26,14.47,,,
Feb,10,33.00,0.11,0.11,25,239,21.30,0.16,7.96,,,
Feb,10,34.00,0.03,0.02,2,77,21.40,0.05,1.81,,,
Mar,10,32.00,0.67,0.82,1,349,21.20,0.47,17.63,,,
Mar,10,32.50,0.48,0.55,1,142,21.10,0.39,12.76,,,
Mar,10,33.00,0.34,0.35,7,536,21.10,0.31,9.08,,,
Jun,10,34.50,0.68,0.60,2,41,21.80,0.33,5.83,,,
Sep,10,32.00,2.17,1.83,6,1,22.70,0.58,11.14,,,
CSR Ltd Last Sale Price $1.67,,,,,,,,,,,,
Mar,10,1.77,0.04,0.06,98,1828,36.20,0.35,22.42,,,
David Jones Ltd Last Sale Price $4.75,,,,,,,,,,,,
Feb,10,4.75,0.12,0.21,20,147,30.90,0.53,57.63,,,
Feb,10,5.25,0.01,0.04,115,154,35.20,0.09,7.20,,,
Mar,10,4.50,0.37,0.32,20,310,32.70,0.73,20.96,,,
Mar,10,5.00,0.11,0.20,20,669,30.80,0.36,19.21,,,
Mar,10,5.25,0.04,0.06,4,35,29.70,0.19,7.86,,,
Apr,10,4.75,0.26,0.23,115,2,32.00,0.56,25.29,,,
Sep,10,6.00,0.11,0.13,30,-,30.60,0.24,3.74,,,
Foster's Grp Last Sale Price $5.55,,,,,,,,,,,,
Feb,10,5.50,0.12,0.12,30,1088,19.00,0.62,26.72,,,
Mar,10,4.50,1.05,1.06,1,1,2.00,1.00,0.75,,,
Mar,10,5.50,0.15,0.18,8,1864,20.70,0.60,14.95,,,
Mar,10,5.75,0.07,0.06,40,5758,22.00,0.37,9.72,,,
Apr,10,5.75,0.11,0.11,54,595,20.90,0.42,8.74,,,
Jun,10,5.50,0.29,0.31,8,93,21.80,0.62,11.94,,,
Jun,10,5.75,0.19,0.15,8,507,21.60,0.48,9.26,,,
Fortescue Metals Grp Last Sale Price $4.64,,,,,,,,,,,,
Feb,10,4.50,0.28,0.36,3,54,53.90,0.64,68.83,,,
Feb,10,5.00,0.07,0.10,13,139,51.70,0.26,36.87,,,
Feb,10,5.25,0.04,0.05,10,41,53.10,0.14,17.21,,,
Mar,10,4.75,0.28,0.34,5,146,49.40,0.49,49.16,,,
Mar,10,5.00,0.17,0.18,6,213,47.50,0.37,31.29,,,
Mar,10,5.50,0.09,0.10,8,266,51.30,0.20,15.20,,,
Dec,10,4.50,0.92,1.00,1,50,45.60,0.66,19.36,,,
Fairfax Media Ltd Last Sale Price $1.73,,,,,,,,,,,,
Feb,10,1.70,0.07,0.06,500,1533,40.70,0.60,59.51,,,
Mar,10,1.70,0.10,0.09,100,1292,39.10,0.59,36.07,,,
Mar,10,1.80,0.05,0.04,21,3973,36.30,0.41,24.04,,,
Apr,10,1.70,0.14,-,202,-,42.40,0.59,30.80,,,
GPT Grp Last Sale Price $0.58,,,,,,,,,,,,
Feb,10,0.56,0.04,0.04,48,1330,42.50,0.72,39.00,,,
Harvey Norman Last Sale Price $3.75,,,,,,,,,,,,
Feb,10,3.75,0.10,0.14,25,30,30.40,0.53,57.79,,,
Feb,10,4.00,0.01,0.03,50,210,26.40,0.13,6.08,,,
Feb,10,4.25,0.00,0.02,25,55,26.40,0.01,0.61,,,
Mar,10,3.50,0.34,0.28,50,260,34.30,0.76,18.80,,,
Mar,10,4.00,0.07,0.07,54,247,30.30,0.31,15.48,,,
Insurance Aust Grp Last Sale Price $3.90,,,,,,,,,,,,
Feb,10,3.75,0.19,0.17,5,312,27.80,0.78,20.47,,,
Mar,10,4.00,0.09,0.10,534,1031,26.60,0.44,19.14,,,
Apr,10,4.25,0.06,0.06,62,40,25.40,0.29,7.11,,,
Jun,10,4.00,0.20,0.21,10,928,24.90,0.52,13.52,,,
Jul,10,4.40,0.12,0.13,12,182,26.30,0.33,6.61,,,
Dec,11,4.00,0.50,0.52,15,84,25.30,0.64,6.87,,,
IOOF Hldgs Ltd Last Sale Price $5.34,,,,,,,,,,,,
Mar,10,6.50,0.03,0.03,20,170,39.90,0.09,4.66,,,
Incitec Pivot Last Sale Price $3.39,,,,,,,,,,,,
Feb,10,3.00,0.41,-,10,110,40.90,0.94,10.09,,,
Feb,10,3.25,0.20,0.20,17,1119,39.90,0.72,37.01,,,
Feb,10,3.50,0.08,0.09,4,2504,44.10,0.39,53.83,,,
