Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:05 Thursday 18/3/2010. Processed 19:18 Thursday 18/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.97,,,,,,,,,,,,
Coca-Cola Amatil Last Sale Price $11.24,,,,,,,,,,,,
May,10,11.50,0.28,0.26,12,11,18.10,0.46,12.81,,,
Jun,10,12.00,0.17,0.16,20,381,16.70,0.30,5.41,,,
Dec,10,12.00,0.58,0.57,2,-,20.60,0.49,6.76,,,
Cochlear Ltd Last Sale Price $68.25,,,,,,,,,,,,
Jun,10,65.00,5.62,3.70,1,11,23.70,0.72,12.80,,,
Computershare Ltd Last Sale Price $12.40,,,,,,,,,,,,
Mar,10,11.00,1.41,1.00,25,91,2.00,1.00,3.68,,,
Mar,10,12.00,0.45,0.28,175,345,25.50,0.84,18.40,,,
Mar,10,12.50,0.13,0.12,50,270,24.90,0.43,47.83,,,
Apr,10,12.00,0.61,0.58,6,70,20.10,0.73,14.38,,,
Apr,10,13.00,0.14,0.23,2,150,20.10,0.29,9.58,,,
May,10,12.50,0.45,0.32,75,6,20.80,0.53,18.66,,,
Jun,10,11.50,1.21,0.55,25,39,22.20,0.80,9.22,,,
Jun,10,12.50,0.56,0.46,175,29,20.80,0.55,16.50,,,
Jun,10,13.00,0.29,0.26,12,135,18.40,0.39,8.62,,,
CSL Ltd Last Sale Price $35.86,,,,,,,,,,,,
Mar,10,35.50,0.59,0.63,4,185,18.80,0.67,29.90,,,
Mar,10,36.00,0.29,0.28,14,174,17.50,0.46,37.53,,,
Mar,10,37.00,0.06,0.06,48,380,18.80,0.13,7.00,,,
Apr,10,34.50,1.81,1.90,3,57,17.70,0.78,10.65,,,
Apr,10,36.50,0.57,0.66,16,373,16.10,0.43,13.61,,,
Apr,10,37.00,0.37,0.37,18,193,15.40,0.33,8.76,,,
Apr,10,37.50,0.25,0.23,4,76,15.40,0.24,5.80,,,
Apr,10,38.00,0.16,0.23,10,6,15.30,0.17,3.67,,,
Apr,10,39.00,0.04,-,10,80,14.80,0.07,1.07,,,
Jun,10,35.00,2.05,2.15,1,67,18.10,0.68,12.23,,,
Dec,10,32.00,5.39,5.27,1,59,21.60,0.82,5.56,,,
CSR Ltd Last Sale Price $1.67,,,,,,,,,,,,
Apr,10,1.66,0.07,0.07,30,798,26.00,0.56,30.59,,,
Apr,10,1.76,0.03,0.03,4,924,28.20,0.32,15.29,,,
David Jones Ltd Last Sale Price $5.09,,,,,,,,,,,,
Mar,10,5.00,0.13,0.16,22,822,24.40,0.72,31.37,,,
Apr,10,5.25,0.06,0.06,8,38,22.70,0.39,10.01,,,
Jun,10,5.00,0.25,0.26,2,251,22.40,0.64,11.23,,,
Jul,10,5.75,0.07,-,8,-,23.40,0.26,3.75,,,
Dec,10,6.00,0.16,0.16,2,-,26.80,0.35,3.96,,,
Foster's Grp Last Sale Price $5.32,,,,,,,,,,,,
Apr,10,5.50,0.05,0.06,30,1627,15.10,0.31,7.98,,,
Jun,10,6.25,0.02,0.02,20,1474,20.10,0.09,1.39,,,
Sep,10,5.50,0.22,0.22,62,1348,17.50,0.52,7.94,,,
Fortescue Metals Grp Last Sale Price $4.90,,,,,,,,,,,,
Apr,10,4.75,0.34,0.30,1,29,37.20,0.64,32.91,,,
Apr,10,5.00,0.21,0.19,33,115,36.50,0.48,36.38,,,
Apr,10,5.25,0.12,0.12,56,195,35.90,0.33,19.92,,,
Apr,10,5.50,0.06,0.06,5,33,34.40,0.19,9.53,,,
May,10,5.00,0.32,0.32,470,97,39.90,0.51,33.05,,,
Jun,10,5.00,0.35,0.36,1,783,36.70,0.53,26.71,,,
Jun,10,5.50,0.18,0.17,101,102,36.50,0.33,13.54,,,
Fairfax Media Ltd Last Sale Price $1.79,,,,,,,,,,,,
Mar,10,1.60,0.19,0.19,5,22,2.00,1.00,-,,,
Harvey Norman Last Sale Price $3.68,,,,,,,,,,,,
Apr,10,4.00,0.01,0.01,2,79,22.20,0.16,3.46,,,
Insurance Aust Grp Last Sale Price $3.98,,,,,,,,,,,,
Apr,10,4.00,0.11,0.11,40,2856,19.60,0.52,22.39,,,
IOOF Hldgs Ltd Last Sale Price $7.07,,,,,,,,,,,,
Apr,10,7.25,0.22,0.20,5,-,29.10,0.45,25.81,,,
Incitec Pivot Last Sale Price $3.70,,,,,,,,,,,,
Mar,10,3.00,0.70,0.66,30,1052,83.00,0.97,6.17,,,
Mar,10,3.25,0.46,0.44,100,575,54.80,0.96,6.17,,,
Mar,10,3.50,0.22,0.20,450,968,37.80,0.87,18.50,,,
Mar,10,3.75,0.05,0.04,215,1327,35.20,0.41,61.66,,,
Apr,10,3.50,0.28,0.26,15,640,30.70,0.74,18.35,,,
Apr,10,3.75,0.15,0.13,125,248,32.90,0.50,34.41,,,
May,10,3.00,0.74,-,30,-,37.60,0.92,5.56,,,
May,10,4.00,0.12,0.15,15,17,34.10,0.35,15.98,,,
Jun,10,3.50,0.38,0.37,5,1030,34.30,0.69,17.94,,,
Jun,10,3.75,0.25,0.26,510,40,34.40,0.54,24.91,,,
Jun,10,4.00,0.16,0.17,10,19,34.70,0.40,15.94,,,
James Hardie Ind Last Sale Price $7.86,,,,,,,,,,,,
Mar,10,7.75,0.19,0.13,3,121,27.70,0.66,43.54,,,
Apr,10,8.00,0.27,0.26,34,40,29.30,0.48,28.62,,,
Apr,10,8.25,0.16,0.15,15,-,27.90,0.35,17.28,,,
Dec,10,7.75,1.13,1.11,5,827,34.30,0.64,16.77,,,
Leighton Hldgs Last Sale Price $39.10,,,,,,,,,,,,
Apr,10,40.00,0.81,0.84,1,185,21.20,0.43,17.69,,,
Jun,10,38.50,2.36,2.35,5,-,22.40,0.63,16.55,,,
Lihir Gold Ltd Last Sale Price $3.15,,,,,,,,,,,,
Mar,10,2.75,0.40,0.40,136,3022,20.40,1.00,-,,,
Mar,10,3.00,0.17,0.16,2053,14048,38.80,0.83,28.97,,,
Mar,10,3.25,0.04,0.04,817,11139,41.70,0.31,50.69,,,
Mar,10,3.50,0.01,0.01,101,4319,60.40,0.11,21.73,,,
Apr,10,2.75,0.45,0.44,28,379,40.60,0.87,12.13,,,
Apr,10,3.00,0.25,0.24,197,3781,36.40,0.70,25.60,,,
Apr,10,3.25,0.13,0.13,553,5377,37.70,0.45,33.68,,,
Apr,10,3.50,0.06,0.06,63,1748,38.70,0.25,14.82,,,
Apr,10,3.75,0.03,0.03,49,226,43.10,0.14,8.08,,,
May,10,2.75,0.47,0.47,5,150,37.60,0.84,12.24,,,
May,10,3.00,0.30,0.31,31,438,37.10,0.67,24.48,,,
May,10,3.25,0.17,0.18,61,691,37.40,0.48,28.56,,,
May,10,3.50,0.11,0.11,144,429,40.40,0.33,17.14,,,
Jun,10,3.00,0.34,0.33,20,772,37.80,0.67,22.82,,,
Jun,10,3.25,0.23,0.22,194,1884,38.70,0.51,26.33,,,
Jul,10,2.75,0.54,-,10,-,37.10,0.79,12.11,,,
Jul,10,3.00,0.39,0.38,12,18,38.00,0.66,20.75,,,
Sep,10,4.00,0.14,0.14,38,10,40.80,0.29,8.54,,,
Dec,10,4.00,0.22,0.22,23,410,40.70,0.36,8.87,,,
Lend Lease Grp Last Sale Price $8.72,,,,,,,,,,,,
Mar,10,9.19,0.02,0.02,41,66,31.40,0.12,10.46,,,
Apr,10,8.46,0.42,0.40,12,18,21.40,0.71,16.06,,,
Apr,10,8.70,0.28,0.30,22,84,20.80,0.56,24.82,,,
Apr,10,8.95,0.15,0.17,7,132,19.40,0.40,14.60,,,
May,10,7.98,0.88,-,2,-,23.30,0.85,8.25,,,
May,10,8.70,0.36,0.39,5,15,21.20,0.58,20.34,,,
