Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4479.0 at 16:37 28/5/2010  Report at 19:06 Friday 28/5/2010. Processed 07:19 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
National Leisure,NLG,0.008,-0.1,0.008,0.013,1811,0.009,0.008,0.013,0.008,0.044,0.006,-,,-,-0.32,-,0.34,2.4,-0.2,-20,
Navitas Ltd,NVT,4.79,21,4.76,4.80,4232,4.81,4.58,4.81,4.42,5.56,2.58,16.9,f,0.99,-0.25,3.53,16.8,28.5,12.0,2.57,
Newhaven Hotels,NHH,1.90,-,1.96,2.50,-,-,-,1.90,1.90,2.20,1.75,6,f,0.96,1.09,3.16,5.74,33.1,-,-,
Ocean Capital,OCE,0.25,-,0.255,0.355,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.045,-,0.046,-,-,-,-,0.045,0.045,0.07,0.017,-,,-,0.06,-,0.5,9.0,-,-,
Planet Platinum,PPN,0.26,-,0.22,0.25,-,-,-,0.26,0.26,0.30,0.14,2.06,,2.17,0.21,7.92,4.46,5.8,-,-,
Qld Trustees Invest,QTI,0.395,-,0.35,0.39,-,-,-,0.395,0.395,0.50,0.36,-,,-,0.78,-,1.02,38.7,-,-,
Reef Casino Tr unt,RCT,2.00,3.5,1.885,2.00,38,2.00,1.965,2.00,1.82,2.15,1.70,24,,1.07,2.04,12.00,25.7,7.8,18.0,9.89,
Retail Food Grp,RFG,2.46,-4,2.41,2.46,399,2.50,2.45,2.54,2.33,3.10,1.535,10,f,2.54,-0.70,4.07,25.4,9.7,16.0,6.96,
Sino Strategic Intl,SSI,0.35,-,0.22,0.35,37,0.35,0.35,0.35,0.35,0.92,0.30,-,,-,-0.05,-,-67,-,-,-,
